"Rank","Name","Team","Cl","Pos","G","AB","K","K Avg."
"1","Joe Wendle","West Chester","Sr.","2B","41","142","4","35.5"
"2","Mark McMahon","Colo. Christian","Fr.","SS","41","103","3","34.3"
"3","Stephen Carmon","S.C. Aiken","Sr.","SS","49","202","6","33.7"
"4","Chris Eichten","Southwest Minn. St.","Jr.","OF","32","98","3","32.7"
"5","Josh McMahon","N.M. Highlands","Jr.","INF","43","129","4","32.3"
"6","Tyler Phan Thornton","Colorado Mines","Sr.","INF","33","126","5","25.2"
"7","Mitch Frey","Henderson St.","Jr.","SS","44","125","5","25.0"
"8","Chuck Duarte","Abilene Christian","Jr.","INF","50","169","7","24.1"
"9","Jake Warner","Pitt.-Johnstown","So.","C","48","168","7","24.0"
"10","Stuart Drew","West Ga.","Sr.","2B","43","165","7","23.6"
"11","Danny Nelson","Cal St. Monterey Bay","Sr.","INF","46","178","8","22.3"
"12","Michael Hackett","Alderson-Broaddus","Sr.","C","44","153","7","21.9"
"13","null Ammar","Wheeling Jesuit","Fr.","-","39","126","6","21.0"
"14","Cody Snyder","King (TN)","So.","INF","45","166","8","20.8"
"15","Joey Benke","St. Cloud St.","Sr.","INF","42","143","7","20.4"
"","Steven Brault","Regis (CO)","So.","P","39","143","7","20.4"
"17","Jarius Brown","Stillman","Sr.","OF","44","163","8","20.4"
"18","Spencer Shockley","Mo. Western St.","Jr.","INF","44","139","7","19.9"
"19","Sean McCormick","Kutztown","So.","INF","37","99","5","19.8"
"20","Will Wurth","Tex. A&M Int'l","Sr.","INF","47","178","9","19.8"
"21","Brett Neill","Drury","Jr.","INF","42","157","8","19.6"
"22","Nick Thimesch","Drury","So.","OF","42","156","8","19.5"
"23","Kelend Smith","Miles","Fr.","1B","41","134","7","19.1"
"24","Mike Bolling","Lewis","Sr.","OF","46","172","9","19.1"
"25","Brendan Collins","Saint Leo","Fr.","OF","37","133","7","19.0"
"26","Jermaine Berry","Mount Olive","Jr.","3B","42","164","9","18.2"
"27","Paul Winterbottom","Stillman","Fr.","INF","43","162","9","18.0"
"28","Kevin Korwek","Bentley","Sr.","C","44","179","10","17.9"
"29","Glen Reser","Central Wash.","Sr.","3B","36","107","6","17.8"
"30","Danny Susdorf","UC San Diego","Jr.","OF","44","176","10","17.6"
"31","P Martin","Winston-Salem","Fr.","-","50","193","11","17.5"
"32","null Collin","Charleston (WV)","Fr.","-","42","122","7","17.4"
"33","Chris Rudenga","Grand Valley St.","Jr.","OF","41","121","7","17.3"
