"Rank","Name","Team","Cl","Pos","App","IP","R","ER","ERA"
"1","Ben Rettenmeier","Wartburg","Sr.","P","3","22.0","1","0","0.00"
"","Andrew Cooper","Wesley","Sr.","P","9","19.2","1","0","0.00"
"","Dan Warren","Rochester (NY)","So.","P","3","17.0","3","0","0.00"
"","Brent Mueller","Wis.-Stout","So.","P","3","16.0","3","0","0.00"
"","Dylan Driscoll","Amherst","Sr.","P","2","15.0","0","0","0.00"
"","Justin Wood","Penn St.-Behrend","Jr.","P","3","14.0","0","0","0.00"
"","Matt Herringshaw","Bethel (MN)","So.","P","2","13.2","3","0","0.00"
"","Michael Andrews","Framingham St.","Fr.","P","2","13.0","0","0","0.00"
"","Andrew Sawyer","Anna Maria","Fr.","P","3","13.0","0","0","0.00"
"","Zach Schneider","Webster","Sr.","P","2","13.0","0","0","0.00"
"","Steven Tantalos","Western Conn. St.","Fr.","P","3","13.0","0","0","0.00"
"","Zacary Cooney","Mass. Maritime","Jr.","P","4","12.2","1","0","0.00"
"","Tim Baldrick","Thomas More","Jr.","P","2","12.0","2","0","0.00"
"","Q. Saunders-Kolberg","Amherst","---","P","2","12.0","0","0","0.00"
"","Anthony Berroa","Eastern Nazarene","Sr.","INF","2","11.0","0","0","0.00"
"","Jacob Hadaway","Buena Vista","Fr.","P","3","10.1","2","0","0.00"
"","Billy Whaley","Norwich","So.","P","2","9.0","1","0","0.00"
"","Brandon Place","Norwich","Jr.","P","2","7.2","6","0","0.00"
"","Sam Carlson","Gust. Adolphus","Fr.","P","1","7.0","0","0","0.00"
"","Andrew Heideman","Concordia (WI)","Fr.","P","1","7.0","0","0","0.00"
"","Bryan Noonan","Marywood","Jr.","P","1","7.0","1","0","0.00"
"","Patrick Walsh","Loras","So.","INF","1","7.0","0","0","0.00"
"","Scott Goldberg","Colby","Jr.","P","1","6.0","0","0","0.00"
"","Justin Kidd","Oberlin","Jr.","P","1","6.0","0","0","0.00"
"","Connor Hurst","Wis.-Whitewater","---","P","1","5.0","0","0","0.00"
"","Joel Sharon","Concordia (WI)","Jr.","P","1","5.0","7","0","0.00"
"","Dane O'Neil","Union (NY)","Sr.","P","1","4.0","0","0","0.00"
"","Conor Herlihy","Rochester Inst.","Jr.","P","1","3.0","0","0","0.00"
"","James Lacy","Wis.-Oshkosh","Sr.","P","1","3.0","0","0","0.00"
"","Eddie Kelly","Williams","Jr.","P","1","2.1","0","0","0.00"
"","Taylor Bacon","Thomas (ME)","---","P","1","2.0","2","0","0.00"
"","Sawyer Olson","Middlebury","So.","P","1","2.0","0","0","0.00"
"33","Daniel Lumb","Newbury","Jr.","P","3","21.0","1","1","0.43"
"","Joe Riley","St. Lawrence","Sr.","P","3","21.0","1","1","0.43"
"35","Alex Weingarten","Farmingdale St.","So.","P","5","17.1","4","1","0.52"
"36","Sean Larson","Fredonia St.","Sr.","P","2","17.0","5","1","0.53"
"37","Kyle Barbee","Spalding","Sr.","SS","3","16.2","5","1","0.54"
"38","Michael Macchia","Montclair St.","So.","P","3","16.0","2","1","0.56"
"39","J.T. Taylor","Hiram","Jr.","P","2","15.2","4","1","0.57"
"40","Brandon Lubrano","Mt. St. Mary (NY)","So.","P","2","15.0","1","1","0.60"
"","Chris Soltys","Moravian","Sr.","P","5","15.0","1","1","0.60"
"42","Chris Nixon","Wilkes","Fr.","P","3","14.2","4","1","0.61"
"","Kaleb Rich","Rockford","Sr.","P","2","14.2","2","1","0.61"
"44","Mike Bowse","Colby-Sawyer","So.","P","2","14.0","3","1","0.64"
"","Shawn Corrigan","St. John Fisher","Sr.","P","4","14.0","2","1","0.64"
"","Max Frederick","Wis.-Stevens Point","Sr.","P","2","14.0","1","1","0.64"
"","John Prendergast","Ithaca","Jr.","P","2","14.0","1","1","0.64"
"48","Eric Vrissis","Coast Guard","Fr.","P","3","13.2","2","1","0.66"
"49","Blake Stevens","Birmingham-So.","Jr.","P","6","40.0","6","3","0.68"
"","Kevin Cashman","Farmingdale St.","So.","P","4","13.1","1","1","0.68"
"","Brent Pelella","Eastern Conn. St.","Jr.","P","4","13.1","2","1","0.68"
