"Rank","Name","Team","Cl","Pos","G","AB","TB"
"1","Jake Lowery","James Madison","Jr.","C","45","187","158"
"2","Victor Roache","Ga. Southern","So.","OF","44","172","133"
"3","Daniel Aldrich","Col. of Charleston","Fr.","OF","43","158","131"
"","Jason Krizan","Dallas Baptist","Sr.","OF","43","174","131"
"5","David Herbek","James Madison","Sr.","SS","45","179","129"
"6","C.J. Cron","Utah","Jr.","C","37","154","126"
"7","Doug Shribman","Bucknell","Sr.","1B","49","181","124"
"8","Trever Adams","Creighton","Sr.","INF","41","163","123"
"9","Matt Leeds","Col. of Charleston","Jr.","INF","44","168","122"
"10","Andrew Rash","Virginia Tech","So.","OF","42","158","120"
"","Jacob Tanis","Mercer","Jr.","3B","46","184","120"
"12","Adam Brett Walker","Jacksonville","So.","C","42","169","119"
"13","Chris O'Brien","Wichita St.","Jr.","C","47","183","118"
"14","Zach Maxfield","Fla. Gulf Coast","Sr.","INF","44","179","115"
"","Ben Thomas","Xavier","Sr.","1B","40","161","115"
"","Steve Ulaky","Delaware","Sr.","1B","44","190","115"
"17","Cody Asche","Nebraska","Jr.","3B","44","173","114"
"","Thomas Carroll","Mercer","Sr.","OF","46","183","114"
"","Will Skinner","Middle Tenn.","Sr.","OF","44","177","114"
"","George Springer","Connecticut","Jr.","OF","45","170","114"
"21","Frazier Hall","Southern U.","Sr.","INF","41","153","113"
"22","Tommy La Stella","Coastal Caro.","Jr.","2B","44","163","112"
"","Lee Orr","McNeese St.","Jr.","INF","46","195","112"
"","Bo Reeder","East Tenn. St.","Jr.","INF","42","181","112"
"25","Chris Andreas","Sam Houston St.","Sr.","OF","46","174","110"
"","Bo Cuthbertson","Southern Utah","Jr.","SS","39","149","110"
"","Matt Holland","A&M-Corpus Christi","Sr.","INF","47","178","110"
"","Casey Kalenkosky","Texas St.","Jr.","INF","44","168","110"
"29","Andy Chriscaden","Kennesaw St.","Jr.","INF","43","170","109"
"","Mark Micowski","Georgia St.","Sr.","OF","46","190","109"
"","Bryson Myles","Stephen F. Austin","Jr.","OF","43","179","109"
"","Steve Nikorak","Temple","Sr.","3B","41","176","109"
"","Dan Paolini","Siena","Jr.","2B","44","158","109"
"34","Ross Heffley","Western Caro.","Jr.","OF","40","171","108"
"","Paul Hoilman","East Tenn. St.","Sr.","1B","42","154","108"
"","Tim Smalling","Virginia Tech","Sr.","INF","45","187","108"
"37","William Carmona","Stony Brook","So.","INF","40","168","107"
"","Brendon Kelliher","George Washington","Sr.","OF","43","175","107"
"","Nick Rickles","Stetson","Jr.","C","44","170","107"
"40","Matt Rice","Western Ky.","Sr.","C","44","185","106"
"41","Mac Doyle","Wofford","Jr.","C","44","171","105"
"","Jonathan Griffin","UCF","Sr.","INF","44","172","105"
"","Sean Jamieson","Canisius","Sr.","SS","42","148","105"
"","Cameron Perkins","Purdue","So.","INF","42","181","105"
"45","Ken Battiston","Eastern Mich.","Sr.","OF","42","169","104"
"","Xavier Macklin","N.C. A&T","Jr.","OF","43","143","104"
"","Mikie Mahtook","LSU","Jr.","OF","45","151","104"
"","Christian Walker","South Carolina","So.","INF","43","166","104"
"49","Todd Baumgartner","Arkansas St.","Sr.","OF","46","195","103"
"","James Brooks","Utah","Jr.","INF","37","172","103"
"","Cody Fick","Evansville","Sr.","INF","39","159","103"
"","Brandon Miller","Samford","Jr.","C","44","159","103"
"","Dane Phillips","Oklahoma St.","So.","C","43","176","103"
"","Luke Tendler","N.C. A&T","Fr.","INF","44","166","103"
"55","Saxon Butler","Samford","Jr.","INF","45","176","102"
"","Bryan Chaikowsky","Md.-East. Shore","Sr.","OF","42","154","102"
"","Taylor Davis","Morehead St.","Jr.","C","38","140","102"
"","Zack Helgeson","George Mason","Jr.","1B","47","181","102"
"","A.J. Miller","Lafayette","Sr.","C","38","131","102"
"","Dario Pizzano","Columbia","So.","OF","43","156","102"
"","Brance Rivera","TCU","Jr.","OF","44","178","102"
"","Aaron Westlake","Vanderbilt","Jr.","1B","43","157","102"
"63","Chris Benson","Utah Valley","Sr.","OF","38","173","101"
"","Justin Boudreaux","Southeastern La.","Jr.","INF","46","182","101"
"","Tyler Naquin","Texas A&M","So.","OF","43","169","101"
"","Peter O'Brien","Bethune-Cookman","Jr.","C","48","179","101"
"","Robby Ort","Indiana St.","So.","OF","41","160","101"
"","Eric Phillips","Ga. Southern","Jr.","INF","44","176","101"
"69","Landon Anderson","Dallas Baptist","Jr.","OF","43","173","100"
"","Ryan Ferguson","Temple","Sr.","C","41","177","100"
"","Jeff Harkensee","Southeastern La.","Sr.","OF","46","182","100"
"","John Hicks","Virginia","Jr.","C","47","194","100"
"","Dylan Pratt","East Tenn. St.","Jr.","OF","42","153","100"
"","Jeremy Schaffer","Tulane","Jr.","C","44","164","100"
"","Ryan Terry","Monmouth","Sr.","INF","43","175","100"
"","Brig Tison","George Mason","Jr.","INF","47","213","100"
"","Derrick Workman","Mercer","Fr.","OF","46","182","100"
"78","Riley Good","UTSA","Fr.","OF","45","195","99"
"","Jake Hibberd","Wright St.","Jr.","INF","40","173","99"
"","Shawn Payne","Ga. Southern","Sr.","OF","44","181","99"
"","Hunter Ridge","UNC Wilmington","So.","INF","44","175","99"
"","Derek Trent","East Tenn. St.","Sr.","C","42","160","99"
"","Preston Tucker","Florida","Jr.","INF","44","178","99"
"","Josh Wright","Old Dominion","Jr.","INF","38","137","99"
"85","Adam Bryant","Troy","Sr.","INF","44","193","98"
"","Garrett Buechele","Oklahoma","Jr.","INF","44","185","98"
"","Nick Ciardiello","Holy Cross","Sr.","OF","48","168","98"
"","Dan Gulbransen","Jacksonville","So.","OF","42","163","98"
"","Scott Hornstra","Mississippi Val.","Jr.","3B","42","156","98"
"","Tyler Koelling","Southern Miss.","Sr.","OF","43","190","98"
"","Adrian Perez","Temple","Sr.","SS","41","191","98"
"","James Ramsey","Florida St.","Jr.","OF","44","164","98"
"","M.L. Williams","Lipscomb","Jr.","OF","43","187","98"
"","Mike Zunino","Florida","So.","C","44","155","98"
"95","Sean Deegan","Penn St.","Jr.","OF","40","169","97"
"","Bob Donato","Bucknell","Jr.","OF","46","168","97"
"","Matt Hillsinger","Radford","Jr.","OF","43","174","97"
"","L.J. Mazzilli","Connecticut","So.","INF","44","182","97"
"","Steven Proscia","Virginia","Jr.","INF","47","198","97"
"","Robert Refsnyder","Arizona","So.","INF","43","170","97"
"","Tyler Robbins","Dallas Baptist","Sr.","INF","43","143","97"
"102","James Beck","Iona","Jr.","1B","40","148","96"
"","Trey Hernandez","A&M-Corpus Christi","Sr.","INF","45","158","96"
"","D.J. Hicks","UCF","Jr.","DH","43","158","96"
"","Ben Klafczynski","Kent St.","Sr.","OF","42","164","96"
"","Joey Rapp","La.-Monroe","Jr.","INF","43","157","96"
"","Kevan Smith","Pittsburgh","Sr.","C","39","151","96"
"","Greg Wallace","Evansville","Sr.","OF","39","153","96"
"","Matt Williams","Liberty","Jr.","INF","44","174","96"
"110","Trent Cook","UNLV","Jr.","1B","46","186","95"
"","Greg Dupell","Navy","So.","INF","48","176","95"
"","Derek Hamblen","Belmont","Sr.","OF","45","188","95"
"","Joe Panik","St. John's (NY)","Jr.","INF","39","151","95"
"","Dusty Quattlebaum","Gardner-Webb","Jr.","INF","41","160","95"
"","Jordan Steranka","Penn St.","Jr.","3B","41","167","95"
"116","Steve Antolik","High Point","Sr.","OF","44","174","94"
"","Ryan Fleming","Georgia St.","Sr.","OF","44","143","94"
"","Justin Guidry","Middle Tenn.","Jr.","OF","44","191","94"
"","Byron McKoy","Temple","Sr.","OF","41","178","94"
"","Rand Ravnaas","Georgetown","Jr.","OF","43","171","94"
"","Jose Rodriguez","Col. of Charleston","Jr.","OF","45","182","94"
"","Joe Sclafani","Dartmouth","Jr.","SS","38","155","94"
"","Bryan Soloman","Eastern Ky.","Fr.","INF","44","169","94"
"","Brent Tanner","South Ala.","Sr.","C","43","167","94"
"125","Tobi Adeyemi","Florida A&M","Sr.","OF","48","185","93"
"","Barrett Barnes","Texas Tech","So.","OF","46","179","93"
"","Sam Eberle","Jacksonville St.","Jr.","INF","42","179","93"
"","Drew Gadaire","Davidson","Jr.","OF","39","155","93"
"","Casey McElroy","Auburn","Jr.","INF","44","177","93"
"","Colin Moran","North Carolina","Fr.","3B","43","161","93"
"","Rance Roundy","UNLV","Sr.","OF","40","154","93"
"","Ronnie Shaban","Virginia Tech","Jr.","INF","45","183","93"
"","Kyle Wren","Georgia Tech","Fr.","OF","45","191","93"
"134","Alex Bacon","North Florida","Fr.","OF","39","150","92"
"","Matt Campbell","UNC Wilmington","Jr.","INF","43","189","92"
"","Shaun Cooper","Utah","Jr.","OF","38","156","92"
"","Scott Davis","Delaware St.","Jr.","INF","43","158","92"
"","Andrew Deeds","Morehead St.","Jr.","OF","40","145","92"
"","Jason Esposito","Vanderbilt","Jr.","INF","43","168","92"
"","Jeff Holm","Michigan St.","Sr.","1B","40","155","92"
"","Zach Johnson","Oklahoma St.","Jr.","1B","42","160","92"
"","John McCambridge","Xavier","Sr.","INF","43","177","92"
"","Jeff McVaney","Texas St.","Jr.","OF","44","160","92"
"","Trenton Moses","Southeast Mo. St.","Sr.","INF","41","134","92"
"","Daniel Palka","Georgia Tech","Fr.","1B","45","170","92"
"","D.J. Peterson","New Mexico","Fr.","3B","45","178","92"
"","Matthew Scruggs","East Tenn. St.","Jr.","OF","42","160","92"
"","Travis Shaw","Kent St.","Jr.","INF","42","165","92"
"","Preston Springer","Wichita St.","Sr.","1B","47","193","92"
"","B.A. Vollmuth","Southern Miss.","Jr.","INF","40","162","92"
"","Ryan Wright","Louisville","Jr.","SS","43","166","92"
"152","Jared Andreoli","Western Ky.","Jr.","OF","44","194","91"
"","Daniel Bowman","Coastal Caro.","Jr.","OF","43","172","91"
"","Kes Carter","Western Ky.","Jr.","OF","40","164","91"
"","Seth Granger","McNeese St.","Jr.","OF","45","187","91"
"","Andrew Karmeris","North Florida","Jr.","INF","41","158","91"
"","Chris Marconcini","Duke","Fr.","1B","46","174","91"
"","Mike Mergenthaler","Richmond","Sr.","OF","43","175","91"
"","Dusty Robinson","Fresno St.","Jr.","OF","35","140","91"
"","Brent Seifert","Missouri St.","Jr.","INF","41","175","91"
"","Joe Winker","Mercer","Sr.","OF","45","137","91"
"","Chad Zurcher","Memphis","Jr.","INF","42","151","91"
"163","Michael Adamson","Southeast Mo. St.","Sr.","OF","43","174","90"
"","Tony Balisteri","Virginia Tech","Sr.","INF","45","186","90"
"","Chris Burke","Iona","Jr.","INF","41","147","90"
"","Jacob Daniel","Eastern Ky.","Jr.","OF","43","152","90"
"","Taylor Dugas","Alabama","Jr.","OF","47","177","90"
"","Tim Egerton","Belmont","Sr.","OF","45","167","90"
"","Jacob Esch","Georgia Tech","Jr.","P","45","187","90"
"","Matt Gedman","Massachusetts","Sr.","SS","35","148","90"
"","Tyler Hall","Central Mich.","Jr.","INF","44","169","90"
"","Brant Jones","Longwood","Sr.","2B","40","163","90"
"","Kendall Logan","Jackson St.","Jr.","OF","38","136","90"
"","Wilmy Marrero","Southern U.","Jr.","INF","40","155","90"
