"Rank","Name","Team","Cl","Pos","G","SH"
"1","Matt McManemin","Concordia (TX)","Sr.","INF","42","23"
"2","Mike Kerdock","Mississippi Col.","Sr.","INF","42","15"
"3","Kelly Woodruff","Trinity (TX)","Jr.","C","43","14"
"4","Quinn Guest","Concordia (TX)","Sr.","C","36","13"
"","Peter Krysztof","St. John Fisher","Sr.","OF","35","13"
"6","null Goeggelman","Waynesburg","Fr.","-","36","12"
"","Daniel Harvey","Texas Lutheran","Sr.","OF","38","12"
"","Taylor Hunter","George Fox","Sr.","INF","32","12"
"","Justin Hyland","Anna Maria","Jr.","INF","34","12"
"","B.J. Mortimer","East. Mennonite","Jr.","OF","36","12"
"","Nick Scalise","Richard Stockton","Sr.","C","36","12"
"","Jonathan Woytach","Marywood","Jr.","INF","38","12"
"13","Josh Bates","Texas-Tyler","Sr.","OF","38","11"
"","Jordan Harlow","Linfield","Jr.","INF","29","11"
"","Matt Mitchell","Averett","Sr.","INF","42","11"
"","Josh Morris","Stevenson","Jr.","OF","43","11"
"","D.J. Phillips","Guilford","Jr.","INF","35","11"
"18","Kirby Becker","Marietta","Sr.","2B","33","10"
"","Dustin Brown","Methodist","So.","INF","38","10"
"","Lincoln Evans","Lynchburg","Fr.","OF","33","10"
"","Zach Fitzpatrick","Lynchburg","So.","C","39","10"
"","Vinny Galya","Kean","Sr.","OF","32","10"
"","Jeremy Herzog","Geneva","So.","INF","32","10"
"","Zachary Kisley","Oberlin","So.","OF","38","10"
"","Bryn Lehman","Defiance","Sr.","SS","35","10"
"","Michael Lynn","Muskingum","So.","OF","30","10"
"","Alex Mullendore","Wis.-Oshkosh","Sr.","C","31","10"
"","Jonathan Murphy","Defiance","Jr.","OF","34","10"
"","Tyler Smarslok","Kean","So.","INF","36","10"
"30","Nathan Brown","Northland","Fr.","OF","32","9"
"","Trey Chambers","Birmingham-So.","Fr.","OF","41","9"
"","Nick Chiovitti","DeSales","Sr.","INF","38","9"
"","Cameron Curler","Castleton","Jr.","INF","41","9"
"","Anthony Dorio","Wm. Paterson","Sr.","SS","37","9"
"","Steve Doyle","Eastern Nazarene","Sr.","P","30","9"
"","Matt Drew","Curry","Sr.","P","34","9"
"","Josh Genzuk","Whittier","Jr.","2B","32","9"
"","Quinn Griffith","Salisbury","So.","INF","36","9"
"","Michael Herzog","Adrian","Sr.","3B","32","9"
"","Joey Long","Saint John's (MN)","Jr.","INF","32","9"
"","Paul Miller","Whitworth","Fr.","INF","37","9"
"","Cody Molosky","Methodist","Fr.","OF","41","9"
"","Jimbo Newcomb","Averett","Jr.","INF","43","9"
"","Brendan O'Kane","Mass. Maritime","So.","OF","28","9"
"","Leejay Pollacchi","Skidmore","Jr.","OF","36","9"
"","Matt Quick","Methodist","Sr.","INF","41","9"
"","Ruben Zendejas","McMurry","Fr.","-","33","9"
"48","Ben Beckwith","Blackburn","Fr.","INF","27","8"
"","Tyler Bogart","Whittier","Sr.","OF","36","8"
"","Donnie Bradley","Pacific (OR)","Fr.","INF","32","8"
"","D.J. Breckenridge","Kean","Sr.","OF","21","8"
"","Jon Brock","LaGrange","Jr.","OF","42","8"
"","Dan Brown","St. Joseph's (ME)","Sr.","INF","25","8"
"","Seth Carson","Central (IA)","Jr.","1B","37","8"
"","Jason Carter","Averett","So.","INF","38","8"
"","Tyler Caserta","Keystone","Jr.","OF","33","8"
"","Kris Cauchon","Plattsburgh St.","Sr.","2B","32","8"
"","Dominic Controguerra","Bethany (WV)","So.","OF","32","8"
"","Cameron Couillard","Framingham St.","Fr.","INF","36","8"
"","Jacob DeWitt","TCNJ","Fr.","INF","38","8"
"","Brian Del Rosso","Keystone","Sr.","OF","33","8"
"","Dan Demeo","Wheaton (MA)","Sr.","INF","37","8"
"","Dan Douglas","Wis.-Stevens Point","Jr.","INF","34","8"
"","Jake Fletcher","Randolph-Macon","Jr.","OF","38","8"
"","Kevin Francke","Trinity (TX)","Jr.","INF","44","8"
"","null G. Machacek","Texas-Tyler","Fr.","-","33","8"
"","Kyle Guest","Texas-Dallas","Sr.","1B","43","8"
"","Andrew Hendrian","Millikin","So.","OF","29","8"
"","null Josh Vasquez","Sul Ross St.","Fr.","-","39","8"
"","Nick Kennedy","Susquehanna","Fr.","INF","32","8"
"","Mike Mattei","Mass.-Boston","Sr.","3B","28","8"
"","Ryan McAlister","East. Mennonite","So.","2B","35","8"
"","Mark McDermott","Ill. Wesleyan","Sr.","OF","35","8"
"","Levi Montague","Wartburg","Jr.","INF","36","8"
"","Michael Muse","Suffolk","So.","INF","38","8"
"","Kyle Newcomb","Averett","Sr.","OF","44","8"
"","Kent Peterson","Guilford","Jr.","INF","39","8"
"","Nick Ramagli","Kean","Jr.","INF","34","8"
"","Henry Roman","Staten Island","Sr.","INF","21","8"
"","Devon Snow","Bridgewater (VA)","Sr.","OF","44","8"
"","Billy Steel","Chris. Newport","So.","INF","37","8"
"","Mike Tentilucci","Haverford","Fr.","OF","37","8"
"","J.T. Triantos","Frank. & Marsh.","Sr.","1B","39","8"
"","Ethan Trowt","Salem St.","So.","OF","40","8"
