"Rank","Name","Team","Cl","Pos","G","2B"
"1","Brian Yeung","Wingate","So.","INF","54","25"
"2","Casey Allison","Wingate","Jr.","OF","54","23"
"","Kellen Bozeman","Delta St.","Sr.","DH","46","23"
"","Dillon Hazlett","Emporia St.","Sr.","INF","45","23"
"5","Kendall Boone","West Tex. A&M","Jr.","INF","48","21"
"","Nick DeBiasse","Central Mo.","Sr.","INF","46","21"
"","Chris Dula","Catawba","Fr.","3B","53","21"
"","Andrew Durden","Nova Southeastern","Sr.","OF","44","21"
"","Brock Green","Ouachita Baptist","Jr.","1B","47","21"
"","Andrew Haake","Neb.-Kearney","Sr.","1B","43","21"
"","Kevin Pillar","Cal St. Dom. Hills","Sr.","OF","45","21"
"","Chase Presley","Harding","Jr.","INF","46","21"
"","Mike Williams","Newman","Sr.","INF","46","21"
"14","William Calhoun","Abilene Christian","Sr.","DH","47","20"
"","Tyler Migl","St. Mary's (TX)","Jr.","OF","48","20"
"","Jacob Rogers","Mount Olive","Jr.","3B","45","20"
"","Jason Simone","Mount Olive","Sr.","OF","37","20"
"","Chris Vazquez","Belmont Abbey","Sr.","C","45","20"
"19","Jess Cooper","West Tex. A&M","Jr.","INF","46","19"
"","Jordan Easom","West Tex. A&M","Jr.","OF","49","19"
"","David Fox","Metro St.","Sr.","OF","40","19"
"","Tanner Funk","Georgia College","Jr.","SS","50","19"
"","Dean Green","Barry","Sr.","1B","50","19"
"","Garrett Harris","Angelo St.","Jr.","OF","45","19"
"","Matt Johnson","Arkansas Tech","Sr.","OF","46","19"
"","Jacob Karr","Wingate","Jr.","INF","52","19"
"","Ryan McChesney","Florida Tech","Jr.","C","47","19"
"","Danny Nelson","Cal St. Monterey Bay","Jr.","INF","44","19"
"","William Smalls","Albany St. (GA)","Jr.","SS","52","19"
"","Rusty Smith","Mars Hill","Sr.","OF","49","19"
"31","Michael Brittian","Mars Hill","Sr.","OF","48","18"
"","Braxton Graven","Bellarmine","Sr.","OF","44","18"
"","Joe Halley","Cameron","Sr.","INF","45","18"
"","R.J. Knese","Drury","Sr.","C","45","18"
"","Brian Simone","West Ala.","Sr.","OF","41","18"
"","Zach Smith","Erskine","Fr.","INF","51","18"
"37","Cedric Belt","Lincoln (MO)","Sr.","OF","40","17"
"","Tucker Brown","Central Okla.","Jr.","INF","43","17"
"","Stephen Carmon","S.C. Aiken","Jr.","SS","50","17"
