"Rank","Name","Team","Cl","Pos","App","IP","R","ER","ERA"
"1","Austin Blaski","Marietta","Sr.","P","13","70.7","11","5","0.64"
"2","Ryan Zamorsky","Kean","Sr.","P","10","67.3","17","6","0.80"
"3","Claude Lockhart","Chicago","So.","INF","8","41.0","16","4","0.88"
"4","Kevin Johnson","Wis.-La Crosse","Jr.","P","7","40.3","7","4","0.89"
"5","Blaine O'Brien","Keystone","Sr.","P","9","58.0","13","6","0.93"
"6","Brian Rauh","Chapman","Jr.","P","11","79.0","17","9","1.03"
"7","Ray Angelucci","SUNY Cortland","Jr.","P","10","59.3","10","7","1.06"
"8","Russ Gilliam","Neumann","Jr.","P","14","71.3","17","9","1.14"
"9","Alec Palioca","Wheaton (MA)","So.","P","8","57.7","9","8","1.25"
"10","Judson McKown","Central (IA)","So.","P","15","42.7","12","6","1.26"
"11","Ryan Spengler","Saint John's (MN)","Jr.","P","9","41.3","12","6","1.31"
"12","Rylie Robinson","Adrian","So.","P","9","55.0","15","8","1.31"
"13","Brad Warnecke","Aurora","So.","P","8","47.0","17","7","1.34"
"14","Dirk Lindaman","Central (IA)","Jr.","P","11","53.3","9","8","1.35"
"15","Aaron Schuldt","SUNY Cortland","Sr.","P","10","66.3","18","10","1.36"
"16","David Mueller","Webster","Sr.","P","12","66.0","14","10","1.36"
"17","Cam Seidl","Wis.-Stevens Point","Jr.","P","11","59.3","12","9","1.37"
"18","Eddie Nogay","Wash. & Jeff.","So.","P","9","46.0","12","7","1.37"
"19","Rob Rogers","Keystone","Jr.","P","10","59.0","21","9","1.37"
"20","Paul Krenger","Dubuque","Sr.","P","7","38.3","6","6","1.41"
"21","Alexander Eliopoulos","Johns Hopkins","Sr.","P","11","76.0","19","12","1.42"
"22","Michael Cobb","Greensboro","Sr.","OF","8","56.3","13","9","1.44"
"23","Frank Holbrook","Wheaton (MA)","Jr.","P","8","55.7","11","9","1.45"
"24","Andy Eggleston","Keystone","Sr.","P","8","36.7","8","6","1.47"
"25","Eric Johnson","WPI","Sr.","P","6","42.3","14","7","1.49"
"26","Sean Meekins","Trinity (CT)","Fr.","P","7","36.0","8","6","1.50"
"27","Tim Welch","Bowdoin","Sr.","P","6","35.0","9","6","1.54"
"28","Ryan Thorsen","Concordia Chicago","So.","P","8","52.3","14","9","1.55"
"29","Ryan Lucero","Trinity (TX)","Jr.","P","11","68.7","14","12","1.57"
"30","Kevin Osaki","Chapman","Jr.","P","11","44.7","11","8","1.61"
"31","Steve Maher","St. Thomas (MN)","So.","P","10","61.3","12","11","1.62"
"32","Brandon Miller","Lynchburg","Fr.","P","18","66.0","19","12","1.64"
"","Mike Molta","Westfield St.","Fr.","3B","7","44.0","22","8","1.64"
"34","Jason Conde","St. Lawrence","Sr.","-","8","49.0","20","9","1.65"
"35","Matthew Karabin","Misericordia","Jr.","P","11","48.3","13","9","1.68"
"36","Taylor Fallon","Whittier","Sr.","P","14","74.7","22","14","1.69"
"37","James Chiorello","McDaniel","So.","P","14","69.0","30","13","1.70"
"38","Michael Mulvey","Marietta","Jr.","P","10","42.3","10","8","1.70"
"39","David Massengill","Greenville","Sr.","OF","6","37.0","9","7","1.70"
"40","Miles Nordgren","Birmingham-So.","So.","P","18","52.7","14","10","1.71"
"41","Kale Popp","Trine","Jr.","P","8","42.0","17","8","1.71"
"42","Derek Brousseau","Lebanon Valley","Jr.","OF","7","47.0","15","9","1.72"
"43","Ben Klimesh","Trinity (TX)","Sr.","P","15","97.7","27","19","1.75"
"44","Oliver Van Zant","Bowdoin","Jr.","SS","8","51.3","15","10","1.75"
"45","Drew Gay","Aurora","Jr.","P","8","61.0","21","12","1.77"
"46","Brad Orosey","Texas Lutheran","Sr.","P","13","81.3","25","16","1.77"
"47","Ryan Mestnik","Augsburg","Fr.","P","12","55.7","11","11","1.78"
"48","Kyle Longernecker","Moravian","Sr.","P","11","40.3","13","8","1.79"
"49","Isaac Behme","Webster","Fr.","OF","10","50.3","16","10","1.79"
"50","Justin Prejsnar","Westminster (PA)","Sr.","P","9","55.3","19","11","1.79"
"","Andy Sadoski","Bridgewater St.","So.","P","9","55.3","17","11","1.79"
"52","Jason Ferrie","Widener","Sr.","P","10","59.3","25","12","1.82"
"53","Chris Chismar","SUNY New Paltz","Jr.","P","9","53.7","15","11","1.84"
"54","David Trushel","Wash. & Jeff.","Sr.","P","9","63.0","18","13","1.86"
"55","Charles Cooper","Ohio Wesleyan","Fr.","P","10","53.3","19","11","1.86"
"56","Jamey Minnemeyer","Gwynedd-Mercy","Fr.","P","8","43.0","13","9","1.88"
"57","Hayden Zimmerman","Saint John's (MN)","Sr.","P","11","57.0","19","12","1.89"
"58","James Simmons","Hardin-Simmons","Jr.","P","21","42.7","10","9","1.90"
"59","Johnny Phelps","Pitt.-Bradford","Jr.","1B","9","37.7","14","8","1.91"
"60","Pat Lemmo","Ithaca","Jr.","P","12","74.7","21","16","1.93"
"61","Mike Trotta","Augustana (IL)","Sr.","P","9","60.3","17","13","1.94"
"62","Jon Stevens","Oswego St.","Jr.","P","9","60.0","27","13","1.95"
"63","Chris Phelan","Farmingdale St.","Sr.","P","11","69.0","22","15","1.96"
"64","Jeff Spillane","Texas Lutheran","Jr.","P","11","68.7","19","15","1.97"
"65","Chris Hendrix","MIT","Sr.","P","10","41.0","14","9","1.98"
"66","Connor Alberhasky","Coe","Fr.","P","14","36.3","13","8","1.98"
"67","Trevor Breton","Western New Eng.","Fr.","P","9","45.3","16","10","1.99"
"","Kyle Lyon","Babson","Jr.","P","7","45.3","19","10","1.99"
"69","Eric Palmer","Aurora","Fr.","P","7","45.0","12","10","2.00"
"70","Travis Zilg","Ramapo","Jr.","P","12","66.7","18","15","2.02"
"71","Justin D'Amato","St. John Fisher","So.","P","11","61.7","22","14","2.04"
"72","Chris Perry","Methodist","Sr.","P","15","88.0","23","20","2.05"
"73","Zach Fappier","Concordia-M'head","Sr.","P","9","57.0","27","13","2.05"
"74","Nate Schepers","Calvin","Fr.","P","11","47.7","14","11","2.08"
"","Aaron Siefken","Bethany Lutheran","Sr.","P","9","47.7","18","11","2.08"
"76","Ryan Larson","Linfield","Sr.","P","11","78.0","24","18","2.08"
"77","Corey Armentrout","Bridgewater (VA)","Fr.","P","13","60.3","20","14","2.09"
"78","Kevin Herget","Kean","Jr.","P","10","76.7","19","18","2.11"
"79","Cody Hafeli","Webster","Jr.","P","9","46.7","18","11","2.12"
"80","Mike Bitanga","Emory","Jr.","P","19","38.0","13","9","2.13"
"","Sean Hille","Montclair St.","Sr.","P","12","76.0","28","18","2.13"
"82","Bryce Gapinski","St. Thomas (MN)","Sr.","P","10","54.7","17","13","2.14"
"83","Brian Ranta","George Fox","Sr.","P","11","84.0","25","20","2.14"
"84","Grant Lowman","Huntingdon","Fr.","P","13","71.3","29","17","2.15"
"85","Peter Ciaramitaro","Cal Lutheran","Sr.","P","12","75.0","23","18","2.16"
"86","Kevin Keith","Colby-Sawyer","So.","P","12","62.0","19","15","2.18"
"","Patrick Riley","Castleton","Jr.","P","19","62.0","21","15","2.18"
"88","Steve Price","Alvernia","Fr.","P","7","41.0","11","10","2.20"
"89","Brendan Harding","Colby-Sawyer","Sr.","P","14","49.0","22","12","2.20"
"90","Greg Goldsmith","Chris. Newport","Jr.","P","10","69.3","20","17","2.21"
"91","Taylor Landry","WPI","Fr.","P","20","40.7","18","10","2.21"
"92","Jason Fryman","Adrian","Sr.","P","9","61.0","22","15","2.21"
"93","Austin Rupert","Concordia (TX)","Jr.","P","16","44.7","11","11","2.21"
"94","Cory Nelson","Shenandoah","Sr.","3B","9","69.0","26","17","2.22"
"","Alex Norman","Beloit","Sr.","P","9","69.0","24","17","2.22"
"96","Ben Oviatt","Waynesburg","Sr.","P","11","77.0","28","19","2.22"
"97","Tyler Erickson","Castleton","Sr.","P","11","89.0","30","22","2.22"
"98","Ryan Schwenn","Whittier","Sr.","P","13","96.7","32","24","2.23"
"99","Colin Butschek","Concordia (TX)","Jr.","P","12","44.3","14","11","2.23"
"100","Chad Rafferty","St. Joseph's (ME)","Jr.","P","9","51.3","14","13","2.28"
