"Rank","Name","Team","Cl","Pos","App","IP","R","ER","ERA"
"1","Nick Petree","Missouri St.","So.","P","11","77.3","13","6","0.70"
"2","Chris Rowley","Army","Jr.","P","11","73.7","11","9","1.10"
"3","Alex Cruz","Georgia Tech","So.","3B","21","46.3","10","6","1.17"
"4","Aaron Burke","Coastal Caro.","Jr.","P","25","50.3","14","7","1.25"
"5","Corey Knebel","Texas","So.","P","22","47.7","9","7","1.32"
"6","Preston Morrison","TCU","Fr.","P","14","67.3","12","10","1.34"
"7","Marco Gonzales","Gonzaga","So.","1B","8","60.0","11","9","1.35"
"8","Ricky Holden","UNC Wilmington","So.","P","18","46.0","7","7","1.37"
"9","Clay Murphy","Missouri St.","Jr.","P","10","59.0","20","9","1.37"
"10","Carlos Rodon","North Carolina St.","Fr.","P","12","82.3","20","13","1.42"
"11","Matthew Reckling","Rice","Sr.","P","11","68.7","12","11","1.44"
"12","Joe Popielarczyk","Massachusetts","Sr.","P","8","56.0","12","9","1.45"
"13","Kyle Kraus","Portland","Sr.","P","11","84.7","25","14","1.49"
"14","T.J. Oakes","Minnesota","Jr.","P","11","77.7","18","13","1.51"
"15","Austin Maddox","Florida","Jr.","INF","25","45.7","9","8","1.58"
"16","Andrew Pierce","Southern Miss.","Jr.","P","11","74.0","14","13","1.58"
"17","Joe Spring","Oral Roberts","Sr.","P","18","51.0","13","9","1.59"
"18","Tyler Rogers","Austin Peay","Jr.","P","26","44.7","10","8","1.61"
"19","Gera Sanchez","New Mexico","Sr.","P","16","49.7","11","9","1.63"
"20","Duke von Schamann","Texas Tech","So.","INF","11","79.0","23","15","1.71"
"21","David Berg","UCLA","Fr.","P","27","42.0","9","8","1.71"
"22","Tyler Johnson","Stony Brook","Sr.","P","8","52.3","11","10","1.72"
"23","Ryan Van Spronsen","Wagner","Sr.","P","10","83.0","18","16","1.73"
"24","Josh Turley","Baylor","Jr.","P","11","72.3","20","14","1.74"
"25","Daniel Minor","A&M-Corpus Christi","Jr.","P","12","81.3","23","16","1.77"
"26","Spenser Messmore","CSU Bakersfield","Sr.","P","17","60.7","27","12","1.78"
"27","Tyler Moore","North Florida","So.","P","15","55.0","21","11","1.80"
"28","Jimmy Reed","Maryland","Jr.","P","17","49.7","13","10","1.81"
"29","Andrew Heaney","Oklahoma St.","Jr.","P","11","84.0","18","17","1.82"
"30","Blake Mascarello","Purdue","Sr.","P","20","49.0","15","10","1.84"
"31","Tom Jameson","Nevada","Jr.","P","11","68.3","22","14","1.84"
"32","Joe Kurrasch","Penn St.","Jr.","P","12","63.0","16","13","1.86"
"33","Andrew Vasquez","UC Santa Barbara","Fr.","P","11","67.3","23","14","1.87"
"34","Alex Keudell","Oregon","Sr.","P","12","81.7","22","17","1.87"
"35","Cory Kent","Lehigh","Sr.","P","15","62.3","17","13","1.88"
"36","Matt Davenport","William & Mary","Sr.","P","13","86.0","26","18","1.88"
"37","Matt Fyffe","Eastern Ky.","Sr.","P","18","42.7","14","9","1.90"
"38","Travis Radke","Portland","Fr.","P","11","61.3","15","13","1.91"
"39","Jerry Keel","Cal St. Northridge","Fr.","P","12","60.7","17","13","1.93"
"40","Brandon Moore","Arkansas","So.","P","16","46.3","14","10","1.94"
"41","Trevor Williams","Arizona St.","So.","P","12","78.7","22","17","1.94"
"42","Travis Ballew","Texas St.","Jr.","P","12","78.3","24","17","1.95"
"43","Brandon McNitt","Stony Brook","So.","P","10","63.7","18","14","1.98"
"44","Jaron Long","Ohio St.","So.","P","12","77.3","26","17","1.98"
"45","Kent Emanuel","North Carolina","So.","P","11","72.7","23","16","1.98"
"46","Jordan Elliott","Delaware St.","Jr.","P","12","71.7","25","16","2.01"
"47","Jeff McKenzie","CSU Bakersfield","Jr.","OF","11","80.0","27","18","2.03"
"48","Cameron Gann","Stephen F. Austin","Fr.","P","13","53.3","19","12","2.03"
"49","Eddie Butler","Radford","Jr.","P","10","71.0","21","16","2.03"
"50","Brady Rodgers","Arizona St.","Jr.","P","11","83.7","25","19","2.04"
"51","Jason Moulton","Ohio","Sr.","P","11","65.0","23","15","2.08"
"52","Ryan Wilkinson","Toledo","So.","P","15","56.0","21","13","2.09"
