"Rank","Name","Team","Cl","Pos","G","AB","K","K Avg."
"1","Maxx Tissenbaum","Stony Brook","Jr.","INF","42","150","3","50.0"
"2","Kyle Nisson","Quinnipiac","Sr.","C","43","159","5","31.8"
"3","Angel Ibanez","Tex.-Pan American","Jr.","INF","35","143","5","28.6"
"4","Pat Cantwell","Stony Brook","Sr.","C","42","142","5","28.4"
"5","Kevin Plawecki","Purdue","Jr.","C","41","156","6","26.0"
"6","Nick Ratajczak","Louisville","Jr.","2B","44","174","7","24.9"
"7","Gabe Guerino","Quinnipiac","Sr.","INF","34","119","5","23.8"
"8","Kai Hatch","Utah Valley","Jr.","INF","41","162","7","23.1"
"9","Andrew Aplin","Arizona St.","Jr.","OF","43","178","8","22.3"
"10","Zac Mitchell","Belmont","Sr.","INF","44","153","7","21.9"
"","Cole Sturgeon","Louisville","So.","P","44","153","7","21.9"
"12","Alex Swim","Elon","Jr.","C","46","188","9","20.9"
"13","Anthony Gomez","Vanderbilt","Jr.","INF","44","176","9","19.6"
"","Eric Phillips","Ga. Southern","Sr.","INF","45","176","9","19.6"
"15","Raph Rhymes","LSU","Jr.","OF","41","156","8","19.5"
"16","Marquis Riley","N.C. A&T","Sr.","2B","43","168","9","18.7"
"17","Zach Shank","Marist","Jr.","SS","36","149","8","18.6"
"18","Ross Heffley","Western Caro.","Sr.","OF","44","179","10","17.9"
"19","Tim Colwell","North Dakota St.","So.","OF","43","178","10","17.8"
"20","Richie Rodriguez","Eastern Ky.","Sr.","SS","41","159","9","17.7"
"21","Joey Cujas","VCU","So.","INF","44","158","9","17.6"
"22","Michael Pritchard","Nebraska","So.","OF","43","157","9","17.4"
"23","Craig Manuel","Rice","Sr.","C","40","122","7","17.4"
"24","Bobby Ison","Charleston So.","Fr.","OF","43","174","10","17.4"
"25","Billy Urban","St. Bonaventure","Jr.","3B","36","138","8","17.3"
"26","Darian Johnson","Lamar","Jr.","OF","42","168","10","16.8"
"","Kyle Gallegos","San Jose St.","---","C","33","84","5","16.8"
"28","Dan Walsh","Miami (OH)","So.","INF","38","133","8","16.6"
"29","Tyler Patzalek","Maine","Jr.","C","33","116","7","16.6"
"30","Joe Corfman","Toledo","Sr.","INF","44","181","11","16.5"
"31","Josh Johnson","Bethune-Cookman","So.","OF","41","164","10","16.4"
"32","Derek Hagy","Tex.-Pan American","Jr.","INF","36","147","9","16.3"
"33","Johnny Morales","Virginia Tech","Sr.","INF","46","178","11","16.2"
"","Danny Poma","Hofstra","Sr.","OF","42","178","11","16.2"
"35","Richy Pedroza","Cal St. Fullerton","Jr.","INF","39","144","9","16.0"
"36","Brian Blasik","Dayton","Sr.","INF","45","191","12","15.9"
"37","Clayton Eslick","Gonzaga","Jr.","INF","40","143","9","15.9"
"","Brennan Metzger","Long Beach St.","Sr.","OF","41","143","9","15.9"
"39","Ryan Jones","Michigan St.","Jr.","INF","42","185","12","15.4"
"40","Jake Madsen","Ohio","Fr.","P","43","169","11","15.4"
"","Seth Mejias-Brean","Arizona","Jr.","INF","42","169","11","15.4"
"42","John Puttress","Northeastern","Jr.","C","38","138","9","15.3"
"43","Zach Osborne","Tennessee","Sr.","SS","44","153","10","15.3"
"44","Alex Azor","Navy","Sr.","OF","36","137","9","15.2"
"45","Tony Renda","California","Jr.","INF","41","167","11","15.2"
"","Tyler Sibley","Texas St.","Sr.","INF","42","167","11","15.2"
"47","Austin Nyman","Hofstra","Jr.","OF","39","136","9","15.1"
"48","Jeff McNeil","Long Beach St.","So.","INF","41","150","10","15.0"
"49","Jordan Hankins","Austin Peay","So.","2B","43","164","11","14.9"
"50","Ray Hernandez","Texas Southern","Sr.","INF","43","149","10","14.9"
"51","Stephen Piscotty","Stanford","Jr.","INF","39","163","11","14.8"
"52","Ino Patron","Long Beach St.","So.","OF","41","148","10","14.8"
"53","Steven Goldstein","Stony Brook","Fr.","P","35","103","7","14.7"
"54","David Miller","Purdue","Sr.","INF","40","146","10","14.6"
"55","Andre Mercurio","San Jose St.","Fr.","OF","37","130","9","14.4"
"56","Shane Brown","Charlotte","Sr.","OF","39","157","11","14.3"
"","Jeff Flax","La Salle","Sr.","INF","40","157","11","14.3"
"58","Chase Shelton","Charleston So.","Fr.","1B","43","142","10","14.2"
"59","Dan Klem","La Salle","Jr.","INF","43","156","11","14.2"
"60","Spencer Kieboom","Clemson","Jr.","C","41","141","10","14.1"
"61","Chadd Krist","California","Sr.","C","41","169","12","14.1"
"","Cameron Perkins","Purdue","Jr.","INF","40","169","12","14.1"
"63","Brett Vertigan","UC Santa Barbara","Jr.","OF","42","183","13","14.1"
"64","Brig Tison","George Mason","Sr.","INF","47","196","14","14.0"
"","Jake Matuszak","Central Conn. St.","Sr.","OF","44","168","12","14.0"
"","Matt Miller","Northeastern","Sr.","INF","38","140","10","14.0"
"67","Mike Albaladejo","Fla. Atlantic","Sr.","C","43","167","12","13.9"
"68","Ryan Brenner","Yale","Sr.","C","44","153","11","13.9"
"69","Greg Mahle","UC Santa Barbara","Fr.","P","40","139","10","13.9"
"70","Joe Wielbruda","North Florida","Jr.","2B","39","166","12","13.8"
"","Alex Angus","NYIT","Fr.","INF","29","83","6","13.8"
"72","J.J. Altobelli","Oregon","Jr.","INF","35","152","11","13.8"
"","Todd Hagen","Savannah St.","So.","INF","44","152","11","13.8"
"74","Matt Duffy","Long Beach St.","Jr.","INF","41","150","11","13.6"
"75","Matt Honchel","Miami (OH)","Fr.","OF","45","175","13","13.5"
"76","Deven Marrero","Arizona St.","Jr.","INF","41","161","12","13.4"
"77","Kash Kalkowski","Nebraska","Jr.","1B","36","134","10","13.4"
"78","Andrew Deeds","Morehead St.","Sr.","OF","42","173","13","13.3"
"79","Derek Gallello","Charlotte","Fr.","INF","38","133","10","13.3"
"80","Andrew Ciencin","North Carolina St.","Sr.","INF","41","146","11","13.3"
"81","Eric Smith","Stanford","Jr.","INF","35","132","10","13.2"
"82","Jared Hammer","Hofstra","Jr.","1B","42","158","12","13.2"
"83","Troy Black","Maine","So.","INF","32","105","8","13.1"
"84","Tyler Heineman","UCLA","Jr.","C","38","131","10","13.1"
