"Rank","Name","Team","Cl","Pos","G","AB","TB","SLG PCT"
"1","Trenton Moses","Southeast Mo. St.","Sr.","3B","45","162","135","0.833"
"2","Zach Stephens","Tennessee Tech","So.","1B","43","166","130","0.783"
"3","D.J. Peterson","New Mexico","So.","3B","45","183","140","0.765"
"4","Daniel Kassouf","Appalachian St.","Sr.","INF","41","167","126","0.754"
"5","Sean Bignall","UALR","Sr.","OF","43","167","125","0.749"
"6","Ryan McCauley","Niagara","Jr.","1B","40","160","116","0.725"
"7","Danny Poma","Hofstra","Sr.","OF","42","178","127","0.713"
"8","James Ramsey","Florida St.","Sr.","OF","43","149","105","0.705"
"9","Patrick Kivlehan","Rutgers","Sr.","3B","38","143","99","0.692"
"10","Goose Kallunki","Utah Valley","Sr.","1B","41","167","115","0.689"
"11","Austin Elkins","Dallas Baptist","Jr.","INF","39","150","103","0.687"
"12","Ben Waldrip","Jacksonville St.","Sr.","1B","36","146","100","0.685"
"13","Richie Rodriguez","Eastern Ky.","Sr.","SS","41","159","108","0.679"
"14","Peter O'Brien","Miami (FL)","Sr.","C","36","127","86","0.677"
"15","Chris Serritella","Southern Ill.","Jr.","1B","44","179","121","0.676"
"16","Nick Backlund","Mercer","So.","1B","47","182","122","0.670"
"17","William Carmona","Stony Brook","Jr.","INF","44","166","111","0.669"
"18","Robby Newman","Longwood","Sr.","OF","40","149","99","0.664"
"19","Zach Kirksey","Ole Miss","Sr.","OF","35","101","67","0.663"
"20","Mike Zunino","Florida","Jr.","C","44","167","110","0.659"
"21","Greg Zebrack","Penn","Jr.","OF","39","137","90","0.657"
"22","Derek Jones","Washington St.","Sr.","OF","39","148","96","0.649"
"23","Kris Bryant","San Diego","So.","3B","44","162","105","0.648"
"","Dylan Pratt","East Tenn. St.","Sr.","OF","43","162","105","0.648"
"25","Marty Gantt","Col. of Charleston","Sr.","OF","44","170","110","0.647"
"26","Chris Cowell","Richmond","Sr.","C","40","148","95","0.642"
"27","Chris Burke","Iona","Sr.","INF","43","164","105","0.640"
"28","Travis Jankowski","Stony Brook","Jr.","OF","44","164","104","0.634"
"29","Scott Burkett","Longwood","So.","C","38","133","84","0.632"
"","Tyler Tewell","Appalachian St.","Jr.","C","41","152","96","0.632"
"31","Kendall Logan","Jackson St.","Sr.","OF","42","157","99","0.631"
"32","Preston Beck","Texas-Arlington","Jr.","INF","40","146","92","0.630"
"33","Brian Klukowicz","UMBC","Sr.","OF","31","113","71","0.628"
"34","Raph Rhymes","LSU","Jr.","OF","41","156","98","0.628"
"35","Matthew Scruggs","East Tenn. St.","Sr.","OF","43","172","108","0.628"
"36","Andy Chriscaden","Kennesaw St.","Sr.","INF","48","185","116","0.627"
"37","Boomer Collins","Dallas Baptist","Jr.","OF","43","166","104","0.627"
"","Matt Snyder","Ole Miss","Sr.","INF","44","166","104","0.627"
"39","Brandon Miller","Samford","Sr.","OF","44","179","112","0.626"
"40","T.J. McManus","Eastern Ill.","Sr.","INF","37","136","85","0.625"
"41","Trent Miller","Middle Tenn.","So.","C","46","178","111","0.624"
"42","Jacob Morley","VMI","Sr.","OF","44","170","106","0.624"
"43","Matt Pollock","Buffalo","Jr.","OF","38","159","99","0.623"
"44","Brooks Klein","Nevada","Jr.","OF","43","152","94","0.618"
"45","Ty Young","Louisville","So.","INF","42","133","82","0.617"
"46","Mitch Haniger","Cal Poly","Jr.","OF","42","161","99","0.615"
"47","Ryan Deitrich","Penn","Jr.","P","39","140","86","0.614"
"48","Phil Ruzbarsky","Richmond","Sr.","OF","39","142","87","0.613"
"49","Trevor Edwards","UNC Greensboro","Jr.","C","42","165","101","0.612"
"50","Josh Scheffert","Nebraska","Jr.","OF","36","123","75","0.610"
"51","Mitchell Garver","New Mexico","Jr.","C","45","192","117","0.609"
"52","Rhys Hoskins","Sacramento St.","Fr.","INF","41","156","95","0.609"
"53","Bill Cullen","VCU","So.","OF","44","194","118","0.608"
"54","Jordan Steranka","Penn St.","Sr.","3B","44","178","108","0.607"
"55","Brandon Bayardi","UNLV","Jr.","OF","44","164","99","0.604"
"56","Eric Jagielo","Notre Dame","So.","OF","42","166","100","0.602"
"57","Jeff Keller","Dartmouth","So.","OF","31","108","65","0.602"
"58","Royce Bolinger","Gonzaga","Sr.","OF","41","173","104","0.601"
"59","Barrett Barnes","Texas Tech","Jr.","OF","47","175","105","0.600"
"60","Jake Kirkland","Campbell","Jr.","INF","45","172","103","0.599"
"61","Richie Shaffer","Clemson","Jr.","INF","45","167","100","0.599"
"62","Abe Ruiz","Arizona St.","Sr.","INF","43","152","91","0.599"
"63","Jared Schlehuber","Oral Roberts","Sr.","1B","44","159","95","0.597"
"64","Derek Gibson","Southeast Mo. St.","So.","INF","37","146","87","0.596"
"65","Mac Doyle","Wofford","Sr.","C","43","163","97","0.595"
"66","Jeremy Lucas","Indiana St.","Jr.","C","45","170","101","0.594"
"67","Chad Pinder","Virginia Tech","So.","INF","44","177","105","0.593"
"68","Daniel Palka","Georgia Tech","So.","1B","45","167","99","0.593"
"69","Mason Katz","LSU","Jr.","1B","44","157","93","0.592"
"70","Mike Garza","Georgetown","Jr.","INF","43","174","103","0.592"
"71","Kenton Parmley","Southeast Mo. St.","Sr.","INF","44","188","111","0.590"
"72","Tom Murphy","Buffalo","Jr.","C","39","156","92","0.590"
"73","Andrew Deeds","Morehead St.","Sr.","OF","42","173","102","0.590"
"74","Saxon Butler","Samford","Sr.","INF","45","180","106","0.589"
"75","Luke Maile","Kentucky","Jr.","C","45","167","98","0.587"
"76","Jensen Painter","Ohio","Sr.","OF","43","162","95","0.586"
"77","Ryan Kresky","Fairleigh Dickinson","Sr.","INF","43","145","85","0.586"
"","Alex Yarbrough","Ole Miss","Jr.","INF","43","174","102","0.586"
"79","Jeremy Rathjen","Rice","Jr.","OF","42","157","92","0.586"
"80","L.J. Mazzilli","Connecticut","Jr.","INF","43","178","104","0.584"
"81","Michael Conforto","Oregon St.","Fr.","OF","40","149","87","0.584"
"82","Jabari Henry","FIU","Jr.","OF","39","132","77","0.583"
"","Kevin Plawecki","Purdue","Jr.","C","41","156","91","0.583"
"","Robert Refsnyder","Arizona","Jr.","OF","42","168","98","0.583"
"85","Austin Cousino","Kentucky","Fr.","OF","44","187","109","0.583"
"86","Preston Tucker","Florida","Sr.","OF","45","175","102","0.583"
"87","Mike Martinez","FIU","Sr.","1B","40","146","85","0.582"
"88","Jacob Mayers","Richmond","Jr.","P","38","153","89","0.582"
"89","Tyler Marincov","North Florida","So.","OF","43","160","93","0.581"
"90","Sam Mulroy","Princeton","Sr.","C","39","148","86","0.581"
"91","Hunter Dozier","Stephen F. Austin","So.","INF","44","169","98","0.580"
"92","Joey DeMichele","Arizona St.","Jr.","INF","43","164","95","0.579"
"","Zack Helgeson","George Mason","Sr.","1B","47","164","95","0.579"
"94","Daniel Bowman","Coastal Caro.","Sr.","OF","43","171","99","0.579"
"95","Josh Ludy","Baylor","Sr.","C","43","159","92","0.579"
"96","Chase Griffin","Ga. Southern","Fr.","C","40","135","78","0.578"
"","Ryan Mathews","North Carolina St.","Sr.","OF","38","135","78","0.578"
"98","Max Murphy","Bradley","Fr.","OF","42","151","87","0.576"
