"Rank","Name","Team","Cl","Pos","G","AB","H","BA"
"1","Bryan Lippincott","Concordia-St. Paul","Sr.","3B","40","133","68","0.511"
"2","Nathan Minnich","Shepherd","Sr.","1B","46","136","68","0.500"
"3","A Jones","Winston-Salem","Fr.","-","50","173","81","0.468"
"4","German Reyes","Winston-Salem","Jr.","INF","47","173","78","0.451"
"5","Carlos Asuaje","Nova Southeastern","So.","INF","40","152","68","0.447"
"6","David Weber","Benedict","Jr.","1B","35","101","45","0.446"
"7","Daniel Duran","Cal St. L.A.","Sr.","INF","42","158","69","0.437"
"8","Geno Escalante","Mount Olive","Jr.","C","48","195","84","0.431"
"9","Tyler Adams","Upper Iowa","So.","OF","42","171","73","0.427"
"10","Derek Mendoza","Grand Canyon","Jr.","INF","46","164","70","0.427"
"11","Josh McMahon","N.M. Highlands","Jr.","INF","43","129","55","0.426"
"12","Michael Pomeroy","Grand Canyon","Jr.","OF","48","181","77","0.425"
"13","Jordan Wlodarczyk","West Chester","Jr.","C","38","123","52","0.423"
"14","Christian Glisson","Valdosta St.","Sr.","C","42","162","68","0.420"
"","Paul Winterbottom","Stillman","Fr.","INF","43","162","68","0.420"
"16","Champ Stuart","Brevard","So.","OF","42","148","62","0.419"
"17","Billy Smith","West Virginia St.","Jr.","OF","45","170","71","0.418"
"18","Jarius Brown","Stillman","Sr.","OF","44","163","68","0.417"
"19","Derek Fulmer","North Greenville","Sr.","P","53","204","85","0.417"
"","Jared Wright","Central Okla.","Jr.","OF","40","108","45","0.417"
"21","Pat Curtin","Tiffin","Sr.","C","43","130","54","0.415"
"22","Anthony Boza","Lynn","Sr.","1B","43","164","68","0.415"
"23","Jacob Rogers","Mount Olive","Sr.","3B","48","169","70","0.414"
"24","Andre Rodriguez","Lincoln Memorial","Jr.","INF","46","145","60","0.414"
"25","Ryan Abernathy","Northwest Mo. St.","So.","OF","39","162","67","0.414"
"","Jonathan Finnegan","Arkansas Tech","Jr.","INF","48","162","67","0.414"
"27","Coty Pate","Mars Hill","Sr.","INF","42","167","69","0.413"
"28","Demetrius Morris","Lincoln (PA)","So.","INF","27","92","38","0.413"
"29","Joe Harbach","Wilmington (DE)","Sr.","OF","41","158","65","0.411"
"30","Ben Cox","Central Mo.","Jr.","INF","35","90","37","0.411"
"31","John Calhoun","Washburn","Sr.","INF","39","149","61","0.409"
"32","Blake Miller","Western Ore.","Jr.","SS","39","142","58","0.408"
"","Joe Wendle","West Chester","Sr.","2B","41","142","58","0.408"
"34","Cody Coffman","Tusculum","Sr.","INF","54","201","82","0.408"
"35","Ethan Satterfield","Catawba","So.","OF","52","189","77","0.407"
"36","Justin Henderson","West Tex. A&M","Jr.","OF","43","140","57","0.407"
"37","Eli Davis","Cal St. Stanislaus","Sr.","OF","46","182","74","0.407"
"","Mike Eckhart","Minn. St. Mankato","Jr.","OF","32","91","37","0.407"
"39","Aj Alexander","N.M. Highlands","Sr.","OF","36","128","52","0.406"
"","Kevin Blue","Central Okla.","Sr.","INF","48","192","78","0.406"
"","Sean Collette","Alderson-Broaddus","Jr.","OF","45","160","65","0.406"
"42","Mike Nadratowski","Grand Valley St.","Fr.","OF","42","138","56","0.406"
"43","Travis Murrary","Palm Beach Atl.","Sr.","C","40","143","58","0.406"
"44","Ryan Busboom","Fort Hays St.","Jr.","INF","44","168","68","0.405"
"45","Zach Mathieu","Franklin Pierce","So.","1B","45","183","74","0.404"
"46","Weston Dodson","Elizabeth City St.","So.","OF","29","94","38","0.404"
"","null Joey Belviso","Mars Hill","Fr.","-","48","188","76","0.404"
"48","P Martin","Winston-Salem","Fr.","-","50","193","78","0.404"
"49","Brayan Cacique","Lake Erie","Sr.","OF","43","124","50","0.403"
"","Bobby Egeberg","Colorado Mines","Jr.","OF","36","124","50","0.403"
"51","Nicholas Sell","Seton Hill","Fr.","INF","42","134","54","0.403"
"52","Keith Morrisroe","Concord","Sr.","SS","50","149","60","0.403"
"53","Chase Lacomb","Colorado St.-Pueblo","Jr.","2B","46","154","62","0.403"
"54","Dustin Spruill","Elizabeth City St.","Fr.","C","29","107","43","0.402"
"55","Eric McGlauflin","Northwest Mo. St.","So.","3B","41","142","57","0.401"
"56","Mike Palkovitz","Pitt.-Johnstown","Fr.","P","43","140","56","0.400"
"57","Dustin Fackrell","Colorado Mesa","Sr.","1B","46","173","69","0.399"
"58","Eric Dawson","Emporia St.","Jr.","INF","41","158","63","0.399"
