"Rank","Name","Team","Cl","Pos","App","IP","W","L","PCT"
"1","Chris Rowley","Army","Jr.","P","11","73.7","10","0","1.000"
"2","Trent Blank","Baylor","Sr.","P","13","70.3","9","0","1.000"
"","Lance Day","Texas-Arlington","Sr.","P","12","84.0","9","1","0.900"
"","Quintavious Drains","Jackson St.","Sr.","P","15","90.3","9","3","0.750"
"5","Ryan Arrowood","Appalachian St.","Sr.","P","11","65.7","8","0","1.000"
"","Mike Compton","Florida St.","Fr.","P","11","57.7","8","0","1.000"
"","Jharel Cotton","East Carolina","Jr.","P","11","61.7","8","0","1.000"
"","Carlos Rodon","North Carolina St.","Fr.","P","12","82.3","8","0","1.000"
"","Chris Stratton","Mississippi St.","Jr.","P","11","75.3","8","0","1.000"
"","Luke Anderson","North Dakota St.","Sr.","P","11","75.0","8","1","0.889"
"","Kurt Heyer","Arizona","Jr.","P","11","85.7","8","1","0.889"
"","Josh Martin","Samford","Sr.","P","11","70.0","8","1","0.889"
"","Blake Mascarello","Purdue","Sr.","P","20","49.0","8","1","0.889"
"","Jeff Thompson","Louisville","So.","P","11","62.3","8","1","0.889"
"","Josh Carr","Kennesaw St.","Sr.","P","11","74.3","8","2","0.800"
"","Jordan Elliott","Delaware St.","Jr.","P","12","71.7","8","2","0.800"
"","Ryan Garton","Fla. Atlantic","Sr.","P","11","68.7","8","2","0.800"
"","Nick Petree","Missouri St.","So.","P","11","77.3","8","2","0.800"
"","Christian Powell","Col. of Charleston","Jr.","P","12","68.3","8","2","0.800"
"","Desmond Russell","Jackson St.","So.","INF","14","90.7","8","2","0.800"
"","Trevor Williams","Arizona St.","So.","P","12","78.7","8","2","0.800"
"","Travis Ballew","Texas St.","Jr.","P","12","78.3","8","3","0.727"
"","Dylan Clark","Elon","Jr.","P","12","70.7","8","3","0.727"
"","Chance Cleveland","UALR","Jr.","P","11","77.0","8","3","0.727"
"","Jeremy Gendlek","Utah Valley","Sr.","P","12","67.0","8","3","0.727"
"","Jordan John","Oklahoma","So.","P","20","80.0","8","4","0.667"
"27","Rayan Gonzalez","Bethune-Cookman","Sr.","P","11","68.0","7","0","1.000"
"","Joe Haase","Purdue","Sr.","P","11","66.7","7","0","1.000"
"","Michael Ormseth","New Mexico St.","Jr.","P","12","55.0","7","0","1.000"
"","Matthew Reckling","Rice","Sr.","P","11","68.7","7","0","1.000"
"","Josh Turley","Baylor","Jr.","P","11","72.3","7","0","1.000"
"","Kyle Anderson","Cal Poly","Sr.","P","11","71.7","7","1","0.875"
"","Charles Basford","Samford","Sr.","P","11","72.7","7","1","0.875"
"","Ryan Billo","Evansville","So.","P","10","55.0","7","1","0.875"
"","Tyler Costello","Radford","Fr.","P","10","66.0","7","1","0.875"
"","Joey DeNato","Indiana","So.","P","11","71.0","7","1","0.875"
"","Brian Foster","Southern U.","Sr.","P","10","60.7","7","1","0.875"
"","Kevin Gausman","LSU","So.","P","11","75.0","7","1","0.875"
"","Shane Halley","Virginia","Sr.","P","19","43.3","7","1","0.875"
"","Ben Lively","UCF","So.","P","14","53.0","7","1","0.875"
"","Jordan Marker","Wright St.","Sr.","P","21","38.3","7","1","0.875"
"","R.C. Orlan","North Carolina","Jr.","P","27","39.0","7","1","0.875"
"","Eddy Pidermann","FIU","So.","P","20","49.0","7","1","0.875"
"","Paul Sewald","San Diego","Sr.","P","11","64.3","7","1","0.875"
"","Brandon Smith","Old Dominion","Jr.","P","20","41.0","7","1","0.875"
"","Derrick Stultz","South Fla.","Sr.","P","12","63.0","7","1","0.875"
"","Ryan Torgerson","Indiana St.","Jr.","P","11","65.3","7","1","0.875"
"","Austin Voth","Washington","So.","P","15","54.0","7","1","0.875"
"","Grant Watson","UCLA","Fr.","P","23","59.0","7","1","0.875"
"","Martin Agosta","St. Mary's (CA)","Jr.","P","11","81.0","7","2","0.778"
"","Tyler Herb","Coastal Caro.","So.","P","11","66.7","7","2","0.778"
"","Dylan Hills","Southeastern La.","So.","P","18","30.7","7","2","0.778"
"","Dimitri Kourtis","Mercer","Fr.","P","19","58.0","7","2","0.778"
"","Joey Lovecchio","South Fla.","Jr.","P","11","65.3","7","2","0.778"
"","Tyler McSwain","UNC Wilmington","Sr.","P","12","73.3","7","2","0.778"
"","Daniel Minor","A&M-Corpus Christi","Jr.","P","12","81.3","7","2","0.778"
"","John Niggli","Liberty","Sr.","P","12","78.7","7","2","0.778"
"","T.J. Oakes","Minnesota","Jr.","P","11","77.7","7","2","0.778"
"","Matt Pegler","Col. of Charleston","Jr.","P","11","63.7","7","2","0.778"
