"Rank","Name","Team","Cl","Pos","G","HBP"
"1","Scott Davis","Delaware St.","Sr.","INF","44","32"
"2","Juluis Green","Savannah St.","Sr.","INF","41","25"
"","Michael Sterling","Southern Miss.","Fr.","INF","42","25"
"4","Zac Mitchell","Belmont","Sr.","INF","44","24"
"","Ronnie Richardson","UCF","Jr.","OF","44","24"
"6","Chris Cook","George Mason","Jr.","INF","46","23"
"7","Jimmy Brenneman","Campbell","Sr.","OF","45","22"
"8","Ryan Lindemuth","William & Mary","So.","INF","45","21"
"","Nathan Orf","Baylor","Jr.","C","45","21"
"","Nick Ratajczak","Louisville","Jr.","2B","44","21"
"11","Sean Bignall","UALR","Sr.","OF","43","20"
"12","Nick Camastro","Manhattan","Jr.","INF","42","19"
"13","Landon Curry","Indiana St.","Fr.","OF","43","18"
"","Judd Edwards","La.-Monroe","Jr.","INF","44","18"
"","Aaron Payne","Oregon","So.","INF","43","18"
"","Austin Wulf","Tennessee Tech","Jr.","OF","43","18"
"","Zac Zellers","Kentucky","Jr.","OF","40","18"
"18","James Alfonso","Hartford","So.","C","44","17"
"","Brendan Butler","Towson","Fr.","OF","40","17"
"","Pat Cantwell","Stony Brook","Sr.","C","42","17"
"","Bryan Conway","Richmond","Sr.","C","40","17"
"","Matt Igara","Western Ill.","Sr.","OF","42","17"
"23","Garrett Brown","Central Ark.","Jr.","SS","37","16"
"","Marlon Calbi","Villanova","Sr.","SS","43","16"
"","Taylor Dugas","Alabama","Sr.","OF","45","16"
"","Andrew Green","East Tenn. St.","Jr.","OF","43","16"
"","Michael Lowe","Mississippi Val.","Sr.","OF","44","16"
"","Eddie Sorondo","Delaware St.","So.","C","39","16"
"29","Jann Butler","Alcorn St.","Sr.","OF","41","15"
"","Austin Byler","Nevada","Fr.","INF","40","15"
"","Kyle Convissar","Maryland","So.","INF","46","15"
"","Darren Farmer","Grambling","Jr.","C","41","15"
"","Chad Hinshaw","Illinois St.","Jr.","OF","38","15"
"","Kyle Hunt","Nevada","Fr.","INF","40","15"
"","Tyler Jones","LIU Brooklyn","Sr.","C","47","15"
"","Adam Kammler","La Salle","Sr.","C","35","15"
"","Ian Leisenheimer","Maine","Sr.","DH","33","15"
"","Mike Levine","Saint Louis","Jr.","2B","42","15"
"","Jake Mahon","Evansville","So.","C","44","15"
"","Jason Monda","Washington St.","So.","OF","40","15"
"","Trenton Moses","Southeast Mo. St.","Sr.","3B","45","15"
"","Kevin Nutter","William & Mary","Jr.","INF","45","15"
"","Sean Samsa","Ark.-Pine Bluff","Jr.","INF","43","15"
"","Jon Testani","Connecticut","Fr.","INF","31","15"
"","Ty Young","Louisville","So.","INF","42","15"
"46","Bryan Aanderud","Liberty","Jr.","INF","48","14"
"","Chris Burk","UALR","Jr.","INF","38","14"
"","Tyler Gaffney","Stanford","Jr.","OF","37","14"
"","Eric Helmrich","Marist","Sr.","DH","30","14"
"","Brennan Moore","Texas Tech","Jr.","OF","46","14"
"","Paul Nice","VCU","Sr.","INF","44","14"
"","Jordan Stampler","S.C. Upstate","Jr.","INF","41","14"
"","Cal Towey","Baylor","Jr.","OF","46","14"
"","Glen Walker","Jackson St.","Sr.","INF","41","14"
"55","Greg Brody","Belmont","So.","INF","41","13"
"","Cody DeMera","Ark.-Pine Bluff","Jr.","OF","43","13"
"","Anthony Defabio","Pittsburgh","Sr.","C","41","13"
"","David Del Grande","Sacramento St.","So.","OF","42","13"
"","Luis Diaz","N.C. Central","Jr.","OF","44","13"
"","Brandon Elliott","Murray St.","Jr.","INF","39","13"
"","Jordan Fox","UC Irvine","Sr.","INF","40","13"
"","Tyler Hannah","Troy","Sr.","INF","44","13"
"","Ray Hernandez","Texas Southern","Sr.","INF","43","13"
"","Joe Hudson","Notre Dame","Jr.","C","41","13"
"","Alex Jensen","Army","Fr.","INF","47","13"
"","Kale Kiser","Nebraska","Sr.","OF","41","13"
"","Justin Maffei","San Francisco","Jr.","OF","47","13"
"","Danny Marcuzzo","Western Ill.","Sr.","INF","34","13"
"","Wilmy Marrero","Southern U.","Sr.","INF","42","13"
"","Stephen McGee","Florida St.","Jr.","C","43","13"
"","Kevin McKague","Army","Sr.","1B","46","13"
"","Jeff Miera","Indiana St.","Sr.","INF","26","13"
"","David Olson","Campbell","Jr.","P","43","13"
"","Jordan Owen","UT Martin","Sr.","OF","43","13"
"","Matt Pare'","Boston College","Jr.","C","42","13"
"","Manny Rodriguez","Alabama St.","Fr.","C","43","13"
"","Bradley Shaban","James Madison","Jr.","INF","44","13"
"","Andy Smith","Liberty","Jr.","OF","41","13"
"","Steve Tkowski","Holy Cross","Sr.","C","41","13"
"","Tanner Vavra","Valparaiso","Jr.","INF","42","13"
"","Rodney Warren","Alcorn St.","Sr.","INF","42","13"
"","Sean Wilson","High Point","Jr.","OF","38","13"
"","Greg Zebrack","Penn","Jr.","OF","39","13"
"84","Brett Balkan","Cal St. Northridge","Jr.","INF","29","12"
"","Ronnie Bernick","Canisius","So.","INF","37","12"
"","Ryan Brenner","Yale","Sr.","C","44","12"
"","Darien Campbell","Savannah St.","Jr.","2B","43","12"
"","Cameron Cecil","Delaware St.","So.","C","43","12"
"","Kasey Coffman","Arizona St.","So.","OF","37","12"
"","Garrett Cooper","Auburn","Jr.","INF","43","12"
"","Zach Costello","Radford","Sr.","OF","42","12"
"","Jon Davis","Kansas St.","Jr.","INF","30","12"
"","Drew DeKerlegand","Citadel","So.","INF","43","12"
"","Mark Elwell","Xavier","Jr.","OF","42","12"
"","Dillon Everett","Missouri","So.","INF","41","12"
"","Patrick Gamblin","Winthrop","Jr.","OF","42","12"
"","Jeff Gardner","Louisville","So.","C","44","12"
"","Ivan Hartle","Western Ky.","Sr.","INF","33","12"
"","Zack Helgeson","George Mason","Sr.","1B","47","12"
"","Ben Hernandez","Southeastern La.","Jr.","INF","45","12"
"","Patrick Kivlehan","Rutgers","Sr.","3B","38","12"
"","Ben Magsig","Eastern Mich.","Sr.","INF","41","12"
"","Tim Maitland","Texas","Sr.","OF","34","12"
"","Alex Mendez","South Fla.","Jr.","OF","44","12"
"","Brennan Metzger","Long Beach St.","Sr.","OF","41","12"
"","Einar Muniz","Alabama St.","Fr.","INF","48","12"
"","James Newsome","Md.-East. Shore","Sr.","INF","40","12"
"","Jordan Patterson","South Ala.","So.","OF","44","12"
"","Bryce Redeker","Miami (OH)","Sr.","OF","45","12"
"","Griffin Richeson","Butler","Sr.","INF","40","12"
"","Lance Roenicke","UC Santa Barbara","Sr.","OF","41","12"
"","Brian Rowry","Southern U.","So.","OF","40","12"
"","Teddy Trymbiski","Siena","Sr.","2B","39","12"
