"Rank","Name","Team","Cl","Pos","G","R"
"1","Jacob Rogers","Mount Olive","Sr.","3B","48","80"
"2","Antonio Callaway","Mount Olive","Sr.","OF","48","66"
"3","Alexi Colon","Tusculum","Sr.","OF","54","65"
"4","Geno Escalante","Mount Olive","Jr.","C","48","63"
"","Nathan Minnich","Shepherd","Sr.","1B","46","63"
"","Cade Stallings","Tusculum","Jr.","INF","54","63"
"","Zach Taylor","Armstrong","Jr.","OF","48","63"
"8","Derek Fulmer","North Greenville","Sr.","P","53","62"
"","Jacob Karr","Wingate","Sr.","INF","55","62"
"10","Josh Haley","UNC Pembroke","Sr.","OF","49","61"
"11","Casey Maloney","Armstrong","Jr.","OF","48","60"
"","Thomas Spitz","Wingate","Fr.","OF","55","60"
"13","Mike Mercurio","Mount Olive","Jr.","SS","48","59"
"14","Casey Allison","Wingate","Sr.","OF","55","58"
"15","Dodson McPherson","Wingate","Sr.","OF","55","57"
"","Robbie Zinsmeister","Indiana (PA)","Jr.","SS","49","57"
"17","Lukas Graves","Tusculum","Sr.","OF","53","56"
"","Keith Morrisroe","Concord","Sr.","SS","50","56"
"","Billy Richard","St. Mary's (TX)","Jr.","OF","49","56"
"","Jonathan Richey","Paine","So.","OF","49","56"
"21","Phil Imholte","St. Cloud St.","Jr.","OF","44","55"
"22","Dion Bryant","Stillman","Sr.","OF","44","54"
"","Sam Kidd","Delta St.","Jr.","OF","46","54"
"","Bradon Reitano","Mount Olive","So.","SS","47","54"
"","Austin Rycroft","Central Okla.","Sr.","OF","48","54"
"","Brian Yeung","Wingate","Jr.","INF","55","54"
"27","Tucker Brown","Central Okla.","Sr.","INF","47","53"
"","Tyler Christophel","Southwest Baptist","Sr.","OF","44","53"
"","Aaron Guinn","Tusculum","Sr.","1B","54","53"
"","Lee Neumann","Angelo St.","Jr.","OF","50","53"
"31","Stephen Carmon","S.C. Aiken","Sr.","SS","49","52"
"","P Martin","Winston-Salem","Fr.","-","50","52"
"","J.D. Pullen","Columbus St.","Jr.","OF","50","52"
"","Frank Salerno","St. Thomas Aquinas","Jr.","INF","45","52"
"","Nate Van Roekel","Winona St.","Sr.","3B","43","52"
"36","Jarius Brown","Stillman","Sr.","OF","44","51"
"","William Gorman","Paine","Jr.","INF","47","51"
"","Matt Henriksen","Tusculum","Jr.","INF","53","51"
"","Zach Mathieu","Franklin Pierce","So.","1B","45","51"
"","German Reyes","Winston-Salem","Jr.","INF","47","51"
"","Michael Schmidt","North Ala.","Sr.","INF","50","51"
"","Joe Wendle","West Chester","Sr.","2B","41","51"
"43","Jermaine Berry","Mount Olive","Jr.","3B","42","50"
"","Cody Coffman","Tusculum","Sr.","INF","54","50"
"","Tyler Eager","Abilene Christian","Fr.","1B","50","50"
"","Shane Latshaw","Mercyhurst","Sr.","OF","48","50"
"47","Luke Acosta","Mo. Southern St.","Sr.","INF","46","49"
"","Markus Duckworth","North Greenville","Sr.","OF","51","49"
"","Nick Erminio","Seton Hill","Sr.","INF","49","49"
"","Tanner Funk","Georgia College","Sr.","SS","48","49"
"","Nash Smith","Fort Hays St.","Sr.","OF","43","49"
"","Landon Sullins","Arkansas Tech","Sr.","C","49","49"
"53","Chris Dula","Catawba","So.","3B","44","48"
"","Jonathan Finnegan","Arkansas Tech","Jr.","INF","48","48"
"","Curt Fuqua","Lincoln Memorial","Jr.","INF","49","48"
"","Kyle Koeneman","Carson-Newman","Sr.","1B","49","48"
"","Cody Strang","Winona St.","Jr.","OF","43","48"
"","William VanWinkle","Paine","Jr.","1B","46","48"
"","Drew Walker","Armstrong","Sr.","INF","48","48"
"60","Vincente Andrews","Montevallo","Jr.","OF","46","47"
"","Madison Beaird","Arkansas Tech","Jr.","OF","49","47"
"","Sean Collette","Alderson-Broaddus","Jr.","OF","45","47"
"","Cory Flickinger","West Va. Wesleyan","Sr.","OF","43","47"
"","Will Fulmer","Montevallo","So.","INF","49","47"
"","Navarro Hall","Columbus St.","Sr.","OF","48","47"
"","Matt Jacobs","Mass.-Lowell","Sr.","OF","43","47"
"","Michael Lott","Shepherd","So.","OF","46","47"
"","Blake Miller","Western Ore.","Jr.","SS","39","47"
"","Lucas Skjefte","Minn. St. Mankato","Jr.","INF","39","47"
"","Jake Warner","Pitt.-Johnstown","So.","C","48","47"
"71","Ryan Bostian","Catawba","Sr.","OF","50","46"
"","Braden Box","Colorado Mesa","Jr.","INF","43","46"
"","Trey Buck","Southern Ark.","Sr.","SS","46","46"
"","Ryan Busboom","Fort Hays St.","Jr.","INF","44","46"
"","Chad Davidson","Northeastern St.","Jr.","SS","48","46"
"","Blake Gentry","Southeastern Okla.","Sr.","OF","46","46"
"","Alex Haag","Regis (CO)","Sr.","OF","43","46"
"","null Joey Belviso","Mars Hill","Fr.","-","48","46"
"","Michael Jordan","Benedict","Sr.","INF","36","46"
"","Chris Newcomb","Saint Leo","So.","OF","40","46"
"","Tarron Robinson","Brevard","Fr.","C","49","46"
"","James Roche","Franklin Pierce","Sr.","OF","45","46"
"","Cameron Scott","Columbus St.","Jr.","2B","50","46"
"","Billy Smith","West Virginia St.","Jr.","OF","45","46"
"85","Carlos Asuaje","Nova Southeastern","So.","INF","40","45"
"","Danny Barnes","Tuskegee","Fr.","OF","41","45"
"","Jackson Boyd","Seton Hill","Jr.","OF","46","45"
"","Greg Hamrock","East Central","Jr.","INF","47","45"
"","Aj Nunziato","Lander","Sr.","INF","48","45"
"","Eric Ringblom","Neb.-Kearney","Jr.","1B","43","45"
"","Ethan Satterfield","Catawba","So.","OF","52","45"
"","Ryan Siegel","Mercyhurst","Fr.","OF","44","45"
"","Ryan Small","Tarleton St.","Jr.","INF","44","45"
"","William Smalls","Albany St. (GA)","Sr.","SS","38","45"
"","Darryl Wilson","Paine","Jr.","OF","51","45"
"","Brian Wuest","Neb.-Kearney","Jr.","1B","44","45"
"97","Ryan Abernathy","Northwest Mo. St.","So.","OF","39","44"
"","Nick Aranas","S.C. Aiken","Sr.","3B","48","44"
"","Brendan Costantino","Seton Hill","So.","INF","49","44"
"","Josh Doyle","North Ala.","Jr.","OF","50","44"
"","Jordan Easom","West Tex. A&M","Sr.","OF","45","44"
"","Keegan Ghidotti","Ouachita Baptist","So.","P","46","44"
"","Joseph Horsely","Lincoln Memorial","Sr.","INF","49","44"
"","Garrett Kiser","West Virginia St.","Jr.","1B","45","44"
"","Taye Larry","West Fla.","Sr.","OF","43","44"
"","Quaid McKinnon","Angelo St.","Jr.","INF","50","44"
"","Alex Miller","Neb.-Kearney","Jr.","OF","43","44"
"","Michael Pomeroy","Grand Canyon","Jr.","OF","48","44"
"","Jeff Popick","Colorado Mesa","Sr.","OF","43","44"
"","Mike Raimo","West Chester","So.","OF","41","44"
"","Aaron Scoville","Shepherd","So.","INF","46","44"
"","Chris Vazquez","Wingate","Sr.","SS","54","44"
"","Paul Winterbottom","Stillman","Fr.","INF","43","44"
"114","Joey Benke","St. Cloud St.","Sr.","INF","42","43"
"","Noah Blackhurst","West Virginia St.","So.","INF","44","43"
"","Bret Blevins","Concord","So.","INF","48","43"
"","Kevin Blue","Central Okla.","Sr.","INF","48","43"
"","Brett Botsford","Le Moyne","Sr.","OF","44","43"
"","Jos Catalano","Chowan","Fr.","-","48","43"
"","Patrick Grady","Lander","So.","OF","47","43"
"","Ryan Greer","Angelo St.","Jr.","OF","50","43"
"","Sheldon Howell","Fort Hays St.","Sr.","INF","44","43"
"","Robert Kelly","St. Anselm","Jr.","1B","48","43"
"","Michael Leviseur","Seton Hill","Sr.","C","48","43"
"","Bryan Lippincott","Concordia-St. Paul","Sr.","3B","40","43"
"","Tyler Migl","St. Mary's (TX)","Sr.","OF","49","43"
"","Areo Regoli","Nova Southeastern","Sr.","OF","40","43"
"","Champ Stuart","Brevard","So.","OF","42","43"
"","Danny Susdorf","UC San Diego","Jr.","OF","44","43"
"","Will Tankersley","S.C. Aiken","Fr.","OF","45","43"
"131","Chase Corn","Erskine","So.","OF","52","42"
"","Eli Davis","Cal St. Stanislaus","Sr.","OF","46","42"
"","Patrick Dockendorf","Minn. St. Mankato","Sr.","INF","40","42"
"","Jordan Erisman","North Ga.","Sr.","INF","48","42"
"","Garrett Furr","Catawba","Jr.","DH","53","42"
"","Blake Gibbs","Cal St. Chico","Jr.","OF","46","42"
"","Christian Glisson","Valdosta St.","Sr.","C","42","42"
"","J.T. Greenhood","Colorado St.-Pueblo","Sr.","OF","44","42"
"","Dan Hennigan","Franklin Pierce","Sr.","2B","45","42"
"","Chase Lacomb","Colorado St.-Pueblo","Jr.","2B","46","42"
"","Erik Lunde","Lander","So.","INF","44","42"
"","Taylor Lyons","Cameron","Sr.","OF","49","42"
"","Ruben Marrero","Newman","Jr.","C","45","42"
"","Josh McMahon","N.M. Highlands","Jr.","INF","43","42"
"","Zac Menendez","East Stroudsburg","Jr.","OF","45","42"
"","Josh Miller","S.C. Aiken","Jr.","C","46","42"
"","Keegan Morrow","Central Okla.","Sr.","OF","47","42"
"","Parker Norris","Ouachita Baptist","Fr.","-","50","42"
"","Heath Peterson","Montevallo","Sr.","1B","49","42"
"","Mitch Roy","Alderson-Broaddus","Sr.","OF","45","42"
"","Luis Saenz","N.M. Highlands","Sr.","OF","43","42"
"","Mike Santora","Cal Poly Pomona","Sr.","INF","48","42"
"","Nicholas Sell","Seton Hill","Fr.","INF","42","42"
"","Doug Snover","Angelo St.","Sr.","2B","50","42"
"","Kevin Spatkowski","Southern N.H.","Sr.","C","42","42"
"","Drew Willingham","Erskine","Jr.","1B","52","42"
"","Landon Wilson","Stillman","Jr.","OF","39","42"
"158","David Allday","Southern Ark.","Sr.","1B","46","41"
"","Nicholas Barbalato","St. Thomas Aquinas","Sr.","OF","45","41"
"","Matt Barr","Davis & Elkins","Jr.","INF","47","41"
"","David Ray Bryan","Alderson-Broaddus","So.","OF","45","41"
