"Rank","Name","Team","Cl","Pos","G","AB","TB","SLG PCT"
"1","Michael Katz","William & Mary","Jr.","INF","22","98","84","0.857"
"2","Nic Wilson","Georgia St.","Sr.","INF","24","93","79","0.849"
"3","Kristian Gayday","IPFW","Sr.","INF","20","68","56","0.824"
"","Nick Vilter","UC Riverside","Jr.","3B","20","68","56","0.824"
"5","A.J. Reed","Kentucky","Jr.","P","24","82","65","0.793"
"6","Aaron Mizell","Ga. Southern","Jr.","OF","23","93","69","0.742"
"7","Corey Furman","Bucknell","Sr.","OF","15","57","42","0.737"
"8","Ryan Karl","Cornell","Jr.","OF","14","53","39","0.736"
"9","DJ Miller","Delaware St.","Sr.","INF","17","57","41","0.719"
"10","Daniel Miles","Tennessee Tech","Sr.","3B","24","99","71","0.717"
"11","Drew Ferguson","Belmont","Jr.","OF","23","83","59","0.711"
"12","Ryan Seiz","Liberty","Jr.","INF","25","94","66","0.702"
"13","Micheal Thomas","Kentucky","Sr.","C","22","77","54","0.701"
"14","Bradley Zimmer","San Francisco","Jr.","OF","21","89","62","0.697"
"15","Brandon Thomasson","Tennessee Tech","Sr.","OF","23","95","66","0.695"
"16","Josiah Burney","Old Dominion","Sr.","INF","22","62","43","0.694"
"17","Tyler France","San Diego St.","So.","INF","23","86","59","0.686"
"18","Aramis Garcia","FIU","Jr.","C","24","89","61","0.685"
"19","Aaron Nardone","Delaware St.","Sr.","OF","19","57","39","0.684"
"20","Caleb Adams","La.-Lafayette","Jr.","OF","23","68","46","0.676"
"21","Damek Tomscha","Auburn","Sr.","INF","24","71","48","0.676"
"22","David Hall","Troy","Jr.","OF","22","77","52","0.675"
"23","Jo-El Bennett","Troy","Jr.","OF","21","60","40","0.667"
"","Sam Koenig","Milwaukee","Sr.","3B","10","33","22","0.667"
"25","Dylan Bosheers","Tennessee Tech","Jr.","SS","24","97","64","0.660"
"","Brett Sullivan","Pacific","So.","SS","26","97","64","0.660"
"27","Nick Thompson","William & Mary","Jr.","INF","22","85","56","0.659"
"28","Adam Martin","Western Caro.","Sr.","C","21","76","50","0.658"
"29","Gary Russo","Miami (OH)","So.","OF","18","70","46","0.657"
"30","Casey Gillaspie","Wichita St.","Jr.","INF","22","84","55","0.655"
"31","Matt Tenaglia","James Madison","Sr.","1B","21","78","51","0.654"
"32","Joey Epperson","UC Santa Barbara","Sr.","OF","20","75","49","0.653"
"33","Kyle Nowlin","Eastern Ky.","So.","OF","24","98","64","0.653"
"34","Seth Harrison","La.-Lafayette","Sr.","OF","24","92","60","0.652"
"35","Mac James","Oklahoma","Jr.","C","24","88","57","0.648"
"","DJ Stewart","Florida St.","So.","OF","23","88","57","0.648"
"37","Nathan Becker","Davidson","Jr.","OF","17","68","44","0.647"
"38","Jeff Gardner","Louisville","Sr.","OF","22","79","51","0.646"
"39","Ty McFarland","James Madison","Sr.","INF","22","94","60","0.638"
"40","Spencer Scorza","Cornell","Jr.","INF","13","44","28","0.636"
"41","Trent Gilbert","Arizona","Jr.","INF","26","104","66","0.635"
"42","Tyler Mautner","Buffalo","Jr.","INF","17","57","36","0.632"
"","Brian O'Grady","Rutgers","Sr.","OF","20","76","48","0.632"
"44","Kyle Kleinendorst","North Dakota St.","Sr.","OF","16","54","34","0.630"
"","Mitchell McGeein","Eastern Mich.","So.","INF","17","54","34","0.630"
"46","Brandon Rawe","Morehead St.","Jr.","OF","23","94","59","0.628"
"47","Tyler Leffler","Bradley","So.","INF","19","67","42","0.627"
"48","Paul DeJong","Illinois St.","So.","INF","20","80","50","0.625"
"49","Sasha LaGarde","Mercer","Sr.","OF","25","94","58","0.617"
"50","Hunter Haley","Oklahoma","So.","INF","22","91","56","0.615"
"","Ryan McBroom","West Virginia","Sr.","1B","20","78","48","0.615"
"","Stephen Wallace","Southern U.","Jr.","OF","16","65","40","0.615"
"53","Tanner Rockwell","UALR","Jr.","P","21","75","46","0.613"
"54","Andrew Utterback","Alabama A&M","Jr.","OF","25","80","49","0.613"
"55","Louie Lechich","San Diego","Sr.","P","23","100","61","0.610"
"56","Tj Olesczuk","Winthrop","Sr.","OF","21","74","45","0.608"
"57","Mark Payton","Texas","Sr.","OF","25","84","51","0.607"
"58","Tyler Kuresa","UC Santa Barbara","Jr.","INF","20","81","49","0.605"
"59","Aaron Brown","Pepperdine","Jr.","OF","23","91","55","0.604"
"60","Tyler Boyd","Seton Hall","Jr.","INF","18","60","36","0.600"
"","Mitch Longo","Ohio","Fr.","OF","18","70","42","0.600"
"62","Connor Joe","San Diego","Jr.","INF","23","92","55","0.598"
