"Rank","Name","Team","Cl","Pos","App","IP","HA","PG"
"1","Alex Cruz","Georgia Tech","So.","3B","21","46.3","23","4.47"
"2","Chris Rowley","Army","Jr.","P","11","73.7","37","4.52"
"3","Matthew Reckling","Rice","Sr.","P","11","68.7","35","4.59"
"4","Brandon Bixler","Fla. Gulf Coast","So.","P","10","46.7","24","4.63"
"5","Matt Price","South Carolina","Jr.","P","15","49.7","27","4.89"
"6","Andrew Barbosa","South Fla.","Sr.","P","12","61.7","34","4.96"
"7","Anthony Tzamtzis","North Carolina St.","Jr.","P","12","43.0","24","5.02"
"8","David Berg","UCLA","Fr.","P","27","42.0","25","5.36"
"9","Chase Stevens","Oklahoma St.","Jr.","P","16","48.7","29","5.36"
"10","Drew Steckenrider","Tennessee","Jr.","OF","23","56.0","34","5.46"
"11","Corey Knebel","Texas","So.","P","22","47.7","29","5.47"
"12","Layne Somsen","South Dakota St.","Jr.","P","10","52.3","33","5.68"
"13","Travis Radke","Portland","Fr.","P","11","61.3","39","5.73"
"14","Jordan Hymel","Southeastern La.","Jr.","P","11","64.0","41","5.77"
"15","Marco Gonzales","Gonzaga","So.","1B","8","60.0","39","5.85"
"16","Andrew Vasquez","UC Santa Barbara","Fr.","P","11","67.3","44","5.88"
"17","Zak Sterling","Richmond","Fr.","P","10","55.0","36","5.89"
"18","Carlos Rodon","North Carolina St.","Fr.","P","12","82.3","54","5.91"
"19","Austin Maddox","Florida","Jr.","INF","25","45.7","30","5.91"
"20","Andrew Mitchell","TCU","So.","P","10","48.0","32","6.00"
"21","Tyler Rogers","Austin Peay","Jr.","P","26","44.7","30","6.04"
"22","Jose De Leon","Southern U.","So.","P","11","66.3","45","6.11"
"23","Gera Sanchez","New Mexico","Sr.","P","16","49.7","34","6.16"
"24","Paul Sewald","San Diego","Sr.","P","11","64.3","44","6.16"
"25","Dj Snelten","Minnesota","So.","P","13","70.0","48","6.17"
"26","Tyler Davis","Washington","Fr.","P","14","51.0","35","6.18"
"27","Jon Luke Jacobs","Auburn","Sr.","P","9","47.7","33","6.23"
"28","Michael Roth","South Carolina","Sr.","P","11","73.7","51","6.23"
"29","Dayne Quist","UC Davis","Sr.","P","10","75.0","52","6.24"
"30","Zach Toney","Austin Peay","Sr.","P","11","54.7","38","6.25"
"31","Dan Langfield","Memphis","Jr.","P","11","71.7","50","6.28"
"32","Joe Kurrasch","Penn St.","Jr.","P","12","63.0","44","6.29"
"33","Nick Petree","Missouri St.","So.","P","11","77.3","54","6.29"
"34","Andrew Heaney","Oklahoma St.","Jr.","P","11","84.0","59","6.32"
"35","Justin Amlung","Louisville","Jr.","P","11","75.3","53","6.33"
"36","Chris Marangon","Ball St.","Jr.","P","16","52.0","37","6.40"
"37","Erik Mattingly","Creighton","Sr.","OF","11","40.7","29","6.41"
"38","Johnathan Frebis","Middle Tenn.","Fr.","P","11","64.3","46","6.44"
"39","Andrew Thurman","UC Irvine","So.","P","11","67.0","48","6.45"
"40","Chris Stratton","Mississippi St.","Jr.","P","11","75.3","54","6.45"
"41","Eddie Butler","Radford","Jr.","P","10","71.0","51","6.46"
"42","Matt Davenport","William & Mary","Sr.","P","13","86.0","62","6.49"
"43","Scott Foster","Akron","Sr.","P","14","45.7","33","6.50"
"44","Alex Balog","San Francisco","So.","P","12","63.7","46","6.50"
"45","Jake Reed","Oregon","Fr.","P","11","75.7","55","6.54"
"46","Alex Gonzalez","Oral Roberts","So.","P","12","52.3","38","6.54"
"47","Preston Morrison","TCU","Fr.","P","14","67.3","49","6.55"
"","Braden Shipley","Nevada","So.","P","11","67.3","49","6.55"
"49","Andro Cutura","Southeastern La.","Fr.","INF","10","48.0","35","6.56"
"50","Zach Cooper","Central Mich.","Sr.","P","11","75.3","55","6.57"
"51","Kurt Giller","Oral Roberts","Jr.","P","12","65.7","48","6.58"
"52","Morgan McKinney","Western Caro.","Jr.","P","11","68.0","50","6.62"
"53","Tyler Moore","North Florida","So.","P","15","55.0","41","6.71"
"54","Joe Scanio","Northwestern St.","Sr.","P","25","56.3","42","6.71"
"55","Duke von Schamann","Texas Tech","So.","INF","11","79.0","59","6.72"
"56","Jace Fry","Oregon St.","Fr.","P","8","52.0","39","6.75"
"57","Mike Augliera","Binghamton","Sr.","P","9","57.3","43","6.75"
"58","Blake Mascarello","Purdue","Sr.","P","20","49.0","37","6.80"
"59","Shawn Stuart","Long Beach St.","Sr.","P","10","66.0","50","6.82"
"60","Tom Marra","Holy Cross","Jr.","P","10","60.7","46","6.82"
"61","Henry Sisson","Davidson","Fr.","P","13","59.3","45","6.83"
"62","Jeff Hoffman","East Carolina","Fr.","P","14","50.0","38","6.84"
"63","Sean Furney","Rhode Island","Jr.","P","13","47.3","36","6.85"
"64","Bobby Wahl","Ole Miss","So.","P","11","60.3","46","6.87"
"65","Ryan Harvey","Seton Hall","Jr.","P","13","49.7","38","6.88"
"66","Tyler Herb","Coastal Caro.","So.","P","11","66.7","51","6.88"
"67","Frank Duncan","Kansas","So.","P","14","83.7","64","6.88"
"68","Jordan Wilcox","LIU Brooklyn","Fr.","P","12","51.0","39","6.88"
"69","Brian Hunter","Hartford","So.","INF","13","45.7","35","6.89"
"70","Caleb McClanahan","Central Ark.","Jr.","P","11","78.3","60","6.90"
"71","Andrew Waszak","Michigan St.","Jr.","P","11","71.7","55","6.90"
"72","Matt Flemer","California","Sr.","1B","11","82.0","63","6.91"
"73","Matthew Vedo","UC Santa Barbara","Sr.","P","19","62.3","48","6.93"
"74","Nick Narodowy","Rhode Island","So.","P","11","49.3","38","6.94"
"75","Ryan Van Spronsen","Wagner","Sr.","P","10","83.0","64","6.94"
"76","Michael Clemens","McNeese St.","Fr.","P","17","55.7","43","6.95"
"77","Zack Weiss","UCLA","So.","P","11","42.7","33","6.96"
"78","Ben Lively","UCF","So.","P","14","53.0","41","6.96"
"79","Abel Flores","Texas Southern","Jr.","P","15","50.3","39","6.98"
"80","Cody Kopilchack","Wright St.","Jr.","P","11","49.0","38","6.98"
"81","Brandon Moore","Arkansas","So.","P","16","46.3","36","7.00"
"82","Brian Holmes","Wake Forest","Jr.","P","11","64.3","50","7.00"
"83","Ryan Retz","High Point","Jr.","1B","9","61.7","48","7.00"
"84","Jonathan Dziedzic","Lamar","Jr.","P","10","51.3","40","7.02"
"85","Mike Compton","Florida St.","Fr.","P","11","57.7","45","7.02"
"86","David Starn","Kent St.","Sr.","P","11","71.7","56","7.03"
"87","Ricky Holden","UNC Wilmington","So.","P","18","46.0","36","7.04"
"","Randy McCurry","Oklahoma St.","Jr.","P","11","46.0","36","7.04"
"89","Jimmy Reed","Maryland","Jr.","P","17","49.7","39","7.06"
"90","Crosby Slaught","UC Irvine","Sr.","P","13","57.3","45","7.07"
"91","Josh Conway","Coastal Caro.","Jr.","P","9","54.7","43","7.07"
"92","Clay C. Smith","Saint Louis","So.","P","11","72.3","57","7.10"
"93","Benton Moss","North Carolina","Fr.","P","11","50.7","40","7.10"
"94","Randy Zeigler","La.-Monroe","Jr.","P","12","76.0","60","7.11"
"95","Austin Kubitza","Rice","So.","P","11","49.3","39","7.12"
"96","Travis Ballew","Texas St.","Jr.","P","12","78.3","62","7.13"
"97","Joe Bircher","Bradley","Sr.","P","11","80.7","64","7.14"
"98","Matt Fyffe","Eastern Ky.","Sr.","P","18","42.7","34","7.17"
"99","Caleb Smith","Sam Houston St.","So.","P","12","69.0","55","7.17"
"100","Mark Appel","Stanford","Jr.","P","10","79.0","63","7.18"
