"Rank","Name","Team","Cl","Pos","App","IP","W","L","PCT"
"1","Chris Haddeland","Linfield","Jr.","P","7","53.0","6","0","1.000"
"","Trent Blackwater","Sul Ross St.","Sr.","P","8","48.2","6","1","0.857"
"","Clay Gartner","George Fox","Sr.","P","7","51.1","6","1","0.857"
"4","Cameron Cox","Concordia (TX)","Jr.","P","7","38.0","5","0","1.000"
"","Justin Jenkins","LeTourneau","Jr.","P","6","34.0","5","0","1.000"
"","Trevor Otey","Hampden-Sydney","Fr.","P","9","32.2","5","0","1.000"
"","Zack Speer","Trinity (TX)","Jr.","P","7","38.0","5","0","1.000"
"","Blake Stevens","Birmingham-So.","Jr.","P","6","40.0","5","0","1.000"
"","Dillon Weaver","Ferrum","Fr.","P","7","31.1","5","0","1.000"
"","Jackson Cruce","Huntingdon","So.","P","7","45.1","5","1","0.833"
"","Hans Hansen","Emory","Fr.","P","7","44.0","5","1","0.833"
"","Hunter Lewis","Hampden-Sydney","Sr.","3B","8","40.1","5","1","0.833"
"","Curtis Martin","Whittier","Sr.","P","8","45.0","5","1","0.833"
"","Matthew Parks","Howard Payne","---","P","7","46.2","5","1","0.833"
"","Jake Perkins","Ferrum","So.","P","7","47.2","5","1","0.833"
"","Jake Petersen","Cal Lutheran","Sr.","P","6","45.1","5","1","0.833"
"","Josh Makler","Redlands","Jr.","P","10","44.1","5","3","0.625"
"18","Robert Barth","Widener","Jr.","P","5","37.2","4","0","1.000"
"","Kyle Bogese","Trinity (TX)","---","P","7","34.2","4","0","1.000"
"","Jason Byers","Marietta","So.","P","5","31.0","4","0","1.000"
"","Vince Claudio","Shenandoah","---","P","5","28.1","4","0","1.000"
"","Hayden Cleveland","Franklin","So.","P","5","31.2","4","0","1.000"
"","Shawn Corrigan","St. John Fisher","Sr.","P","4","14.0","4","0","1.000"
"","Justin D'Amato","St. John Fisher","Sr.","P","4","22.2","4","0","1.000"
"","Micah Easterling","Texas-Dallas","Jr.","C","5","34.2","4","0","1.000"
"","Dan Fein","Salisbury","Jr.","P","6","42.1","4","0","1.000"
"","Joseph Fincher","Huntingdon","Sr.","P","7","40.1","4","0","1.000"
"","Ryan Gaines","Birmingham-So.","Fr.","P","8","22.0","4","0","1.000"
"","Kenny Georgious","Frostburg St.","Sr.","P","5","33.0","4","0","1.000"
"","Luc Kocher","Susquehanna","Jr.","P","5","25.0","4","0","1.000"
"","Trevor Lubking","Pacific Lutheran","Jr.","P","7","49.0","4","0","1.000"
"","Brandon McClain","SUNY Cortland","Jr.","P","6","32.1","4","0","1.000"
"","Evan Rahn","Wheaton (IL)","Sr.","P","4","24.2","4","0","1.000"
"","Spencer Ramsey","N.C. Wesleyan","Fr.","INF","8","29.1","4","0","1.000"
"","Ryan Redinger","Frostburg St.","Jr.","P","4","26.0","4","0","1.000"
"","Logan Spangler","Monmouth (IL)","Fr.","P","4","13.1","4","0","1.000"
"","Joe St. Hilaire","Fitchburg St.","Fr.","P","4","27.1","4","0","1.000"
"","Chris Thomas","Heidelberg","Sr.","P","6","27.0","4","0","1.000"
"","Aaron Aleman","Texas Lutheran","Jr.","P","6","31.2","4","1","0.800"
"","Corey Armentrout","Bridgewater (VA)","Jr.","P","7","36.1","4","1","0.800"
"","Nick Bergmann","Mary Hardin-Baylor","So.","P","7","27.0","4","1","0.800"
"","Brett Collacchi","Salisbury","Jr.","P","6","35.2","4","1","0.800"
"","Tyler Dauer","Texas-Dallas","Jr.","P","6","40.1","4","1","0.800"
"","Blake Glauben","Rhodes","So.","P","9","54.2","4","1","0.800"
"","Chris Goershel","Piedmont","Jr.","P","7","41.2","4","1","0.800"
"","Brandon Holsworth","Gallaudet","Jr.","P","7","40.0","4","1","0.800"
"","Chris Hoopingarner","Franklin","Sr.","P","5","36.0","4","1","0.800"
"","Garrett Kriston","Covenant","So.","P","5","35.0","4","1","0.800"
"","Derrick Mahlum","Pacific Lutheran","---","P","5","32.2","4","1","0.800"
"","Adam Putnam","Rhodes","So.","P","7","39.0","4","1","0.800"
"","Zach Stuart","Wesley","Sr.","P","5","35.0","4","1","0.800"
"","Aaron Thomassen","Linfield","Jr.","P","7","46.1","4","1","0.800"
"","Darrell Thompson","Shenandoah","Fr.","P","5","34.0","4","1","0.800"
"","Scott Weinschenk","Concordia (TX)","Sr.","P","7","43.0","4","1","0.800"
"","Cody Whitley","LeTourneau","Jr.","P","6","38.1","4","1","0.800"
"","Sam Beatty","St. Mary's (MD)","Sr.","P","10","51.1","4","2","0.667"
"","Martin Cronin","Dallas","Jr.","P","8","52.0","4","2","0.667"
"","Evan Eubanks","Dallas","---","P","8","37.1","4","2","0.667"
"","Ben Jernigan","Berry","So.","1B","6","33.0","4","2","0.667"
"","Daniel Morris","Rhodes","So.","P","7","32.1","4","2","0.667"
"","Braden Riddle","Chapman","So.","P","6","30.2","4","2","0.667"
"","Brandon Serio","SUNY Cortland","So.","P","6","30.1","4","2","0.667"
"","Tom Zarosinski","George Fox","Sr.","P","7","54.1","4","2","0.667"
"","Preston Graham","Piedmont","Fr.","P","7","39.1","4","3","0.571"
"","Matt Jepsen","Willamette","Fr.","P","7","46.1","4","3","0.571"
"","Brandon Miller","Lynchburg","Jr.","P","9","45.2","4","3","0.571"
