"Rank","Name","Team","Cl","Pos","App","IP","BB","PG"
"1","Rett Adams","Thomas (ME)","---","P","1","2.0","0","0.00"
"","Kyle Barbee","Spalding","Sr.","SS","3","16.2","0","0.00"
"","Cody Behrens","Eureka","Jr.","P","3","7.1","0","0.00"
"","Kyle Borton","Westminster (PA)","So.","P","2","10.0","0","0.00"
"","Sam Carlson","Gust. Adolphus","Fr.","P","1","7.0","0","0.00"
"","Mikiah Downing","D'Youville","Jr.","P","1","3.0","0","0.00"
"","Kyle Gauger","Wis.-Superior","Jr.","P","2","12.0","0","0.00"
"","Andrew Heideman","Concordia (WI)","Fr.","P","1","7.0","0","0.00"
"","John Hilliard","MacMurray","So.","P","3","12.2","0","0.00"
"","Casey Hood","Susquehanna","Jr.","P","4","21.0","0","0.00"
"","Luke Kelly","Lakeland","So.","P","2","11.0","0","0.00"
"","James Lacy","Wis.-Oshkosh","Sr.","P","1","3.0","0","0.00"
"","Greg Ladd","Colby","Jr.","P","1","7.0","0","0.00"
"","Kyle Lyon","Babson","Sr.","P","2","13.0","0","0.00"
"","Sawyer Olson","Middlebury","So.","P","1","2.0","0","0.00"
"","Scott Plaza","Wis.-Whitewater","Sr.","P","1","7.0","0","0.00"
"","Josh Ruppel","Wis. Lutheran","So.","P","2","10.1","0","0.00"
"","Keith Ryan","Keuka","---","2B/C","2","8.2","0","0.00"
"","Vinny Slobodecki","Trine","Fr.","OF","3","10.0","0","0.00"
"","Christopher Smith","New England Col.","Jr.","OF","1","9.0","0","0.00"
"","Anthony Storz","Staten Island","Jr.","P","4","12.0","0","0.00"
"","Andrew VanWazer","Chicago","Jr.","P","1","2.1","0","0.00"
"","Zach Wendorf","Wis.-Stevens Point","Sr.","P","3","13.1","0","0.00"
"","Jacob Ziel","Martin Luther","Sr.","P","2","14.0","0","0.00"
"25","Charles Thielmann","Kean","Jr.","P","4","24.0","1","0.38"
"26","Joe Riley","St. Lawrence","Sr.","P","3","21.0","1","0.43"
"27","Luke Carter","Waynesburg","Fr.","P","4","19.2","1","0.46"
"28","Jared Neiheiser","Albright","Jr.","P","3","19.1","1","0.47"
"","Matt Tracy","Washington-St. Louis","Sr.","P","3","19.1","1","0.47"
"30","Sean Liedtky","Manchester","Jr.","P","4","19.0","1","0.47"
