"Rank","Name","Team","Cl","Pos","G","RBI"
"1","Zach Taylor","Armstrong","Jr.","OF","48","71"
"2","Casey Allison","Wingate","Sr.","OF","55","68"
"3","Heath Peterson","Montevallo","Sr.","1B","49","67"
"4","Jacob Karr","Wingate","Sr.","INF","55","66"
"","Nathan Minnich","Shepherd","Sr.","1B","46","66"
"6","Ryan Busboom","Fort Hays St.","Jr.","INF","44","64"
"7","Austin Rycroft","Central Okla.","Sr.","OF","48","63"
"","Cade Stallings","Tusculum","Jr.","INF","54","63"
"","Brian Yeung","Wingate","Jr.","INF","55","63"
"10","Geno Escalante","Mount Olive","Jr.","C","48","62"
"11","Justi Bagbey","Chowan","Fr.","-","49","60"
"12","Cody Coffman","Tusculum","Sr.","INF","54","58"
"13","A Jones","Winston-Salem","Fr.","-","50","57"
"","Jacob Rogers","Mount Olive","Sr.","3B","48","57"
"15","Jarius Brown","Stillman","Sr.","OF","44","56"
"16","Josh Lyon","Limestone","Sr.","C","47","55"
"","Cody Maas","Georgia College","Jr.","C","47","55"
"18","David Allday","Southern Ark.","Sr.","1B","46","53"
"","Jeffrey Conley","Alderson-Broaddus","So.","P","45","53"
"","Derek Fulmer","North Greenville","Sr.","P","53","53"
"","Jordan Owens","Lander","Sr.","1B","48","53"
"22","Ryan Greer","Angelo St.","Jr.","OF","50","52"
"","Coty Pate","Mars Hill","Sr.","INF","42","52"
"","Jeff Popick","Colorado Mesa","Sr.","OF","43","52"
"","German Reyes","Winston-Salem","Jr.","INF","47","52"
"","Nicholas Sell","Seton Hill","Fr.","INF","42","52"
"","Dylan Songer","Indiana (PA)","Sr.","1B","48","52"
"","Brett Teschner","Columbus St.","Jr.","C","49","52"
"","David Weber","Benedict","Jr.","1B","35","52"
"30","Kevin Blue","Central Okla.","Sr.","INF","48","51"
"","Bo Folkinga","Western Ore.","Sr.","OF","36","51"
"","null Joey Belviso","Mars Hill","Fr.","-","48","51"
"","Kyle Koeneman","Carson-Newman","Sr.","1B","49","51"
"34","Nate Wilder","Arkansas Tech","Sr.","3B","49","50"
"35","Nick Aranas","S.C. Aiken","Sr.","3B","48","49"
"","Tommy Barnes","Neb.-Kearney","Jr.","1B","43","49"
"","Anthony Boza","Lynn","Sr.","1B","43","49"
"","Grant DeBruin","Ala.-Huntsville","Sr.","INF","48","49"
"","Garrett Furr","Catawba","Jr.","DH","53","49"
"","Rai Robinson","Lenoir-Rhyne","Jr.","OF","48","49"
"41","Matt Boulter","Southern N.H.","Jr.","SS","48","48"
"","Josh Cyr","North Ala.","Jr.","INF","49","48"
"","Eli Davis","Cal St. Stanislaus","Sr.","OF","46","48"
"","Dustin Fackrell","Colorado Mesa","Sr.","1B","46","48"
"","J.T. Greenhood","Colorado St.-Pueblo","Sr.","OF","44","48"
"","Bryan Lippincott","Concordia-St. Paul","Sr.","3B","40","48"
"","Josh Miller","S.C. Aiken","Jr.","C","46","48"
"","Kyle Morrow","Pitt.-Johnstown","So.","C","49","48"
"","Bradon Reitano","Mount Olive","So.","SS","47","48"
"","Tarron Robinson","Brevard","Fr.","C","49","48"
"","Ethan Satterfield","Catawba","So.","OF","52","48"
"","Brian Wuest","Neb.-Kearney","Jr.","1B","44","48"
"53","Antonio Callaway","Mount Olive","Sr.","OF","48","47"
"","Michael Cokinos","St. Mary's (TX)","Jr.","C","49","47"
"","Alexi Colon","Tusculum","Sr.","OF","54","47"
"","Aaron Guinn","Tusculum","Sr.","1B","54","47"
"","Robert Kelly","St. Anselm","Jr.","1B","48","47"
"","Dodson McPherson","Wingate","Sr.","OF","55","47"
"","Cameron Scott","Columbus St.","Jr.","2B","50","47"
"","Cody Strang","Winona St.","Jr.","OF","43","47"
"","Joe Wendle","West Chester","Sr.","2B","41","47"
"62","Darryl Baca","Metro St.","Fr.","C","42","46"
"","Jermaine Berry","Mount Olive","Jr.","3B","42","46"
"","Matthew Black","North Ga.","Sr.","INF","43","46"
"","Travis Echols","Georgia College","Jr.","3B","48","46"
"","Jonathan Finnegan","Arkansas Tech","Jr.","INF","48","46"
"","Chris Gallegos","Northeastern St.","Sr.","INF","48","46"
"","William Gorman","Paine","Jr.","INF","47","46"
"","Shayne Houck","Kutztown","Sr.","INF","46","46"
"","Ryan Johnston","Concord","Fr.","C","50","46"
"","Luis Saenz","N.M. Highlands","Sr.","OF","43","46"
"","Kelend Smith","Miles","Fr.","1B","41","46"
"","Eric Temple","West Virginia St.","Sr.","OF","46","46"
"74","Matt Adamczyk","Mercyhurst","Sr.","C","48","45"
"","Bret Blevins","Concord","So.","INF","48","45"
"","Brock Green","Ouachita Baptist","Sr.","1B","46","45"
"","Ricky Harris","Albany St. (GA)","So.","C","42","45"
"","Jason Hunter","Wingate","Jr.","C","49","45"
"","Mike Mercurio","Mount Olive","Jr.","SS","48","45"
"","Cody Powell","Armstrong","Sr.","INF","44","45"
"","Allen Staton","North Greenville","Fr.","P","53","45"
"","William VanWinkle","Paine","Jr.","1B","46","45"
"83","Kendall Boone","West Tex. A&M","Sr.","INF","46","44"
"","Gene Franks","West Va. Wesleyan","Sr.","1B","42","44"
"","Christian Glisson","Valdosta St.","Sr.","C","42","44"
"","Matt Henriksen","Tusculum","Jr.","INF","53","44"
"","Andrew Jones","Tampa","Sr.","OF","42","44"
"","Cam Kneeland","Mass.-Lowell","Sr.","INF","43","44"
"","Shane Latshaw","Mercyhurst","Sr.","OF","48","44"
"","Chris Miller","Cal Poly Pomona","Sr.","INF","48","44"
"","Aj Nunziato","Lander","Sr.","INF","48","44"
"","Cash Oliver","Tuskegee","So.","SS","42","44"
"","James Roche","Franklin Pierce","Sr.","OF","45","44"
"","Luis Serrano","Paine","Jr.","C","51","44"
"95","Brian Hansen","St. Cloud St.","Jr.","OF","45","43"
"","Will Huff","Erskine","So.","INF","52","43"
"","Zach Mathieu","Franklin Pierce","So.","1B","45","43"
"","Ryan Porter","Rockhurst","Sr.","1B","42","43"
"","Buddy Sosnoskie","Francis Marion","Sr.","OF","47","43"
"","Landon Sullins","Arkansas Tech","Sr.","C","49","43"
"","Nate Van Roekel","Winona St.","Sr.","3B","43","43"
"","Drew Westover","Pitt.-Johnstown","Sr.","OF","44","43"
