"Rank","Name","Team","Cl","Pos","G","SF"
"1","Christian Muscarello","Trinity (TX)","Sr.","INF","23","8"
"2","Sean McMillan","Redlands","Jr.","C","25","7"
"3","Colton Brown","Howard Payne","---","CF","20","5"
"","Jonathan Estrada","East. Mennonite","Sr.","C","23","5"
"","Tony Gennusa","Texas Lutheran","Jr.","OF","22","5"
"","Robbie Jernigan","Mississippi Col.","Sr.","INF","19","5"
"","Matt Mezansky","Frank. & Marsh.","So.","INF","16","5"
"8","Ozzy Braff","Whitman","So.","INF","25","4"
"","Nicko Burnett","Swarthmore","Sr.","1B","14","4"
"","Dante Cassano","Gwynedd Mercy","Sr.","1B","15","4"
"","Danny Clifford","George Fox","Sr.","3B","23","4"
"","Stephen Gates","Millsaps","Sr.","INF","23","4"
"","Dan Hurlimann","Brockport","Sr.","INF","13","4"
"","Trevor Keele","Dallas","Jr.","INF","26","4"
"","Ryan Kelley","Kean","So.","OF","16","4"
"","Philip Maldari","Emory","Fr.","INF","21","4"
"","Clay Massie","Ferrum","So.","INF","21","4"
"","Kyle Moyes","Whitman","Sr.","OF","23","4"
"","Jose Osorio","Blackburn","Jr.","C","13","4"
"","Joe Stabb","Heidelberg","Sr.","INF","17","4"
"21","Michael Alexander","Bluffton","Jr.","OF","14","3"
"","Matt Asdornvuttikrai","Clark (MA)","Jr.","C","10","3"
"","Austin Barefoot","Salisbury","Jr.","C","17","3"
"","Casey Bell","LaGrange","Fr.","INF","20","3"
"","J.R. Belt","Spalding","So.","C","11","3"
"","Ryan Bertram","LeTourneau","Jr.","INF","21","3"
"","Tyler Blackwell","Huntingdon","Sr.","INF","21","3"
"","Kirby Boehm","Capital","So.","C","15","3"
"","David Bourbonnais","Birmingham-So.","Jr.","P","17","3"
"","Travis Bowers","Pomona-Pitzer","Sr.","C","22","3"
"","Johnathon Brooks","Occidental","Jr.","1B","22","3"
"","Ozzie Bueno","Sul Ross St.","Jr.","OF","19","3"
"","Paul Burmester","Catholic","---","DH","17","3"
"","John Carey","Southern Me.","Sr.","INF","12","3"
"","Nathan Chamberlin","Hampden-Sydney","Sr.","3B","22","3"
"","Jonny Chow","Whitman","Jr.","INF","18","3"
"","Cavin Clyde","Bridgewater (VA)","So.","INF","15","3"
"","Ty Comer","Ferrum","Fr.","INF","21","3"
"","Breck Davidson","Piedmont","Fr.","1B","21","3"
"","Trammell DeJarnett","Huntingdon","Sr.","OF","24","3"
"","Devin Dellinger","Lebanon Valley","Jr.","1B","15","3"
"","Cole Diroberto","Bowdoin","Jr.","-","8","3"
"","Samuel Doucet","Millsaps","Jr.","SS","22","3"
"","Tommy Endres","North Park","---","RF","12","3"
"","Wesley Fishburn","Swarthmore","Fr.","INF","14","3"
"","Joe Gallitto","Frank. & Marsh.","Sr.","C","15","3"
"","Keith Grabowski","Piedmont","Jr.","OF","21","3"
"","Christian Hamlett","Hampden-Sydney","Jr.","OF","23","3"
"","Jeremy Hatley","Birmingham-So.","Sr.","OF","23","3"
"","Adam Hershberger","Heidelberg","Fr.","INF","16","3"
"","Pat Hirschberg","Trinity (TX)","Sr.","OF","23","3"
"","Jack Hocking","Johnson & Wales (RI)","Sr.","INF","9","3"
"","Brendan Howell","Bridgewater (VA)","So.","1B","20","3"
"","Tyler Hunter","Wesley","Jr.","OF","17","3"
"","Eric Hyun","Lewis & Clark","Jr.","OF","14","3"
"","Derek Kanas","Texas Lutheran","Sr.","P","22","3"
"","Kevin Kojs","Webster","Sr.","INF","10","3"
