"Rank","Name","Team","Cl","Pos","G","AB","K","K Avg."
"1","Mitch Glasser","Macalester","Jr.","INF","23","80","0","0.0"
"2","Anthony DiSalvo","Utica","Sr.","INF","28","93","1","93.0"
"3","Dylan Katz-Wicks","Union (NY)","So.","SS","24","84","1","84.0"
"4","Matt Hannon","St. Norbert","Jr.","OF","24","81","1","81.0"
"5","Zach Markwith","Northwestern (MN)","So.","P","30","111","2","55.5"
"6","Ben Lowmaster","Allegheny","Jr.","C","28","105","2","52.5"
"7","Eric Evenson","Linfield","Sr.","INF","28","100","2","50.0"
"8","Jack Kavetski","DeSales","Jr.","OF","34","94","2","47.0"
"9","Mark McDermott","Ill. Wesleyan","Jr.","C","34","139","3","46.3"
"10","Chris Reynolds","Luther","Jr.","INF","35","134","3","44.7"
"11","Zach Harazin","Wis.-La Crosse","Jr.","C","33","128","3","42.7"
"12","Mike Danziger","Kenyon","So.","INF","30","109","3","36.3"
"13","Joey Semler","SUNY Maritime","So.","C","31","107","3","35.7"
"14","Kyle Wooden","Guilford","Sr.","INF","35","135","4","33.8"
"15","Eric Dawson","Hope","Fr.","3B","33","100","3","33.3"
"16","John Smolinski","Manchester","Sr.","C","36","130","4","32.5"
"17","Beattie Southerland","Mary Washington","Fr.","OF","40","159","5","31.8"
"18","Scott DeAngelis","Coe","Jr.","INF","32","92","3","30.7"
"19","Kyle Ottaway","Mt. St. Joseph","Jr.","C","36","122","4","30.5"
"","Ethan Rieker","Susquehanna","Jr.","INF","33","122","4","30.5"
"21","Rob Coe","Wis.-Whitewater","Sr.","C","32","120","4","30.0"
"22","Stephen Boger","Crown (MN)","Fr.","-","26","89","3","29.7"
"23","Grady Luzier","Penn St.-Altoona","Sr.","1B","35","117","4","29.3"
"24","James Allison","Williams","Sr.","INF","30","116","4","29.0"
"25","Alex Vescera","Frank. & Marsh.","So.","INF","31","86","3","28.7"
"26","Ben Kosmalski","Olivet","Sr.","INF","33","110","4","27.5"
"27","John Schmaltz","Springfield","Sr.","OF","33","136","5","27.2"
"28","Brian Harris","Springfield","Sr.","INF","31","107","4","26.8"
"29","Matt Cornetti","Mt. Aloysius","Jr.","C","28","78","3","26.0"
"30","Adam Nisenson","Coe","Jr.","OF","34","127","5","25.4"
"31","Andrew Babb","Suffolk","Sr.","P","39","152","6","25.3"
"","Andrew Benitez","Rose-Hulman","Fr.","INF","28","76","3","25.3"
"33","Matt Keen","Case","So.","SS","43","177","7","25.3"
"34","Daniel Mueller","Concordia (WI)","So.","INF","28","101","4","25.3"
"35","Garrett Methvin","LeTourneau","So.","P","40","148","6","24.7"
"36","Justin Juneau","Texas-Tyler","Sr.","1B","39","147","6","24.5"
"37","Matt Will","Frank. & Marsh.","Sr.","INF","38","122","5","24.4"
"38","Trey Forbes","Manchester","Sr.","C","36","144","6","24.0"
"39","Justin Anderson","Stevenson","Jr.","1B","39","143","6","23.8"
"40","Cameron Susk","Williams","Jr.","INF","31","119","5","23.8"
"41","A.J. Nathan","Ill. Wesleyan","So.","INF","34","117","5","23.4"
"","Brandon O'Connell","Wis.-Stout","Sr.","3B","32","117","5","23.4"
"43","Oat Wilson","Augustana (IL)","Fr.","INF","32","139","6","23.2"
"44","Bryan Palmero","St. Lawrence","Fr.","-","28","92","4","23.0"
"45","Matt Levine","Me.-Farmington","Sr.","P","26","91","4","22.8"
"46","Andrew Patterson","Grove City","Sr.","INF","26","89","4","22.3"
"47","Rob Gonzalez","New Jersey City","Jr.","2B","35","153","7","21.9"
"48","Aaron McCain","Texas-Tyler","Jr.","INF","37","129","6","21.5"
"49","David Kennett","Thomas More","So.","SS","29","107","5","21.4"
"50","David Novak","Lakeland","Sr.","C","32","128","6","21.3"
"51","Taylor Mondshein","Williams","So.","INF","29","106","5","21.2"
"52","Eric Lemke","Endicott","So.","2B","40","127","6","21.2"
"53","Trenton Lively","Redlands","Jr.","OF","32","105","5","21.0"
"","Mike Ross","Beloit","Sr.","3B","30","105","5","21.0"
"55","Josh Bailey","Piedmont","Fr.","OF","36","125","6","20.8"
"56","Pete O'Hara","Delaware Valley","Fr.","OF","27","104","5","20.8"
"57","Jack Cinoman","Chicago","So.","OF","23","83","4","20.8"
"58","Joseph Guido","Old Westbury","Jr.","2B","41","164","8","20.5"
"","Christian Muscarello","Trinity (TX)","Fr.","INF","44","164","8","20.5"
"","Dan McGuckin","Richard Stockton","Jr.","P","36","123","6","20.5"
"","Anthony Packer","Bethany (WV)","Jr.","INF","25","82","4","20.5"
"62","Alex Boone","Franklin","Sr.","INF","33","121","6","20.2"
"63","Kyle Weiss","Wesleyan (CT)","Jr.","OF","34","141","7","20.1"
"64","Chris Hoak","Hilbert","So.","INF","29","80","4","20.0"
"65","Bobby Callan","Neumann","Jr.","OF","31","99","5","19.8"
"","Bud Main","Westminster (PA)","Jr.","INF","31","99","5","19.8"
