"Rank","Name","Team","Cl","Pos","G","HR"
"1","Casey Allison","Wingate","Sr.","OF","55","22"
"2","Nathan Minnich","Shepherd","Sr.","1B","46","21"
"3","Kyle Koeneman","Carson-Newman","Sr.","1B","49","20"
"4","Alexi Colon","Tusculum","Sr.","OF","54","19"
"","Austin Rycroft","Central Okla.","Sr.","OF","48","19"
"6","Ryan Busboom","Fort Hays St.","Jr.","INF","44","16"
"","Jacob Rogers","Mount Olive","Sr.","3B","48","16"
"","Brian Yeung","Wingate","Jr.","INF","55","16"
"9","Josh Lyon","Limestone","Sr.","C","47","15"
"","Areo Regoli","Nova Southeastern","Sr.","OF","40","15"
"","Zach Taylor","Armstrong","Jr.","OF","48","15"
"12","Jacob Karr","Wingate","Sr.","INF","55","14"
"","Coty Pate","Mars Hill","Sr.","INF","42","14"
"14","Anthony Boza","Lynn","Sr.","1B","43","13"
"","Heath Peterson","Montevallo","Sr.","1B","49","13"
"","Drew Westover","Pitt.-Johnstown","Sr.","OF","44","13"
"17","Jonathan Finnegan","Arkansas Tech","Jr.","INF","48","12"
"","Dodson McPherson","Wingate","Sr.","OF","55","12"
"","Kyle Morrow","Pitt.-Johnstown","So.","C","49","12"
"","Joe Wendle","West Chester","Sr.","2B","41","12"
"21","Ben Albano","Lewis","So.","OF","43","11"
"","Justi Bagbey","Chowan","Fr.","-","49","11"
"","Giancarlo Brugnoni","Grand Valley St.","So.","1B","42","11"
"","Chris Dula","Catawba","So.","3B","44","11"
"","Ryan Geffert","Southern Conn. St.","Sr.","1B","42","11"
"","Shane Latshaw","Mercyhurst","Sr.","OF","48","11"
"","J.P. Maples","Central Okla.","Jr.","OF","34","11"
"","Zach Mathieu","Franklin Pierce","So.","1B","45","11"
"","James Roche","Franklin Pierce","Sr.","OF","45","11"
"","Nicholas Sell","Seton Hill","Fr.","INF","42","11"
"","Cade Stallings","Tusculum","Jr.","INF","54","11"
"32","Darryl Baca","Metro St.","Fr.","C","42","10"
"","David Borchardt","Augustana (SD)","Jr.","P","41","10"
"","Chase Corn","Erskine","So.","OF","52","10"
"","Josh Cyr","North Ala.","Jr.","INF","49","10"
"","Bo Folkinga","Western Ore.","Sr.","OF","36","10"
"","Garrett Furr","Catawba","Jr.","DH","53","10"
"","Ryan Johnston","Concord","Fr.","C","50","10"
"","Robert Kelly","St. Anselm","Jr.","1B","48","10"
"","Joe McLemore","Eckerd","Sr.","1B","43","10"
"","Edwin Mendoza","Cal St. San B'dino","So.","OF","38","10"
"","German Reyes","Winston-Salem","Jr.","INF","47","10"
"","Blake Silguero","Tarleton St.","Sr.","DH","39","10"
"","Mike Snyder","Fla. Southern","Sr.","INF","41","10"
"","Nate Van Roekel","Winona St.","Sr.","3B","43","10"
"","Justin Vasquez","Belmont Abbey","Jr.","OF","46","10"
"","Nate Wilder","Arkansas Tech","Sr.","3B","49","10"
"","Drew Willingham","Erskine","Jr.","1B","52","10"
"","Brian Wuest","Neb.-Kearney","Jr.","1B","44","10"
"50","Vincente Andrews","Montevallo","Jr.","OF","46","9"
"","Joey Benke","St. Cloud St.","Sr.","INF","42","9"
"","Thomas Biocic","Arkansas Tech","Jr.","1B","42","9"
"","Tucker Brown","Central Okla.","Sr.","INF","47","9"
"","Marshall Burford","St. Edward's","Jr.","OF","43","9"
"","Christian Glisson","Valdosta St.","Sr.","C","42","9"
"","B Harrison","Winston-Salem","Fr.","-","48","9"
"","Shayne Houck","Kutztown","Sr.","INF","46","9"
"","Will Huff","Erskine","So.","INF","52","9"
"","Jason Hunter","Wingate","Jr.","C","49","9"
"","Nash Hutter","Shepherd","Sr.","OF","45","9"
"","null Joey Belviso","Mars Hill","Fr.","-","48","9"
"","Mace Krol","Fort Hays St.","Sr.","INF","44","9"
"","Bryan Lippincott","Concordia-St. Paul","Sr.","3B","40","9"
"","Jordan Owens","Lander","Sr.","1B","48","9"
"","John Pilackas","Mo.-St. Louis","Jr.","OF","31","9"
"","Aaron Priestes","Quincy","Jr.","OF","37","9"
"","Nate Ramler","Mo. Western St.","Jr.","OF","43","9"
"","Erick Sanderson","Anderson (SC)","Jr.","INF","43","9"
"","Ryan Small","Tarleton St.","Jr.","INF","44","9"
"","Cody Strang","Winona St.","Jr.","OF","43","9"
"","Eric Swain","Northwest Mo. St.","Jr.","INF","44","9"
"","Will Tankersley","S.C. Aiken","Fr.","OF","45","9"
"","Jovany Valenzuela","Colorado St.-Pueblo","Jr.","1B","46","9"
"","William VanWinkle","Paine","Jr.","1B","46","9"
"","Robbie Zinsmeister","Indiana (PA)","Jr.","SS","49","9"
"76","Greg Baggett","Bentley","Sr.","C","40","8"
"","Matt Barr","Davis & Elkins","Jr.","INF","47","8"
"","Mike Bisenius","Wayne St. (NE)","Sr.","OF","40","8"
"","Matt Borgschulte","Drury","Jr.","OF","40","8"
"","Jackson Boyd","Seton Hill","Jr.","OF","46","8"
"","John Calhoun","Washburn","Sr.","INF","39","8"
"","Curran Collins","Quincy","Sr.","INF","38","8"
"","Jeffrey Conley","Alderson-Broaddus","So.","P","45","8"
"","Collins Cuthrell","Barton","So.","INF","40","8"
"","Eli Davis","Cal St. Stanislaus","Sr.","OF","46","8"
"","Grant DeBruin","Ala.-Huntsville","Sr.","INF","48","8"
"","Patrick Dockendorf","Minn. St. Mankato","Sr.","INF","40","8"
"","Paul Eshelman","Cal St. San B'dino","Sr.","C","32","8"
"","Cory Flickinger","West Va. Wesleyan","Sr.","OF","43","8"
"","Derek Fulmer","North Greenville","Sr.","P","53","8"
"","Garrett Gooselaw","Sonoma St.","Jr.","C","39","8"
"","Tyler Gray","Ashland","So.","1B","46","8"
"","J.T. Greenhood","Colorado St.-Pueblo","Sr.","OF","44","8"
"","Bryant Hayman","Valdosta St.","Fr.","C","41","8"
"","Taylor Johnson","St. Edward's","Jr.","2B","39","8"
"","Jay Laurienzo","Flagler","Jr.","OF","47","8"
"","Cody Maas","Georgia College","Jr.","C","47","8"
"","Seth McMullen","Winona St.","Jr.","SS","42","8"
"","Jon Minucci","Southern N.H.","Jr.","OF","48","8"
"","Jon Neuberger","Bluefield St.","Sr.","INF","41","8"
"","Daniel Petitbon","Nova Southeastern","Sr.","OF","35","8"
"","Billy Richard","St. Mary's (TX)","Jr.","OF","49","8"
"","Jake Schrader","Tampa","Jr.","1B","38","8"
"","Brad Shankle","Southeastern Okla.","Sr.","C","40","8"
"","Jon Shoutta","Regis (CO)","So.","DH","41","8"
"","Nash Smith","Fort Hays St.","Sr.","OF","43","8"
"","Thomas Spitz","Wingate","Fr.","OF","55","8"
"","Zach Steele","Northwest Nazarene","Sr.","OF","44","8"
"","Eric Temple","West Virginia St.","Sr.","OF","46","8"
"","Jenzen Torres","Cal Poly Pomona","Sr.","C","49","8"
"","Ryan Uhl","Indiana (PA)","Fr.","OF","39","8"
"","Joe Vaskas","Emporia St.","Sr.","INF","39","8"
"","Phillip Williams","Barton","Jr.","P","48","8"
"","Parker Wood","West Tex. A&M","Jr.","INF","41","8"
"","Matthew Young","Cal St. Dom. Hills","Fr.","OF","38","8"
"","Anthony Zarrella","Adelphi","Jr.","INF","40","8"
"117","Nick Aranas","S.C. Aiken","Sr.","3B","48","7"
"","Matt Baer","West Chester","Sr.","OF","35","7"
"","Chad Balderman","Limestone","So.","OF","48","7"
"","Tyler Bean","Washburn","Sr.","INF","39","7"
"","Simon Beloff","Shippensburg","Jr.","OF","48","7"
"","Noah Blackhurst","West Virginia St.","So.","INF","44","7"
"","Jarius Brown","Stillman","Sr.","OF","44","7"
"","Kyle Buchanan","Belmont Abbey","Sr.","C","51","7"
"","Ty Chancelor","Ala.-Huntsville","Sr.","OF","43","7"
"","Austin Chubb","Fla. Southern","Sr.","C","40","7"
"","Cody Coffman","Tusculum","Sr.","INF","54","7"
"","Garrett Cook","King (TN)","So.","OF","40","7"
"","Jess Cooper","West Tex. A&M","Sr.","INF","44","7"
"","Ryan Daughtry","Barton","Sr.","OF","47","7"
"","null Denman","West Liberty","Fr.","-","40","7"
"","Jeremy Donaldson","Georgia College","Jr.","INF","36","7"
"","Daniel Duran","Cal St. L.A.","Sr.","INF","42","7"
"","Geno Escalante","Mount Olive","Jr.","C","48","7"
"","Grant Fink","Mo. Western St.","Jr.","INF","43","7"
"","Kyle Foti","Flagler","Sr.","C","49","7"
"","Cameron Graves","Valdosta St.","Sr.","OF","38","7"
"","Aaron Guinn","Tusculum","Sr.","1B","54","7"
"","Derek Hansen","Augustana (SD)","Jr.","INF","43","7"
"","Joseph Horsely","Lincoln Memorial","Sr.","INF","49","7"
"","Dan Kemp","Franklin Pierce","Jr.","SS","45","7"
"","Joe Kornbrust","Emporia St.","Sr.","INF","42","7"
"","Preston Lyon","Pfeiffer","Sr.","INF","50","7"
"","Ryan McChesney","Florida Tech","Sr.","C","45","7"
"","Rafael Medina","Bloomfield","Sr.","1B","37","7"
"","Tarron Robinson","Brevard","Fr.","C","49","7"
"","Chris Ross","Montevallo","Sr.","OF","49","7"
"","Matt Rossi","Clarion","Sr.","1B","39","7"
"","Chris Schindler","Colorado St.-Pueblo","Sr.","C","45","7"
"","Michael Schmidt","North Ala.","Sr.","INF","50","7"
"","Michael Schroeder","Lewis","Jr.","P","46","7"
"","Brian Stinson","Le Moyne","Jr.","C","33","7"
"","Brett Teschner","Columbus St.","Jr.","C","49","7"
"","Chris Vazquez","Wingate","Sr.","SS","54","7"
"","Brian Voigt","Augustana (SD)","Sr.","INF","40","7"
"","Josh Wenger","Concord","Jr.","INF","45","7"
"157","Madison Beaird","Arkansas Tech","Jr.","OF","49","6"
"","Sean Borman","St. Cloud St.","Jr.","INF","43","6"
"","Travis Echols","Georgia College","Jr.","3B","48","6"
"","Chris Gallegos","Northeastern St.","Sr.","INF","48","6"
"","Adam Gemuenden","Winona St.","Sr.","1B","40","6"
"","Bill Gerstenslager","S.C. Aiken","Jr.","1B","49","6"
"","Blake Gibbs","Cal St. Chico","Jr.","OF","46","6"
"","Jack Goihl","Augustana (SD)","Fr.","1B","35","6"
"","Brian Hansen","St. Cloud St.","Jr.","OF","45","6"
"","Dustin Hudson","Henderson St.","Jr.","1B","33","6"
"","Logan Kalis","Bemidji St.","Jr.","P","44","6"
"","Joe Mantoni","Merrimack","Jr.","P","44","6"
"","Aj Nunziato","Lander","Sr.","INF","48","6"
"","Cody Powell","Armstrong","Sr.","INF","44","6"
"","Jeff Rice","Augusta St.","So.","INF","39","6"
"","Cameron Scott","Columbus St.","Jr.","2B","50","6"
"","James Wharton","Cal St. L.A.","Jr.","1B","39","6"
"","Jared Wright","Central Okla.","Jr.","OF","40","6"
"175","Ty Barkell","S.C. Aiken","Fr.","1B","49","5"
"","Kevin Blue","Central Okla.","Sr.","INF","48","5"
"","Zach Braun","Bemidji St.","So.","C","32","5"
"","Sako Chapjian","Cal St. Dom. Hills","Fr.","3B","43","5"
"","Patrick Grady","Lander","So.","OF","47","5"
"","Nate Hewes","Augustana (SD)","Jr.","INF","43","5"
"","Bryant Johnson","Bentley","Sr.","P","46","5"
"","Cedric Johnson","Dixie St.","Jr.","OF","40","5"
"","Greg Liming","Urbana","Jr.","1B","43","5"
"","Tyson Littlewood","Dixie St.","Sr.","INF","45","5"
"","Joe Lombardi","Pace","Sr.","INF","40","5"
"","Brandon Martinson","Pace","Jr.","INF","28","5"
"","Josh Miller","S.C. Aiken","Jr.","C","46","5"
"","Chris Miller","Cal Poly Pomona","Sr.","INF","48","5"
"","Curtis Parker","Augusta St.","Jr.","INF","43","5"
"","Travis Parsons","Wayne St. (NE)","Sr.","1B","40","5"
"","Nick Rodarte","Cal St. L.A.","Sr.","1B","31","5"
"","Charlie Sharrer","Cal St. East Bay","Jr.","OF","39","5"
"","Drew Walker","Armstrong","Sr.","INF","48","5"
"","Jeremy Weber","Cal St. L.A.","Jr.","OF","33","5"
"","Tyler Wells","Southwestern Okla.","Sr.","C","23","5"
"","Jordan Whitman","Cal Poly Pomona","Jr.","OF","43","5"
