"Rank","Name","Team","Cl","Pos","App","IP","BB","PG"
"1","Casey Hauptman","Nebraska","Sr.","P","22","54.3","2","0.33"
"2","Ethan Mildren","Pittsburgh","Fr.","P","10","62.0","3","0.44"
"3","Hudson Randall","Florida","So.","P","11","72.0","4","0.50"
"4","Ken Graveline","Rhode Island","Sr.","P","11","68.7","4","0.52"
"5","Austin Drewyer","UMBC","Sr.","P","12","76.7","5","0.59"
"6","Garrett Baker","Liberty","Jr.","P","18","45.0","3","0.60"
"7","Brady Rodgers","Arizona St.","So.","P","9","54.3","4","0.66"
"8","Cole Sulser","Dartmouth","Jr.","P","8","48.7","4","0.74"
"9","Tommy Hoenshell","CSU Bakersfield","Jr.","P","12","84.7","7","0.74"
"10","J.R. Graham","Santa Clara","Jr.","P","17","46.7","4","0.77"
"11","Michael Palazzone","Georgia","Jr.","P","11","80.0","7","0.79"
"12","Colby Hyatt","UNC Greensboro","Sr.","P","13","67.0","6","0.81"
"13","Randy Fontanez","South Fla.","Sr.","P","11","80.0","8","0.90"
"14","Will Roberts","Virginia","Jr.","P","12","69.3","7","0.91"
"15","Steven Hill","Penn St.","So.","P","11","78.3","8","0.92"
"16","Tyler Watkins","Southeastern La.","Sr.","P","11","77.0","8","0.94"
"17","Kyle Simon","Arizona","Jr.","P","13","85.7","9","0.95"
"18","Colin O'Connell","Cal St. Fullerton","Jr.","P","12","57.0","6","0.95"
"19","Tyler Melling","Miami (OH)","Sr.","P","11","63.0","7","1.00"
"20","Mike Hauschild","Dayton","Jr.","P","14","79.3","9","1.02"
"21","Chase Hawkins","Georgia","Jr.","P","14","43.7","5","1.03"
"22","Justin Sarratt","Clemson","Sr.","P","13","52.3","6","1.03"
"23","Cody Forsythe","Southern Ill.","So.","P","11","78.3","9","1.03"
"24","Tucker Hawley","Alabama","So.","P","7","43.3","5","1.04"
"25","Brandon McNitt","Stony Brook","Fr.","P","12","57.0","7","1.11"
"26","Mike Augliera","Binghamton","Jr.","P","10","64.7","8","1.11"
"27","Stephen Ostapeck","Villanova","So.","P","16","40.0","5","1.13"
"28","Dustin Crenshaw","South Ala.","Sr.","P","12","79.3","10","1.13"
"29","Todd Miller","Notre Dame","Sr.","P","10","63.3","8","1.14"
"30","Tyler Ray","Troy","Jr.","P","11","78.7","10","1.14"
"31","Zach Gallagher","Hawaii","Sr.","P","13","53.0","7","1.19"
"32","Mike Hamann","Toledo","So.","P","9","59.7","8","1.21"
"33","Luke Briley","La.-Monroe","Sr.","P","14","50.7","7","1.24"
"34","Kevin Miller","California","Sr.","P","13","64.3","9","1.26"
"35","Matt Bowman","Princeton","So.","SS","9","49.7","7","1.27"
"36","A.J. Johnson","George Mason","Jr.","P","10","56.7","8","1.27"
"37","Esterlin Paulino","N.C. A&T","Jr.","P","12","84.0","12","1.29"
"38","Michael Rocha","Oklahoma","Sr.","P","11","83.3","12","1.30"
"39","Trevor Frank","UC Riverside","So.","P","9","62.0","9","1.31"
"40","Joshua Goossen-Brown","Cal St. Northridge","So.","P","14","41.3","6","1.31"
"41","Ian Horkley","Davidson","Sr.","P","10","55.0","8","1.31"
"42","Blake Barber","Missouri St.","Sr.","P","12","67.7","10","1.33"
"43","Tony Bucciferro","Michigan St.","Jr.","P","11","73.7","11","1.34"
"44","Matt Tomshaw","Jacksonville","Sr.","P","11","71.3","11","1.39"
"45","Matteo D'Angelo","Winthrop","Sr.","P","13","58.0","9","1.40"
"46","Matthew Neil","BYU","Sr.","P","14","51.3","8","1.40"
"47","Jason Farley","VMI","Jr.","P","12","57.7","9","1.40"
"48","Taylor Jungmann","Texas","Jr.","P","11","89.7","14","1.40"
"49","Brad Propst","Oklahoma St.","Sr.","P","11","76.0","12","1.42"
"50","Danny Hultzen","Virginia","Jr.","P","11","75.7","12","1.43"
"51","Tyler Deetjen","Valparaiso","Jr.","P","11","74.7","12","1.45"
"52","Nick Nuemann","Central Conn. St.","So.","P","9","56.0","9","1.45"
"53","Mark Pope","Georgia Tech","Jr.","P","11","86.3","14","1.46"
"54","Kyle Winkler","TCU","Jr.","P","11","79.3","13","1.48"
"55","Mike Hoekstra","Eastern Ill.","Jr.","P","11","67.0","11","1.48"
"56","Grayson Garvin","Vanderbilt","Jr.","P","11","71.7","12","1.51"
"57","Kendall Graveman","Mississippi St.","So.","P","10","41.7","7","1.51"
"58","Matt Crouse","Ole Miss","Jr.","P","11","71.3","12","1.51"
"59","Matt Hiserman","San Francisco","Sr.","P","14","71.0","12","1.52"
"60","Matthew Kimball","Brown","Sr.","P","8","53.0","9","1.53"
"61","Ross Stripling","Texas A&M","Jr.","P","16","70.0","12","1.54"
"62","Brian Johnson","Florida","So.","P","11","63.7","11","1.55"
"63","Tony Cingrani","Rice","Sr.","P","22","40.3","7","1.56"
"64","Steve Easter","Alcorn St.","Jr.","P","12","79.7","14","1.58"
"","Alex Gillingham","Loyola Marymount","Jr.","P","10","79.7","14","1.58"
"66","Kyle Kraus","Portland","Jr.","P","10","68.0","12","1.59"
"","Josh Poytress","Fresno St.","Jr.","P","13","51.0","9","1.59"
"68","Sean Gilmartin","Florida St.","Jr.","P","12","79.0","14","1.59"
