"Rank","Name","Team","Cl","Pos","G","SH"
"1","Andrew Ely","Washington","Jr.","INF","22","11"
"2","Chris Deleon","Texas Southern","Sr.","INF","22","9"
"","Patrick Dodson","Alabama A&M","Jr.","OF","26","9"
"","Tommy Mirabelli","Kansas","So.","INF","21","9"
"","Buddy Reed","Florida","Fr.","OF","24","9"
"6","Jeff Edwards","Valparaiso","So.","INF","16","8"
"","Brandon Healy","Oral Roberts","Sr.","INF","21","8"
"","CJ Hinojosa","Texas","So.","SS","25","8"
"","Jay Lizanich","Presbyterian","Jr.","INF","25","8"
"","Daniel Pinero","Virginia","Fr.","INF","22","8"
"","Cody Sharrow","South Dakota St.","So.","INF","19","8"
"","Justin Treece","Central Ark.","Sr.","INF","22","8"
"","Leo Vargas","Nicholls St.","Sr.","INF","25","8"
"14","Tyler Bethune","Lipscomb","So.","C","14","7"
"","Payden Cawley Lamb","Gonzaga","Sr.","OF","17","7"
"","Jose Cruz","Jackson St.","Sr.","C","24","7"
"","Jordan Ebert","Auburn","So.","INF","24","7"
"","Erik Forgione","Washington","Jr.","INF","22","7"
"","Scott Kingery","Arizona","So.","INF","26","7"
"","Steven Leonard","Campbell","So.","C","21","7"
"","Josh Lester","Missouri","So.","INF","21","7"
"","Tyler Palmer","Miami (FL)","Sr.","OF","23","7"
"","John Reilly","Campbell","Sr.","INF","21","7"
"","Thomas Simoneaux","Louisiana Tech","Jr.","INF","19","7"
"25","Brett Balkan","Cal St. Northridge","Sr.","INF","22","6"
"","Adam Ballew","South Ala.","Jr.","OF","22","6"
"","Kyle Brandenburg","High Point","Sr.","2B","23","6"
"","Kyle Brooks","North Florida","So.","INF","23","6"
"","Christian Correa","Nicholls St.","Jr.","C","23","6"
"","Brett Michael Doran","Stanford","Sr.","INF","18","6"
"","Jake Fincher","North Carolina St.","Jr.","INF","21","6"
"","Ryan Fitzgerald","Creighton","So.","INF","18","6"
"","Dante Flores","Southern California","Jr.","INF","22","6"
"","Edwin Gomez","Northwestern St.","Sr.","OF","21","6"
"","Austin Grebeck","Oregon","Fr.","OF","21","6"
"","Gage Green","Oklahoma St.","Jr.","C","22","6"
"","Brandon Harvell","Longwood","Fr.","INF","23","6"
"","Joey Hawkins","Missouri St.","Jr.","INF","21","6"
"","Bobby Ison","Charleston So.","Jr.","OF","25","6"
"","Manny Jefferson","Pepperdine","Fr.","INF","20","6"
"","Adam Lee","Lipscomb","So.","1B","22","6"
"","Cody Manzella","High Point","Jr.","OF","23","6"
"","Peter Maris","UC Santa Barbara","Jr.","INF","20","6"
"","Joshua Mason","Stony Brook","Sr.","P","18","6"
"","Jordan Parris","Tennessee Tech","Sr.","C","21","6"
"","Kevin Paulsen","Niagara","Sr.","OF","21","6"
"","Luke Persico","UCLA","Fr.","INF","22","6"
"","Andy Peterson","Oregon St.","Sr.","INF","24","6"
"","Timmy Robinson","Southern California","So.","OF","22","6"
"","Desmond Russell","Jackson St.","Sr.","INF","19","6"
"","A.J. Simcox","Tennessee","So.","SS","21","6"
"","Aaron Siple","New Mexico","Jr.","OF","23","6"
"","Taylor Skerpon","Penn St.","Jr.","INF","23","6"
"","Adam Smith","UAB","So.","INF","25","6"
"","Kodie Tidwell","La.-Monroe","So.","INF","25","6"
