"Rank","Name","Team","Cl","Pos","App","IP","W","L","PCT"
"1","Taylor Jungmann","Texas","Jr.","P","11","89.7","10","0","1.000"
"","Tyler Ray","Troy","Jr.","P","11","78.7","10","0","1.000"
"3","John Neely","Texas Tech","Jr.","P","24","49.7","9","0","1.000"
"","Will Roberts","Virginia","Jr.","P","12","69.3","9","0","1.000"
"","Grayson Garvin","Vanderbilt","Jr.","P","11","71.7","9","1","0.900"
"","Danny Hultzen","Virginia","Jr.","P","11","75.7","9","1","0.900"
"","Michael Roth","South Carolina","Jr.","P","12","79.7","9","1","0.900"
"","Sonny Gray","Vanderbilt","Jr.","P","11","75.3","9","2","0.818"
"","Mark Pope","Georgia Tech","Jr.","P","11","86.3","9","2","0.818"
"","Ross Stripling","Texas A&M","Jr.","P","16","70.0","9","2","0.818"
"","Geoffrey Thomas","Southern Miss.","So.","P","11","70.3","9","2","0.818"
"12","Justin Amlung","Louisville","So.","P","11","76.7","8","0","1.000"
"","Kurt Schluter","Stetson","So.","P","10","57.7","8","0","1.000"
"","Paul Davis","Fla. Atlantic","Jr.","P","12","72.7","8","1","0.889"
"","Sam Gaviglio","Oregon St.","Jr.","P","11","81.0","8","1","0.889"
"","Corey Maines","Illinois St.","Sr.","P","11","68.3","8","1","0.889"
"","Michael Palazzone","Georgia","Jr.","P","11","80.0","8","1","0.889"
"","Hudson Randall","Florida","So.","P","11","72.0","8","1","0.889"
"","Hunter Rivers","Jacksonville St.","So.","P","15","44.0","8","1","0.889"
"","Nick Tropeano","Stony Brook","Jr.","P","10","65.7","8","1","0.889"
"","Brandon Williamson","Dallas Baptist","Sr.","P","14","79.3","8","1","0.889"
"","Kyle Winkler","TCU","Jr.","P","11","79.3","8","1","0.889"
"","Trevor Bauer","UCLA","Jr.","P","11","91.7","8","2","0.800"
"","Jeremy Dobbs","Austin Peay","Jr.","P","12","60.3","8","2","0.800"
"","Brandon Efferson","Southeastern La.","Sr.","P","11","75.7","8","2","0.800"
"","Michael Rocha","Oklahoma","Sr.","P","11","83.3","8","2","0.800"
"","Andrew Smith","Charlotte","Jr.","P","11","74.0","8","2","0.800"
"","Matt Barnes","Connecticut","Jr.","P","11","83.0","8","3","0.727"
"","Ryan Beck","New Mexico St.","So.","P","12","68.0","8","3","0.727"
"","Roberto Padilla","San Jose St.","Jr.","P","11","77.3","8","3","0.727"
"","Mike Hauschild","Dayton","Jr.","P","14","79.3","8","4","0.667"
"","Charlie Lowell","Wichita St.","Jr.","P","12","72.0","8","4","0.667"
