"Rank","Name","Team","Cl","Pos","App","IP","BB","PG"
"1","Anthony Morris","St. Thomas Aquinas","Fr.","P","3","20.0","0","0.00"
"","Kevin O'Connor","Assumption","So.","P","2","14.0","0","0.00"
"","Pat Simone","New Haven","Sr.","P","3","18.1","0","0.00"
"4","Pablo Matos","USciences","So.","P","5","31.1","1","0.29"
"5","Billy Kirkpatrick","William Jewell","So.","P","3","25.0","1","0.36"
"6","Zack Standefer","Mo.-St. Louis","Sr.","P","3","23.2","1","0.38"
"7","Matt Allen","Colorado Mesa","So.","P","5","21.0","1","0.43"
"","Jim Duff","Stonehill","Jr.","P","3","21.0","1","0.43"
"","Zach Heath","Ohio Valley","Sr.","P","4","21.0","1","0.43"
"10","Kirby Schwein","Regis (CO)","So.","P","6","38.2","2","0.47"
"11","Christian Hock","Mercy","So.","P","3","16.2","1","0.54"
"","B. Bass","Angelo St.","---","1B","6","33.1","2","0.54"
"13","David Collins","William Jewell","Sr.","P","4","32.2","2","0.55"
"14","Paul Hvozdovic","Shepherd","Sr.","P","5","31.0","2","0.58"
"15","Derek Younker","Pitt.-Johnstown","Sr.","P","6","30.0","2","0.60"
"16","Joel DePorte","McMurry","Sr.","P","8","44.1","3","0.61"
"17","Preston Packrall","Tampa","Sr.","P","11","29.1","2","0.61"
"18","Kendall Paluch","Lewis","Sr.","P","5","28.2","2","0.63"
"19","Josh Lopez","Academy of Art","Fr.","P","8","28.0","2","0.64"
"20","Brett Maus","St. Joseph's (IN)","Jr.","P","5","27.1","2","0.66"
"21","Michael Dunnigan","Saint Leo","So.","P","10","39.0","3","0.69"
"22","George Asmus","Sonoma St.","Sr.","P","6","38.2","3","0.70"
"23","Max Schonfeld","Molloy","Sr.","P","4","25.1","2","0.71"
"24","null Sweeney","Drury","---","P","5","25.0","2","0.72"
"25","Nate Olinger","Colorado Mines","So.","P","6","24.1","2","0.74"
"26","Brad Lohse","Cal St. Chico","So.","P","6","34.0","3","0.79"
"27","Tom Bammann","Dowling","Sr.","P","7","33.2","3","0.80"
"28","Dakota McKaskle","Emporia St.","Sr.","P","6","33.1","3","0.81"
"29","Nick Baker","Cal St. Chico","Sr.","P","7","43.2","4","0.82"
"30","Dylan McGill","Wayne St. (NE)","Jr.","P","4","21.2","2","0.83"
"","Zach Carter","Saint Martin's","Jr.","C","6","43.1","4","0.83"
"32","Matthew Kaplanis","Indianapolis","So.","P","5","32.0","3","0.84"
"33","Colin Holmes","Kutztown","Sr.","P","4","21.0","2","0.86"
"34","Bill Menek","Lynn","Jr.","P","11","31.0","3","0.87"
"35","Olen Little","Wingate","Sr.","P","8","51.0","5","0.88"
"36","Justin Eclavea","Bloomfield","So.","P","5","20.1","2","0.89"
"37","Clayton Welch","St. Anselm","So.","P","4","19.2","2","0.92"
"38","Chase Blazier","Winona St.","Jr.","P","3","19.0","2","0.95"
