"Rank","Name","Team","Cl","Pos","G","3B"
"1","Danny Susdorf","UC San Diego","Jr.","OF","44","9"
"2","Dan Fratus","Stonehill","So.","INF","44","8"
"","Tyler Gaby","King (TN)","So.","OF","37","8"
"","Thomas George","Cal St. Monterey Bay","Jr.","OF","44","8"
"","Lee Neumann","Angelo St.","Jr.","OF","50","8"
"6","Michael Cleary","Southern Conn. St.","Jr.","OF","42","7"
"","Thomas Spitz","Wingate","Fr.","OF","55","7"
"","Stanley Susana","St. Thomas Aquinas","Fr.","-","44","7"
"","Joe Wendle","West Chester","Sr.","2B","41","7"
"","Paul Winterbottom","Stillman","Fr.","INF","43","7"
"11","Xavier Bonilla","Dominican (NY)","Sr.","OF","44","6"
"","Jonathan Calabrese","Nyack","Sr.","INF","33","6"
"","Ethan Chapman","Cal St. San B'dino","Jr.","OF","40","6"
"","Jake Frazier","Coker","Sr.","OF","41","6"
"","Troy Handza","California (PA)","Sr.","OF","48","6"
"","Joe Harbach","Wilmington (DE)","Sr.","OF","41","6"
"","Chris Newcomb","Saint Leo","So.","OF","40","6"
"","Cash Oliver","Tuskegee","So.","SS","42","6"
"","Matt Perkowski","Palm Beach Atl.","Jr.","OF","38","6"
"","Lucas Skjefte","Minn. St. Mankato","Jr.","INF","39","6"
"","Michael Tomko","Gannon","Jr.","OF","46","6"
"","Ivan Vieitez","Lenoir-Rhyne","Fr.","OF","49","6"
"","David Weber","Benedict","Jr.","1B","35","6"
"","Robbie Zinsmeister","Indiana (PA)","Jr.","SS","49","6"
"25","Greg Baggett","Bentley","Sr.","C","40","5"
"","Jeffrey Conley","Alderson-Broaddus","So.","P","45","5"
"","Eli Davis","Cal St. Stanislaus","Sr.","OF","46","5"
"","Tyler Eager","Abilene Christian","Fr.","1B","50","5"
"","J.T. Greenhood","Colorado St.-Pueblo","Sr.","OF","44","5"
"","Ryan Greer","Angelo St.","Jr.","OF","50","5"
"","Jon Kennedy","Nyack","Fr.","OF","33","5"
"","Chris Knott","East Stroudsburg","So.","OF","46","5"
"","Mike Knueppel","Colorado St.-Pueblo","Jr.","INF","40","5"
"","Phillip Leopold","Bellarmine","Fr.","INF","44","5"
"","Wayne Lewis","St. Augustine's","Sr.","OF","50","5"
"","Larry Lowry","Bluefield St.","Sr.","P","42","5"
"","Zach Mathieu","Franklin Pierce","So.","1B","45","5"
"","Andrew Rodriguez","West Fla.","Jr.","OF","43","5"
"","Reece Rounder","Southern Ind.","Jr.","INF","46","5"
"","Michael Schulze","Mo. Western St.","So.","INF","44","5"
"","Michael Turay","Cal St. Stanislaus","Sr.","C","42","5"
"","Justin Vasquez","Belmont Abbey","Jr.","OF","46","5"
"","Colby White","Maryville (MO)","Jr.","OF","42","5"
"","Bryce Williams","Georgia College","Jr.","OF","48","5"
"45","Luke Acosta","Mo. Southern St.","Sr.","INF","46","4"
"","Raphael Amey","Kentucky St.","Sr.","SS","36","4"
"","Steve Anderson","Grand Valley St.","Sr.","OF","44","4"
"","Madison Beaird","Arkansas Tech","Jr.","OF","49","4"
"","Jason Berrios","Concordia (NY)","Sr.","OF","37","4"
"","Brett Bielec","Central Wash.","Sr.","OF","40","4"
"","Ryan Bostian","Catawba","Sr.","OF","50","4"
"","Jackson Boyd","Seton Hill","Jr.","OF","46","4"
"","Jake Brower","Missouri S&T","Jr.","1B","33","4"
"","Brendon Buckley","New Haven","So.","INF","38","4"
"","Brett Bullard","Claflin","Jr.","INF","36","4"
"","Andrew Castaneda","Colorado St.-Pueblo","Sr.","OF","44","4"
"","Brad Clement","Northern Ky.","Jr.","INF","46","4"
"","Stephen Clout","New Haven","Jr.","OF","38","4"
"","Cory Colucci","Northwood (MI)","Jr.","OF","38","4"
"","C Constantin","St. Andrews","Fr.","-","36","4"
"","Casey Cotter","Merrimack","Jr.","INF","44","4"
"","Curtis Cowell","Colorado St.-Pueblo","Jr.","INF","43","4"
"","Kyle Crist","Davis & Elkins","Jr.","P","46","4"
"","Cody Crutcher","Southwest Baptist","Sr.","INF","35","4"
"","John Cucchiarella","Belmont Abbey","Sr.","INF","42","4"
"","Pat Curtin","Tiffin","Sr.","C","43","4"
"","Kyle Davis","USciences","Jr.","INF","33","4"
"","Patrick Dockendorf","Minn. St. Mankato","Sr.","INF","40","4"
"","Bubba Dotson","Mo. Western St.","Jr.","OF","41","4"
"","Nicky Elderton","Saint Michael's","Fr.","OF","36","4"
"","Curt Fuqua","Lincoln Memorial","Jr.","INF","49","4"
"","Mike Gartland","USciences","Jr.","1B","30","4"
"","Mike Gasque","Lenoir-Rhyne","So.","INF","48","4"
"","George Hajjar","Felician","Sr.","OF","40","4"
"","Justin Henderson","West Tex. A&M","Jr.","OF","43","4"
"","Miguel Hidalgo","Felician","Sr.","SS","34","4"
"","Greg Jackson","Northeastern St.","Jr.","OF","44","4"
"","Matt Jacobs","Mass.-Lowell","Sr.","OF","43","4"
"","Michael Jordan","Benedict","Sr.","INF","36","4"
"","Billy Karalis","Stonehill","So.","C","44","4"
"","Will Kengor","Slippery Rock","So.","INF","46","4"
"","Shane Latshaw","Mercyhurst","Sr.","OF","48","4"
"","Bryan Lippincott","Concordia-St. Paul","Sr.","3B","40","4"
"","Alex Marrero","Nova Southeastern","Jr.","OF","35","4"
"","Eddie Mathis","Albany St. (GA)","Sr.","OF","42","4"
"","Luis Mila","Ky. Wesleyan","Sr.","1B","42","4"
"","Blake Miller","Western Ore.","Jr.","SS","39","4"
"","Jon Minucci","Southern N.H.","Jr.","OF","48","4"
"","Clay Mohr","N.M. Highlands","Sr.","OF","21","4"
"","Brett Moreland","Flagler","Jr.","C","49","4"
"","Keith Morrisroe","Concord","Sr.","SS","50","4"
"","Nick Natale","Palm Beach Atl.","Sr.","OF","31","4"
"","Aj Nunziato","Lander","Sr.","INF","48","4"
"","Jevonte Osterhout","Saint Rose","So.","3B","37","4"
"","Logan Parker","Northwest Nazarene","Jr.","OF","37","4"
"","Jalen-Romell Parks","Kentucky St.","Fr.","-","26","4"
"","Joe Petosa","Felician","Jr.","OF","40","4"
"","Kyle Petty","California (PA)","Jr.","P","48","4"
"","Esteban Raygoza","St. Mary's (TX)","Sr.","SS","48","4"
"","Eric Renegar","Brevard","Jr.","INF","48","4"
"","Mitch Roy","Alderson-Broaddus","Sr.","OF","45","4"
"","Frank Salerno","St. Thomas Aquinas","Jr.","INF","45","4"
