"Rank","Name","Team","Cl","Pos","G","AB","K","K Avg."
"1","Jon-Michael Brunner","West Liberty","Jr.","OF","17","53","0","0.0"
"","Noah Blackhurst","West Virginia St.","Sr.","INF","15","43","0","0.0"
"","Tyler Wild","Saint Michael's","Sr.","OF","5","14","0","0.0"
"4","Alex Lang","Ark.-Monticello","Sr.","INF","28","82","1","82.0"
"5","Josh Wyant","LeMoyne-Owen","Sr.","INF","22","70","1","70.0"
"6","Benji Sullivan","Delta St.","Jr.","SS","22","65","1","65.0"
"7","Jordan Murai","Hawaii Hilo","Jr.","INF","19","64","1","64.0"
"8","Matt Peters","California (PA)","Jr.","INF","18","56","1","56.0"
"","Cody Smith","West Virginia St.","Sr.","INF","20","56","1","56.0"
"10","Ryan Poppitz","Concordia-St. Paul","So.","3B","12","52","1","52.0"
"11","Danny Droll","Neb.-Kearney","Jr.","INF","27","102","2","51.0"
"12","Tyler Bunge","Mo.-St. Louis","Sr.","INF","14","48","1","48.0"
"13","Sean Murphy","Maryville (MO)","So.","OF","16","44","1","44.0"
"14","Brett Ackerman","Eastern N.M.","Sr.","INF","24","78","2","39.0"
"","Edwin Rivera","Lincoln (PA)","So.","C","13","39","1","39.0"
"16","Nick Chapman","West Tex. A&M","Jr.","OF","29","113","3","37.7"
"17","Anthony Payne","West Virginia St.","Jr.","P","20","75","2","37.5"
"18","Marco Garmendia","Adams St.","Fr.","3B","24","72","2","36.0"
"19","T. Brown","West Ga.","---","SS","29","107","3","35.7"
"20","Zacary Hawkins","Lee","Sr.","1B","30","105","3","35.0"
"21","Colton Beatty","Cal St. Stanislaus","---","3B","26","103","3","34.3"
"22","Tyler Ding","Tampa","Sr.","INF","26","101","3","33.7"
"23","Tim Ravel","Bloomsburg","Jr.","2B","18","67","2","33.5"
"24","Garrett Carpenter","Colorado Mesa","Sr.","P","19","64","2","32.0"
"","Mark Woltemate","Chestnut Hill","Sr.","2B","10","32","1","32.0"
"26","Jesus Cuevas","Cal St. L.A.","Jr.","OF","21","63","2","31.5"
"27","Daniel Carney","Cal St. East Bay","Jr.","INF","19","59","2","29.5"
"","Hayden Mobley","Malone","Jr.","C","18","59","2","29.5"
"29","Nick Gonzales","N.M. Highlands","Jr.","INF","24","85","3","28.3"
"30","Rafael Gonzalez","Winston-Salem","Sr.","3B","24","83","3","27.7"
"31","Michael Mastroberti","Southern N.H.","Jr.","SS","19","79","3","26.3"
"32","Josh Hampton","Wilmington (DE)","Sr.","3B","15","52","2","26.0"
"33","Jordan Edgerton","UNC Pembroke","Jr.","INF","30","128","5","25.6"
"34","Hunter Newman","Trevecca Nazarene","So.","1B","25","100","4","25.0"
"","Dylan Pounds","West Liberty","Fr.","INF","18","50","2","25.0"
"36","Jacob Carney","Shepherd","Fr.","INF","18","49","2","24.5"
"37","Cody Herald","Seton Hill","Jr.","INF","23","73","3","24.3"
"38","Zach Smith","Erskine","Jr.","INF","26","97","4","24.3"
"39","Zach Jacobs","Indianapolis","Jr.","OF","20","72","3","24.0"
"40","Mike Jurgella","St. Cloud St.","Jr.","C","17","71","3","23.7"
"","Michael Lott","Shepherd","Sr.","OF","21","71","3","23.7"
"42","Fico Kondla","Coker","Sr.","3B","28","93","4","23.3"
"43","Blake Edwards","Columbus St.","So.","2B","32","138","6","23.0"
"","Spencer Wolfe","Shepherd","Jr.","C","21","69","3","23.0"
"45","Connor McCallum","Minn. St. Mankato","Jr.","INF","19","67","3","22.3"
"","Jake Warner","Pitt.-Johnstown","Sr.","2B","19","67","3","22.3"
"47","Neal Chambless","Ga. Southwestern","Sr.","C","24","89","4","22.3"
"48","Jake Alexander","Central Mo.","So.","OF","22","66","3","22.0"
"","Dalton Gress","Francis Marion","Sr.","OF","24","66","3","22.0"
"","George Buteau","Saint Michael's","Jr.","1B","6","22","1","22.0"
"","Michael Dougherty","Saint Michael's","Jr.","2B","6","22","1","22.0"
"52","Mike Reed","Valdosta St.","Jr.","SS","25","87","4","21.8"
"","Orlando Rivera","Tampa","Jr.","3B","26","87","4","21.8"
"","Landon Young","Southwest Baptist","Sr.","INF","24","87","4","21.8"
"55","Joey Pollet","Miles","Sr.","OF","24","65","3","21.7"
"56","Mike Hayden","St. Anselm","Jr.","1B","12","43","2","21.5"
"","Tyler Krekling","Concordia-St. Paul","Jr.","OF","12","43","2","21.5"
"","Ernesto Rizzitano","Pitt.-Johnstown","So.","INF","16","43","2","21.5"
