"Rank","Name","Team","Cl","Pos","App","IP","SO","K/9"
"1","Alec Knop","Luther","Jr.","P","2","11.0","22","18.00"
"2","Daniel Smith","Williams","So.","P","1","2.1","4","15.43"
"","Andrew VanWazer","Chicago","Jr.","P","1","2.1","4","15.43"
"4","Andrew Hille","FDU-Florham","Jr.","P","4","16.0","27","15.19"
"5","Scott Goldberg","Colby","Jr.","P","1","6.0","10","15.00"
"6","J.J. Buckey","Ohio Wesleyan","Jr.","OF","3","11.0","18","14.73"
"7","Daniel Hull","Marywood","So.","DH","1","7.0","11","14.14"
"","Scott Plaza","Wis.-Whitewater","Sr.","P","1","7.0","11","14.14"
"9","Jacob Hadaway","Buena Vista","Fr.","P","3","10.1","16","13.94"
"10","Anthony Williford","MacMurray","Sr.","P","2","12.1","19","13.86"
"11","Collin Shaw","Mt. St. Joseph","Sr.","P","4","15.0","23","13.80"
"12","Aaron Cressley","Pitt.-Bradford","Jr.","P","3","17.0","26","13.76"
"13","Deion Hughes","Westminster (MO)","So.","OF","3","19.0","29","13.74"
"14","Taylor Bacon","Thomas (ME)","---","P","1","2.0","3","13.50"
"","Tommy Bergjans","Haverford","Jr.","P","3","12.2","19","13.50"
"","Ronnie Canestro","Rochester Inst.","Sr.","INF","1","4.0","6","13.50"
"","Tim Locke","Thomas (ME)","Jr.","P","1","2.0","3","13.50"
"","Sawyer Olson","Middlebury","So.","P","1","2.0","3","13.50"
"","Travis Sindles","Wis.-Oshkosh","Sr.","P","1","2.2","4","13.50"
"20","Delio Coutinho","New Jersey City","Sr.","P","5","26.1","39","13.33"
"21","Steve Ascher","SUNY Oneonta","Jr.","P","4","26.2","39","13.16"
"22","Gabe Kleiman","Bard","---","RF","2","9.0","13","13.00"
"23","Harley Moore","Dickinson","Jr.","P","3","21.0","30","12.86"
"","Patrick Walsh","Loras","So.","INF","1","7.0","10","12.86"
"25","Matt McKinney","Luther","Jr.","P","2","10.2","15","12.66"
"26","Collin Felhaber","Saint John's (MN)","Jr.","P","2","10.0","14","12.60"
"","Greg Jakusik","Stevens","So.","P","4","15.0","21","12.60"
"28","Mitch Hunnicutt","Hanover","Sr.","P","4","24.1","34","12.58"
"29","null McGee","Chapman","---","P","5","23.0","32","12.52"
"30","Eric Johnson","New England Col.","Sr.","P","3","13.0","18","12.46"
"","Kris Singh","North Central (IL)","Sr.","P","2","13.0","18","12.46"
