"Rank","Name","Team","Cl","Pos","G","AB","H"
"1","Jordan Walton","Randolph-Macon","Jr.","1B","42","176","81"
"2","Chad Mullins","Case","Sr.","3B","43","169","80"
"3","Brandon Rogalski","Washington-St. Louis","Jr.","OF","46","169","74"
"4","Drew Leachman","Birmingham-So.","Sr.","INF","39","162","73"
"5","Spencer Brunson","Mississippi Col.","Jr.","INF","42","168","70"
"6","Connor Madden","Chris. Newport","Jr.","INF","44","170","69"
"7","Matt Keen","Case","So.","SS","43","177","68"
"8","Sam Alexander","Case","Jr.","OF","42","173","67"
"9","Kyle Niermann","Bluffton","So.","P","36","166","66"
"","Daniel Putnam","Wis.-Whitewater","Sr.","OF","32","135","66"
"","Mike Rubino","Western New Eng.","So.","INF","40","152","66"
"12","Kyle Davis","Piedmont","Jr.","OF","38","164","65"
"","Nick Frederick","Pomona-Pitzer","Sr.","1B","39","152","65"
"","Matt Shoemaker","Chris. Newport","Jr.","INF","44","168","65"
"15","Jake Cintolo","Suffolk","Fr.","3B","39","145","64"
"","Tripp Lancaster","Methodist","Sr.","OF","44","182","64"
"","Stuart Magee","Mississippi Col.","Sr.","OF","42","175","64"
"18","Dave Ahern","Babson","Sr.","P","38","144","63"
"","Kevin Brashears","Shenandoah","Sr.","OF","39","156","63"
"","Tyler Diprato","Keene St.","Sr.","C","37","154","63"
"","Will Hawkins","Millsaps","Sr.","INF","42","171","63"
"","Hal Landers","Wheaton (MA)","Jr.","OF","35","156","63"
"","Brennyn Smith","Sul Ross St.","So.","3B","36","151","63"
"","Troy Tarrant","Hardin-Simmons","Jr.","OF","42","156","63"
"","Kyle Wooden","Guilford","Sr.","INF","35","135","63"
"26","Kyle Felix","Trinity (TX)","Sr.","C","44","170","62"
"","Greg Van Sickler","Shenandoah","Sr.","P","39","155","62"
"28","Taylor Berlin","Hardin-Simmons","Sr.","1B","42","160","61"
"","Nick Boggan","Cal Lutheran","So.","INF","40","149","61"
"30","Charlie Carluccio","Haverford","Sr.","SS","39","148","60"
"","Bobby Doyon","Keene St.","Sr.","OF","37","153","60"
"","Trey Forbes","Manchester","Sr.","C","36","144","60"
"","Brandon Hannon","Emory","Fr.","OF","42","146","60"
"","Jay Hiller","Hardin-Simmons","So.","OF","40","159","60"
"","T.C. Lee","Willamette","Sr.","OF","40","144","60"
"","Andrew Vallejo","Whittier","Jr.","OF","39","153","60"
"37","Chris Deig","Wabash","Jr.","OF","41","150","59"
"","Justin Juneau","Texas-Tyler","Sr.","1B","39","147","59"
"","Brian Weeks","Hardin-Simmons","Sr.","INF","42","166","59"
"40","Nick Clifton","Texas-Tyler","Sr.","1B","39","136","58"
"","Zach Frentsos","Ohio Wesleyan","Sr.","OF","38","153","58"
"","Kevin Jackson","Trinity (TX)","Sr.","INF","44","157","58"
"","Nick Pappas","Trinity (TX)","Jr.","INF","44","163","58"
"","Landon Scott","Whitworth","Jr.","INF","40","149","58"
"","Melvin Simmons","Old Westbury","Sr.","SS","41","154","58"
"","Nick Skala","Concordia Chicago","Jr.","C","33","135","58"
"","Pat Warrington","Southern Vt.","Jr.","OF","36","141","58"
"48","Nick Broyles","Bluffton","Jr.","OF","36","142","57"
"","Matthew Cornwell","Oglethorpe","Sr.","INF","42","165","57"
"","Sergio Davis","Methodist","Fr.","OF","41","157","57"
"","Mike Eaton","Southern Me.","Sr.","OF","33","130","57"
"","LeJuan Edwards","Hardin-Simmons","Sr.","OF","42","164","57"
"","Ty Foster","Manchester","Sr.","INF","36","151","57"
"","Dan Haugh","Wheaton (MA)","Jr.","INF","35","134","57"
"","Bobby Hillier","Thiel","Jr.","3B","35","130","57"
"","Brian Jordan","Randolph-Macon","Jr.","OF","42","166","57"
"","Greg Mitro","Randolph-Macon","Sr.","INF","41","171","57"
"","Lynden Pindling","Rhodes","So.","SS","44","158","57"
"","Sam Stahl","George Fox","Sr.","INF","35","149","57"
"","Montana Timmons","Wabash","So.","OF","41","150","57"
