"Rank","Name","Team","Cl","Pos","G","RBI"
"1","Chase Larsson","Cameron","Jr.","OF","44","80"
"2","Dodson McPherson","Wingate","Jr.","OF","54","77"
"3","Kenny Held","Cameron","Sr.","OF","44","72"
"4","Dean Green","Barry","Sr.","1B","50","71"
"5","Brian Yeung","Wingate","So.","INF","54","68"
"6","Logan Williams","Southern Ark.","Sr.","3B","44","65"
"7","Alexi Colon","Tusculum","Jr.","OF","50","62"
"","William Smalls","Albany St. (GA)","Jr.","SS","52","62"
"9","Chris Dula","Catawba","Fr.","3B","53","61"
"","Joe Maloney","Limestone","Jr.","C","52","61"
"11","Matt Roohan","Incarnate Word","Sr.","INF","47","59"
"","Adam Shank","St. Edward's","Jr.","OF","44","59"
"","Shawn Ward","Georgia College","Sr.","OF","49","59"
"14","Evan Gazza","Davis & Elkins","Sr.","OF","42","58"
"","Preston Shuey","Francis Marion","Sr.","1B","47","58"
"16","Kendall Boone","West Tex. A&M","Jr.","INF","48","57"
"17","Kellen Bozeman","Delta St.","Sr.","DH","46","56"
"","Michael Knox","Mount Olive","Jr.","DH","46","56"
"","Cody Pack","Lincoln Memorial","Sr.","OF","51","56"
"20","Greg Pron","West Fla.","Sr.","OF","48","55"
"21","Steve Anderson","Grand Valley St.","Jr.","OF","40","54"
"","Jordan Easom","West Tex. A&M","Jr.","OF","49","54"
"","Tanner Funk","Georgia College","Jr.","SS","50","54"
"24","Daniel Dillard","Western Ore.","Sr.","OF","42","53"
"","Garrett Furr","Catawba","So.","DH","50","53"
"26","John Couch","Lincoln Memorial","Sr.","INF","51","52"
"","Nick Markis","Arkansas Tech","Sr.","3B","43","52"
"28","Michael Brittian","Mars Hill","Sr.","OF","48","51"
"","Brandon Choate","Southern Ark.","Sr.","C","40","51"
"","Nick DeBiasse","Central Mo.","Sr.","INF","46","51"
"","David Fox","Metro St.","Sr.","OF","40","51"
"","Andrew Haake","Neb.-Kearney","Sr.","1B","43","51"
"","Cam Kneeland","Mass.-Lowell","Jr.","INF","38","51"
"","Tyson Littlewood","Dixie St.","Jr.","INF","47","51"
"35","Jess Cooper","West Tex. A&M","Jr.","INF","46","50"
"","Pierce Joseph","St. Augustine's","Sr.","OF","54","50"
"","Dustin Lawley","West Fla.","Sr.","OF","48","50"
"38","Sean Estand","St. Joseph's (IN)","Sr.","3B","44","49"
"","Matt Johnson","Arkansas Tech","Sr.","OF","46","49"
"","Jason Nappi","Harding","Sr.","INF","45","49"
"41","Bryce Baugh","West Tex. A&M","Jr.","INF","45","48"
"","Chris Vazquez","Belmont Abbey","Sr.","C","45","48"
"43","John Bolding","Erskine","Sr.","INF","51","47"
"","J.L. Buchanan","Colo. Christian","Sr.","1B","47","47"
"","Eric Deese","Ala.-Huntsville","Jr.","DH","44","47"
"","Eric Kitts","Lincoln Memorial","Sr.","1B","48","47"
"","Kevin Mager","Rollins","Jr.","INF","45","47"
"","Andy Marinelli","West Ga.","Fr.","-","48","47"
"","Will Miller","West Tex. A&M","Sr.","OF","47","47"
"","Gelson Perez","Lincoln Memorial","Jr.","INF","49","47"
"51","Drew Dwelly","Barry","Sr.","3B","50","46"
"","Cody Grice","Grand Valley St.","Jr.","OF","42","46"
"","Michael Niemann","Delta St.","Sr.","OF","46","46"
"","John Roberts","Armstrong","Jr.","C","46","46"
"55","Casey Allison","Wingate","Jr.","OF","54","45"
"","Justin Bagbey","Chowan","Jr.","INF","46","45"
"","Bryan Butcher","Morehouse","Jr.","C","41","45"
"","Brad Clement","Northern Ky.","So.","INF","43","45"
"","Jonathon Dalton","Carson-Newman","Sr.","OF","50","45"
"","Mike De La Rosa","Incarnate Word","So.","INF","42","45"
"","Joe Kley","Winona St.","Sr.","OF","37","45"
"","Matt Kuchenbecker","Minn. St. Mankato","Jr.","INF","39","45"
"","Robert LaRusso","Molloy","Sr.","1B","45","45"
"","Wayne Lewis","St. Augustine's","Jr.","OF","54","45"
"","Chris Love","Newberry","Sr.","INF","52","45"
"","Ryan McChesney","Florida Tech","Jr.","C","47","45"
"","Kyle Meads","Elizabeth City St.","So.","INF","40","45"
"","Jacob Rogers","Mount Olive","Jr.","3B","45","45"
"","Shannon Rush","Virginia St.","Sr.","INF","44","45"
"","Ethan Stuckly","Tarleton St.","Jr.","INF","44","45"
"71","Joe Andrade","Dixie St.","Jr.","C","43","44"
"","Charlie Dubanoski","Augustana (SD)","Sr.","INF","40","44"
"","Nelson Espinal","Southwestern Okla.","Sr.","2B","39","44"
"","Ricky Harris","Albany St. (GA)","Fr.","C","52","44"
"","Zach Krueger","Metro St.","Sr.","OF","39","44"
"","Troy Snitker","North Ga.","Jr.","C","49","44"
"77","Tate Allison","Angelo St.","Jr.","OF","47","43"
"","Adam Boucher","Southern Ark.","Sr.","2B","41","43"
