"Rank","Name","Team","Cl","Pos","G","R"
"1","Danny Poma","Hofstra","Sr.","OF","42","60"
"2","Jimmy Brenneman","Campbell","Sr.","OF","45","57"
"3","James Ramsey","Florida St.","Sr.","OF","43","55"
"4","Ian Parmley","Liberty","Sr.","OF","48","54"
"5","Troy Drummond","Delaware St.","Sr.","OF","43","53"
"6","Pat Blair","Wake Forest","Jr.","INF","45","52"
"7","Bobby Glover","Dayton","Sr.","OF","45","51"
"","Sean Moysh","Utah Valley","Jr.","OF","41","51"
"9","Billy Burgess","Utah Valley","Sr.","OF","40","50"
"","Tim Colwell","North Dakota St.","So.","OF","43","50"
"","Mason Katz","LSU","Jr.","1B","44","50"
"","Nick Ratajczak","Louisville","Jr.","2B","44","50"
"","Trea Turner","North Carolina St.","Fr.","INF","42","50"
"14","Sean Bignall","UALR","Sr.","OF","43","49"
"","Brandon Boudreaux","Tulane","Jr.","OF","44","49"
"","Marty Gantt","Col. of Charleston","Sr.","OF","44","49"
"","Travis Jankowski","Stony Brook","Jr.","OF","44","49"
"","Matt Wessinger","St. John's (NY)","Sr.","2B","44","49"
"19","Bill Cullen","VCU","So.","OF","44","48"
"","Jeff Roy","Rhode Island","So.","OF","45","48"
"21","Beau Amaral","UCLA","Jr.","OF","40","47"
"","Jordan Dean","Central Mich.","Jr.","INF","45","47"
"","Brock Hebert","Southeastern La.","Jr.","INF","45","47"
"","Jamodrick McGruder","Texas Tech","Jr.","INF","45","47"
"","Zac Mitchell","Belmont","Sr.","INF","44","47"
"","Tristan Moore","Wright St.","Sr.","OF","44","47"
"","Trenton Moses","Southeast Mo. St.","Sr.","3B","45","47"
"","Chris Taylor","Virginia","Jr.","INF","45","47"
"","Tanner Waite","New Mexico St.","Sr.","OF","43","47"
"30","Ryan Brown","William & Mary","Jr.","OF","45","46"
"","Cameron Cecil","Delaware St.","So.","C","43","46"
"","Boomer Collins","Dallas Baptist","Jr.","OF","43","46"
"","Austin Cousino","Kentucky","Fr.","OF","44","46"
"","Mitchell Garver","New Mexico","Jr.","C","45","46"
"","Josh Melendez","New Mexico","Jr.","INF","43","46"
"","Kenton Parmley","Southeast Mo. St.","Sr.","INF","44","46"
"","Mikey Reynolds","Texas A&M","Jr.","INF","44","46"
"38","Saxon Butler","Samford","Sr.","INF","45","45"
"","Austin Elkins","Dallas Baptist","Jr.","INF","39","45"
"","Johnny Field","Arizona","So.","OF","42","45"
"","Bryan Karraker","New Mexico St.","Sr.","OF","42","45"
"","Ryan Lindemuth","William & Mary","So.","INF","45","45"
"","Jake Rickenbach","Utah Valley","Sr.","SS","41","45"
"","Zeth Stone","Samford","Jr.","INF","45","45"
"","Brandon Thomas","Georgia Tech","Jr.","OF","44","45"
"46","Barrett Barnes","Texas Tech","Jr.","OF","47","44"
"","Kris Bryant","San Diego","So.","3B","44","44"
"","Michael Felton","Campbell","Jr.","INF","45","44"
