"Rank","Name","Team","Cl","Pos","G","RBI"
"1","Brett Lake","Emory","Jr.","OF","25","40"
"2","Derek Hug","Heidelberg","So.","OF","17","34"
"3","Julian Barzilli","Whittier","Sr.","3B","20","33"
"","Trevor Keele","Dallas","Jr.","INF","26","33"
"5","Tom Fairbanks","Wis.-Superior","Sr.","OF","11","31"
"","Wes Peacock","Emory","Jr.","OF","25","31"
"","Bobby Sanzone","Salisbury","Jr.","INF","19","31"
"8","Michael Paul","Shenandoah","Jr.","P","18","30"
"","Corey Wallace","Guilford","Sr.","INF","21","30"
"10","Trevor Oldham","Heidelberg","Jr.","INF","17","29"
"11","Sean McMillan","Redlands","Jr.","C","25","28"
"12","Aaron Cohen","Whitman","Sr.","P","25","27"
"13","Andrew Gronski","Case","Jr.","INF","16","26"
"","Tanner Nishioka","Pomona-Pitzer","Fr.","OF","22","26"
"","Stephen Zavala","Whittier","Jr.","C","22","26"
"16","Casey Hicks","Gallaudet","Sr.","C","17","25"
"17","Chase Burrow","Mary Hardin-Baylor","So.","OF","19","24"
"","Breck Davidson","Piedmont","Fr.","1B","21","24"
"","Andrew Frey","Case","Sr.","INF","16","24"
"","Jeff Gray","Hampden-Sydney","Jr.","1B","24","24"
"","Daniel Iturrey","Emory","Sr.","OF","25","24"
"","Jay Kenyon","Lynchburg","Jr.","C","16","24"
"23","Ramsey Abushala","Cal Lutheran","So.","OF","21","23"
"","Connor Griffith","Sul Ross St.","So.","1B","22","23"
"","Turner Mattson","Sul Ross St.","Jr.","INF","22","23"
"","Will Pharis","Huntingdon","Fr.","INF","24","23"
"","Clayton Truex","Linfield","Sr.","INF","21","23"
"28","Derek Dixon","George Fox","Sr.","1B","23","22"
"","Taryn Hayden","Ferrum","Sr.","DH","21","22"
"","Jacob Mayfield","Birmingham-So.","Jr.","C","23","22"
"","Alex McGill","Berry","Jr.","3B","21","22"
"","Eric Monroe","Heidelberg","Jr.","INF","17","22"
"","Christian Muscarello","Trinity (TX)","Sr.","INF","23","22"
"","Simon Rosenbaum","Pomona-Pitzer","So.","P","21","22"
"","Billy Steel","Chris. Newport","Sr.","INF","18","22"
