"Rank","Name","Team","Cl","Pos","G","3B"
"1","Tim Colwell","North Dakota St.","So.","OF","43","9"
"","Bill Cullen","VCU","So.","OF","44","9"
"","Travis Jankowski","Stony Brook","Jr.","OF","44","9"
"4","Nathan Burns","FIU","Jr.","OF","43","8"
"","Derek Fisher","Virginia","Fr.","OF","42","8"
"","Jamodrick McGruder","Texas Tech","Jr.","INF","45","8"
"","Casey Selsor","UTSA","Sr.","P","42","8"
"8","Jake Arrington","Sam Houston St.","Sr.","INF","38","7"
"9","Thomas Brittle","Clemson","Jr.","OF","40","6"
"","Bobby Brown","Arizona","Sr.","OF","32","6"
"","Thomas Brown","Grambling","So.","INF","35","6"
"","William Carmona","Stony Brook","Jr.","INF","44","6"
"","Casey Coy","Northern Colo.","Sr.","INF","39","6"
"","Austin Elkins","Dallas Baptist","Jr.","INF","39","6"
"","Dominic Fratantuono","Towson","So.","OF","41","6"
"","Nolan Gaige","Albany (NY)","Jr.","P","42","6"
"","Jake Gonzalez","Houston Baptist","Jr.","OF","42","6"
"","Jeff Kemp","Radford","Jr.","INF","41","6"
"","Tony Kemp","Vanderbilt","So.","OF","44","6"
"","Austin Liput","S.C. Upstate","Sr.","INF","40","6"
"","Josh Melendez","New Mexico","Jr.","INF","43","6"
"","Aaron Nardone","Delaware St.","So.","C","41","6"
"","Cole Norton","St. Mary's (CA)","Jr.","OF","38","6"
"","James Ramsey","Florida St.","Sr.","OF","43","6"
"","Tyler Sciacca","Villanova","Sr.","SS","45","6"
"","Stephen Talbott","Purdue","Jr.","OF","38","6"
"","Brett Vertigan","UC Santa Barbara","Jr.","OF","42","6"
"","Ty Wiesemeyer","Illinois St.","Sr.","OF","39","6"
"29","Daniel Aldrich","Col. of Charleston","So.","OF","40","5"
"","Beau Amaral","UCLA","Jr.","OF","40","5"
"","Ryan Ashe","Wright St.","Sr.","OF","43","5"
"","Barrett Barnes","Texas Tech","Jr.","OF","47","5"
"","Shane Basen","Charlotte","Jr.","INF","43","5"
"","Jaycob Brugman","BYU","So.","OF","35","5"
"","Hunter Burton","Furman","So.","INF","42","5"
"","Eric Cain","South Dakota St.","Sr.","SS","42","5"
"","Tommy Coyle","North Carolina","Jr.","SS","43","5"
"","Jacob Daniel","Eastern Ky.","Sr.","OF","40","5"
"","Joey DeMichele","Arizona St.","Jr.","INF","43","5"
"","David Duffett","Bucknell","Sr.","INF","47","5"
"","Taylor Dugas","Alabama","Sr.","OF","45","5"
"","Greg Dupell","Navy","Jr.","INF","48","5"
"","Jake Fincher","North Carolina St.","Fr.","INF","38","5"
"","Jay Gonzalez","Auburn","So.","OF","44","5"
"","Andrew Green","East Tenn. St.","Jr.","OF","43","5"
"","Andrew Hahn","Navy","Sr.","OF","46","5"
"","Kevin Kaczmarski","Evansville","Fr.","OF","44","5"
"","Jason Kanzler","Buffalo","Jr.","OF","38","5"
"","Jared King","Virginia","Sr.","INF","45","5"
"","Joe Kohan","Nevada","Sr.","INF","42","5"
"","Trey Massenberg","Missouri St.","So.","OF","43","5"
"","Thomas Pope","UNC Wilmington","Sr.","OF","41","5"
"","Tim Proudfoot","Texas Tech","Fr.","INF","46","5"
"","Daniel Russell","Eastern Mich.","Jr.","OF","35","5"
"","Kyle Schwarber","Indiana","Fr.","C","45","5"
"","Nikolai Simonsen","Navy","So.","INF","48","5"
"","Connor Spencer","UC Irvine","Fr.","INF","38","5"
"","Ty Stetson","Murray St.","So.","OF","44","5"
"","Jeremy Sy","La.-Monroe","Sr.","INF","42","5"
"","Brandon Thomas","Georgia Tech","Jr.","OF","44","5"
"","David Thomas","Air Force","Fr.","INF","41","5"
"","Cullen Wacker","Auburn","Jr.","OF","43","5"
"","Will Walsh","Seton Hall","Sr.","OF","44","5"
"","Kyle Wren","Georgia Tech","So.","OF","43","5"
"65","Kody Adams","Georgia St.","Fr.","OF","44","4"
"","Nick Anderson","North Dakota St.","Sr.","OF","40","4"
"","Jay Anderson","Nevada","Fr.","OF","41","4"
"","Jared Andreoli","Western Ky.","Sr.","OF","39","4"
"","Jake Atwell","Virginia Tech","Sr.","P","27","4"
"","Isaac Ballou","Marshall","Jr.","OF","43","4"
"","Aaron Barbosa","Northeastern","So.","OF","38","4"
"","Alex Bast","Air Force","Jr.","C","42","4"
"","Preston Beck","Texas-Arlington","Jr.","INF","40","4"
"","Tyler Begun","Akron","So.","INF","44","4"
"","Cameron Bentley","UALR","Sr.","OF","42","4"
"","Jake Berry","Marist","So.","OF","39","4"
"","Daniel Bowman","Coastal Caro.","Sr.","OF","43","4"
"","Byron Campbell","Md.-East. Shore","So.","OF","42","4"
"","Branden Cogswell","Virginia","Fr.","INF","30","4"
"","Brad Collins","Gardner-Webb","Jr.","INF","43","4"
"","Chase Compton","La.-Lafayette","So.","1B","43","4"
"","Brandon Cotten","Rider","Sr.","OF","36","4"
"","Brandyn Crutcher","Alabama A&M","Fr.","OF","47","4"
"","Cameron Day","Norfolk St.","So.","OF","33","4"
"","Joey DeBernardis","Penn St.","Sr.","1B","44","4"
"","Ryan Deitrich","Penn","Jr.","P","39","4"
"","Marco DiRoma","Saint Louis","Sr.","C","36","4"
"","Luis Diaz","N.C. Central","Jr.","OF","44","4"
"","Nick Dini","Wagner","Fr.","INF","46","4"
"","Will Drake","Michigan","Fr.","OF","36","4"
"","Dustin Dunlop","Eastern Ky.","Sr.","INF","34","4"
"","Josh Eldridge","Old Dominion","Fr.","OF","40","4"
"","Johnny Field","Arizona","So.","OF","42","4"
"","Matt Fleishman","Villanova","Sr.","OF","45","4"
"","Josh Foust","Houston Baptist","Jr.","INF","42","4"
"","Jordan Fox","UC Irvine","Sr.","INF","40","4"
"","Ryan Fuller","Connecticut","Sr.","INF","44","4"
"","Richard Gonzalez","Alabama St.","Fr.","C","48","4"
"","Bradley Goodson","Col. of Charleston","Jr.","INF","44","4"
"","Chris Gruarin","Canisius","Jr.","OF","45","4"
"","Justin Guidry","Middle Tenn.","Sr.","OF","46","4"
"","Jordy Hart","Utah Valley","Fr.","OF","33","4"
"","Kai Hatch","Utah Valley","Jr.","INF","41","4"
"","Dillon Haupt","San Diego","Jr.","C","44","4"
"","Lucas Herbst","Santa Clara","Sr.","OF","26","4"
"","Jason Hockemeyer","Evansville","Jr.","OF","42","4"
"","Joe Jackson","Citadel","So.","C","44","4"
"","Casey Kalenkosky","Texas St.","Sr.","INF","42","4"
"","Jesse Kelso","Canisius","So.","OF","38","4"
"","Bo Kinder","Eastern Mich.","Sr.","OF","39","4"
"","Brooks Klein","Nevada","Jr.","OF","43","4"
"","Robert Lawrence","Middle Tenn.","Jr.","INF","27","4"
"","Justin Lesson","Georgetown","Jr.","OF","41","4"
"","Jake Luce","Elon","Sr.","OF","43","4"
"","Alex Maldonado","Holy Cross","Jr.","INF","49","4"
"","Deven Marrero","Arizona St.","Jr.","INF","41","4"
"","Joseph McCrary III","Savannah St.","Jr.","OF","42","4"
"","Alex Mejia","Arizona","Jr.","INF","42","4"
"","Mike Miller","Cal Poly","Sr.","INF","42","4"
"","Zac Mitchell","Belmont","Sr.","INF","44","4"
"","Jacob Morley","VMI","Sr.","OF","44","4"
"","Sean Moysh","Utah Valley","Jr.","OF","41","4"
"","John Murphy","Sacred Heart","Jr.","INF","38","4"
"","Tyler Naquin","Texas A&M","Jr.","OF","44","4"
"","Brian O'Grady","Rutgers","So.","OF","43","4"
"","Brent Ohrman","Eastern Mich.","Sr.","INF","40","4"
"","Jordan Owen","UT Martin","Sr.","OF","43","4"
"","Jensen Park","Northern Colo.","Fr.","OF","43","4"
"","Mark Payton","Texas","So.","OF","41","4"
"","Cole Peragine","Stony Brook","Fr.","INF","43","4"
"","Stephen Perez","Miami (FL)","Jr.","SS","39","4"
"","Will Piwnica-Worms","Duke","Sr.","OF","41","4"
"","Luke Plucheck","Sam Houston St.","So.","OF","42","4"
"","Robert Refsnyder","Arizona","Jr.","OF","42","4"
"","Mason Robbins","Southern Miss.","Fr.","OF","41","4"
"","Chance Ross","Creighton","Sr.","INF","38","4"
"","Sean Samsa","Ark.-Pine Bluff","Jr.","INF","43","4"
"","Adrian Schenk","Northern Colo.","Sr.","OF","42","4"
"","Robb Scott","Bucknell","Jr.","INF","44","4"
"","Andy Smith","Liberty","Jr.","OF","41","4"
"","Kyle Stiner","New Mexico","Sr.","2B","45","4"
"","Darnell Sweeney","UCF","Jr.","INF","44","4"
"","Chris Taylor","Virginia","Jr.","INF","45","4"
"","Luke Tendler","N.C. A&T","So.","INF","42","4"
"","Tyler Tewell","Appalachian St.","Jr.","C","41","4"
"","Jake Thomas","Bowling Green","So.","OF","38","4"
"","Brett Thomas","Oregon","So.","OF","40","4"
"","Tanner Vavra","Valparaiso","Jr.","INF","42","4"
"","Kyle Von Tungeln","TCU","Jr.","OF","39","4"
"","Stephen Vranka","Pittsburgh","So.","OF","40","4"
"","Brandon Wilkerson","N.C. A&T","Fr.","OF","28","4"
"","Tyler Zupcic","Appalachian St.","Jr.","OF","40","4"
