"Rank","Name","Team","Cl","Pos","App","IP","SO","K/9"
"1","Ben Hughes","St. Olaf","Jr.","P","9","50.7","73","12.96"
"2","Zach Rafferty","Anna Maria","Sr.","P","10","45.3","65","12.91"
"3","Pat Gale","Staten Island","Sr.","P","8","52.0","72","12.46"
"4","Mike Weinhold","Alvernia","Fr.","P","7","35.7","49","12.35"
"5","Chris Chismar","SUNY New Paltz","So.","P","9","54.7","75","12.34"
"6","Joe Bartlinski","Kean","Sr.","P","9","40.7","55","12.16"
"7","Jeff Puopolo","Bridgewater St.","Sr.","P","9","41.7","56","12.09"
"8","Chad Sherman","Texas-Tyler","Sr.","P","11","72.7","95","11.76"
"9","Brian Rauh","Chapman","So.","P","11","82.3","106","11.59"
"10","Mark Williams","Marietta","Sr.","P","14","49.7","64","11.59"
"11","Aaron Schuldt","SUNY Cortland","Jr.","P","8","53.7","69","11.56"
"12","Pat Considine","St. Lawrence","Jr.","P","8","41.3","53","11.55"
"13","Oliver Van Zant","Bowdoin","So.","SS","8","43.0","55","11.51"
"14","Joshua Cox","St. John Fisher","Jr.","P","9","37.0","47","11.43"
"15","Russell Gilliam","Neumann","So.","P","10","52.0","66","11.42"
"16","Brendan Close","Moravian","Jr.","P","10","71.7","91","11.42"
"17","Ben Klimesh","Trinity (TX)","Jr.","P","16","81.3","102","11.29"
"18","Steve Oehlschlaeger","Eastern Nazarene","Sr.","P","9","52.0","65","11.25"
"19","Bryant Rude","Wis.-La Crosse","Sr.","P","8","45.0","56","11.20"
"20","Matt Barnes","Wooster","Sr.","P","13","45.7","56","11.03"
"21","Andrew Kirk","Alvernia","Jr.","P","7","49.0","60","11.02"
"22","Brian Cubero","Lehman","Jr.","P","12","57.3","70","10.99"
"","Ryan Domschot","Adrian","Sr.","P","9","57.3","70","10.99"
"24","John Apostolo","Mitchell","Jr.","P","11","56.0","68","10.93"
"25","Nick Douglass","Southern Me.","So.","P","10","38.0","46","10.89"
"","Mike Pereslucha","Allegheny","Sr.","P","7","38.0","46","10.89"
"27","Greg Ross","Frostburg St.","Sr.","P","13","76.0","91","10.78"
"28","Mike Cieszko","Rensselaer","Sr.","INF","11","56.3","67","10.71"
"29","Noah Shaw","Lesley ","Jr.","OF","9","46.3","55","10.69"
"30","Garrett Methvin","LeTourneau","So.","P","9","63.7","75","10.60"
"31","Justin D'Amato","St. John Fisher","Fr.","P","10","57.0","67","10.58"
"32","Lee Schurlknight","Sewanee","Fr.","P","11","41.7","49","10.58"
"33","Travis Ratliff","SUNY Cortland","Sr.","P","9","49.7","58","10.50"
"34","Zach Lauersdorf","Wis.-La Crosse","Jr.","P","14","36.0","42","10.50"
"35","Collin Shaw","Mt. St. Joseph","Fr.","P","7","37.0","43","10.46"
"36","Matt Regan","Juniata","Jr.","P","9","57.0","66","10.42"
"37","Corey Batista","Bridgewater St.","So.","P","9","52.0","60","10.38"
"38","Byron Minnich","Cal Lutheran","Jr.","P","24","40.0","46","10.35"
"39","Rocky Sawyer","Scranton","Jr.","P","9","48.7","56","10.35"
"40","Tyler Erickson","Castleton","Jr.","P","11","62.0","71","10.31"
"41","Travis Hughes","DeSales","Sr.","P","21","36.7","42","10.30"
"42","Matt Dunford","Medaille","Sr.","P","13","63.3","72","10.24"
"43","Shane O'Donnell-Leach","Lyndon St.","Jr.","P","7","44.0","50","10.23"
