"Rank","Name","Team","Cl","Pos","G","AB","H"
"1","Jackson Oliver","Columbus St.","So.","OF","32","140","56"
"2","Jordan Edgerton","UNC Pembroke","Jr.","INF","30","128","54"
"3","Daniel Fraga","UNC Pembroke","Sr.","INF","30","127","53"
"","Will Fulmer","Montevallo","Sr.","INF","30","128","53"
"5","Blake Edwards","Columbus St.","So.","2B","32","138","52"
"6","Tyler Moore","S.C. Aiken","So.","OF","27","122","51"
"7","Tyler Gaby","King (TN)","Sr.","OF","32","128","50"
"","Patrick Grady","Lander","Sr.","OF","30","113","50"
"9","Jacob Campbell","Albany St. (GA)","Sr.","OF","32","105","49"
"","Andy Crowley","California Baptist","Jr.","OF","28","123","49"
"11","Drew Cole","UNC Pembroke","Jr.","INF","30","122","47"
"12","Dustin Averett","Columbus St.","Jr.","C","32","125","46"
"","Jay Gonzalez","Mount Olive","Sr.","OF","30","114","46"
"","Erik Lunde","Lander","Sr.","INF","30","121","46"
"","Nick Perez","Saint Leo","Jr.","INF","21","85","46"
"","Jon Phillips","Southern Ark.","Jr.","INF","31","117","46"
"17","Ben Agredano","Ark.-Monticello","Sr.","INF","31","121","45"
"","Tyler Cameron","Southern Ark.","Sr.","INF","31","125","45"
"","Graham Ramos","Lander","Sr.","INF","29","115","45"
"20","Nick Chapman","West Tex. A&M","Jr.","OF","29","113","44"
"","Raymond Crawford","Winston-Salem","Jr.","INF","30","114","44"
"","Clayton Miller","Armstrong","Sr.","C","26","107","44"
"","Carver Rademacher","Southern Ark.","So.","1B","31","126","44"
"","Josh Rudnik","Young Harris","Sr.","P","31","130","44"
"25","Bo Ausmus","Carson-Newman","Jr.","SS","32","123","43"
"","Kyle Booth","Limestone","Jr.","1B","30","106","43"
"","Steven Cooper","Anderson (SC)","So.","INF","31","119","43"
"","Weston Lawing","Lander","Jr.","OF","29","122","43"
"","Jack Morrow","Young Harris","Sr.","C","31","118","43"
"","Anthony Pacheco","Neb.-Kearney","So.","OF","27","102","43"
"","Phillip Wilson","Central Okla.","Sr.","P","24","87","43"
"","Paul Winterbottom","Stillman","Jr.","INF","28","98","43"
"33","Clay Ardeeser","Georgia College","Jr.","INF","24","102","42"
"","Andrew Brodbeck","Flagler","Jr.","INF","29","122","42"
"","Skippy Ferreria","Cal St. Stanislaus","Jr.","INF","26","100","42"
"","Mike Kattula","Arkansas Tech","Sr.","1B","28","106","42"
"","Bradon Reitano","Mount Olive","Sr.","SS","29","100","42"
"","Jackson Slaid","Montevallo","Sr.","C","30","129","42"
"39","Chad Balderman","Limestone","Sr.","OF","30","118","41"
"","Brendan Collins","Columbus St.","Jr.","OF","32","132","41"
"","Trey Drewery","Tusculum","Sr.","OF","29","112","41"
"","Danny Droll","Neb.-Kearney","Jr.","INF","27","102","41"
"","Chris Farrell","Palm Beach Atl.","Jr.","3B","25","94","41"
"","David Hebert","West Tex. A&M","Sr.","INF","29","113","41"
"","Nick Howell","Trevecca Nazarene","Sr.","OF","25","98","41"
"","Nick Kranick","Flagler","Jr.","INF","29","107","41"
"","Connor Lewis","Lander","Sr.","INF","30","122","41"
"","Reise McDaniel","Albany St. (GA)","---","CF","31","113","41"
"","Sean Miller","S.C. Aiken","So.","INF","28","101","41"
"","Tyler Summers","Pfeiffer","Sr.","INF","30","117","41"
"","Chase Williams","Miles","So.","C","24","96","41"
"52","Andrew Arteaga","Tex. A&M Int'l","---","RF","29","113","40"
"","Albert Baur","Newberry","Jr.","INF","31","120","40"
"","Chris Dennis","Fla. Southern","Jr.","3B","29","107","40"
"","Stephen Dezzi","Tampa","Jr.","OF","29","94","40"
"","Brett Huffman","UNC Pembroke","Sr.","INF","30","122","40"
"","Wes Koenig","St. Edward's","Sr.","1B","29","102","40"
"","Brandon Landanger","Neb.-Kearney","Jr.","OF","27","107","40"
"","Ryan Metzler","S.C. Aiken","Jr.","INF","28","108","40"
"","Derrick Pitts","Lee","Sr.","OF","30","104","40"
"","Sheehan Planas-Arteaga","Barry","Jr.","1B","27","97","40"
"","Evan Rogers","Mars Hill","So.","INF","32","125","40"
"63","Andrew Bartlett","Florida Tech","Sr.","INF","29","119","39"
"","Colton Beatty","Cal St. Stanislaus","---","3B","26","103","39"
"","Kelvin Brito","Lincoln Memorial","---","RF","28","105","39"
"","Josh Coker","Lincoln Memorial","Sr.","P","30","103","39"
"","TJ Costen","S.C. Aiken","---","3B","28","112","39"
"","Clinton Harwick","Point Loma","Sr.","SS","27","104","39"
"","Matthew Haskins","Montevallo","Jr.","OF","30","116","39"
"","Andrew Kozak","Erskine","Jr.","OF","26","100","39"
"","KJ McAllister","Limestone","Sr.","SS","30","115","39"
"","Drew McLaughlin","Dixie St.","Fr.","SS","30","120","39"
"","Logan Moon","Mo. Southern St.","Sr.","OF","26","95","39"
"","Wigberto Nevarez","Lubbock Christian","---","C","27","96","39"
"","Jesse Pintado","Lubbock Christian","---","SS","26","106","39"
"","Vinny Rodriguez","Montevallo","Jr.","OF","23","102","39"
"","JD Sabo","GRU Augusta","Sr.","OF","28","115","39"
"","Ben Schmucker","UNC Pembroke","Jr.","OF","30","125","39"
"","Alvin Swoope","Nova Southeastern","Fr.","INF","28","107","39"
"80","Phillip Carroll","Mars Hill","So.","OF","32","113","38"
"","Alex DeBellis","Lynn","Jr.","C","29","108","38"
"","Joseph Eusebio","Cal Poly Pomona","Sr.","OF","27","109","38"
"","Matthew Fears","Valdosta St.","Sr.","INF","25","98","38"
"","Jonathan Freemyer","Northwestern Okla.","Jr.","DH","28","96","38"
"","Logan Galliher","Erskine","Jr.","OF","26","91","38"
"","Jon Gray","Pfeiffer","Sr.","INF","30","123","38"
"","Dylan Harris","Saint Leo","Fr.","INF","27","107","38"
"","Mark Hurley","Cal St. Monterey Bay","Sr.","OF","29","107","38"
"","Austin Kaiser","Colorado Mesa","Sr.","OF","21","77","38"
"","David King","Mars Hill","Jr.","DH","31","111","38"
"","Chris Scura","Limestone","Jr.","SS","30","123","38"
"92","Lel Clemmons","Winston-Salem","---","CF","31","111","37"
"","Garrett Cook","King (TN)","Sr.","OF","33","118","37"
"","Zade Denton","UNC Pembroke","Jr.","INF","29","110","37"
"","Tyler Ding","Tampa","Sr.","INF","26","101","37"
"","Paul Kronenfeld","Catawba","Sr.","1B","29","103","37"
"","Hunter Newman","Trevecca Nazarene","So.","1B","25","100","37"
"","Tyler Tichenor","Trevecca Nazarene","So.","OF","25","97","37"
"","Nick Tindall","Tampa","Jr.","C","28","100","37"
"","Michael Wilson","Francis Marion","Sr.","INF","28","112","37"
"101","David Armendariz","Cal Poly Pomona","---","LF","26","109","36"
"","Ty Barkell","S.C. Aiken","Jr.","INF","28","104","36"
"","Shane Billings","Wingate","Fr.","2B","28","113","36"
"","Spencer Blacksher","Southwest Baptist","Jr.","INF","24","95","36"
"","Matt Calhoun","Harding","Sr.","INF","28","89","36"
"","Kyle Conkle","North Ala.","Jr.","P","31","104","36"
"","Chase Corn","Erskine","Sr.","OF","26","98","36"
"","R.J. Dennard","Armstrong","Jr.","C","26","101","36"
"","Dalton Eisenbath","Mars Hill","So.","INF","32","110","36"
"","Sal Giardina","Lynn","Sr.","3B","29","98","36"
"","Keaton Hawks","Catawba","Sr.","OF","29","110","36"
"","Blake Houston","Catawba","Jr.","OF","29","112","36"
"","Shaquille Jackson","West Ga.","Sr.","OF","25","101","36"
"","Thomas Kain","Lynn","Jr.","3B","29","108","36"
"","Matt Kimmel","Azusa Pacific","Sr.","OF","22","84","36"
"","Dalton Knight","UNC Pembroke","Jr.","INF","26","101","36"
"","Kevin Meriwether","Cal St. San B'dino","Jr.","INF","24","98","36"
"","Brody Miller","Mont. St. Billings","Jr.","INF","24","86","36"
"","Blair Moore","California Baptist","Sr.","INF","28","105","36"
"","Chris Morley","Adams St.","So.","OF","25","91","36"
"","Tyler Nordgren","Point Loma","Sr.","3B","27","100","36"
"","Jimmy Obermark","Columbus St.","Sr.","SS","30","111","36"
"","Payton Osbon","Okla. Panhandle","So.","2B","31","111","36"
"","Zach Smith","Erskine","Jr.","INF","26","97","36"
"","Jake Taylor","Flagler","Jr.","1B","28","112","36"
"","Joe Tipton","Carson-Newman","So.","OF","30","116","36"
"","Tremayne Toorie","North Georgia","Jr.","OF","26","112","36"
"","Ivan Vieitez","Lenoir-Rhyne","Jr.","OF","27","89","36"
"129","Deandre Allen","Mount Olive","Jr.","2B","30","105","35"
"","Joshua Banuelos","Fresno Pacific","Jr.","INF","25","89","35"
"","Eric Barbieri","Newberry","Sr.","INF","31","118","35"
"","Tyler Blair","Dixie St.","Sr.","1B","31","115","35"
"","Matt Bosse","S.C. Aiken","---","LF","27","106","35"
"","Dalton Daniels","Southwestern Okla.","Jr.","INF","26","94","35"
"","Isaac Davenport","Francis Marion","Sr.","OF","25","99","35"
"","Codey Ellenwood","Hawaii Pacific","Jr.","DH","24","85","35"
"","Skylar Fox","Flagler","Jr.","INF","28","116","35"
"","Cooper Gunter","Limestone","Sr.","1B","30","103","35"
"","Brock Helton","Brevard","Fr.","OF","28","106","35"
"","Mitch Holgate","West Ala.","So.","INF","27","112","35"
"","Ernie Kirkwood","Coker","Sr.","OF","28","99","35"
"","Joel Lutz","Lubbock Christian","Fr.","3B","27","102","35"
"","Grant McKown","Florida Tech","Fr.","INF","28","92","35"
"","Zach Santos","Shorter","---","SS","28","102","35"
"","Josh Silver","Lee","Sr.","SS","30","111","35"
"","Thomas Spitz","Wingate","Jr.","OF","28","101","35"
"","Conor Szczerba","Fla. Southern","Sr.","2B","29","113","35"
"","Fernando Tanaka","Stillman","Jr.","INF","29","95","35"
"","Tom Valichka","Young Harris","Sr.","INF","30","110","35"
"","Trey Vavra","Fla. Southern","Sr.","1B","29","109","35"
"","J.D. Wallace","King (TN)","Sr.","C","29","99","35"
"","Brandon Weller","Mo. Southern St.","Jr.","INF","26","94","35"
"153","Manny Acosta","Cal St. L.A.","Sr.","INF","25","97","34"
"","Kyle Bailey","Anderson (SC)","So.","INF","31","118","34"
"","Chandler Brock","Ala.-Huntsville","Jr.","OF","29","104","34"
"","Paul Como","Anderson (SC)","Sr.","OF","31","117","34"
"","Ryan Cranmer","Newberry","Sr.","INF","26","101","34"
"","Joseph Daris","Azusa Pacific","Sr.","OF","22","89","34"
"","David Goggin","Angelo St.","So.","C","29","103","34"
"","Zacary Hawkins","Lee","Sr.","1B","30","105","34"
"","Dane Hutcheon","Montevallo","Fr.","INF","30","113","34"
"","Will Kengor","Slippery Rock","Sr.","INF","20","86","34"
"","Jeff Martin","Northwestern Okla.","Jr.","1B","28","96","34"
"","Alex McKeon","Tex. A&M Int'l","Jr.","C","26","90","34"
"","Parker Norris","Ouachita Baptist","Jr.","INF","27","102","34"
"","Jermale Paige","Newberry","Sr.","OF","31","116","34"
"","Joe Post","Flagler","Sr.","INF","27","105","34"
"","Matt Redfearn","West Tex. A&M","Sr.","INF","29","113","34"
"","Mike Reed","Valdosta St.","Jr.","SS","25","87","34"
"","Jerry Roam","Lindenwood (MO)","Sr.","OF","24","95","34"
"","Tony Sandifer","Central Mo.","Jr.","INF","27","87","34"
"","Jake Sandlin","Georgia College","Jr.","INF","25","94","34"
"","Nick Spini","East Central","Jr.","OF","29","105","34"
"","Chevis Springer","Southeastern Okla.","Sr.","OF","28","107","34"
"","Mario Urdaneta","Nova Southeastern","Jr.","OF","28","93","34"
"","Andrew Webster","Barton","Fr.","INF","28","105","34"
"","Zack Willoughby","Montevallo","Jr.","OF","30","114","34"
"178","Austin Allen","Florida Tech","So.","C","29","104","33"
"","James Anderson","Harding","Sr.","C","28","102","33"
"","Tyler Avera","Armstrong","Jr.","INF","26","106","33"
"","Kody Belcher","S.C. Aiken","---","CF","27","101","33"
"","Aaron Blair","West Tex. A&M","Jr.","INF","28","100","33"
"","Nicholas Christopher","Virginia St.","Jr.","P","26","89","33"
"","Josh Clark","Wingate","Jr.","C","28","103","33"
"","Sam Cothran","Erskine","So.","OF","24","88","33"
"","Keith Curcio","Fla. Southern","Jr.","OF","29","111","33"
"","Ryan Degner","Mo. Western St.","Jr.","OF","24","88","33"
"","Anthony Diminio","Belmont Abbey","So.","OF","32","109","33"
"","Mike Failoni","Lindenwood (MO)","Sr.","1B","25","82","33"
"","Zack Ferreira","Northwest Mo. St.","Fr.","INF","24","86","33"
"","T.J. Giczkowski","Coker","Sr.","INF","28","96","33"
"","Justin Harris","Emporia St.","Jr.","OF","25","99","33"
"","Chip Helton","Brevard","Fr.","P","26","94","33"
"","Taylor Hinshaw","Georgia College","Sr.","OF","23","84","33"
"","Alex Kirby","Newberry","Jr.","OF","25","79","33"
"","Kevin Kline","Dixie St.","Jr.","INF","31","116","33"
"","Trevor LaHonta","Mo. Western St.","Jr.","OF","24","99","33"
"","Ransom LaLonde","St. Edward's","Sr.","INF","28","90","33"
"","Blake Massey","Ala.-Huntsville","Sr.","INF","29","106","33"
"","Joey Miller","Concord","Sr.","1B","22","72","33"
"","Adam Moore","Young Harris","Sr.","P","31","119","33"
"","Enrique Perez","Lynn","Sr.","OF","27","98","33"
"","Taylor Perez","Saint Leo","So.","INF","27","103","33"
"","Tyler Raymond","King (TN)","Jr.","OF","30","87","33"
"","Jocobby Robinson","West Ala.","Sr.","INF","27","86","33"
"","Chance San Miguel","Southern Nazarene","Sr.","C","28","103","33"
"","Eric Serra","Wingate","Sr.","OF","28","97","33"
"","Rustin Thomas","Tarleton St.","Sr.","OF","23","86","33"
"","T.J. Wharton","Catawba","Jr.","C","28","107","33"
"","Fran Whitten","Saint Leo","Sr.","P","27","84","33"
"","Brandon Wilson","Lubbock Christian","Fr.","1B","27","96","33"
"","Daniel Young","Benedict","So.","3B","26","83","33"
