"Rank","Name","Team","Cl","Pos","App","IP","SO"
"","Brad Isom","UNC Pembroke","Sr.","P","13","79.3","65"
"","Brett Kennedy","Valdosta St.","Sr.","P","17","75.3","65"
"","Trevor Leach","Southern Ind.","Sr.","P","12","95.7","65"
"","Kevin McGovern","Philadelphia U.","Jr.","C","11","55.0","65"
"","Bryant Rutledge","Angelo St.","Jr.","P","11","65.0","65"
"","Blake Wixson","Drury","Sr.","P","10","53.7","65"
"100","Dennis Bronson","Morehouse","Sr.","P","9","53.0","64"
"","Bo Budkevics","C.W. Post","So.","P","11","64.0","64"
"","Eric Cordova","Benedict","Jr.","P","13","63.3","64"
"","Brandon Droge","Newman","Jr.","P","13","85.0","64"
"","Wesley Edwards","Winston-Salem","So.","P","14","56.7","64"
"","Zach McElroy","Davis & Elkins","Jr.","P","13","74.3","64"
"","Mike Scudero","Adelphi","Sr.","P","12","67.3","64"
"107","Trent Evins","N.M. Highlands","Sr.","P","11","69.0","63"
"","Bryan Galligan","Stonehill","Sr.","P","9","62.7","63"
"","Jeremy Gigliotti","East Stroudsburg","Sr.","P","10","53.0","63"
"","Jeb Huber","West Ala.","Jr.","P","13","81.0","63"
"","Kevin Pettine","Southern Conn. St.","Sr.","P","11","69.0","63"
"","Brian Willis","UNC Pembroke","Sr.","P","18","53.0","63"
"","Tyler Witzel","Coker","So.","P","13","84.0","63"
"114","Thomas Lee","Sonoma St.","Jr.","P","13","63.0","62"
"","Zach Leitten","Mercyhurst","Jr.","P","10","46.0","62"
"","Bentley Massey","Barton","Jr.","P","12","71.3","62"
"","Danny Miller","Minn. St. Mankato","Sr.","OF","9","54.3","62"
"","Cy Mozingo","West Va. Wesleyan","Sr.","P","9","55.3","62"
"","Blake Schwartz","Minn. St. Mankato","Jr.","P","10","67.3","62"
"","Michael Sciarretta","Pace","Sr.","P","9","63.0","62"
"","Cole Stephens","Colorado St.-Pueblo","Sr.","P","10","60.3","62"
"","Logan Thomas","Palm Beach Atl.","Jr.","P","13","79.3","62"
"","Cameron Ward","Limestone","So.","P","15","82.0","62"
"124","Will Dismukes","Montevallo","So.","P","14","73.0","61"
"","Matt Holland","St. Mary's (TX)","Sr.","P","13","80.3","61"
"","Tim Jones","Tex. A&M-Kingsville","Sr.","P","13","71.3","61"
"","Jason Nicholas","Georgia College","Sr.","P","14","71.7","61"
"","Clifford Peterson","Albany St. (GA)","Fr.","P","15","84.0","61"
"","Ryan Pierce","St. Andrews","So.","P","14","66.7","61"
"","Joel Sanchez","Felician","Sr.","P","12","74.7","61"
"","Steve Simon","Southern Conn. St.","Sr.","P","9","50.3","61"
"","Ziggie Vanderwall","Southern Ark.","Jr.","P","13","57.7","61"
"133","Kevin Bosson","Cal Poly Pomona","Jr.","P","12","68.3","60"
"","Austin Bridgewater","Carson-Newman","Sr.","P","15","85.3","60"
"","Nathan Eller","Henderson St.","So.","P","11","75.3","60"
"","Brandon Hardin","Delta St.","Jr.","P","12","63.0","60"
"","Zach Jeney","Slippery Rock","Sr.","P","11","55.3","60"
"","Kyle Olney","Alderson-Broaddus","So.","P","15","53.3","60"
"","Luke Peyton","USciences","Jr.","P","11","66.3","60"
"","Ben Rawding","Mercyhurst","So.","P","12","58.0","60"
"","Doug Shields","Southern Ark.","Jr.","P","17","62.3","60"
"","Chris Thomas","Lander","So.","P","13","79.3","60"
"143","Jason Beaumont","Lynn","Jr.","P","13","77.7","59"
"","Kevin Brahney","Cal St. Chico","Sr.","P","8","47.0","59"
"","Gray Carden","Ga. Southwestern","Jr.","P","25","38.7","59"
"","Robert Frank","St. Thomas Aquinas","So.","P","11","57.0","59"
"","Trent Franzago","Ga. Southwestern","Jr.","P","10","70.0","59"
"","Tyson Gau","Augustana (SD)","So.","P","11","56.0","59"
"","Michael Jordan","Benedict","Jr.","INF","13","49.0","59"
"","Trent Landa","Armstrong","So.","P","14","71.0","59"
"","Austin Moyer","Catawba","Jr.","P","11","59.3","59"
"","Eric Pettepher","Georgia College","Sr.","P","12","76.0","59"
"153","Dylan Porter","West Chester","Jr.","P","12","51.3","58"
"","Wes Rehmert","Urbana","Sr.","P","10","63.7","58"
"","Jacob Rickett","North Ga.","Sr.","P","24","40.0","58"
"","Brandon Rohde","Central Wash.","Jr.","P","12","73.7","58"
"","Scott Shipman","Augusta St.","So.","P","12","81.0","58"
"","Andrew Stueve","Cal St. Stanislaus","Sr.","P","11","81.3","58"
"","Matt Treybig","Upper Iowa","Jr.","P","9","60.3","58"
"","Tyler Vails","Stillman","Fr.","P","13","60.0","58"
"","Michael Ward","Western Ore.","Sr.","P","11","75.0","58"
"162","Alex Britt","Carson-Newman","Jr.","P","13","63.0","57"
"","Jarrett Eiskina","Truman","So.","P","9","56.7","57"
"","Hunter Meekins","Barton","Sr.","P","14","83.0","57"
"165","Donovan Drake","Indianapolis","Jr.","P","13","50.0","56"
"","Mike Guinane","Georgia College","So.","P","14","84.7","56"
"","Joby Lapkowicz","Slippery Rock","So.","P","10","46.3","56"
"","Tony Mueller","Winona St.","Jr.","OF","8","48.0","56"
"","Dan Steers","Post","Sr.","P","10","66.3","56"
"","Brady Wager","Grand Canyon","So.","P","12","75.0","56"
"","Grady Wood","Western Ore.","Jr.","P","11","77.3","56"
"172","Tyler Badamo","Dowling","Fr.","P","9","50.7","55"
"","Peter Denyssenko","Concordia (NY)","Sr.","P","13","59.7","55"
"","John Gonzales","Tex. A&M Int'l","Sr.","P","16","85.0","55"
"","Charlie Henderson","Regis (CO)","Jr.","P","11","84.7","55"
"","Joseph Herbert","Winston-Salem","Fr.","P","14","53.0","55"
"","Wayne Richardson","Nyack","Sr.","INF","15","87.7","55"
"","Zeb Sneed","Northwest Nazarene","So.","P","11","50.3","55"
"","Ryan Turner","Tarleton St.","Jr.","P","23","35.0","55"
"","Ryan Westover","Ouachita Baptist","Jr.","P","14","65.3","55"
"181","Kenny Arnerich","Sonoma St.","Sr.","P","11","68.7","54"
"","Eric Aschley","Mercyhurst","Jr.","P","10","55.0","54"
"","Tyler Golden","Lock Haven","Sr.","P","10","46.7","54"
"","Stephen Johnson","St. Edward's","So.","P","13","66.7","54"
"","Atlee Pearson","Erskine","Sr.","P","21","48.3","54"
"","Kevin Rogers","Valdosta St.","Jr.","P","15","60.7","54"
"","Kyle Sayers","N.M. Highlands","Sr.","P","10","48.0","54"
"","Kyle Teague","Valdosta St.","Jr.","P","9","46.7","54"
"","Lou Trivino","Slippery Rock","Fr.","P","10","47.0","54"
"190","Josh Bagley","UNC Pembroke","Sr.","P","11","68.3","53"
"","J.T. Brodrick","Northwest Nazarene","Sr.","P","12","78.0","53"
"","Dylan Evans","Colorado Mesa","Jr.","P","12","64.7","53"
"","Wally Goodline","Cal St. L.A.","Sr.","P","12","75.3","53"
"","Toby Inouye","Hawaii Pacific","Sr.","P","11","62.3","53"
"","Shawn Kale","Lynn","Jr.","P","19","44.3","53"
"","Michael McGillivray","Tex. A&M Int'l","Sr.","P","17","76.0","53"
"","Ryan Modglin","Harding","So.","P","10","49.0","53"
"","B.J. Sieverding","St. Joseph's (IN)","Jr.","P","19","42.7","53"
"","Robby Thigpen","Carson-Newman","Jr.","P","13","72.0","53"
"200","Chad Boughner","North Ala.","So.","P","12","70.0","52"
"","Brittain Diamond","Henderson St.","Jr.","3B","10","62.7","52"
"","Ryan Griffin","Ala.-Huntsville","Jr.","P","10","50.3","52"
"","Steven Hathaway","Franklin Pierce","Fr.","P","7","35.3","52"
"","Dustin Javins","Dominican (NY)","Jr.","P","11","64.0","52"
"","Ian Ocon","Sonoma St.","So.","P","12","42.3","52"
"","Cutler Ruby","Post","Jr.","P","9","55.7","52"
"","Mark Sappington","Rockhurst","So.","P","11","66.7","52"
"","Kyle Schepel","Grand Valley St.","Jr.","P","10","52.7","52"
"","Andrew Shoemaker","Bluefield St.","Sr.","P","13","56.0","52"
"210","Kurt Bruce","Wilmington (DE)","Sr.","P","11","62.0","51"
"","Tyler Carpenter","Columbus St.","Fr.","P","15","61.3","51"
"","Jeremiah Cothiere","Palm Beach Atl.","Jr.","P","12","59.7","51"
