"Rank","Name","Team","Cl","Pos","App","IP","SO"
"","Ryan Rothenbuhler","Findlay","Sr.","P","9","44.7","41"
"","Zach Sneed","Abilene Christian","Sr.","P","21","59.3","41"
"","Lucas Waddell","Harding","So.","P","12","65.7","41"
"","Jordan Wellander","Barry","Jr.","P","16","48.0","41"
"413","Nicholas Albero","Dowling","So.","P","14","41.0","40"
"","Josh Barks","Augusta St.","So.","P","17","36.0","40"
"","Matt Bartolomei","Bridgeport","Jr.","P","19","52.3","40"
"","Adam Beach","Lake Erie","So.","P","10","43.7","40"
"","Carson Beauchaine","Saginaw Valley","So.","P","8","48.7","40"
"","Jeffrey Bohus","Philadelphia U.","So.","INF","9","53.0","40"
"","Jake Brandenberger","Flagler","Fr.","P","15","55.7","40"
"","Matt Curtis","Central Mo.","Sr.","P","11","56.0","40"
"","Tyler Dowse","Arkansas Tech","Jr.","P","13","44.7","40"
"","Doug Dulin","Saint Rose","Sr.","P","8","46.3","40"
"","Joe Green","Assumption","Sr.","P","8","57.0","40"
"","Jake Guengerich","Fla. Southern","Jr.","P","20","37.7","40"
"","Alex Guilford","Montevallo","Fr.","P","18","68.7","40"
"","John Hanna","American Int'l","Jr.","P","10","59.3","40"
"","Tyler Kincaid","Fairmont St.","So.","P","12","51.3","40"
"","Braxton Lewis","UNC Pembroke","Jr.","P","21","36.3","40"
"","C. J. Middlebrook","Shaw","Sr.","P","11","65.0","40"
"","Brandon Padgett","Lenoir-Rhyne","Sr.","P","15","59.0","40"
"","Bradshaw Perry","Metro St.","Sr.","P","10","61.7","40"
"","Kodey Simon","Winona St.","Jr.","P","8","53.0","40"
"","Tyler Stephenson","Mars Hill","Sr.","P","19","59.3","40"
"434","Nick Baker","Cal St. Chico","Fr.","P","11","57.7","39"
"","Derek Beasley","S.C. Aiken","Fr.","P","14","55.7","39"
"","John Commins","Davis & Elkins","Jr.","P","16","38.7","39"
"","Frank DeJiulio","Tampa","Jr.","P","15","47.0","39"
"","Steve Falconi","Regis (CO)","Jr.","P","11","60.3","39"
"","Jeremy Flores","Tex. A&M-Kingsville","So.","P","17","35.0","39"
"","Brantley Hattrich","UNC Pembroke","Jr.","P","18","33.0","39"
"","Neil Hesek","St. Anselm","Jr.","P","12","58.7","39"
"","Neil Hudson","St. Joseph's (IN)","Jr.","P","11","53.0","39"
"","Paul Hvozdovic","Shepherd","Fr.","P","15","45.0","39"
"","Garrett Jewell","Southern N.H.","Jr.","P","9","38.0","39"
"","Jeffery Jones","Miles","Jr.","P","9","56.0","39"
"","Kyle Lozensky","Mary","Jr.","P","8","47.3","39"
"","Conner McMahon","Merrimack","Fr.","P","8","44.3","39"
"","Barry Meeks","West Ala.","So.","P","12","64.0","39"
"","Dan Morris","Felician","Sr.","P","16","36.0","39"
"","Cam Nobles","Western Ore.","Sr.","P","10","53.0","39"
"","Ryan O'Shea","Cal St. Chico","Fr.","P","12","55.3","39"
"","Danny Parker","Arkansas Tech","Fr.","P","11","55.0","39"
"","Marc Rutledge","Dowling","Jr.","P","9","53.3","39"
"","Erick Sanderson","Anderson (SC)","So.","P","11","57.0","39"
"","Andrew Simonik","Lock Haven","Sr.","P","11","49.7","39"
"","Jason Sirak","N.M. Highlands","Jr.","P","13","50.3","39"
"","Ryan Sorell","Pittsburg St.","Sr.","P","10","50.3","39"
"","Greg Stewart","Indiana (PA)","Jr.","P","8","38.0","39"
"","Kyle Veazey","Truman","Sr.","P","10","61.0","39"
"","Sean Wardour","Cal St. Dom. Hills","So.","P","12","55.0","39"
"","Ryan Wheat","Mo. Southern St.","Jr.","P","12","49.0","39"
"","Coltin White","Grand Canyon","Jr.","C","15","51.0","39"
"","Christian Witt","Truman","Jr.","P","14","31.3","39"
"","Kyle Wolfe","Lynn","Jr.","P","13","63.0","39"
"","David Wydeven","Grand Canyon","Jr.","P","12","70.3","39"
"466","Clint Brown","Tex. A&M-Kingsville","Sr.","P","27","40.7","38"
"","David Combs","Mount Olive","Sr.","P","17","29.3","38"
"","Kyle Contino","Queens (NY)","Jr.","P","9","52.3","38"
"","Alejandro De Moya","Palm Beach Atl.","So.","P","18","31.0","38"
"","Chris Douglas","Indiana (PA)","Jr.","P","12","51.7","38"
"","Jake Draeger","Metro St.","Sr.","P","8","38.0","38"
"","Steven Godowski","Bloomfield","Sr.","P","15","52.0","38"
"","Jeremy Hall","Mount Olive","Sr.","P","13","49.7","38"
"","Ste Hamilton","St. Augustine's","Fr.","-","10","44.3","38"
"","Aaron Hilt","Ashland","Jr.","P","8","44.3","38"
"","Tim Mayza","Millersville","Fr.","P","9","47.0","38"
"","Joe McCarty","St. Andrews","Fr.","P","14","50.3","38"
"","Casey Mitchell","Saint Martin's","Sr.","P","14","74.0","38"
"","Sammy Rivas","St. Mary's (TX)","Sr.","P","28","36.0","38"
"","Aaron Rosborough","Central Okla.","Jr.","P","13","40.0","38"
"","Tyler Rumsey","Lock Haven","Sr.","P","10","51.0","38"
"","Edgar Vela","N.M. Highlands","Jr.","P","11","42.0","38"
"","Vinny Voorhees","Bloomsburg","Jr.","P","10","56.7","38"
"","David de Leon","Tex. A&M-Kingsville","Sr.","P","9","31.0","38"
"485","Kris Carlson","Abilene Christian","Jr.","P","22","33.0","37"
"","Hunter Conkle","Ohio Valley","Fr.","P","13","46.7","37"
"","Casey Cooperman","Bloomsburg","Fr.","P","10","55.0","37"
"","Cameron Culp","Limestone","So.","P","28","41.3","37"
"","Gage Daniels","Newman","Jr.","P","16","43.7","37"
"","Irving De La Concha","Salem Int'l","Sr.","P","12","63.7","37"
"","Brandon Faulkner","Emporia St.","Jr.","P","15","66.0","37"
"","Jay Flaa","Mary","Fr.","P","8","40.0","37"
"","Justin Freer","Okla. Panhandle","Jr.","P","13","67.7","37"
"","Sean Hayden","St. Anselm","Jr.","P","10","58.7","37"
"","Tom Helwich","Lewis","Fr.","P","7","43.3","37"
"","David Hucsko","Gannon","Sr.","P","8","48.0","37"
"","Jimmy Johnson","Southeastern Okla.","Sr.","C","13","63.3","37"
"","Pat Lahey","Lewis","Jr.","OF","9","52.3","37"
"","Tyler Lee","St. Paul's","Fr.","-","10","56.0","37"
"","Mike McMonagle","Millersville","Jr.","P","9","44.7","37"
"","Daren Parker","Washburn","Sr.","P","10","47.3","37"
"","Jeremy Peed","Limestone","Jr.","P","13","42.0","37"
"","Shane Riedie","Tampa","Jr.","P","14","35.3","37"
"","Mike Rossetti","Bloomsburg","Sr.","P","11","52.0","37"
"","Rich Ruff","Quincy","Sr.","P","9","48.7","37"
"","Pat Simone","New Haven","Fr.","P","6","30.3","37"
"","Heath Storey","Flagler","Sr.","P","21","30.3","37"
"","Houston Taylor","S.C. Aiken","Sr.","P","15","48.7","37"
"","Nick Vautrin","Bridgeport","Jr.","P","9","50.0","37"
"","Landon Wahl","Gannon","Jr.","P","17","37.7","37"
"","Tom Wiacek","Bridgeport","Jr.","P","14","31.3","37"
"","Garrett Yount","Rollins","Jr.","P","14","53.3","37"
