"Rank","Name","Team","Cl","Pos","G","AB","H","BA"
"1","Raph Rhymes","LSU","Jr.","OF","41","156","78","0.500"
"2","Danny Poma","Hofstra","Sr.","OF","42","178","80","0.449"
"3","D.J. Peterson","New Mexico","So.","3B","45","183","80","0.437"
"4","Trenton Moses","Southeast Mo. St.","Sr.","3B","45","162","70","0.432"
"5","Albert Carpen","Chicago St.","Sr.","OF","37","126","54","0.429"
"6","Roger Bernal","Tex.-Pan American","Sr.","INF","36","153","65","0.425"
"7","Zach Stephens","Tennessee Tech","So.","1B","43","166","70","0.422"
"8","Alex Yarbrough","Ole Miss","Jr.","INF","43","174","73","0.420"
"9","Michael Felton","Campbell","Jr.","INF","45","184","76","0.413"
"10","Andrew Deeds","Morehead St.","Sr.","OF","42","173","71","0.410"
"11","Brock Hebert","Southeastern La.","Jr.","INF","45","171","70","0.409"
"12","Jayce Boyd","Florida St.","Jr.","1B","42","162","66","0.407"
"13","Goose Kallunki","Utah Valley","Sr.","1B","41","167","68","0.407"
"14","Jared Hammer","Hofstra","Jr.","1B","42","158","64","0.405"
"15","Joey Cujas","VCU","So.","INF","44","158","63","0.399"
"16","Patrick Kivlehan","Rutgers","Sr.","3B","38","143","57","0.399"
"17","Nick Colwell","North Dakota St.","Sr.","OF","43","177","70","0.395"
"18","Tyler Naquin","Texas A&M","Jr.","OF","44","172","68","0.395"
"19","Justin Lacy","Longwood","Jr.","DH","39","147","58","0.395"
"20","Jordan Keur","Michigan St.","Jr.","OF","42","180","71","0.394"
"21","Marty Gantt","Col. of Charleston","Sr.","OF","44","170","67","0.394"
"22","Eric Charles","Purdue","Sr.","INF","40","160","63","0.394"
"23","Austin Elkins","Dallas Baptist","Jr.","INF","39","150","59","0.393"
"24","Thomas Brown","Grambling","So.","INF","35","145","57","0.393"
"25","Daniel Bowman","Coastal Caro.","Sr.","OF","43","171","67","0.392"
"26","Ryan Ashe","Wright St.","Sr.","OF","43","166","65","0.392"
"27","Trevor Kirk","UNLV","Sr.","OF","40","161","63","0.391"
"28","Chris Serritella","Southern Ill.","Jr.","1B","44","179","70","0.391"
"29","Seth Mejias-Brean","Arizona","Jr.","INF","42","169","66","0.391"
"30","Mike Martinez","FIU","Sr.","1B","40","146","57","0.390"
"31","Travis Jankowski","Stony Brook","Jr.","OF","44","164","64","0.390"
"32","Matt Ford","Hofstra","Jr.","INF","39","159","62","0.390"
"33","Chris Diaz","North Carolina St.","Jr.","INF","42","172","67","0.390"
"34","Tyler Heineman","UCLA","Jr.","C","38","131","51","0.389"
"35","James Ramsey","Florida St.","Sr.","OF","43","149","58","0.389"
"36","Daniel Kassouf","Appalachian St.","Sr.","INF","41","167","65","0.389"
"37","Jeff Keller","Dartmouth","So.","OF","31","108","42","0.389"
"38","Jake Carlson","Dartmouth","Sr.","OF","36","121","47","0.388"
"39","Kenton Parmley","Southeast Mo. St.","Sr.","INF","44","188","73","0.388"
"40","Tyler Tewell","Appalachian St.","Jr.","C","41","152","59","0.388"
"41","Logan Pierce","Troy","Jr.","INF","44","168","65","0.387"
"","Tyler White","Western Caro.","Jr.","INF","44","168","65","0.387"
"43","Ryan Kresky","Fairleigh Dickinson","Sr.","INF","43","145","56","0.386"
"44","Anthony Azar","Sam Houston St.","So.","C","39","140","54","0.386"
"45","Austin Heaps","Utah Valley","Sr.","OF","41","153","59","0.386"
"46","Nick Backlund","Mercer","So.","1B","47","182","70","0.385"
"47","Tyler Smith","Oregon St.","Jr.","INF","40","138","53","0.384"
"48","Adam T. McClain","Memphis","Sr.","INF","43","172","66","0.384"
"49","Billy Burgess","Utah Valley","Sr.","OF","40","154","59","0.383"
"50","Matt Honchel","Miami (OH)","Fr.","OF","45","175","67","0.383"
"51","Adrian Schenk","Northern Colo.","Sr.","OF","42","149","57","0.383"
"52","Nick Schneeberger","Tulane","Sr.","INF","44","170","65","0.382"
"53","Shane Brown","Charlotte","Sr.","OF","39","157","60","0.382"
"54","Tim Colwell","North Dakota St.","So.","OF","43","178","68","0.382"
"55","Jeff Gelalich","UCLA","Jr.","OF","40","152","58","0.382"
"","Ryan Haas","Delaware St.","Jr.","INF","42","152","58","0.382"
"57","Jamodrick McGruder","Texas Tech","Jr.","INF","45","160","61","0.381"
"58","Robert Refsnyder","Arizona","Jr.","OF","42","168","64","0.381"
"59","Tristan Moore","Wright St.","Sr.","OF","44","176","67","0.381"
"60","Andrew Kubuski","Bowling Green","So.","OF","42","163","62","0.380"
"61","Mitchell Garver","New Mexico","Jr.","C","45","192","73","0.380"
"62","Alex Mejia","Arizona","Jr.","INF","42","179","68","0.380"
"63","Mike Garza","Georgetown","Jr.","INF","43","174","66","0.379"
"64","Zac Fisher","New Mexico St.","Jr.","C","43","169","64","0.379"
"65","Jake Kirkland","Campbell","Jr.","INF","45","172","65","0.378"
"66","Brett Vertigan","UC Santa Barbara","Jr.","OF","42","183","69","0.377"
"67","Justin Glass","Cincinnati","So.","OF","45","191","72","0.377"
"68","Ryan Tella","Auburn","So.","OF","44","170","64","0.376"
"69","Michael Pritchard","Nebraska","So.","OF","43","157","59","0.376"
"70","Sean Moysh","Utah Valley","Jr.","OF","41","165","62","0.376"
"71","Royce Bolinger","Gonzaga","Sr.","OF","41","173","65","0.376"
"72","Cameron Day","Norfolk St.","So.","OF","33","112","42","0.375"
"","Ryan McCauley","Niagara","Jr.","1B","40","160","60","0.375"
"","Eric Phillips","Ga. Southern","Sr.","INF","45","176","66","0.375"
