"Rank","Name","Team","Cl","Pos","App","IP","R","ER","ERA"
"1","Cameron Mann","Southeastern Okla.","Jr.","C","26","53.3","9","6","1.01"
"2","Donovan Drake","Indianapolis","Sr.","P","9","61.7","10","7","1.02"
"3","John Healy","St. Anselm","Sr.","P","11","78.0","16","10","1.15"
"4","Ed Kohout","Le Moyne","Sr.","P","13","62.0","14","8","1.16"
"5","James Mannara","Florida Tech","Jr.","P","25","46.3","11","6","1.17"
"6","Junior Mendez","Southern N.H.","So.","P","14","75.3","20","10","1.20"
"7","Timothy Flight","Southern N.H.","Jr.","P","11","79.3","17","11","1.25"
"8","Derek Hansen","Augustana (SD)","Jr.","INF","10","55.7","21","8","1.29"
"9","Adam Brown","Dowling","Jr.","P","10","41.0","15","6","1.32"
"10","Grady Wood","Western Ore.","Sr.","P","10","75.0","15","11","1.32"
"11","Lee Stoppelman","Central Mo.","Sr.","P","10","59.0","11","9","1.37"
"12","Zachary Westcott","Nova Southeastern","So.","P","11","78.0","22","12","1.38"
"13","Mike Saunders","Saginaw Valley","Jr.","P","8","57.3","15","9","1.41"
"14","Jack Crawford","Franklin Pierce","Sr.","P","10","57.0","15","9","1.42"
"15","Casey Cannon","Le Moyne","Jr.","P","15","56.3","12","9","1.44"
"","Kyle Grana","Bellarmine","Jr.","P","14","56.3","18","9","1.44"
"17","Neil Pezzullo","Pace","Jr.","P","24","66.3","15","11","1.49"
"18","Brian Kilway","Lake Erie","So.","P","9","53.7","13","9","1.51"
"19","Geoff Broussard","Cal Poly Pomona","Sr.","P","13","97.0","23","17","1.58"
"20","Brandon Simmons","Mo. Western St.","Jr.","P","12","78.3","18","14","1.61"
"","Michael Tamburino","Pace","Jr.","P","10","78.3","20","14","1.61"
"22","John Melville","New Haven","So.","P","10","44.0","11","8","1.64"
"23","Rene Solis","St. Mary's (TX)","So.","P","13","93.0","20","17","1.65"
"24","Shawn Riesgraf","St. Cloud St.","Jr.","P","13","49.0","12","9","1.65"
"25","David Hatt","Wilmington (DE)","Jr.","P","21","65.3","14","12","1.65"
"26","Kevin Collinge","Post","Jr.","P","22","54.3","25","10","1.66"
"27","Matt Marotta","St. Thomas Aquinas","Sr.","P","27","64.3","26","12","1.68"
"28","Nik Jurado","Mo. Western St.","Sr.","P","11","73.3","24","14","1.72"
"29","Zac Treece","Ouachita Baptist","Sr.","P","25","51.7","14","10","1.74"
"30","Mark Sappington","Rockhurst","Jr.","P","13","72.0","24","14","1.75"
"31","Darryl White","Claflin","Jr.","P","9","66.0","21","13","1.77"
"32","Matt Dillon","Mount Olive","Jr.","P","23","70.0","24","14","1.80"
"","Jaden Dillon","Tex. A&M-Kingsville","Sr.","P","12","70.0","23","14","1.80"
"34","Sean Bierman","Tampa","Sr.","P","13","74.3","26","15","1.82"
"35","S Wells","Winston-Salem","Fr.","-","10","54.3","14","11","1.82"
"36","James Baune","Southern Ark.","So.","P","12","68.7","27","14","1.83"
"37","Andrew Hyde","Notre Dame (OH)","Sr.","P","10","58.7","19","12","1.84"
"38","Carl O'Neal","St. Mary's (TX)","Jr.","P","14","80.0","23","17","1.91"
"39","Brett Mueller","Rollins","Fr.","P","12","56.3","20","12","1.92"
"40","Casey Jacobson","Augustana (SD)","Sr.","P","13","69.7","29","15","1.94"
"41","Kyle Fischer","St. Cloud St.","So.","P","11","55.7","17","12","1.94"
"","Mike Mudron","Cal St. San B'dino","Jr.","P","11","55.7","18","12","1.94"
"43","James Stone","C.W. Post","Sr.","P","11","46.0","22","10","1.96"
"44","Lou Trivino","Slippery Rock","So.","P","11","68.7","25","15","1.97"
"45","Mark Kuzma","Le Moyne","Sr.","P","9","64.0","16","14","1.97"
