"Rank","Name","Team","Cl","Pos","G","HBP"
"1","Jake Kretzer","Northwest Mo. St.","So.","OF","45","28"
"2","Zach Cohen","Angelo St.","Jr.","INF","47","25"
"","Andre Yates","Southwestern Okla.","Jr.","2B","47","25"
"4","Josh Cyr","North Ala.","So.","INF","44","24"
"5","Phil Imholte","St. Cloud St.","So.","OF","40","23"
"6","Mark Jeffery","Tarleton St.","Sr.","C","43","21"
"","Jacob Mays","Concord","Jr.","P","42","21"
"8","Brian Ferguson","Dowling","Sr.","OF","39","20"
"","Nick Szalejko","USciences","So.","OF","33","20"
"10","Kevin Cressman","Lock Haven","Jr.","1B","38","19"
"","L. Johnson","Shaw","Fr.","-","43","19"
"","Kevin Rufus","Newberry","Jr.","C","48","19"
"13","Joseph Horsely","Lincoln Memorial","Jr.","INF","51","18"
"","Matt Simone","C.W. Post","So.","C","36","18"
"15","Brandon Choate","Southern Ark.","Sr.","C","40","17"
"","Buddy Sosnoskie","Francis Marion","Jr.","OF","47","17"
"","Greg Walsh","Molloy","So.","INF","44","17"
"","Tom Ward","Ouachita Baptist","Jr.","DH","41","17"
"19","Kyle Buchanan","Belmont Abbey","Jr.","C","44","16"
"","Angelo Burrage","St. Joseph's (IN)","So.","1B","41","16"
"","Wade Finke","St. Joseph's (IN)","Sr.","INF","37","16"
"","Pierce Joseph","St. Augustine's","Sr.","OF","54","16"
"","David Longmore","Newman","Jr.","OF","46","16"
"","Ryan McCormick","Millersville","Sr.","SS","45","16"
"","Keith Morrisroe","Concord","Jr.","C","41","16"
"","Ryan Wides","Indianapolis","So.","OF","43","16"
"27","Weston Baros","St. Mary's (TX)","Sr.","2B","47","15"
"","Ty Chancelor","Ala.-Huntsville","Jr.","OF","43","15"
"","Nick DeBiasse","Central Mo.","Sr.","INF","46","15"
"","Eric Dorton","West Tex. A&M","Fr.","OF","48","15"
"","Patrick Johnson","Southern Ark.","Sr.","OF","43","15"
"","Brent Kakwitch","Delta St.","Jr.","INF","39","15"
"","Wes Keelan","Regis (CO)","So.","SS","39","15"
"34","Tyler Christophel","Southwest Baptist","Jr.","INF","43","14"
"","Patrick Donahue","Tampa","Sr.","INF","43","14"
"","Jacob Karr","Wingate","Jr.","INF","52","14"
"","Michael Niemann","Delta St.","Sr.","OF","46","14"
"","Eric Walker","Southeastern Okla.","Sr.","C","45","14"
"","Michael Wilson","Francis Marion","Fr.","INF","47","14"
"","Garrett Yatch","Grand Valley St.","Fr.","INF","38","14"
"41","Branfy Arias","Tusculum","Sr.","OF","46","13"
"","Ben Baker","Rockhurst","Sr.","OF","40","13"
"","Cash Barker","Tex. A&M-Kingsville","So.","C","36","13"
"","Matt Barr","Davis & Elkins","So.","INF","42","13"
"","Grant Brasher","Missouri S&T","Sr.","1B","31","13"
"","Seve Carbajal","Colo. Christian","Jr.","C","47","13"
"","Patrick Chamberlain","Stillman","So.","C","39","13"
"","Andrew Elke","Saint Martin's","Sr.","OF","47","13"
"","Jason Graves","Pittsburg St.","Sr.","OF","42","13"
"","Dean Green","Barry","Sr.","1B","50","13"
"","Zach Krueger","Metro St.","Sr.","OF","39","13"
"","Justin Miller","Southeastern Okla.","Sr.","OF","45","13"
"","Andy Quiring","Tex. Permian Basin","Sr.","OF","38","13"
"","Justin Riddle","Ala.-Huntsville","Fr.","C","37","13"
"","Alex Schultz","Eastern N.M.","Jr.","INF","36","13"
"","Albert Stanton","Southern N.H.","Fr.","OF","39","13"
"","Cody Stigall","Tex. A&M-Kingsville","Sr.","INF","32","13"
"","Kevin Wempe","Emporia St.","Sr.","INF","45","13"
"","Ty Windall","Northwest Nazarene","Sr.","OF","44","13"
"","James Young","Barry","So.","3B","47","13"
"61","Steve Anderson","Grand Valley St.","Jr.","OF","40","12"
"","Ikaika Anderson","Georgia College","So.","OF","31","12"
"","Marcellous Biggins","Angelo St.","Jr.","INF","45","12"
"","Michael Chiarelli","Western Ore.","Sr.","C","41","12"
"","Daniel Dillard","Western Ore.","Sr.","OF","42","12"
"","Josh Federico","Oakland City","Sr.","SS","29","12"
"","Keegan Ghidotti","Ouachita Baptist","Fr.","P","37","12"
"","Christian Glisson","Valdosta St.","Jr.","C","44","12"
"","Cody Grice","Grand Valley St.","Jr.","OF","42","12"
"","Justin Hall","Ouachita Baptist","Sr.","DH","40","12"
"","Chris Harrison","Southern Ark.","Sr.","OF","34","12"
"","Mike Love","Ala.-Huntsville","Jr.","OF","44","12"
"","Matt Maringer","Indianapolis","Jr.","3B","32","12"
"","Dylan Mascarenas","East Central","Jr.","INF","40","12"
"","Blake Massey","Ala.-Huntsville","Fr.","INF","41","12"
"","Kenny Mickens","UNC Pembroke","Sr.","OF","35","12"
"","Ben Mielke","San Fran. St.","Sr.","OF","46","12"
"","Jason Nappi","Harding","Sr.","INF","45","12"
"","John Neese","Catawba","Sr.","OF","46","12"
"","Richard Pirkle","Georgia College","Sr.","C","50","12"
"","Blaine Rosenberg","Montevallo","Jr.","C","44","12"
"","Brad Shankle","Southeastern Okla.","Jr.","C","42","12"
"","Blake Tagmyer","UC San Diego","Sr.","2B","37","12"
"","Travis Taijeron","Cal Poly Pomona","Sr.","OF","45","12"
"","David Weinstein","Bellarmine","Sr.","DH","39","12"
"","Keith Whitman","UNC Pembroke","Sr.","OF","44","12"
"","Garrett Wolff","Tex. Permian Basin","Sr.","INF","44","12"
"88","Braden Box","Colorado Mesa","So.","INF","34","11"
"","Chris Casazza","Tarleton St.","Sr.","INF","45","11"
"","David Contreras","Cal St. Stanislaus","Sr.","OF","40","11"
"","Kyle Cummings","Southern Conn. St.","Fr.","INF","37","11"
"","Caleb Dalman","Wayne St. (MI)","Sr.","SS","37","11"
"","Mark Darlington","West Va. Wesleyan","Sr.","OF","36","11"
"","Eric Deese","Ala.-Huntsville","Jr.","DH","44","11"
"","Lou Downey","Gannon","Fr.","INF","30","11"
"","Justin Dunning","Quincy","Sr.","C","35","11"
"","Jordan Erisman","North Ga.","Jr.","INF","49","11"
"","Jake Frazier","Coker","Jr.","OF","43","11"
"","James Katsiroubas","Mass.-Lowell","Jr.","3B","40","11"
"","Courtney Kelley","Miles","So.","OF","38","11"
"","Tanner Laran","Ark.-Monticello","Jr.","OF","40","11"
"","Steven Mueller","King (TN)","Sr.","INF","40","11"
"","Ernesto Ortiz","Grand Canyon","Jr.","SS","42","11"
"","Tim Rainey","Tarleton St.","Sr.","OF","46","11"
"","Nate Reid","Tusculum","Jr.","C","43","11"
"","D Roach","Virginia St.","Fr.","-","35","11"
"","Erik Scott","N.M. Highlands","Jr.","OF","36","11"
"","Preston Shuey","Francis Marion","Sr.","1B","47","11"
"","Patrick Taylor","Delta St.","Sr.","C","39","11"
"","Michael Thames","Paine","So.","OF","39","11"
"","Drew Walker","Armstrong","Jr.","INF","48","11"
"","Cory Wilkins","Miles","Sr.","OF","31","11"
"","Deaun Williams","Lincoln Memorial","Sr.","OF","45","11"
"114","Jesse Burba","Saint Rose","Jr.","OF","35","10"
"","James Cloud","Southwestern Okla.","Jr.","OF","35","10"
"","Patrick Daugherty","Georgia College","Jr.","OF","49","10"
"","Nick DeProspo","Southern Conn. St.","Sr.","C","34","10"
"","Brian Dice","Lenoir-Rhyne","Sr.","C","47","10"
"","Weston Dodson","Elizabeth City St.","Fr.","OF","40","10"
"","Stuart Drew","West Ga.","Jr.","2B","48","10"
"","John Duran","Ga. Southwestern","So.","INF","46","10"
"","Chris Escobar","Delta St.","Sr.","SS","30","10"
"","Greg Fujii","Cal St. Monterey Bay","Sr.","INF","44","10"
"","Zack Getsee","St. Joseph's (IN)","Sr.","C","37","10"
"","Grant Glover","Western Ore.","Sr.","INF","37","10"
"","Daren Grace","Neb.-Kearney","Sr.","OF","33","10"
"","Joe Harbach","Wilmington (DE)","Jr.","OF","40","10"
"","Jonathan Keener","Cal St. Dom. Hills","Jr.","C","43","10"
"","Cameron Louie","Northwest Nazarene","Sr.","INF","44","10"
"","Nick Markis","Arkansas Tech","Sr.","3B","43","10"
"","Craig Matteo","Adelphi","Jr.","INF","40","10"
"","Sean McDonald","Northwest Nazarene","Jr.","OF","44","10"
"","Jose Mendoza","Henderson St.","Sr.","INF","42","10"
"","Gelson Perez","Lincoln Memorial","Jr.","INF","49","10"
"","Ryan Powers","Saint Leo","Sr.","INF","44","10"
"","Timothy Rines","Southern N.H.","Sr.","SS","43","10"
"","Kyle Roden","Bellarmine","Sr.","C","43","10"
"","Bret Schwartz","Central Mo.","Jr.","SS","46","10"
"","Brandon Small","Albany St. (GA)","Jr.","SS","45","10"
"","Rusty Smith","Mars Hill","Sr.","OF","49","10"
"","Zach Stone","Millersville","So.","3B","45","10"
"","Alex Todd","Sonoma St.","Sr.","INF","44","10"
"","Tom Tolan","C.W. Post","Fr.","INF","33","10"
"","Nate Valdez","Cameron","Sr.","INF","43","10"
"","Ryan Vanbeek","Northwest Nazarene","Sr.","C","44","10"
"","Joe Vaskas","Emporia St.","Jr.","INF","43","10"
"","Michael Vinson","Delta St.","So.","DH","46","10"
"","Jeremy Wilson","LeMoyne-Owen","Sr.","C","25","10"
"","Brett Wright","West Ga.","So.","OF","46","10"
"150","Andrew Ahn","St. Thomas Aquinas","Sr.","SS","43","9"
"","Carlos Aponte","Shaw","So.","C","48","9"
"","Peter Barrows","Bridgeport","Sr.","1B","33","9"
"","Blake Boling","Washburn","Sr.","OF","34","9"
"","William Buford","Tuskegee","So.","P","33","9"
"","Khatim Butler","Elizabeth City St.","Sr.","P","40","9"
"","Dustin Carpenter","North Ga.","So.","INF","45","9"
"","Stephen Clout","New Haven","So.","OF","36","9"
"","Cameron Cook","Sonoma St.","Sr.","OF","39","9"
"","Jess Cooper","West Tex. A&M","Jr.","INF","46","9"
"","Tj Cox","Ark.-Monticello","So.","INF","38","9"
"","Marshall Creed","Lander","Fr.","C","29","9"
"","Arthur Dandridge","Virginia St.","Jr.","OF","36","9"
"","Josh Dawson","Cameron","Jr.","INF","44","9"
"","Grant DeBruin","Ala.-Huntsville","Jr.","INF","45","9"
"","Tom Deangelis","Seton Hill","Sr.","INF","39","9"
"","Korey Domenick","West Fla.","Jr.","INF","43","9"
"","Mike Dooling","Merrimack","Sr.","INF","34","9"
"","Tim Dye","Belmont Abbey","Sr.","OF","46","9"
"","Collin Elmore","St. Edward's","Jr.","INF","42","9"
"","Sean Estand","St. Joseph's (IN)","Sr.","3B","44","9"
"","Anthony Even","Delta St.","Jr.","INF","31","9"
"","Nic Gauldin","San Fran. St.","Jr.","INF","28","9"
"","Wess Hollins","Eckerd","Sr.","OF","44","9"
"","Alex Jahn","Post","Sr.","OF","37","9"
"","Andy Klaus","Okla. Panhandle","Sr.","OF","44","9"
"","Chandler Klute","Neb.-Kearney","So.","C","35","9"
"","Rob LaFrance","Southwestern Okla.","Jr.","OF","37","9"
"","Brain Laznik","Erskine","Sr.","OF","50","9"
"","Michael Leviseur","Seton Hill","Jr.","C","34","9"
"","Matt McAllester","Ashland","Sr.","2B","45","9"
"","Erin McCarver","Harding","So.","C","44","9"
"","William McCray","Tuskegee","Fr.","3B","32","9"
"","Keith Meyer","Bloomsburg","Jr.","SS","38","9"
"","Rylan Morihara","Hawaii Pacific","Jr.","OF","45","9"
"","Jordan Parker","Ala.-Huntsville","Sr.","INF","36","9"
"","Daniel Patching","Eastern N.M.","Jr.","OF","39","9"
"","Luis Quinones","Eastern N.M.","So.","OF","40","9"
"","Frank Rawdow","Saint Leo","So.","3B","30","9"
"","Josh Riley","Arkansas Tech","Sr.","SS","45","9"
"","Kyle Saul","UC San Diego","Sr.","C","45","9"
"","Bob Terry","Regis (CO)","So.","OF","41","9"
"","Tyler Phan Thornton","Colorado Mines","Jr.","INF","44","9"
"","Tyler Tulowitzki","San Fran. St.","Jr.","1B","37","9"
"","Leroy Urbina","Incarnate Word","Sr.","INF","40","9"
"","Brad Vance","Southern Ind.","Jr.","C","45","9"
"","Chris Vazquez","Belmont Abbey","Sr.","C","45","9"
"","Andy Vogel","Newberry","So.","INF","50","9"
"","T.J. Werner","St. Andrews","Jr.","OF","36","9"
"","Travis Whipple","Emporia St.","Sr.","OF","31","9"
"","Michael Wiseman","Wayne St. (MI)","Sr.","C","41","9"
"","Dylan Woodworth","Mansfield","So.","OF","34","9"
"","Robert Wronski","Southern N.H.","Sr.","P","43","9"
"","Jacob Yates","Pfeiffer","So.","INF","49","9"
"204","Casey Allison","Wingate","Jr.","OF","54","8"
"","Matt Ammons","Coker","Sr.","2B","43","8"
"","Greg Anderson","Colorado Mesa","Sr.","OF","44","8"
"","Brandon Banks","Paine","So.","C","36","8"
"","Cameron Bankston","Abilene Christian","Sr.","C","46","8"
"","Aj Begay","Colo. Christian","Fr.","3B","44","8"
"","Brian Bello","Colorado Mesa","Sr.","OF","34","8"
"","Aaron Berner","Minn. St. Mankato","Fr.","-","39","8"
"","Andrew Blum","Mo.-St. Louis","So.","OF","34","8"
"","Hunter Boehme","Pfeiffer","Sr.","OF","45","8"
"","Rolando Bonner","Tusculum","Sr.","OF","43","8"
"","Adam Boucher","Southern Ark.","Sr.","2B","41","8"
"","Joey Bristyan","Grand Canyon","Jr.","OF","45","8"
"","Cody Brooks","Saint Martin's","Sr.","INF","47","8"
"","Tucker Brown","Central Okla.","Jr.","INF","43","8"
"","Jarius Brown","Stillman","Fr.","OF","41","8"
"","Adam Capps","Chowan","Jr.","INF","48","8"
"","Bryan Chestnut","Southern Ind.","Jr.","OF","23","8"
"","Brett Cisper","Northern Ky.","So.","INF","43","8"
"","Brian Compton","Cal St. L.A.","Jr.","C","35","8"
"","Jeffrey Conley","Alderson-Broaddus","Fr.","P","35","8"
"","Sean Cotten","Tusculum","Sr.","C","50","8"
"","Chad Davidson","Northeastern St.","So.","SS","38","8"
"","Tyler Davies","Neb. Omaha","Sr.","C","40","8"
"","Mike De La Rosa","Incarnate Word","So.","INF","42","8"
"","Geno DeAngelis","Northwest Mo. St.","Jr.","INF","45","8"
"","Brent Denny","Angelo St.","So.","INF","41","8"
"","Logan Dollar","Columbus St.","Jr.","1B","46","8"
"","Drew Dombkowski","Assumption","Sr.","1B","35","8"
"","Wesley Dozier","Carson-Newman","Sr.","3B","49","8"
"","Chris Dula","Catawba","Fr.","3B","53","8"
"","Michael Dushane","Tiffin","Jr.","OF","41","8"
"","Chandler Goode","Tex. Permian Basin","Sr.","OF","46","8"
"","Tyler Gray","Ashland","Fr.","1B","43","8"
"","Brock Green","Ouachita Baptist","Jr.","1B","47","8"
"","Tyler Griffin","Bluefield St.","Sr.","INF","36","8"
"","Derik Grimes","Central Okla.","Jr.","INF","34","8"
"","Dalton Hardee","Mars Hill","Sr.","INF","42","8"
"","Garrett Harris","Angelo St.","Jr.","OF","45","8"
"","Josh Headley","Montevallo","Jr.","OF","44","8"
"","A.J. Hecker","Tex. A&M-Kingsville","Sr.","INF","42","8"
"","Eric Herman","Shippensburg","Jr.","INF","48","8"
"","Craig Hermann","Delta St.","Jr.","INF","40","8"
"","Alex Howard","St. Augustine's","Jr.","INF","46","8"
"","Joe Huber","St. Joseph's (IN)","Sr.","INF","44","8"
"","Matt Jacobs","Mass.-Lowell","Jr.","OF","39","8"
"","Nick Jelacie","Bemidji St.","Sr.","OF","40","8"
"","Cory Jensen","Fla. Southern","Jr.","OF","41","8"
"","John Jones","Francis Marion","Jr.","OF","41","8"
"","Andrew Jones","Tampa","Jr.","OF","45","8"
"","Joe Jones","Eastern N.M.","Jr.","INF","28","8"
"","Jerry Lloyd","Bloomsburg","Sr.","1B","37","8"
"","Dusty Maggs","Nova Southeastern","Sr.","INF","46","8"
"","Eitan Maoz","UNC Pembroke","Jr.","C","37","8"
"","Gavan McCauley","Southern Ark.","Jr.","OF","43","8"
"","Jon McKinney","Ala.-Huntsville","Jr.","P","35","8"
"","Sam Mcgill","Ouachita Baptist","Sr.","P","45","8"
"","Bobby Mclaughlin","Alderson-Broaddus","So.","3B","35","8"
"","Josh Miller","S.C. Aiken","So.","C","46","8"
"","Jordan Mitchelhill","Neb.-Kearney","Sr.","2B","43","8"
"","Brian Norwood","Lewis","So.","C","30","8"
"","Randall Packard","Cal St. Monterey Bay","Jr.","INF","36","8"
"","Aaron Parnell","UNC Pembroke","Jr.","INF","43","8"
"","Ben Pieper","Missouri S&T","Sr.","OF","38","8"
"","Jeff Popick","Colorado Mesa","Jr.","OF","40","8"
"","Vern Powell","Indiana (PA)","Sr.","3B","46","8"
"","null Price","Saint Rose","Fr.","-","36","8"
"","Micah Reaves","West Ala.","Sr.","C","37","8"
"","Jovan Rohena","Newberry","Sr.","INF","35","8"
"","Jonathan Romano","Anderson (SC)","Jr.","OF","42","8"
"","Mike Santora","Cal Poly Pomona","Jr.","INF","45","8"
"","Jeff Scarpelli","Hillsdale","So.","OF","40","8"
"","Jordan Smith","Barton","Sr.","OF","44","8"
"","Matt Smoley","Upper Iowa","Jr.","INF","40","8"
"","Jeremy Sudbeck","Minn. St. Mankato","Jr.","OF","35","8"
"","Tino Trujillo","Ark.-Monticello","Jr.","INF","30","8"
"","Bobby Twedt","Saint Martin's","So.","-","47","8"
"","Luke Valerius","Neb.-Kearney","Sr.","3B","37","8"
"","Yogi Vanaman","Christian Bros.","Sr.","SS","38","8"
"","Ryan Venderlic","Wheeling Jesuit","Sr.","OF","33","8"
"","Nick Verhein","Lenoir-Rhyne","Jr.","INF","23","8"
"","Marcus Weese","Davis & Elkins","Sr.","OF","42","8"
"","Travis Wilcox","Tex. Permian Basin","So.","INF","45","8"
"","Logan Williams","Southern Ark.","Sr.","3B","44","8"
"","Blake Youngblood","Assumption","Sr.","OF","42","8"
"","Kyle Zimmerman","Ouachita Baptist","Sr.","INF","47","8"
"290","Matt Albaugh","Kutztown","So.","C","35","7"
"","null Amador","Southern N.H.","Fr.","-","42","7"
"","Jake Anderson","St. Andrews","Jr.","C","32","7"
"","Drew Anusky","Wilmington (DE)","Sr.","INF","36","7"
"","Nicholas Arena","Salem Int'l","Jr.","INF","35","7"
"","Jake Astor","Southern Ark.","Sr.","DH","24","7"
"","Drake Austin","Quincy","So.","INF","42","7"
"","Tyler Bair","Grand Canyon","Sr.","OF","47","7"
"","Chad Balderman","Limestone","Fr.","OF","51","7"
"","Aaron Bauman","UC San Diego","Sr.","DH","45","7"
"","Josh Beal","Stillman","Fr.","-","39","7"
"","Zachary Blanchard","Bellarmine","Sr.","C","44","7"
"","Andrew Bock","Mercy","So.","OF","38","7"
"","Anthony Boza","Lynn","Jr.","1B","45","7"
"","Taylor Brecht","Upper Iowa","Jr.","INF","27","7"
"","Samuel Burke","Bellarmine","So.","C","39","7"
"","Tyler Callicutt","North Greenville","Sr.","1B","44","7"
"","Andrew Camardella","Dominican (NY)","So.","INF","38","7"
"","Derek Carr","Slippery Rock","Jr.","OF","40","7"
"","Andrew Ciennik","Wayne St. (MI)","Jr.","2B","41","7"
"","Ladarrius Cole","West Ala.","Jr.","OF","41","7"
"","Hayden Cosby","Ill.-Springfield","Fr.","INF","36","7"
"","Andy Cotton","Emporia St.","Sr.","INF","45","7"
"","Travis Coverston","Flagler","Sr.","2B","39","7"
"","Bo Darby","West Virginia St.","Sr.","INF","31","7"
"","Mike Darley","Minn. Duluth","Jr.","P","31","7"
"","Adam Davey","Lander","Jr.","OF","32","7"
"","Scottie Deason","Montevallo","Sr.","INF","40","7"
"","Brett Delcambre","Newman","Jr.","SS","47","7"
"","Dane Derstine","Lynn","Sr.","C","40","7"
"","Brittain Diamond","Henderson St.","Jr.","3B","35","7"
"","Dillon Downs","Eastern N.M.","Jr.","C","33","7"
"","Kevin Dultz","San Fran. St.","Sr.","C","43","7"
"","Andrew Durden","Nova Southeastern","Sr.","OF","44","7"
"","Ryan Erbe","Stillman","Fr.","-","20","7"
"","Jackson Evans","Cal St. Chico","Sr.","2B","41","7"
"","Tyler Fayden","Southwest Minn. St.","Sr.","OF","30","7"
"","Jeremy Filer","Pittsburg St.","Sr.","C","35","7"
"","Hector Flores","Incarnate Word","Jr.","INF","41","7"
"","Dylan Flynn","Mass.-Lowell","Fr.","OF","35","7"
"","Lee Foxton","Slippery Rock","Jr.","INF","42","7"
"","Jimmy Franklin","Christian Bros.","Jr.","OF","44","7"
"","Andrew Garcia","Cameron","Jr.","1B","44","7"
"","Kelly Gau","Central Wash.","Sr.","INF","39","7"
"","Luis Gonzalez","Concordia (NY)","So.","C","36","7"
"","Eric Grabe","Tampa","Jr.","2B","45","7"
"","Jed Hanson","Neb. Omaha","Sr.","INF","46","7"
"","Lans Hardin","Christian Bros.","Jr.","OF","41","7"
"","Robert Hawkins","West Virginia St.","Sr.","INF","31","7"
"","Matt Henriksen","Tusculum","So.","INF","48","7"
"","Danny Higginbotham","Arkansas Tech","Sr.","C","43","7"
"","Josh Hinkle","Florida Tech","Jr.","OF","42","7"
"","Payden Houser","Tusculum","Sr.","2B","51","7"
"","Zach Howard","Limestone","Jr.","3B","52","7"
"","Dack Howard","East Central","Sr.","OF","44","7"
"","Josh Huggins","West Fla.","Jr.","3B","47","7"
"","Rashad Ingram","St. Augustine's","Sr.","INF","54","7"
"","Johnathan James","Hawaii Hilo","So.","INF","37","7"
"","F. Johnson","Shaw","Fr.","-","45","7"
"","M Johnson","West Liberty","Fr.","-","43","7"
"","Evan Kehoe","UC San Diego","Sr.","INF","46","7"
"","Riley Keith","Southeastern Okla.","Jr.","C","24","7"
"","Jonathan Keppler","Mercyhurst","Sr.","INF","44","7"
"","Chris Knott","East Stroudsburg","Fr.","OF","38","7"
"","Wes Koenig","St. Edward's","So.","1B","24","7"
"","Brenton Kopecek","Davis & Elkins","Jr.","OF","42","7"
"","Matt Lagree","Central Mo.","Fr.","-","35","7"
