"Rank","Name","Team","Cl","Pos","G","AB","H","BA"
"1","Max Araya","Middlebury","So.","C","2","8","6","0.750"
"2","Brandon Seifert","Concordia (WI)","Jr.","INF","2","7","5","0.714"
"3","Aaron Benz","Lawrence","Sr.","OF","3","11","7","0.636"
"4","Tom Fairbanks","Wis.-Superior","Sr.","OF","11","38","24","0.632"
"5","Jason Buco","Colby","Jr.","OF","2","5","3","0.600"
"","Greg Struck","Elmhurst","So.","INF","6","20","12","0.600"
"7","Casey Power","Wis.-Whitewater","Sr.","INF","5","17","10","0.588"
"8","Kyle Haen","Wis.-Whitewater","---","LF","5","19","11","0.579"
"9","Tom Natoli","Becker","Sr.","OF","13","33","19","0.576"
"10","Thomas Stephens","Williams","Sr.","P","2","7","4","0.571"
"","Brett Zaziski","Vassar","Sr.","INF","6","21","12","0.571"
"12","Taylor Bigandt","Gust. Adolphus","So.","OF","3","16","9","0.563"
"13","Evan Cordell","Hamline","Jr.","OF","7","27","15","0.556"
"","Duncan Watt","Westminster (PA)","Jr.","SS","10","36","20","0.556"
"15","Richie Carbone","Johns Hopkins","Sr.","P","12","38","21","0.553"
"16","Vinnie Carminati","Mt. St. Mary (NY)","Sr.","OF","9","29","16","0.552"
"","Tom Forster","Macalester","Jr.","C","9","29","16","0.552"
"18","Andrew Gronski","Case","Jr.","INF","16","73","40","0.548"
"19","Ryan Hayes","Earlham","Sr.","1B","12","35","19","0.543"
"20","Jaren Bell","Hiram","---","CF","9","26","14","0.538"
"","Colby Gee","Ithaca","Sr.","3B","8","26","14","0.538"
"","Sean Smith","Springfield","Sr.","C","8","26","14","0.538"
"","Jir'Mychael Thornton","Rust","Jr.","OF","4","13","7","0.538"
"24","Dylan Long","Bard","---","DH","6","17","9","0.529"
"25","Serba T.J.","Medaille","Jr.","-","8","21","11","0.524"
"26","Steven Drury","Fitchburg St.","Fr.","OF","14","44","23","0.523"
"27","Tim Henry","Ithaca","Sr.","INF","8","25","13","0.520"
"","Michael Trabulsi","Scranton","Sr.","INF","8","25","13","0.520"
"29","Gabriel Pena","CCNY","Sr.","SS","8","27","14","0.519"
"30","Nick Palmiero","Rensselaer","Jr.","INF","10","29","15","0.517"
"31","Matt Connell`","Hamline","Jr.","1B","7","33","17","0.515"
"","Brady Forrest","Elms","Jr.","OF","9","33","17","0.515"
"33","Cody Wiktorski","St. John Fisher","So.","INF","11","39","20","0.513"
"34","Robbie Rushing","Central (IA)","Sr.","INF","11","49","25","0.510"
"35","Derek Hug","Heidelberg","So.","OF","17","71","36","0.507"
"36","Brett Becker","Saint John's (MN)","Jr.","2B","9","28","14","0.500"
"","Scott Benjamin","Gust. Adolphus","Sr.","INF","3","14","7","0.500"
"","Danny Corral","Beloit","Jr.","C","6","16","8","0.500"
"","Garrick Day","Wis. Lutheran","Sr.","INF","9","32","16","0.500"
"","Dylan Friend","Wis.-Whitewater","Sr.","OF","5","16","8","0.500"
"","Kevin Galvin","Colby","Sr.","INF","2","4","2","0.500"
"","Lee Grosscup","Mount Union","Sr.","INF","11","38","19","0.500"
"","Alex Kelly","Middlebury","Sr.","OF","2","10","5","0.500"
"","Robbie Kleman","Wis.-Oshkosh","So.","OF","2","6","3","0.500"
"","Sam Kossow","Lawrence","Sr.","INF","3","12","6","0.500"
"","Tim Kuzniar","St. Thomas (MN)","Sr.","OF","11","40","20","0.500"
"","Blake Lishka","Eureka","Fr.","INF","6","16","8","0.500"
"","Joe MacDonald","Middlebury","So.","1B","2","8","4","0.500"
"","Travis Mason","St. Norbert","Sr.","INF","9","28","14","0.500"
"","Nathan Michalski","Williams","Fr.","P","2","4","2","0.500"
"","Randall Minogue","Becker","Fr.","OF","13","32","16","0.500"
"","Tim Osborne","Greenville","So.","OF","12","42","21","0.500"
"","Ben Pearson","Hope","Jr.","OF","8","18","9","0.500"
"","Michael Piekarczyk","Purchase St.","Fr.","3B","8","20","10","0.500"
"","Jack Roberts","Williams","Fr.","INF","2","10","5","0.500"
"","Joel Sharon","Concordia (WI)","Jr.","P","2","8","4","0.500"
"","Connor Sheridan","Westfield St.","So.","INF","8","20","10","0.500"
"","Jamie Timothy","Roger Williams","So.","OF","16","50","25","0.500"
"","Matt Veronica","D'Youville","Sr.","INF","2","6","3","0.500"
"","Chris Zeller","Hamline","Jr.","INF","7","22","11","0.500"
