"Rank","Name","Team","Cl","Pos","App","IP","SV"
"1","Evan Parker","Dixie St.","Jr.","P","14","14.1","10"
"2","Dylan Norris","Pfeiffer","Jr.","P","16","16.1","9"
"3","Clayton Ruch","Wayne St. (MI)","Sr.","P","10","11.1","8"
"","Luke Barker","Cal St. Chico","Jr.","P","11","29.0","8"
"","Christian Turnipseed","North Georgia","Sr.","P","13","20.1","8"
"6","Josh Coker","Lincoln Memorial","Sr.","P","11","17.0","7"
"","Cory Davis","San Fran. St.","Jr.","P","14","24.2","7"
"","Sam Vergara","Southwest Baptist","Jr.","P","14","21.1","7"
"","Brandon White","Lander","Fr.","P","14","17.1","7"
"10","Kyle Schildroth","Ill.-Springfield","Jr.","P","10","13.1","6"
"","Doug Willey","Franklin Pierce","Jr.","P","10","16.2","6"
"","Paul Lujan","West Tex. A&M","Jr.","P","11","13.1","6"
"","Alex Stevens","West Florida","Jr.","P","11","13.1","6"
"","Mason Crenshaw","Southeastern Okla.","---","P","12","28.0","6"
"","Jeff Harvill","Ark.-Monticello","Jr.","P","12","17.2","6"
"","Ethan Lenz","Tarleton St.","Jr.","P","12","14.2","6"
"","Preston Gray","Southern Ark.","Jr.","P","13","20.2","6"
"","Dominic Monda","Palm Beach Atl.","Jr.","P","13","18.0","6"
"19","Jeremy Mapstone","Mansfield","Jr.","P","5","10.0","5"
"","Adam Zipko","Millersville","Sr.","P","7","13.1","5"
"","Vince Bartolone","Ohio Dominican","Jr.","P","8","8.1","5"
"","Luke Mould","Ala.-Huntsville","Jr.","P","8","9.1","5"
"","Chris Ripple","Grand Valley St.","Sr.","OF","8","6.1","5"
"","Dakota Behr","Colorado Mesa","Jr.","P","9","8.1","5"
"","Marcos Casillas","Cal St. L.A.","Jr.","P","9","11.2","5"
"","Kevin McNorton","Tampa","Sr.","P","10","19.0","5"
"","Michael Slifer","Hawaii Hilo","Jr.","P","10","14.2","5"
"","Kody Stone","Western Ore.","Sr.","P","10","9.2","5"
"","Zach Davis","Central Mo.","Sr.","P","11","21.2","5"
"","Keegan Ghidotti","Ouachita Baptist","Sr.","P","11","12.1","5"
"","Bill Menek","Lynn","Jr.","P","11","31.0","5"
"","Mike O'Reilly","Flagler","So.","P","11","22.0","5"
"","Ronald Patella","Nova Southeastern","Jr.","P","11","17.0","5"
"","Brenton Higgins","Emporia St.","Sr.","P","12","21.1","5"
"","Zach Andrews","UNC Pembroke","---","P","13","29.0","5"
"","J.J. Franklin","Cal Poly Pomona","Jr.","P","15","15.1","5"
"","Randy Vallejo","Arkansas Tech","Jr.","P","15","16.2","5"
"","Ryan McClintock","Catawba","Sr.","P","16","19.0","5"
"","Brandon Terry","Saint Leo","Sr.","P","16","26.2","5"
"40","Noah Boswell","Ky. Wesleyan","Sr.","P","5","4.1","4"
"","Matt Chavarria","Southern Ind.","Sr.","INF","5","4.1","4"
"","C.J. Ferriggi","St. Thomas Aquinas","Sr.","P","5","5.2","4"
"","Zach Glaze","Alderson Broaddus","So.","INF","5","4.1","4"
"","Snooter Merryman","Barton","Jr.","C","5","5.0","4"
