"Rank","Name","Team","Cl","Pos","G","BB"
"1","Heath Comerford","Tusculum","---","1B","26","30"
"2","Jack Morrow","Young Harris","Sr.","C","31","28"
"3","Thomas Berry","Lander","So.","C","30","27"
"","Lel Clemmons","Winston-Salem","---","CF","31","27"
"","Neil Madsen","Tex. Permian Basin","Sr.","INF","28","27"
"6","Nick Kranick","Flagler","Jr.","INF","29","26"
"7","Brooks Orton","St. Mary's (TX)","Jr.","OF","29","25"
"","Sheehan Planas-Arteaga","Barry","Jr.","1B","27","25"
"","Bradon Reitano","Mount Olive","Sr.","SS","29","25"
"10","Jay Gonzalez","Mount Olive","Sr.","OF","30","24"
"","Cutter Runte","St. Edward's","Jr.","OF","29","24"
"","Jake Ward","North Ala.","Sr.","OF","31","24"
"13","Jacob Campbell","Albany St. (GA)","Sr.","OF","32","23"
"","Kyle Conkle","North Ala.","Jr.","P","31","23"
"","Connor Lewis","Lander","Sr.","INF","30","23"
"16","Will Fulmer","Montevallo","Sr.","INF","30","22"
"","Patrick Grady","Lander","Sr.","OF","30","22"
"","Jimmy Obermark","Columbus St.","Sr.","SS","30","22"
"","Trent Woodridge","Harding","Sr.","OF","28","22"
"20","Allen Hardy","Albany St. (GA)","Jr.","P","30","21"
"","David Lenhardt","Cedarville","Jr.","C","20","21"
"22","Deandre Allen","Mount Olive","Jr.","2B","30","20"
"","Tyler Cameron","Southern Ark.","Sr.","INF","31","20"
"","Jorge Chavarria","Florida Tech","Sr.","INF","29","20"
"","Tyler Coleman","Virginia St.","Jr.","INF","26","20"
"","Evan Comeau","Ark.-Monticello","So.","INF","31","20"
"","Isaac Davenport","Francis Marion","Sr.","OF","25","20"
"","Nathan Galliford","Anderson (SC)","Jr.","OF","31","20"
"","Nick La Face","UC San Diego","Sr.","C","20","20"
"","Dean Long","Emporia St.","Jr.","INF","25","20"
"","Hunter Mayall","Henderson St.","Jr.","1B","31","20"
"","KJ McAllister","Limestone","Sr.","SS","30","20"
"","Jacob Rand","Mars Hill","Jr.","C","30","20"
"","Luke Slentz","Tarleton St.","Sr.","INF","26","20"
"","Eason Spivey","North Georgia","Jr.","C","26","20"
"","William Townsend","Southern Ark.","So.","OF","31","20"
"37","Andrew Brodbeck","Flagler","Jr.","INF","29","19"
"","Justin Buchanan","Southern Ark.","So.","C","31","19"
"","Kevin Davis","Benedict","Jr.","INF","26","19"
"","Mike Failoni","Lindenwood (MO)","Sr.","1B","25","19"
"","Sal Giardina","Lynn","Sr.","3B","29","19"
"","Matthew Haskins","Montevallo","Jr.","OF","30","19"
"","Billy Karalis","Stonehill","Sr.","OF","17","19"
"","Stephen Lohr","California Baptist","Fr.","C","24","19"
"","Michael Lowe","Southern Nazarene","So.","INF","23","19"
"","Erik Lunde","Lander","Sr.","INF","30","19"
"","Brody Miller","Mont. St. Billings","Jr.","INF","24","19"
"","Jon Phillips","Southern Ark.","Jr.","INF","31","19"
"","Dillion Rudio","Barton","Sr.","INF","28","19"
"","Derrick Walls","Tex. A&M-Kingsville","Sr.","INF","27","19"
"","Zack Willoughby","Montevallo","Jr.","OF","30","19"
"52","Austin Allen","Florida Tech","So.","C","29","18"
"","Dilon Argo","Central Okla.","So.","OF","23","18"
"","Kody Belcher","S.C. Aiken","---","CF","27","18"
"","Joey Cecere","North Georgia","---","SS","26","18"
"","Keith Curcio","Fla. Southern","Jr.","OF","29","18"
"","Anthony Diminio","Belmont Abbey","So.","OF","32","18"
"","Mitchell Dixon","Benedict","Jr.","INF","26","18"
