"Rank","Name","Team","Cl","Pos","G","SB","CS"
"1","Collin Radack","Hendrix","Sr.","OF","22","20","2"
"2","Bill Munson","Rhodes","Fr.","SS","23","19","3"
"3","Connor Moore","Trinity (TX)","So.","INF","23","17","2"
"4","Ty Boothe","Va. Wesleyan","---","SS","23","16","4"
"","Bryce Marquardt","Bethel (MN)","Fr.","OF","13","16","1"
"","Luis Palencia","N.C. Wesleyan","Fr.","OF","23","16","3"
"7","Will Cleland","Covenant","Jr.","INF","18","13","2"
"","Brandon Hannon","Emory","Sr.","OF","24","13","1"
"","Tommy Ziegen","Old Westbury","Fr.","INF","17","13","1"
"10","Brendan Diamond","Albion","Sr.","OF","14","12","0"
"","Michael Fischbach","Albion","So.","OF","14","12","1"
"","Tony Gennusa","Texas Lutheran","Jr.","OF","22","12","3"
"","Kyle Kowal","Albion","Jr.","INF","13","12","1"
"","Curt Lowenstein","Stevens","Sr.","C","10","12","2"
"","Zachary Lynch","Southwestern (TX)","Sr.","INF","25","12","3"
"","Colten Shea","Southwestern (TX)","So.","INF","25","12","2"
"","Joe Simmons","St. John Fisher","So.","OF","13","12","1"
"","Esteban Soler","John Jay","So.","C","11","12","0"
"","Eric Sousanes","North Park","Sr.","INF","12","12","1"
"","Cam Stimpson","Neumann","Jr.","OF","13","12","1"
"21","David Blount","Gwynedd Mercy","So.","OF","15","11","2"
"","Scott Buniak","Oswego St.","Sr.","OF","13","11","0"
"","Mark Carlson","Dallas","Sr.","INF","26","11","1"
"","Will Carlton","Covenant","So.","OF","18","11","2"
"","Dominick Courcy","Pacific Lutheran","Sr.","OF","10","11","1"
"","Nick Dalfonso","Illinois Col.","Jr.","OF","13","11","0"
"","Rick DiDomenico","Immaculata","So.","OF","11","11","2"
"","Garrett Gresham","Maryville (TN)","Sr.","OF","19","11","2"
"","Sam Lane","Texas-Tyler","So.","OF","22","11","1"
"","Joe Liberatore","St. Joseph's (L.I.)","Jr.","INF","12","11","0"
"","Jason McCormick","Immaculata","Fr.","SS","11","11","0"
"","Jared Musilli","Susquehanna","Jr.","INF","15","11","2"
"","Matt Scherer","Widener","Jr.","SS","15","11","0"
"","Keith Sims","LaGrange","So.","OF","17","11","5"
"","James Sink","Mary Washington","So.","OF","21","11","1"
