"Rank","Name","Team","Cl","Pos","G","AB","H","BA"
"1","David Kimbrough","Delaware St.","Jr.","INF","15","52","27","0.519"
"2","Joey Epperson","UC Santa Barbara","Sr.","OF","20","75","37","0.493"
"3","Isaac Smith","Bradley","Jr.","OF","19","54","26","0.481"
"4","DJ Miller","Delaware St.","Sr.","INF","17","57","27","0.474"
"5","Drew Weeks","North Florida","Jr.","OF","23","93","43","0.462"
"6","Zarley Zalewski","Kent St.","So.","INF","20","78","36","0.462"
"7","Adam Young","UC Davis","Sr.","INF","17","50","23","0.460"
"8","Daniel Miles","Tennessee Tech","Sr.","3B","24","99","44","0.444"
"","Scott Mitchell","Southeast Mo. St.","So.","C","18","54","24","0.444"
"10","Dan Potempa","Iowa","Jr.","OF","18","50","22","0.440"
"11","Andrew Calica","UC Santa Barbara","So.","OF","20","71","31","0.437"
"12","Brandon Rawe","Morehead St.","Jr.","OF","23","94","41","0.436"
"13","Brandon Gomez","FIU","Fr.","OF","21","53","23","0.434"
"14","Brett Sullivan","Pacific","So.","SS","26","97","42","0.433"
"15","Tj Olesczuk","Winthrop","Sr.","OF","21","74","32","0.432"
"16","Mac James","Oklahoma","Jr.","C","24","88","38","0.432"
"17","Alexander Lee","Radford","Sr.","INF","20","79","34","0.430"
"18","Ron Farley","Delaware St.","Fr.","OF","17","49","21","0.429"
"19","Bradley Zimmer","San Francisco","Jr.","OF","21","89","38","0.427"
"20","John Clay Reeves","Rice","Jr.","C","24","94","40","0.426"
"21","Sam Koenig","Milwaukee","Sr.","3B","10","33","14","0.424"
"22","Francisco Tellez","UC Riverside","So.","1B","20","85","36","0.424"
"23","Aaron Nardone","Delaware St.","Sr.","OF","19","57","24","0.421"
"","Deion Tansel","Toledo","So.","INF","20","76","32","0.421"
"25","Nic Wilson","Georgia St.","Sr.","INF","24","93","39","0.419"
"26","Tyler Leffler","Bradley","So.","INF","19","67","28","0.418"
"27","Derek Gibson","Southeast Mo. St.","Sr.","INF","23","84","35","0.417"
"28","Aramis Garcia","FIU","Jr.","C","24","89","37","0.416"
"","Caleb Howell","Eastern Ill.","Jr.","OF","23","89","37","0.416"
"30","Micheal Thomas","Kentucky","Sr.","C","22","77","32","0.416"
"31","Ryan Seiz","Liberty","Jr.","INF","25","94","39","0.415"
"32","Mitch Longo","Ohio","Fr.","OF","18","70","29","0.414"
"33","Ben Roberts","Washington St.","So.","OF","16","46","19","0.413"
"34","Billy Fleming","West Virginia","Jr.","2B","19","80","33","0.413"
"35","Nick Thompson","William & Mary","Jr.","INF","22","85","35","0.412"
"36","Kurt Hoekstra","Western Mich.","So.","INF","20","71","29","0.408"
"37","Michael Katz","William & Mary","Jr.","INF","22","98","40","0.408"
"38","Kyle Kleinendorst","North Dakota St.","Sr.","OF","16","54","22","0.407"
"39","Tyler France","San Diego St.","So.","INF","23","86","35","0.407"
"40","Mark Payton","Texas","Sr.","OF","25","84","34","0.405"
"41","Andrew Clow","Mt. St. Mary's","Jr.","C","14","47","19","0.404"
"42","Dylan Bosheers","Tennessee Tech","Jr.","SS","24","97","39","0.402"
"43","Paul DeJong","Illinois St.","So.","INF","20","80","32","0.400"
"","Sean Guite","UNC Greensboro","Sr.","INF","23","90","36","0.400"
"","Scott Kingery","Arizona","So.","INF","26","95","38","0.400"
"46","Connor Bright","South Carolina","Jr.","INF","22","83","33","0.398"
"","Chayse Marion","McNeese St.","Sr.","INF","22","83","33","0.398"
"48","Matt Tenaglia","James Madison","Sr.","1B","21","78","31","0.397"
"49","Nick Vilter","UC Riverside","Jr.","3B","20","68","27","0.397"
"50","Brandon Soat","IPFW","So.","OF","15","48","19","0.396"
"51","Brian Bien","Bowling Green","Jr.","INF","21","76","30","0.395"
"","Tim McKay","Lehigh","Jr.","C","13","38","15","0.395"
"","Brian O'Grady","Rutgers","Sr.","OF","20","76","30","0.395"
"54","Andrew Knizner","North Carolina St.","Fr.","3B","19","71","28","0.394"
"55","Colt Atwood","Sam Houston St.","Jr.","OF","24","104","41","0.394"
"56","Tim Swatek","Fordham","Sr.","P","19","66","26","0.394"
"57","Casey Gillaspie","Wichita St.","Jr.","INF","22","84","33","0.393"
"58","Robby Sunderman","Dayton","Sr.","INF","21","79","31","0.392"
"59","Devan Ahart","Akron","Jr.","OF","19","77","30","0.390"
"","Kevin Barker","UC Davis","Jr.","OF","20","77","30","0.390"
"61","Mike Alexander","Delaware St.","Sr.","P","16","54","21","0.389"
"","Matt Hopfner","Northwestern","Fr.","OF","18","72","28","0.389"
"","Boomer White","TCU","So.","C","23","90","35","0.389"
"64","Bennie Robinson","Florida A&M","Sr.","INF","21","85","33","0.388"
"65","Andrew Utterback","Alabama A&M","Jr.","OF","25","80","31","0.388"
"66","Jacob McNamara","Ill.-Chicago","Sr.","C","16","62","24","0.387"
"67","Lee Longo","Eastern Mich.","Sr.","INF","19","75","29","0.387"
"68","DJ Stewart","Florida St.","So.","OF","23","88","34","0.386"
"69","Corey Furman","Bucknell","Sr.","OF","15","57","22","0.386"
"70","Alex Robles","Austin Peay","Fr.","INF","22","83","32","0.386"
"71","Trent Gilbert","Arizona","Jr.","INF","26","104","40","0.385"
