"Rank","Name","Team","Cl","Pos","App","IP","SO"
"1","Trevor Lubking","Pacific Lutheran","Jr.","P","7","49.0","61"
"2","Tom Zarosinski","George Fox","Sr.","P","7","54.1","56"
"3","Jake Perkins","Ferrum","So.","P","7","47.2","53"
"4","Brett Lambert","Whitman","Sr.","P","6","37.0","51"
"5","Scott Weinschenk","Concordia (TX)","Sr.","P","7","43.0","47"
"6","Hunter Lewis","Hampden-Sydney","Sr.","3B","8","40.1","46"
"7","Gavin Free","Huntingdon","Sr.","P","7","46.0","45"
"","Blake Glauben","Rhodes","So.","P","9","54.2","45"
"","Blake Stevens","Birmingham-So.","Jr.","P","6","40.0","45"
"10","Sam Beatty","St. Mary's (MD)","Sr.","P","10","51.1","43"
"","Tyler Dauer","Texas-Dallas","Jr.","P","6","40.1","43"
"","Adam Putnam","Rhodes","So.","P","7","39.0","43"
"","Eric Zamora","Hardin-Simmons","Sr.","INF","6","36.2","43"
"14","Chris Bishop","Pacific Lutheran","Jr.","P","7","44.0","42"
"","Clay Gartner","George Fox","Sr.","P","7","51.1","42"
"16","Trent Blackwater","Sul Ross St.","Sr.","P","8","48.2","41"
"17","Kyle Bogese","Trinity (TX)","---","P","7","34.2","40"
"18","Steve Ascher","SUNY Oneonta","Jr.","P","4","26.2","39"
"","Delio Coutinho","New Jersey City","Sr.","P","5","26.1","39"
"","Brooks Fortenberry","Mississippi Col.","Jr.","P","6","35.1","39"
"","Jake Petersen","Cal Lutheran","Sr.","P","6","45.1","39"
"22","Cameron Cox","Concordia (TX)","Jr.","P","7","38.0","38"
"","Chris Haddeland","Linfield","Jr.","P","7","53.0","38"
"","Garrett Kriston","Covenant","So.","P","5","35.0","38"
"","Mitch Margolis","Occidental","Sr.","INF","8","41.0","38"
"26","Brandon Holsworth","Gallaudet","Jr.","P","7","40.0","37"
"","Cody Moore","Averett","Sr.","P","7","41.0","37"
"","Adam Posey","East. Mennonite","Sr.","P","6","34.0","37"
"29","Hayden Cleveland","Franklin","So.","P","5","31.2","36"
"30","Vince Claudio","Shenandoah","---","P","5","28.1","35"
"","Tyler Ferguson","La Roche","Jr.","P","5","28.1","35"
