"Rank","Name","Team","Cl","Pos","G","SB","CS"
"1","Bryson Myles","Stephen F. Austin","Jr.","OF","43","40","12"
"2","Brandon Hollins","Alcorn St.","Sr.","OF","37","33","6"
"","Dexter Kelley","Savannah St.","Sr.","OF","48","33","6"
"4","Ryan Brenner","Miami (OH)","Jr.","OF","36","30","7"
"","Brooks Pinckard","Baylor","Jr.","OF","44","30","2"
"6","Cory Tilton","Charlotte","Sr.","OF","43","28","3"
"7","Jamodrick McGruder","Texas Tech","So.","INF","46","27","6"
"8","Billy Burns","Mercer","Jr.","OF","45","26","3"
"","Zeke DeVoss","Miami (FL)","So.","OF","44","26","7"
"","Travis Jankowski","Stony Brook","So.","OF","40","26","3"
"11","Jimmy Brenneman","Campbell","Jr.","OF","43","25","4"
"","Mikie Mahtook","LSU","Jr.","OF","45","25","6"
"","Khayyan Norfork","Tennessee","Sr.","2B","42","25","3"
"","Joe Torres","Iona","Fr.","OF","41","25","5"
"15","Steven Brooks","Wake Forest","Sr.","OF","43","24","2"
"","Rob Elliott","Bradley","Jr.","INF","42","24","5"
"","Anthony Flenoy","Texas Southern","Jr.","OF","40","24","5"
"","Ryan Mooney","Sam Houston St.","Sr.","INF","46","24","1"
"","Scott Woodward","Coastal Caro.","Sr.","OF","42","24","3"
"20","Patrick Biondi","Michigan","So.","OF","41","23","4"
"","Matt Hillsinger","Radford","Jr.","OF","43","23","3"
"","John Lynch","Norfolk St.","Sr.","OF","41","23","7"
"","Jace Peterson","McNeese St.","Jr.","INF","46","23","9"
"24","Michael Blanchard","Austin Peay","Jr.","OF","39","22","5"
"","Ian Haynes","James Madison","Jr.","OF","39","22","7"
"","Ian Parmley","Liberty","Jr.","OF","41","22","7"
"","Jeff Simpson","Stetson","Sr.","OF","42","22","4"
"","George Springer","Connecticut","Jr.","OF","45","22","6"
"","Eric Stamets","Evansville","So.","INF","39","22","8"
"","Nick Vickerson","Mississippi St.","Sr.","INF","39","22","3"
"31","Kyle Gaedele","Valparaiso","Jr.","OF","43","21","3"
"","Marty Gantt","Col. of Charleston","Jr.","OF","45","21","4"
"","Tyler Grimes","Wichita St.","Jr.","INF","47","21","4"
"","Kevin Hall","Wichita St.","Jr.","OF","47","21","2"
"","Derek Hamblen","Belmont","Sr.","OF","45","21","2"
"","Justin Lesson","Georgetown","So.","OF","46","21","2"
"","Rand Ravnaas","Georgetown","Jr.","OF","43","21","4"
"","John Sheridan","Brown","So.","OF","35","21","1"
"","Travis Shreve","UCF","Jr.","INF","43","21","4"
"","Kevin Tokarski","Illinois St.","Jr.","INF","40","21","6"
"41","Nick Ahmed","Connecticut","Jr.","INF","40","20","6"
"","Jamal Austin","UAB","Jr.","OF","43","20","5"
"","Johnny Bladel","James Madison","So.","OF","40","20","7"
"","Krey Bratsen","Texas A&M","Fr.","OF","44","20","4"
