"Rank","Name","Team","Cl","Pos","G","AB","TB"
"1","Josh Coker","Lincoln Memorial","Sr.","P","30","103","84"
"2","Patrick Grady","Lander","Sr.","OF","30","113","83"
"3","Jordan Edgerton","UNC Pembroke","Jr.","INF","30","128","81"
"","Connor Lewis","Lander","Sr.","INF","30","122","81"
"5","Erik Lunde","Lander","Sr.","INF","30","121","80"
"6","Tyler Gaby","King (TN)","Sr.","OF","32","128","79"
"7","Jackson Slaid","Montevallo","Sr.","C","30","129","78"
"8","Dustin Averett","Columbus St.","Jr.","C","32","125","77"
"","Bradon Reitano","Mount Olive","Sr.","SS","29","100","77"
"10","Jackson Oliver","Columbus St.","So.","OF","32","140","76"
"11","Bo Ausmus","Carson-Newman","Jr.","SS","32","123","75"
"12","Jack Morrow","Young Harris","Sr.","C","31","118","74"
"13","Steven Cooper","Anderson (SC)","So.","INF","31","119","73"
"","Jonathan Freemyer","Northwestern Okla.","Jr.","DH","28","96","73"
"","Carver Rademacher","Southern Ark.","So.","1B","31","126","73"
"","Phillip Wilson","Central Okla.","Sr.","P","24","87","73"
"17","Tyler Moore","S.C. Aiken","So.","OF","27","122","72"
"","Ben Schmucker","UNC Pembroke","Jr.","OF","30","125","72"
"","Jake Taylor","Flagler","Jr.","1B","28","112","72"
"20","Jacob Campbell","Albany St. (GA)","Sr.","OF","32","105","71"
"","Joel Lutz","Lubbock Christian","Fr.","3B","27","102","71"
"","Graham Ramos","Lander","Sr.","INF","29","115","71"
"23","Chad Balderman","Limestone","Sr.","OF","30","118","70"
"","Blake Edwards","Columbus St.","So.","2B","32","138","70"
"","Daniel Fraga","UNC Pembroke","Sr.","INF","30","127","70"
"","Josh Rudnik","Young Harris","Sr.","P","31","130","70"
"27","Spencer Blacksher","Southwest Baptist","Jr.","INF","24","95","69"
"","Matt Bosse","S.C. Aiken","---","LF","27","106","69"
"","Andrew Brodbeck","Flagler","Jr.","INF","29","122","69"
"","Tyler Cameron","Southern Ark.","Sr.","INF","31","125","69"
"","Garrett Cook","King (TN)","Sr.","OF","33","118","69"
"32","Drew Cole","UNC Pembroke","Jr.","INF","30","122","68"
"","Mike Kattula","Arkansas Tech","Sr.","1B","28","106","68"
"","Weston Lawing","Lander","Jr.","OF","29","122","68"
"","Cody Robinson","Northeastern St.","Sr.","OF","22","76","68"
"36","Ty Barkell","S.C. Aiken","Jr.","INF","28","104","67"
"","Will Fulmer","Montevallo","Sr.","INF","30","128","67"
"38","Lel Clemmons","Winston-Salem","---","CF","31","111","66"
"","TJ Costen","S.C. Aiken","---","3B","28","112","66"
"","Stephen Dezzi","Tampa","Jr.","OF","29","94","66"
"","Paul Kronenfeld","Catawba","Sr.","1B","29","103","66"
"","Clayton Miller","Armstrong","Sr.","C","26","107","66"
"43","Brett Huffman","UNC Pembroke","Sr.","INF","30","122","65"
"","Wigberto Nevarez","Lubbock Christian","---","C","27","96","65"
"","Nick Tindall","Tampa","Jr.","C","28","100","65"
