"Rank","Name","Team","Cl","Pos","App","IP","BB","PG"
"1","Pat Lahey","Lewis","Sr.","P","10","64.7","3","0.42"
"2","Zack Gronek","Missouri S&T","Sr.","P","13","75.0","5","0.60"
"3","Charlie Henderson","Regis (CO)","Sr.","P","11","78.3","6","0.69"
"4","Jordan Smith","Minn. Duluth","Jr.","P","8","48.7","5","0.92"
"5","Geoff Broussard","Cal Poly Pomona","Sr.","P","13","97.0","10","0.93"
"6","Luke Barker","Cal St. Chico","Fr.","P","11","67.3","7","0.94"
"7","Grady Wood","Western Ore.","Sr.","P","10","75.0","8","0.96"
"8","James Mannara","Florida Tech","Jr.","P","25","46.3","5","0.97"
"9","Bret Garrett","Chowan","Fr.","-","14","81.0","9","1.00"
"10","Josh Cagle","Stillman","Sr.","P","15","87.0","10","1.03"
"11","Jeff Rohrbach","St. Edward's","Sr.","P","12","69.0","8","1.04"
"12","Mario Madera","Upper Iowa","Sr.","P","7","50.7","6","1.07"
"13","Ben O'Shea","Tampa","Jr.","P","13","83.0","10","1.08"
"14","Mike Calzetta","Mass.-Lowell","So.","P","10","64.0","8","1.13"
"15","Calyn Young","Southwestern Okla.","Jr.","P","9","46.7","6","1.16"
"16","Ed Kohout","Le Moyne","Sr.","P","13","62.0","8","1.16"
"17","Thomas Deboer","Saint Martin's","Sr.","P","12","69.3","9","1.17"
"18","Jarrott Hooks","Francis Marion","Sr.","P","44","53.0","7","1.19"
"19","Max Schonfeld","Molloy","So.","P","11","68.0","9","1.19"
"20","Sean Bierman","Tampa","Sr.","P","13","74.3","10","1.21"
"21","Lee Stoppelman","Central Mo.","Sr.","P","10","59.0","8","1.22"
"22","Kurtis Schuyler","Central Mo.","So.","P","10","58.7","8","1.23"
"23","Nik Jurado","Mo. Western St.","Sr.","P","11","73.3","10","1.23"
"24","Matt Frahm","Lewis","Jr.","P","10","51.3","7","1.23"
"25","Matt Broderick","Francis Marion","Sr.","P","14","71.3","10","1.26"
"26","Heath Gray","Erskine","Jr.","P","45","84.0","12","1.29"
"27","David Kendrick","Ala.-Huntsville","Sr.","P","12","76.7","11","1.29"
"28","Nick Krolczyk","Fla. Southern","So.","P","14","48.7","7","1.29"
"29","Bryan Tuttle","Pfeiffer","Jr.","P","13","83.0","12","1.30"
"30","Blake Dunham","Colorado Mines","Jr.","P","10","62.0","9","1.31"
"31","Doug Shields","Southern Ark.","Sr.","P","12","89.0","13","1.31"
"32","Bryon Lemon","Cal St. Stanislaus","Jr.","P","12","73.7","11","1.34"
"33","Nick Baker","Cal St. Chico","So.","P","11","46.3","7","1.36"
"34","Paul Hvozdovic","Shepherd","So.","P","17","91.3","14","1.38"
"35","Travis Bradshaw","Western Ore.","Sr.","P","10","52.0","8","1.38"
"36","Kirk Lind","Western Ore.","Sr.","P","10","58.3","9","1.39"
"37","Brad Thomas","Ashland","Jr.","P","12","64.7","10","1.39"
"38","Thomas Lee","Sonoma St.","Sr.","P","12","71.0","11","1.39"
"39","Dustin Caplette","Southwest Baptist","Jr.","P","10","58.0","9","1.40"
"40","Dom Raia","Chestnut Hill","Fr.","P","14","62.0","10","1.45"
"41","Robby Thigpen","Carson-Newman","Sr.","P","14","68.0","11","1.46"
"42","Paul McKenna","Gannon","Sr.","P","11","67.3","11","1.47"
"43","Jeff Croteau","Bentley","Jr.","P","17","72.0","12","1.50"
"","Zachary Westcott","Nova Southeastern","So.","P","11","78.0","13","1.50"
"45","Drew Eiland","Ala.-Huntsville","So.","P","13","89.7","15","1.51"
"46","Sam Meloy","Ark.-Fort Smith","Jr.","P","13","77.3","13","1.51"
"47","Eric Kamp","Bloomfield","Jr.","P","25","71.3","12","1.51"
"48","Matt Lee","American Int'l","Jr.","INF","8","47.0","8","1.53"
"","Justin Moore","Dominican (NY)","Sr.","P","17","47.0","8","1.53"
"50","Davis Ward","Ouachita Baptist","So.","P","14","76.3","13","1.53"
"51","Brian Black","Millersville","Jr.","P","11","46.3","8","1.56"
"","Aaron Hoverson","Winona St.","Jr.","P","10","46.3","8","1.56"
"53","Steven Thiele","Belmont Abbey","Sr.","P","11","69.3","12","1.56"
"54","Tom Helwich","Lewis","So.","P","9","62.7","11","1.58"
"","Scott Ward","Florida Tech","Fr.","P","14","62.7","11","1.58"
"56","Wesley Houser","King (TN)","Jr.","P","26","91.0","16","1.58"
"57","Danny Torres","Cal St. Dom. Hills","Sr.","P","11","56.7","10","1.59"
"58","Jared Christensen","Colorado Mesa","Sr.","P","12","68.0","12","1.59"
"59","Donovan Drake","Indianapolis","Sr.","P","9","61.7","11","1.60"
"60","Derek Brooks","Emporia St.","Sr.","INF","12","67.3","12","1.60"
"61","Joey Cuda","Eckerd","Sr.","P","13","78.3","14","1.61"
"62","Ben Wright","Southern Ind.","So.","P","12","67.0","12","1.61"
"63","Ben Kincaid","Minn. St. Mankato","Sr.","P","10","55.7","10","1.62"
"64","Brandon Faulkner","Emporia St.","Sr.","P","14","66.7","12","1.62"
"65","Brett Sullivan","Seton Hill","Fr.","P","12","61.0","11","1.62"
"66","Russell Trojan","Philadelphia U.","Jr.","P","33","44.3","8","1.63"
"67","Greg Selarz","UC San Diego","Sr.","P","12","66.3","12","1.63"
"68","Ben Lazzari","Minn.-Crookston","Sr.","P","10","55.0","10","1.64"
"69","Kagen Hopkins","Cal St. Chico","Jr.","P","11","71.3","13","1.64"
"70","Tyler Stefan","Truman","Sr.","P","17","49.3","9","1.64"
"71","Michael Lange","Angelo St.","Jr.","P","13","54.7","10","1.65"
"72","Josh White","Limestone","Sr.","P","20","70.3","13","1.66"
"73","Kevin McGowan","Franklin Pierce","So.","P","21","54.0","10","1.67"
"74","Francesco Scudiero","Bloomfield","Fr.","P","17","59.0","11","1.68"
"","Drew Watts","Ky. Wesleyan","Jr.","P","12","59.0","11","1.68"
"76","Justin Lindsey","Grand Canyon","Sr.","P","14","75.0","14","1.68"
"77","Trent Speaker","Washburn","---","OF","10","42.7","8","1.69"
"78","Logan Siegler","Truman","Jr.","C","10","64.0","12","1.69"
"79","Justin Arceneaux","Metro St.","Jr.","P","11","69.3","13","1.69"
"80","Philip Forbis","Bellarmine","Jr.","P","12","53.3","10","1.69"
"81","Frank Ambrosino","Ga. Southwestern","Jr.","P","11","79.3","15","1.70"
"82","Adam Aspaas","Tex. A&M-Kingsville","Sr.","INF","14","68.7","13","1.70"
"83","Pete Perez","Tarleton St.","Jr.","P","14","73.7","14","1.71"
"84","Adam Radick","Mo.-St. Louis","Sr.","P","10","68.0","13","1.72"
"85","Ryan DeJesus","San Fran. St.","Jr.","P","13","62.7","12","1.72"
"86","Alex Guilford","Montevallo","So.","P","17","73.0","14","1.73"
