"Rank","Name","Team","Cl","Pos","App","IP","R","ER","ERA"
"1","Jeremy Gigliotti","East Stroudsburg","Sr.","P","10","53.0","7","3","0.51"
"2","Ryan Thompson","Franklin Pierce","So.","P","10","73.0","8","6","0.74"
"3","Brian Maloney","Franklin Pierce","Sr.","P","10","74.0","18","8","0.97"
"4","Stephen Bove","Adelphi","Fr.","P","8","40.3","7","5","1.12"
"5","Richard Raraigh","Seton Hill","Sr.","P","8","44.7","11","6","1.21"
"6","Andy Heston","Northern Ky.","Sr.","P","16","44.0","6","6","1.23"
"7","Gabriel Asakura","Cal St. L.A.","Jr.","P","12","65.0","15","9","1.25"
"8","Dan McMahon","USciences","So.","P","11","79.3","22","11","1.25"
"9","Chris Zbin","Southern Conn. St.","Jr.","P","12","76.7","15","11","1.29"
"10","Joe Ferrara","St. Thomas Aquinas","Jr.","P","8","41.7","14","6","1.29"
"11","Steven Corbett","Post","Jr.","P","10","62.0","10","9","1.31"
"12","Joel Sanchez","Felician","Sr.","P","12","74.7","18","11","1.33"
"13","Robert Nixon","Adelphi","Sr.","P","11","81.0","14","12","1.33"
"14","Matt Bartolomei","Bridgeport","Jr.","P","19","52.3","12","8","1.38"
"15","Ryan Garman","Grand Valley St.","Fr.","P","8","45.7","15","7","1.38"
"16","Glen Hudson","C.W. Post","Jr.","P","11","49.7","22","8","1.45"
"17","Kyle DiMartino","Dixie St.","Jr.","P","22","43.3","7","7","1.45"
"18","Eric Aschley","Mercyhurst","Jr.","P","10","55.0","15","9","1.47"
"19","Carson Beauchaine","Saginaw Valley","So.","P","8","48.7","15","8","1.48"
"20","Corey Witkowski","Barry","Jr.","P","13","97.0","27","16","1.48"
"21","Taylor Robinson","Mass.-Lowell","So.","P","12","54.0","12","9","1.50"
"22","Joey Cuda","Eckerd","Jr.","P","14","101.0","25","17","1.51"
"23","Kodey Simon","Winona St.","Jr.","P","8","53.0","15","9","1.53"
"24","Matt Sommo","New Haven","Sr.","P","6","41.0","8","7","1.54"
"25","Scott Shipman","Augusta St.","So.","P","12","81.0","20","14","1.56"
"26","Steve Landell","Southern Conn. St.","So.","P","7","46.0","12","8","1.57"
"","Kevin Pettine","Southern Conn. St.","Sr.","P","11","69.0","15","12","1.57"
"28","Don Sandifer","Francis Marion","So.","P","12","91.7","25","16","1.57"
"29","Ajay Meyer","Ashland","Sr.","P","14","85.0","20","15","1.59"
"30","Dan Marcacci","Southern Ind.","Sr.","P","15","45.3","8","8","1.59"
"31","Kurt Bruce","Wilmington (DE)","Sr.","P","11","62.0","15","11","1.60"
"32","Aaron Hilt","Ashland","Jr.","P","8","44.3","10","8","1.63"
"33","Dave Bartuska","Dominican (NY)","Jr.","P","10","66.3","15","12","1.63"
"34","Logan Birr","St. Cloud St.","Jr.","P","10","49.7","16","9","1.63"
"35","Joe Harris","Wilmington (DE)","Sr.","P","12","57.7","12","11","1.72"
"36","Carter Capps","Mount Olive","So.","P","14","89.0","22","17","1.72"
"37","Kirk Lind","Western Ore.","Jr.","P","15","47.0","9","9","1.72"
"38","Mike Scudero","Adelphi","Sr.","P","12","67.3","20","13","1.74"
"39","Josh McKeon","Upper Iowa","Sr.","P","10","71.7","21","14","1.76"
"40","Sean McDonald","Northwest Nazarene","Jr.","OF","14","46.0","11","9","1.76"
"41","Cutler Ruby","Post","Jr.","P","9","55.7","13","11","1.78"
"42","Steve Simon","Southern Conn. St.","Sr.","P","9","50.3","14","10","1.79"
"43","Chuck Fontana","Molloy","Jr.","P","10","70.0","14","14","1.80"
"","Jacob Rickett","North Ga.","Sr.","P","24","40.0","10","8","1.80"
"45","Taylor Candage","New Haven","So.","P","9","44.7","14","9","1.81"
"","Mike McMonagle","Millersville","Jr.","P","9","44.7","9","9","1.81"
"47","Shawn Kale","Lynn","Jr.","P","19","44.3","17","9","1.83"
"48","Bryan Galligan","Stonehill","Sr.","P","9","62.7","14","13","1.87"
"49","Brian Willis","UNC Pembroke","Sr.","P","18","53.0","19","11","1.87"
"50","Jamie Treml","Wilmington (DE)","Fr.","P","14","56.3","12","12","1.92"
"51","Blake Hobby","North Ga.","Jr.","P","13","93.3","30","20","1.93"
"52","Dave Middendorf","Northern Ky.","Sr.","P","13","82.3","25","18","1.97"
"53","Dustin Javins","Dominican (NY)","Jr.","P","11","64.0","19","14","1.97"
"54","Danny Miller","Minn. St. Mankato","Sr.","OF","9","54.3","18","12","1.99"
"55","Kevin Peters","West Fla.","Fr.","P","13","49.0","14","11","2.02"
"56","Houston Taylor","S.C. Aiken","Sr.","P","15","48.7","19","11","2.03"
"57","Kyle Schepel","Grand Valley St.","Jr.","P","10","52.7","13","12","2.05"
"58","Atlee Pearson","Erskine","Sr.","P","21","48.3","22","11","2.05"
"59","Dan Bream","Southern Ark.","Sr.","P","14","87.7","28","20","2.05"
"60","Tyler Carpenter","Columbus St.","Fr.","P","15","61.3","24","14","2.06"
"61","Jack Leathersich","Mass.-Lowell","Jr.","P","10","65.0","18","15","2.08"
"62","Eric Haughn","Stonehill","Jr.","P","9","60.0","20","14","2.10"
"63","Nick Gillung","Mercyhurst","Sr.","P","11","59.7","17","14","2.11"
"64","Justin Moore","Dominican (NY)","Jr.","P","11","59.3","18","14","2.12"
"65","Blake Schwartz","Minn. St. Mankato","Jr.","P","10","67.3","18","16","2.14"
"66","Randy Sturgill","California (PA)","Jr.","P","12","75.7","20","18","2.14"
"67","Jeremy Peed","Limestone","Jr.","P","13","42.0","11","10","2.14"
"68","Dan Steers","Post","Sr.","P","10","66.3","20","16","2.17"
"69","Phillip Mozingo","Francis Marion","Sr.","P","11","45.3","18","11","2.19"
"70","Marc Rutledge","Dowling","Jr.","P","9","53.3","20","13","2.20"
"71","Daniel Vargas-Vila","West Fla.","Sr.","P","13","86.0","22","21","2.20"
"72","Greg Herbst","St. Mary's (TX)","Sr.","1B","13","81.7","35","20","2.20"
"73","Jason Postill","West Fla.","Sr.","P","13","89.0","28","22","2.22"
"74","Kenny Arnerich","Sonoma St.","Sr.","P","11","68.7","26","17","2.23"
"75","Jonathan Gonzalez","Adelphi","Sr.","P","11","72.7","20","18","2.23"
"76","Josh Branstetter","Delta St.","So.","P","10","67.7","27","17","2.26"
"77","Tim Shibuya","UC San Diego","Sr.","P","12","87.3","26","22","2.27"
"78","Brooks Rothschild","Millersville","Jr.","P","11","67.3","19","17","2.27"
"79","Brad Schnelle","Seton Hill","Fr.","P","10","51.3","17","13","2.28"
"80","Josh Corrales","Cal St. Dom. Hills","Jr.","P","12","82.7","25","21","2.29"
"81","Lou Trivino","Slippery Rock","Fr.","P","10","47.0","17","12","2.30"
"82","Ricky Cramer","Cameron","Sr.","P","12","82.0","24","21","2.30"
"83","Jonathan Cornelius","Florida Tech","Sr.","P","14","89.0","29","23","2.33"
"84","Jeb Huber","West Ala.","Jr.","P","13","81.0","30","21","2.33"
"","John Markley","Winston-Salem","So.","P","20","54.0","21","14","2.33"
"86","Ryan Trimble","Truman","Jr.","P","8","50.0","16","13","2.34"
"87","Zach Leitten","Mercyhurst","Jr.","P","10","46.0","21","12","2.35"
"88","Jeremy Hall","Mount Olive","Sr.","P","13","49.7","18","13","2.35"
"89","Tyler Choate","Southern Ind.","Sr.","P","10","60.7","20","16","2.37"
"90","Manny Rodriguez","Barry","Jr.","P","13","94.7","28","25","2.38"
"91","Jarrett Eiskina","Truman","So.","P","9","56.7","29","15","2.38"
"92","Paul Bischoff","C.W. Post","Jr.","P","9","52.7","28","14","2.39"
"93","Josh Cagle","Stillman","Jr.","P","14","79.0","25","21","2.39"
"94","Michael Ward","Western Ore.","Sr.","P","11","75.0","29","20","2.40"
"95","Jason Lembo","Molloy","Jr.","P","10","48.7","15","13","2.40"
"96","Guido Knudson","UC San Diego","Sr.","P","12","82.3","30","22","2.41"
"97","Timothy Flight","Southern N.H.","So.","P","10","70.3","23","19","2.43"
"98","Chad Modomo","West Va. Wesleyan","So.","P","8","44.3","19","12","2.44"
"99","Chase Pickering","West Virginia St.","Jr.","P","9","40.3","14","11","2.46"
"100","Ben Rawding","Mercyhurst","So.","P","12","58.0","17","16","2.48"
"101","Vinny Pacchetti","Cal St. Stanislaus","Sr.","P","11","65.0","23","18","2.49"
"102","Brad Isom","UNC Pembroke","Sr.","P","13","79.3","30","22","2.50"
"103","Aaron Brooks","Cal St. San B'dino","Jr.","P","12","85.7","27","24","2.52"
"104","Zack Gronek","Missouri S&T","Jr.","P","11","64.0","23","18","2.53"
"105","Heath Wyatt","Southeastern Okla.","Sr.","P","28","63.7","24","18","2.54"
"106","Zach McElroy","Davis & Elkins","Jr.","P","13","74.3","30","21","2.54"
"107","Trey Mitchell","North Ala.","Sr.","P","12","91.7","41","26","2.55"
"108","Andrew Virgili","Lynn","Jr.","P","13","88.0","30","25","2.56"
"109","Justin Somers","Wingate","So.","P","16","56.3","24","16","2.56"
"110","Grady Wood","Western Ore.","Jr.","P","11","77.3","30","22","2.56"
"111","Gregg Downing","Franklin Pierce","Jr.","P","8","52.7","18","15","2.56"
"112","Michael Jordan","Benedict","Jr.","INF","13","49.0","19","14","2.57"
"","Jeffrey Stoner","Francis Marion","Fr.","P","12","63.0","20","18","2.57"
"114","Anthony Plomitallo","Bridgeport","Sr.","P","10","41.7","16","12","2.59"
"","John Wenker","Winona St.","Jr.","P","8","41.7","19","12","2.59"
"116","Brett Garrett","Chowan","Jr.","P","17","83.3","43","24","2.59"
