"Rank","Name","Team","Cl","Pos","G","BB"
"1","Josh Bailey","Piedmont","Sr.","OF","21","22"
"2","Ramsey Abushala","Cal Lutheran","So.","OF","21","20"
"","Daniel Iturrey","Emory","Sr.","OF","25","20"
"4","Brandon Hannon","Emory","Sr.","OF","24","19"
"5","Connor Bertsch","Concordia (TX)","So.","INF","18","18"
"","C.J. Lindsay","Va. Wesleyan","---","DH","23","18"
"","Connor Moore","Trinity (TX)","So.","INF","23","18"
"8","Trammell DeJarnett","Huntingdon","Sr.","OF","24","17"
"","Tommy Kawamura","Willamette","Sr.","INF","22","17"
"","Alex Thornton","Dallas","Sr.","OF","26","17"
"","Jared Welch","Emory","Sr.","C","25","17"
"12","Jacob Allen","Cairn","Fr.","INF","13","16"
"","Andrew Carabajal","Chapman","Sr.","OF","21","16"
"","Kyle Cook","Centre","Sr.","OF","19","16"
"","Quinn Griffith","Salisbury","Sr.","INF","18","16"
"","Buddy McCoy","Texas-Tyler","Jr.","INF","19","16"
"","K.C. Simons","Covenant","Jr.","INF","18","16"
"","John Macon Smith","Guilford","Sr.","OF","22","16"
"","Scott Witte","Claremont-M-S","Sr.","SS","24","16"
"20","Tyler Blackwell","Huntingdon","Sr.","INF","21","15"
"","Dante Cassano","Gwynedd Mercy","Sr.","1B","15","15"
"","Tony Gennusa","Texas Lutheran","Jr.","OF","22","15"
"","Scott Gillespie","Covenant","Jr.","INF","18","15"
"","Kyle Kulczyk","Howard Payne","Fr.","1B","20","15"
"","Brett Lake","Emory","Jr.","OF","25","15"
"","Michael Leytze","Mt. St. Joseph","---","DH","13","15"
"","Arneal Squibb","Heidelberg","Sr.","OF","16","15"
"","K.J. Stark","Mary Hardin-Baylor","Jr.","OF","19","15"
"","Rob Tomasulo","Lynchburg","Jr.","C","16","15"
"","Cory VanDomelen","Linfield","Jr.","INF","21","15"
