"Rank","Name","Team","Cl","Pos","G","RBI"
"1","Chad Mullins","Case","Sr.","3B","43","69"
"2","Brandon Rogalski","Washington-St. Louis","Jr.","OF","46","60"
"3","Kyle Felix","Trinity (TX)","Sr.","C","44","58"
"4","Connor Madden","Chris. Newport","Jr.","INF","44","57"
"","Bruce Maxwell","Birmingham-So.","So.","1B","38","57"
"","Michael Tucker","Anderson (IN)","Jr.","C","35","57"
"7","Jordan Walton","Randolph-Macon","Jr.","1B","42","56"
"8","Jordan Marks","Louisiana Col.","Jr.","INF","43","55"
"9","Ty Foster","Manchester","Sr.","INF","36","53"
"10","John Holm","Wabash","Jr.","INF","39","52"
"11","Sam Alexander","Case","Jr.","OF","42","51"
"","Dan Haugh","Wheaton (MA)","Jr.","INF","35","51"
"","Nick Skala","Concordia Chicago","Jr.","C","33","51"
"14","Brendan Pilger","Oglethorpe","Sr.","OF","42","50"
"","Derek Smith","Pitt.-Bradford","So.","INF","31","50"
"16","Nick Clifton","Texas-Tyler","Sr.","1B","39","49"
"","Brett Ossola","Case","So.","1B","43","49"
"18","John Apostolo","Mitchell","Jr.","P","25","48"
"","Conor Cavanagh","Lasell","Sr.","OF","36","48"
"","Myles Cordell","Maryville (TN)","Sr.","INF","40","48"
"","Will Hawkins","Millsaps","Sr.","INF","42","48"
"","Korey LeLievre","Daniel Webster","Fr.","OF","32","48"
"","Troy Tarrant","Hardin-Simmons","Jr.","OF","42","48"
"24","Nick Broyles","Bluffton","Jr.","OF","36","47"
"","Brian Weeks","Hardin-Simmons","Sr.","INF","42","47"
"26","Charlie Carluccio","Haverford","Sr.","SS","39","46"
"","Stuart Magee","Mississippi Col.","Sr.","OF","42","46"
"","Jake Northrup","Endicott","Fr.","P","40","46"
"","Andrew Thole","Thomas More","Jr.","1B","28","46"
"30","Nick Boggan","Cal Lutheran","So.","INF","40","45"
"","Matt Oliveto","FDU-Florham","Sr.","OF","32","45"
"","Nick Pappas","Trinity (TX)","Jr.","INF","44","45"
"","Jim Schult","Eastern Conn. St.","Sr.","OF","34","45"
"","Ryan Walsh","Mass.-Boston","Sr.","2B","34","45"
"35","Spencer Brunson","Mississippi Col.","Jr.","INF","42","44"
"","Nick Frederick","Pomona-Pitzer","Sr.","1B","39","44"
"","Drew Leachman","Birmingham-So.","Sr.","INF","39","44"
"","T.C. Lee","Willamette","Sr.","OF","40","44"
"","Sam Schmeltzer","Thomas More","Sr.","3B","29","44"
"","Matt Shoemaker","Chris. Newport","Jr.","INF","44","44"
"","Montana Timmons","Wabash","So.","OF","41","44"
"42","Willie Brechun","Heidelberg","Sr.","INF","36","43"
"","Kevin Callahan","Ill. Wesleyan","So.","1B","34","43"
"","Mike Eaton","Southern Me.","Sr.","OF","33","43"
"","Sam Hill","Birmingham-So.","Sr.","C","38","43"
"","Jonathan Mason","Bridgewater (VA)","So.","OF","44","43"
"47","Chris Ballester","Rutgers-Newark","Jr.","OF","37","42"
"","Rob Coe","Wis.-Whitewater","Sr.","C","32","42"
"","Justin Juneau","Texas-Tyler","Sr.","1B","39","42"
"","Bill Pace","Neumann","So.","C","35","42"
"","Christian Spurr","Ramapo","So.","INF","36","42"
