"Rank","Name","Team","Cl","Pos","G","SF"
"1","Andy Hall","Missouri S&T","Sr.","OF","39","12"
"2","Luis Saenz","N.M. Highlands","Sr.","OF","43","10"
"3","Tyler Richburg","West Ala.","Jr.","OF","47","9"
"4","Madison Beaird","Arkansas Tech","Jr.","OF","49","8"
"","Chris Pula","West Chester","So.","1B","41","8"
"","Chris Ross","Montevallo","Sr.","OF","49","8"
"7","Eric Barnes","Oakland City","Sr.","INF","39","7"
"","Michael Cokinos","St. Mary's (TX)","Jr.","C","49","7"
"","Darren Dworak","Cal St. San B'dino","Sr.","DH","41","7"
"","David Garcia","Cal St. Monterey Bay","Jr.","2B","46","7"
"","P.J. Garcia","Grand Canyon","Sr.","INF","45","7"
"","Eric Grabe","Tampa","Sr.","3B","43","7"
"","Brock Green","Ouachita Baptist","Sr.","1B","46","7"
"","Cody Maas","Georgia College","Jr.","C","47","7"
"","P Martin","Winston-Salem","Fr.","-","50","7"
"","Kyle Morrow","Pitt.-Johnstown","So.","C","49","7"
"","Ethan Santora","Mercyhurst","Sr.","INF","47","7"
"","Cade Stallings","Tusculum","Jr.","INF","54","7"
"","Julio Zubillaga","Catawba","So.","2B","46","7"
"20","Nick Aranas","S.C. Aiken","Sr.","3B","48","6"
"","Kendall Boone","West Tex. A&M","Sr.","INF","46","6"
"","Matt Boulter","Southern N.H.","Jr.","SS","48","6"
"","Andrew Brauer","Lewis","Sr.","OF","46","6"
"","Andrew Camardella","Dominican (NY)","Jr.","INF","44","6"
"","Sako Chapjian","Cal St. Dom. Hills","Fr.","3B","43","6"
"","Sheldon Howell","Fort Hays St.","Sr.","INF","44","6"
"","Josh Huffman","King (TN)","Jr.","C","33","6"
"","Ryan Johnston","Concord","Fr.","C","50","6"
"","A Jones","Winston-Salem","Fr.","-","50","6"
"","Cam Kneeland","Mass.-Lowell","Sr.","INF","43","6"
"","Ryan Mahoney","Le Moyne","Jr.","INF","44","6"
"","Jason Matusik","Lynn","Jr.","1B","43","6"
"","Michael McCoy","Mo. Southern St.","Jr.","INF","46","6"
"","Mike Mercurio","Mount Olive","Jr.","SS","48","6"
"","Chad Nader","Coker","Jr.","OF","45","6"
"","Randy O'Dell","Brevard","Sr.","INF","44","6"
"","Tyler Padgett","Paine","So.","3B","43","6"
"","Anthony Peguero","Franklin Pierce","Jr.","INF","45","6"
"","Mj Sartin","Mo. Southern St.","Sr.","OF","44","6"
"","Cameron Scott","Columbus St.","Jr.","2B","50","6"
"","Aaron Scoville","Shepherd","So.","INF","46","6"
"","Stephen Tarkenton","Francis Marion","Jr.","INF","44","6"
"","Adam Thygesen","Southwest Minn. St.","Sr.","2B","38","6"
"","Garrett Tuck","UC San Diego","So.","SS","48","6"
"","Dj Turo","West Ala.","Jr.","INF","48","6"
"","Ian Vazquez","Belmont Abbey","So.","SS","51","6"
"47","Mike Anderson","Wis.-Parkside","Sr.","OF","42","5"
"","Justi Bagbey","Chowan","Fr.","-","49","5"
"","Blake Barber","West Fla.","Jr.","INF","47","5"
"","Jermaine Berry","Mount Olive","Jr.","3B","42","5"
"","Jeff Boulware","Sonoma St.","Jr.","INF","29","5"
"","Trey Buck","Southern Ark.","Sr.","SS","46","5"
"","Brendon Buckley","New Haven","So.","INF","38","5"
"","Brady Capshaw","Southern Ark.","Jr.","3B","42","5"
"","Josh Chism","Ark.-Monticello","Fr.","INF","44","5"
"","Joe Crane","Chestnut Hill","Jr.","INF","40","5"
"","Kevin Cressman","Lock Haven","Sr.","1B","43","5"
"","Josh Dawson","Cameron","Sr.","INF","48","5"
"","Nick Gaeta","Mount Olive","Sr.","C","34","5"
"","Steven Garber","Northwest Mo. St.","So.","P","42","5"
"","Bill Gerstenslager","S.C. Aiken","Jr.","1B","49","5"
"","Cameron Green","Southeastern Okla.","Sr.","INF","42","5"
"","Michael Hackett","Alderson-Broaddus","Sr.","C","44","5"
"","Brian Hansen","St. Cloud St.","Jr.","OF","45","5"
"","Tee Helsel","Mo. Southern St.","So.","INF","45","5"
"","Mikey Henrichs","Upper Iowa","Jr.","C","38","5"
"","Evan Hester","West Ga.","Fr.","-","45","5"
"","Will Huff","Erskine","So.","INF","52","5"
"","Andrew Jones","Tampa","Sr.","OF","42","5"
"","Brian Knight","Augustana (SD)","Sr.","OF","42","5"
"","Larry Lowry","Bluefield St.","Sr.","P","42","5"
"","Aaron Lupia","Indiana (PA)","So.","C","48","5"
"","Eitan Maoz","UNC Pembroke","Sr.","C","38","5"
"","Blake May","Anderson (SC)","Sr.","INF","49","5"
