"Rank","Name","Team","Cl","Pos","G","AB","H"
"1","Brig Tison","George Mason","Jr.","INF","47","213","80"
"2","Bryson Myles","Stephen F. Austin","Jr.","OF","43","179","78"
"3","Eric Phillips","Ga. Southern","Jr.","INF","44","176","76"
"4","Jason Krizan","Dallas Baptist","Sr.","OF","43","174","75"
"","Mark Micowski","Georgia St.","Sr.","OF","46","190","75"
"6","Trent Cook","UNLV","Jr.","1B","46","186","74"
"","Chris O'Brien","Wichita St.","Jr.","C","47","183","74"
"8","Ross Heffley","Western Caro.","Jr.","OF","40","171","73"
"9","Riley Good","UTSA","Fr.","OF","45","195","72"
"10","Seth Granger","McNeese St.","Jr.","OF","45","187","71"
"","Tyler Koelling","Southern Miss.","Sr.","OF","43","190","71"
"","Kyle Wren","Georgia Tech","Fr.","OF","45","191","71"
"","Chad Zurcher","Memphis","Jr.","INF","42","151","71"
"14","Scott Davis","Delaware St.","Jr.","INF","43","158","70"
"","Zach Maxfield","Fla. Gulf Coast","Sr.","INF","44","179","70"
"","Steven Proscia","Virginia","Jr.","INF","47","198","70"
"","Adam Brett Walker","Jacksonville","So.","C","42","169","70"
"18","Todd Baumgartner","Arkansas St.","Sr.","OF","46","195","69"
"","Chris Benson","Utah Valley","Sr.","OF","38","173","69"
"","Garrett Buechele","Oklahoma","Jr.","INF","44","185","69"
"","C.J. Cron","Utah","Jr.","C","37","154","69"
"","Brandon Eckerle","Michigan St.","Sr.","OF","40","175","69"
"","Justin Guidry","Middle Tenn.","Jr.","OF","44","191","69"
"","Jake Hibberd","Wright St.","Jr.","INF","40","173","69"
"","John Hicks","Virginia","Jr.","C","47","194","69"
"","Tyler Naquin","Texas A&M","So.","OF","43","169","69"
"","Adrian Perez","Temple","Sr.","SS","41","191","69"
"28","Jared Andreoli","Western Ky.","Jr.","OF","44","194","68"
"","James Brooks","Utah","Jr.","INF","37","172","68"
"","Dustin DeMuth","Indiana","Fr.","INF","44","187","68"
"","Anthony Gomez","Vanderbilt","So.","INF","43","188","68"
"","Jake Lowery","James Madison","Jr.","C","45","187","68"
"","Byron McKoy","Temple","Sr.","OF","41","178","68"
"","Matt Rice","Western Ky.","Sr.","C","44","185","68"
"","Joey Rickard","Arizona","So.","OF","43","177","68"
"","M.L. Williams","Lipscomb","Jr.","OF","43","187","68"
"37","Trever Adams","Creighton","Sr.","INF","41","163","67"
"","Michael Burruss","Ga. Southern","So.","OF","44","199","67"
"","Bo Cuthbertson","Southern Utah","Jr.","SS","39","149","67"
"","David Herbek","James Madison","Sr.","SS","45","179","67"
"","Ryan Mooney","Sam Houston St.","Sr.","INF","46","193","67"
"","Danny Stienstra","San Jose St.","Sr.","INF","46","183","67"
"43","Tobi Adeyemi","Florida A&M","Sr.","OF","48","185","66"
"","Steve Antolik","High Point","Sr.","OF","44","174","66"
"","Thomas Carroll","Mercer","Sr.","OF","46","183","66"
"","Matt Hillsinger","Radford","Jr.","OF","43","174","66"
"","Ricky Pacione","Marist","Sr.","OF","42","167","66"
"","Cameron Perkins","Purdue","So.","INF","42","181","66"
"49","Alex Azor","Navy","Jr.","OF","49","194","65"
"","Adam Bryant","Troy","Sr.","INF","44","193","65"
"","Jj Edwards","Sacred Heart","Sr.","INF","43","164","65"
"","C.J. Gillman","Dayton","Jr.","INF","44","175","65"
"","Frazier Hall","Southern U.","Sr.","INF","41","153","65"
"","Matt Holland","A&M-Corpus Christi","Sr.","INF","47","178","65"
"","Chase Jensen","Houston","So.","SS","44","194","65"
"","Tommy La Stella","Coastal Caro.","Jr.","2B","44","163","65"
"","Ellis Lowe","Campbell","Sr.","INF","43","186","65"
"","Matt Mack","Radford","Jr.","3B","43","165","65"
"","Brian Nephew","Texas-Arlington","Sr.","INF","45","185","65"
"","Lee Orr","McNeese St.","Jr.","INF","46","195","65"
"","Dane Phillips","Oklahoma St.","So.","C","43","176","65"
"","Thomas Pope","UNC Wilmington","Jr.","OF","44","156","65"
"","Richie Rodriguez","Eastern Ky.","Jr.","SS","44","173","65"
"","Jacob Tanis","Mercer","Jr.","3B","46","184","65"
"","Ryan Terry","Monmouth","Sr.","INF","43","175","65"
"","Steve Ulaky","Delaware","Sr.","1B","44","190","65"
"67","Dan Gulbransen","Jacksonville","So.","OF","42","163","64"
"","Chase Jaramillo","Nicholls St.","Sr.","INF","44","178","64"
"","Pete Lavin","San Francisco","Sr.","OF","44","182","64"
"","L.J. Mazzilli","Connecticut","So.","INF","44","182","64"
"","John McCambridge","Xavier","Sr.","INF","43","177","64"
"","Steve Nikorak","Temple","Sr.","3B","41","176","64"
"","Brent Ohrman","Eastern Mich.","Jr.","INF","43","180","64"
"","Hunter Ridge","UNC Wilmington","So.","INF","44","175","64"
"","Luke Tendler","N.C. A&T","Fr.","INF","44","166","64"
"","Taylor White","South Ala.","Sr.","OF","43","193","64"
"77","Michael Adamson","Southeast Mo. St.","Sr.","OF","43","174","63"
"","Jamal Austin","UAB","Jr.","OF","43","174","63"
"","Ken Battiston","Eastern Mich.","Sr.","OF","42","169","63"
"","Justin Boudreaux","Southeastern La.","Jr.","INF","46","182","63"
"","Saxon Butler","Samford","Jr.","INF","45","176","63"
"","Matt Campbell","UNC Wilmington","Jr.","INF","43","189","63"
"","William Carmona","Stony Brook","So.","INF","40","168","63"
"","Ryan Haas","Delaware St.","So.","INF","43","166","63"
"","Brendon Kelliher","George Washington","Sr.","OF","43","175","63"
"","Mike Nemeth","Connecticut","Sr.","INF","45","175","63"
"","Nick Rickles","Stetson","Jr.","C","44","170","63"
"","Will Skinner","Middle Tenn.","Sr.","OF","44","177","63"
"","George Springer","Connecticut","Jr.","OF","45","170","63"
"","Matt Williams","Liberty","Jr.","INF","44","174","63"
"","Brandon Williams","Georgia St.","Jr.","3B","45","172","63"
"","Garrett Wittels","FIU","Jr.","INF","44","184","63"
"93","Alex Dickerson","Indiana","Jr.","OF","43","169","62"
"","Ryan Ferguson","Temple","Sr.","C","41","177","62"
"","Cody Fick","Evansville","Sr.","INF","39","159","62"
"","Cole Frenzel","Arizona","So.","INF","43","162","62"
"","Matt Gedman","Massachusetts","Sr.","SS","35","148","62"
"","Richie Goodenow","Lipscomb","Sr.","P","44","166","62"
"","Matt Leeds","Col. of Charleston","Jr.","INF","44","168","62"
"","John Lenherr","VCU","Sr.","OF","41","164","62"
"","Pratt Maynard","North Carolina St.","Jr.","C","45","182","62"
"","Joe Panik","St. John's (NY)","Jr.","INF","39","151","62"
"","Brance Rivera","TCU","Jr.","OF","44","178","62"
"","Sam Roberts","VMI","Sr.","INF","44","168","62"
"","Ben Thomas","Xavier","Sr.","1B","40","161","62"
"","Christian Walker","South Carolina","So.","INF","43","166","62"
"","Ryan Walker","Texas-Arlington","Fr.","INF","45","186","62"
"108","Daniel Aldrich","Col. of Charleston","Fr.","OF","43","158","61"
"","Ryan Behmanesh","Dallas Baptist","Jr.","1B","43","161","61"
"","Pablo Bermudez","FIU","Jr.","OF","41","159","61"
"","Doug Bream","Liberty","Sr.","OF","40","164","61"
"","Sam Eberle","Jacksonville St.","Jr.","INF","42","179","61"
"","Taylor Featherston","TCU","Jr.","SS","44","172","61"
"","Alex Hudak","Fla. Atlantic","Jr.","OF","43","152","61"
"","Tyler Jones","LIU Brooklyn","Jr.","C","41","137","61"
"","Zack Leonard","Eastern Mich.","Sr.","INF","43","167","61"
"","Tanner Mathis","Ole Miss","So.","OF","44","178","61"
"","Casey McElroy","Auburn","Jr.","INF","44","177","61"
"","Jonathan Murphy","Jacksonville","Jr.","OF","42","190","61"
"","Jack Myers","Appalachian St.","Sr.","OF","41","162","61"
"","Jared Reaves","Alabama","Jr.","INF","47","171","61"
"","Jeremy Schaffer","Tulane","Jr.","C","44","164","61"
"","Tyler Sibley","Texas St.","Jr.","INF","41","169","61"
"","Tim Smalling","Virginia Tech","Sr.","INF","45","187","61"
"","Kevan Smith","Pittsburgh","Sr.","C","39","151","61"
"","Derrick Workman","Mercer","Fr.","OF","46","182","61"
"127","Landon Anderson","Dallas Baptist","Jr.","OF","43","173","60"
"","Chris Andreas","Sam Houston St.","Sr.","OF","46","174","60"
"","Tony Balisteri","Virginia Tech","Sr.","INF","45","186","60"
"","Taylor Black","Kentucky","Sr.","INF","45","185","60"
"","Krey Bratsen","Texas A&M","Fr.","OF","44","171","60"
"","Eric Charles","Purdue","Jr.","INF","43","174","60"
"","Chris Dudics","Toledo","Sr.","INF","43","182","60"
"","Phillip Ervin","Samford","Fr.","P","43","157","60"
"","Jason Esposito","Vanderbilt","Jr.","INF","43","168","60"
"","Jeff Harkensee","Southeastern La.","Sr.","OF","46","182","60"
"","Levi Hyams","Georgia","Jr.","INF","45","179","60"
"","Matt Igara","Western Ill.","Jr.","OF","44","179","60"
"","Mark Jones","Stetson","Jr.","INF","42","166","60"
"","Jonathan Pace","Southeastern La.","Jr.","INF","46","174","60"
"","Shawn Payne","Ga. Southern","Sr.","OF","44","181","60"
"","Dusty Quattlebaum","Gardner-Webb","Jr.","INF","41","160","60"
"","Rand Ravnaas","Georgetown","Jr.","OF","43","171","60"
"","Bo Reeder","East Tenn. St.","Jr.","INF","42","181","60"
"","Kyle Roliard","Louisiana Tech","Jr.","OF","46","182","60"
"","Preston Springer","Wichita St.","Sr.","1B","47","193","60"
"","Brent Tanner","South Ala.","Sr.","C","43","167","60"
"","Chris Taylor","Virginia","So.","INF","47","198","60"
"","Mitch Wells","Central Conn. St.","Jr.","INF","41","159","60"
"","Aaron Westlake","Vanderbilt","Jr.","1B","43","157","60"
"151","Mikel Alvarez","Fla. Gulf Coast","Sr.","INF","44","182","59"
"","Kes Carter","Western Ky.","Jr.","OF","40","164","59"
"","Aaron Conway","Missouri St.","Sr.","OF","40","172","59"
"","Robert Crews","Stetson","Jr.","INF","43","170","59"
"","Pat Dameron","Delaware","Sr.","INF","43","168","59"
"","Doug Dekoning","Milwaukee","Sr.","OF","40","157","59"
"","Jacob Esch","Georgia Tech","Jr.","P","45","187","59"
"","Tyler Hall","Central Mich.","Jr.","INF","44","169","59"
"","Derek Hamblen","Belmont","Sr.","OF","45","188","59"
"","Brock Hebert","Southeastern La.","So.","INF","45","167","59"
"","Drew Helenihi","Northwestern St.","Fr.","-","45","189","59"
"","Jeff Holm","Michigan St.","Sr.","1B","40","155","59"
"","Michael Johnson","Samford","Sr.","INF","45","180","59"
"","Alex Jones","Northern Ill.","Jr.","INF","41","169","59"
"","Ben Klafczynski","Kent St.","Sr.","OF","42","164","59"
"","Jeff Kremer","Duke","So.","C","47","164","59"
"","Jordan Lurie","UNC Asheville","Jr.","INF","40","169","59"
"","Alex Maldonado","Holy Cross","So.","INF","48","197","59"
"","Drew Martinez","Memphis","Jr.","OF","44","180","59"
"","Kevin Plawecki","Purdue","So.","C","42","164","59"
"","James Ramsey","Florida St.","Jr.","OF","44","164","59"
"","Robert Refsnyder","Arizona","So.","INF","43","170","59"
"","Raph Rhymes","LSU","So.","INF","45","171","59"
"","Marquis Riley","N.C. A&T","Jr.","2B","44","166","59"
"","Oscar Sanay","CSU Bakersfield","Fr.","INF","40","160","59"
"","Preston Tucker","Florida","Jr.","INF","44","178","59"
"","Kolten Wong","Hawaii","Jr.","INF","40","151","59"
"","Mike Zunino","Florida","So.","C","44","155","59"
"179","Raymond Church","Fla. Atlantic","Sr.","INF","43","171","58"
"","Nick Ciardiello","Holy Cross","Sr.","OF","48","168","58"
"","Dylan Craig","Belmont","Jr.","OF","45","183","58"
"","Nick Delguidice","Fla. Atlantic","Sr.","INF","43","165","58"
"","Ronnie Freeman","Kennesaw St.","So.","C","43","160","58"
"","Marty Gantt","Col. of Charleston","Jr.","OF","45","175","58"
"","Jonathan Griffin","UCF","Sr.","INF","44","172","58"
"","Brian Hernandez","UC Irvine","Sr.","INF","40","164","58"
"","Brant Jones","Longwood","Sr.","2B","40","163","58"
"","Logan Kirkland","South Ala.","Fr.","2B","42","171","58"
"","Brandon Loy","Texas","Jr.","SS","44","178","58"
"","Joseph McCrary III","Savannah St.","So.","OF","47","173","58"
"","Andre McKoy","N.C. A&T","So.","OF","43","172","58"
"","Jarrod Parks","Mississippi St.","Sr.","3B","42","143","58"
"","Jeremy Patton","FIU","Jr.","INF","43","171","58"
"","Jimmy Rider","Kent St.","Jr.","INF","42","186","58"
"","Eddie Rohan","Winthrop","Sr.","C","45","167","58"
"","Doug Shribman","Bucknell","Sr.","1B","49","181","58"
"","Matt Skole","Georgia Tech","Jr.","3B","43","164","58"
"","Jordan Steranka","Penn St.","Jr.","3B","41","167","58"
"","Graham Sullivan","VMI","Sr.","OF","44","172","58"
"","Matt Tenaglia","James Madison","So.","1B","45","168","58"
"","Derek Trent","East Tenn. St.","Sr.","C","42","160","58"
"","Justin Wilson","Charlotte","Sr.","OF","44","168","58"
"203","Josh Adams","Florida","Sr.","INF","43","153","57"
"","John Andreoli","Connecticut","Jr.","OF","45","179","57"
"","Colin Bear","Northwestern St.","Jr.","DH","45","169","57"
"","Brock Bennett","Alabama","Sr.","C","43","160","57"
"","Coty Blanchard","Jacksonville St.","Fr.","SS","40","163","57"
"","Grant Buckner","West Virginia","Sr.","SS","43","159","57"
"","Billy Burns","Mercer","Jr.","OF","45","173","57"
"","Jeff Cammans","Rhode Island","Jr.","OF","42","155","57"
"","Bryan Chaikowsky","Md.-East. Shore","Sr.","OF","42","154","57"
"","Taylor Dugas","Alabama","Jr.","OF","47","177","57"
"","Drew Gadaire","Davidson","Jr.","OF","39","155","57"
"","Justin Glass","Cincinnati","Fr.","OF","41","165","57"
"","Tyler Hannah","Troy","Jr.","INF","44","165","57"
"","Drew Hillman","UC Irvine","Sr.","INF","40","158","57"
"","Mitchell Kauweloa","Southern Utah","Jr.","OF","39","151","57"
"","Zack Kometani","San Diego","Jr.","C","41","165","57"
"","Brian Martin","Pacific","Sr.","1B","39","155","57"
"","Wade Mathis","Lamar","Sr.","INF","45","176","57"
"","Brendan Mcgaheran","Lehigh","Sr.","SS","45","180","57"
"","Andy Mee","Fla. Atlantic","Sr.","OF","43","180","57"
"","Chris Murphy","Southern Ill.","Sr.","OF","42","179","57"
"","Eric Oxford","Holy Cross","Sr.","1B","48","184","57"
"","Jacob Perales","A&M-Corpus Christi","Sr.","OF","46","162","57"
"","Jace Peterson","McNeese St.","Jr.","INF","46","183","57"
"","Caleb Ramsey","Houston","Sr.","OF","44","172","57"
"","Tony Renda","California","So.","INF","40","171","57"
"","Braeden Riley","Sam Houston St.","Sr.","INF","46","186","57"
"","Gerald Runyan","Bucknell","Jr.","OF","46","167","57"
"","Jake Watts","Gardner-Webb","Jr.","P","41","172","57"
"","Jantzen Witte","TCU","So.","INF","44","174","57"
"","Chad Wright","Kentucky","Jr.","OF","45","172","57"
"","Alex Yarbrough","Ole Miss","So.","INF","44","171","57"
"235","Alex Bast","Air Force","So.","C","44","171","56"
"","Torsten Boss","Michigan St.","So.","INF","40","152","56"
"","Brian Bruening","Xavier","Fr.","INF","42","168","56"
"","Ben Carhart","Stetson","Jr.","INF","44","176","56"
"","Matt Carvutto","Pacific","Sr.","P","39","159","56"
"","Shaun Cooper","Utah","Jr.","OF","38","156","56"
"","Tommy Coyle","North Carolina","So.","2B","43","181","56"
"","Jacob Daniel","Eastern Ky.","Jr.","OF","43","152","56"
"","Mac Doyle","Wofford","Jr.","C","44","171","56"
"","Greg Dupell","Navy","So.","INF","48","176","56"
"","Eduardo Gonzalez","Alcorn St.","Jr.","1B","42","163","56"
