"Rank","Name","Team","Cl","Pos","G","AB","TB","SLG PCT"
"1","Chase Larsson","Cameron","Jr.","OF","44","167","180","1.078"
"2","Kenny Held","Cameron","Sr.","OF","44","167","170","1.018"
"3","Nathan Minnich","Shepherd","Jr.","1B","33","108","96","0.889"
"4","Michael Knox","Mount Olive","Jr.","DH","46","160","139","0.869"
"5","Dean Green","Barry","Sr.","1B","50","184","149","0.810"
"6","Nick DeBiasse","Central Mo.","Sr.","INF","46","161","127","0.789"
"7","William Smalls","Albany St. (GA)","Jr.","SS","52","181","141","0.779"
"8","Bryan Lippincott","Concordia-St. Paul","Jr.","3B","29","118","90","0.763"
"9","Jess Cooper","West Tex. A&M","Jr.","INF","46","160","122","0.763"
"10","Andrew Durden","Nova Southeastern","Sr.","OF","44","171","128","0.749"
"11","Dodson McPherson","Wingate","Jr.","OF","54","222","166","0.748"
"12","Justin Miller","Southeastern Okla.","Sr.","OF","45","162","121","0.747"
"13","Andrew Haake","Neb.-Kearney","Sr.","1B","43","152","113","0.743"
"14","Nate Wilder","Arkansas Tech","Jr.","3B","38","101","75","0.743"
"15","Brandon Gipson","Benedict","Sr.","C","40","130","96","0.738"
"16","Matt Johnson","Arkansas Tech","Sr.","OF","46","198","146","0.737"
"17","Jon Shoutta","Regis (CO)","Fr.","1B","43","145","106","0.731"
"18","Jason Nappi","Harding","Sr.","INF","45","149","108","0.725"
"19","Kendall Boone","West Tex. A&M","Jr.","INF","48","177","128","0.723"
"20","Greg Pron","West Fla.","Sr.","OF","48","168","121","0.720"
"21","Shayne Houck","Kutztown","Jr.","INF","39","136","97","0.713"
"22","Brandon Choate","Southern Ark.","Sr.","C","40","124","88","0.710"
"23","Eric Barnes","Oakland City","Jr.","INF","29","86","61","0.709"
"24","Derek Ingui","Franklin Pierce","Sr.","DH","43","150","106","0.707"
"25","Brian Yeung","Wingate","So.","INF","54","238","168","0.706"
"26","John Zule","Incarnate Word","So.","INF","37","108","76","0.704"
"27","Jordan Easom","West Tex. A&M","Jr.","OF","49","178","125","0.702"
"28","Joe Vaskas","Emporia St.","Jr.","INF","43","138","96","0.696"
"29","Logan Williams","Southern Ark.","Sr.","3B","44","170","118","0.694"
"30","Andy Leach","Fairmont St.","Sr.","OF","30","98","68","0.694"
"31","Jacob Rogers","Mount Olive","Jr.","3B","45","156","108","0.692"
"32","Donald Smith","Claflin","Jr.","OF","34","114","78","0.684"
"33","Dillon Hazlett","Emporia St.","Sr.","INF","45","174","119","0.684"
"34","Steve Anderson","Grand Valley St.","Jr.","OF","40","129","88","0.682"
"35","David Fox","Metro St.","Sr.","OF","40","144","98","0.681"
"36","Kelvin Tanner","Clark Atlanta","Fr.","INF","30","108","73","0.676"
"37","Robert Kelly","St. Anselm","So.","1B","44","160","108","0.675"
"38","Chris Vazquez","Belmont Abbey","Sr.","C","45","166","112","0.675"
"39","Nate Baumann","Augustana (SD)","Sr.","OF","39","144","97","0.674"
"40","Travis Taijeron","Cal Poly Pomona","Sr.","OF","45","153","103","0.673"
"41","Robert Hawkins","West Virginia St.","Sr.","INF","31","113","76","0.673"
"42","Mike Bisenius","Wayne St. (NE)","Jr.","OF","36","122","82","0.672"
"43","Kyle Meads","Elizabeth City St.","So.","INF","40","143","95","0.664"
"44","Matt Roohan","Incarnate Word","Sr.","INF","47","184","122","0.663"
"45","Jason Simone","Mount Olive","Sr.","OF","37","150","99","0.660"
"46","Travis Hayes","Tarleton St.","Jr.","INF","36","117","77","0.658"
"47","Zach Smith","Erskine","Fr.","INF","51","206","135","0.655"
"48","Joe Maloney","Limestone","Jr.","C","52","185","121","0.654"
"49","Zach Krueger","Metro St.","Sr.","OF","39","148","96","0.649"
"50","Junnior Dishmey-Perez","Tarleton St.","Sr.","2B","36","130","84","0.646"
"51","J.T. Greenhood","Colorado St.-Pueblo","Jr.","OF","44","144","93","0.646"
"52","Chris Dula","Catawba","Fr.","3B","53","200","129","0.645"
"53","Melvin Robinson","Lincoln (PA)","Sr.","OF","28","95","61","0.642"
"54","Keith Whitman","UNC Pembroke","Sr.","OF","44","153","98","0.641"
"55","Tyson Littlewood","Dixie St.","Jr.","INF","47","155","99","0.639"
"56","Matt Howard","Slippery Rock","Sr.","OF","44","149","95","0.638"
"57","Kevin Mager","Rollins","Jr.","INF","45","176","112","0.636"
"58","Patrick Dockendorf","Minn. St. Mankato","Jr.","INF","40","129","82","0.636"
"59","Bo Darby","West Virginia St.","Sr.","INF","31","104","66","0.635"
"60","Tyler Bean","Washburn","Jr.","INF","40","123","78","0.634"
"61","Jordan Smith","St. Cloud St.","So.","OF","41","150","95","0.633"
"62","Tyler Migl","St. Mary's (TX)","Jr.","OF","48","166","105","0.633"
"63","Eric Deese","Ala.-Huntsville","Jr.","DH","44","152","96","0.632"
"64","Adam Shank","St. Edward's","Jr.","OF","44","168","106","0.631"
"65","Mitch Wolfe","Eastern N.M.","Sr.","INF","42","154","97","0.630"
"66","Nick Markis","Arkansas Tech","Sr.","3B","43","159","100","0.629"
"67","Chase Barnes","Pittsburg St.","Jr.","OF","38","129","81","0.628"
"68","Shane Latshaw","Mercyhurst","Jr.","OF","43","137","86","0.628"
"69","Tony Mitchell","Fla. Southern","Sr.","OF","41","145","91","0.628"
"70","Chris Casazza","Tarleton St.","Sr.","INF","45","150","94","0.627"
"71","Andrew Jones","Tampa","Jr.","OF","45","155","97","0.626"
"72","Mike Snyder","Fla. Southern","Jr.","INF","41","160","100","0.625"
"73","Alexi Colon","Tusculum","Jr.","OF","50","181","113","0.624"
"74","Jerry Lloyd","Bloomsburg","Sr.","1B","37","114","71","0.623"
"75","Ethan Stuckly","Tarleton St.","Jr.","INF","44","172","107","0.622"
"76","Mark Jeffery","Tarleton St.","Sr.","C","43","129","80","0.620"
"77","Jonathon Dalton","Carson-Newman","Sr.","OF","50","173","107","0.618"
"78","Gene Franks","West Va. Wesleyan","Sr.","OF","36","131","81","0.618"
"79","Christian Glisson","Valdosta St.","Jr.","C","44","151","93","0.616"
"80","Dave Lojeski","Wis.-Parkside","Sr.","INF","36","130","80","0.615"
"81","Joe Kley","Winona St.","Sr.","OF","37","135","83","0.615"
"82","Garrett Cook","King (TN)","Fr.","OF","41","122","75","0.615"
"83","Ryan Rua","Lake Erie","Jr.","SS","41","150","92","0.613"
"84","C.J. Maszal","Wayne St. (MI)","Jr.","OF","37","121","74","0.612"
"85","Paul Young","Grand Valley St.","Sr.","OF","39","126","77","0.611"
"86","Adam Taylor","North Greenville","So.","P","44","167","102","0.611"
"87","Ryan Porter","Rockhurst","Jr.","1B","43","151","92","0.609"
"88","Brennan Brown","Metro St.","Sr.","OF","32","79","48","0.608"
"89","Heath Peterson","Montevallo","Jr.","1B","43","173","105","0.607"
"90","Mike De La Rosa","Incarnate Word","So.","INF","42","145","88","0.607"
"91","Cody Grice","Grand Valley St.","Jr.","OF","42","129","78","0.605"
"92","Robert Brown","Clark Atlanta","Jr.","OF","28","91","55","0.604"
"93","Gip Hendrix","Henderson St.","Sr.","OF","45","149","90","0.604"
"94","Daniel Dillard","Western Ore.","Sr.","OF","42","159","96","0.604"
"95","Shawn Ward","Georgia College","Sr.","OF","49","189","114","0.603"
"96","Kellen Bozeman","Delta St.","Sr.","DH","46","175","105","0.600"
"","Brock Green","Ouachita Baptist","Jr.","1B","47","160","96","0.600"
"","Garrett Harris","Angelo St.","Jr.","OF","45","140","84","0.600"
"","Trent Kinnear","Harding","Sr.","OF","40","135","81","0.600"
"","Cam Kneeland","Mass.-Lowell","Jr.","INF","38","150","90","0.600"
"","Mike Williams","Newman","Sr.","INF","46","175","105","0.600"
