"Rank","Name","Team","Cl","Pos","App","IP","SO"
"1","Brandon Finnegan","TCU","Jr.","P","6","43.2","65"
"2","Matt Imhof","Cal Poly","Jr.","P","6","42.2","64"
"3","Aaron Nola","LSU","Jr.","P","6","40.1","56"
"4","Zac Curtis","Middle Tenn.","Sr.","P","6","39.1","52"
"5","Aaron Myers","Longwood","Jr.","P","6","49.0","51"
"","Jake Stinnett","Maryland","Sr.","P","6","42.0","51"
"7","Carlos Rodon","North Carolina St.","Jr.","P","6","41.1","50"
"8","Matt Krook","Oregon","Fr.","P","6","36.0","49"
"","Michael Murray","FGCU","So.","P","6","44.2","49"
"10","Erick Fedde","UNLV","Jr.","P","6","43.0","47"
"","Austin Robichaux","La.-Lafayette","Jr.","P","6","46.0","47"
"12","James Farris","Arizona","Sr.","P","7","48.0","46"
"","Luke Leftwich","Wofford","So.","P","6","37.0","46"
"","Daniel Mengden","Texas A&M","Jr.","P","6","41.2","46"
"15","Andro Cutura","Southeastern La.","Jr.","P","6","40.1","45"
"","Mike Franco","FIU","Sr.","P","6","38.2","45"
"","Chase Mallard","UAB","Sr.","P","6","43.2","45"
"18","Andrew Morales","UC Irvine","Sr.","P","6","43.2","44"
"","Jeremy Null","Western Caro.","Jr.","P","6","44.1","44"
"","Anthony Parenti","Navy","Jr.","P","6","42.2","44"
"","Jordan Schwartz","Niagara","Jr.","P","6","38.1","44"
"","Trent Thornton","North Carolina","So.","P","6","42.0","44"
"23","Aaron Brown","Pepperdine","Jr.","OF","6","42.1","43"
"","Dylan Craig","Illinois St.","So.","P","6","37.0","43"
"","Sam Howard","Ga. Southern","Jr.","P","6","37.2","43"
"","Corey Miller","Pepperdine","Sr.","P","6","47.0","43"
"27","Tyler Beede","Vanderbilt","Jr.","P","6","35.0","42"
"","Taylor Byrd","Nicholls St.","Sr.","P","6","39.2","42"
"","Matt Fraudin","Gardner-Webb","Jr.","P","7","48.0","42"
"","David Hess","Tennessee Tech","Jr.","P","6","37.2","42"
"","James Kaprielian","UCLA","So.","P","6","39.1","42"
"","Sam Street","Tex.-Pan American","Sr.","P","6","51.2","42"
"","Seth Varner","Miami (OH)","Sr.","P","6","38.2","42"
"","Cameron White","Air Force","Sr.","P","7","41.2","42"
"35","Mat Batts","UNC Wilmington","Sr.","P","6","39.1","41"
"","Frank Duncan","Kansas","Sr.","P","6","45.1","41"
"","Tanner Hicks","Troy","Sr.","P","6","44.0","41"
"","Shane McCain","Troy","Sr.","P","6","40.0","41"
"","Stephen Moore","Navy","Jr.","P","6","40.2","41"
"","Harrison Musgrave","West Virginia","Jr.","P","6","41.0","41"
"","Cory Taylor","Dallas Baptist","So.","P","7","34.2","41"
"","Ryan Thompson","Campbell","Sr.","P","15","36.1","41"
"","Paul Voelker","Dallas Baptist","Jr.","P","6","37.2","41"
"44","Justin Calomeni","Cal Poly","Fr.","P","6","32.2","40"
"","Austin Gomber","Fla. Atlantic","Jr.","P","6","39.0","40"
"","Daniel Gossett","Clemson","Jr.","P","6","36.0","40"
"","Tyler Stubblefield","Texas A&M","Fr.","P","10","35.1","40"
"48","Matt Borens","Eastern Ill.","Jr.","P","6","41.0","39"
"","Brandon Hinkle","Delaware","Sr.","P","6","34.1","39"
"","Jeff Hoffman","East Carolina","Jr.","P","6","38.0","39"
"","Zech Lemond","Rice","Jr.","P","8","34.0","39"
"","Anthony Montefusco","George Mason","Sr.","P","6","38.0","39"
"","Jeremy Rhoades","Illinois St.","Jr.","P","8","25.0","39"
"","Ben Smith","Coastal Caro.","Jr.","P","6","28.2","39"
"","Austen Williams","Texas St.","Jr.","P","6","37.1","39"
"56","Taylor Black","Texas St.","Jr.","P","6","40.2","38"
"","Nick Deckert","FGCU","Jr.","P","7","38.1","38"
"","Montana Durapau","Bethune-Cookman","Sr.","P","9","52.0","38"
"","Tommy Lawrence","Maine","Sr.","P","6","40.0","38"
"","Sean Newcomb","Hartford","Jr.","P","5","32.2","38"
"","Eric Skoglund","UCF","Jr.","P","6","46.0","38"
"62","Travis Bergen","Kennesaw St.","So.","P","6","34.1","37"
"","Joseph Camacho","Alabama St.","So.","P","6","43.2","37"
"","Austin Coley","Belmont","Jr.","P","6","36.0","37"
"","Matt Cooper","Hawaii","Sr.","P","6","41.0","37"
"","Beau Dees","Presbyterian","Jr.","P","7","37.2","37"
"","Brock Downey","Murray St.","Jr.","OF","6","43.1","37"
"","Thomas Eshelman","Cal St. Fullerton","So.","P","6","49.0","37"
"","Trevor Fitts","Mississippi St.","Jr.","P","6","31.2","37"
"","Brock Hartson","UTSA","So.","P","6","35.2","37"
"","Jojo Howie","VCU","Jr.","P","6","37.0","37"
"","Jason Inghram","William & Mary","Jr.","P","6","41.2","37"
"","Josh Prevost","Seton Hall","Sr.","P","6","48.0","37"
"","Desmond Russell","Jackson St.","Sr.","INF","9","44.2","37"
"","Cody Schumacher","Missouri St.","Sr.","P","6","37.1","37"
"","Andrew Woods","VMI","Jr.","P","6","34.0","37"
"77","Lucas Bakker","Elon","Jr.","P","6","43.0","36"
"","Carson Baranik","La.-Lafayette","Jr.","P","6","45.2","36"
"","Grant Borne","Nicholls St.","So.","P","6","34.0","36"
"","Matt Danton","A&M-Corpus Christi","Jr.","P","6","43.0","36"
"","Matt Ditman","Rice","So.","C","10","31.2","36"
"","Lucas Humpal","Texas St.","So.","P","6","38.2","36"
"","John McLeod","Wake Forest","Jr.","P","6","35.1","36"
"","Jesse Morris","Wofford","Sr.","P","10","30.0","36"
"","Alex Robinett","Army","Jr.","P","6","38.2","36"
"","Scott Squier","Hawaii","Jr.","P","6","41.2","36"
"","David Stagg","Indiana St.","Jr.","P","6","38.2","36"
"","T.J. Weir","Ball St.","Sr.","INF","7","35.1","36"
"89","Matt Anderson","Morehead St.","So.","P","6","34.2","35"
"","Abe Bobb","San Francisco","Sr.","P","6","40.0","35"
"","Heath Bowers","Campbell","Jr.","P","7","39.2","35"
"","Conor Fisk","Southern Miss.","Sr.","P","4","26.2","35"
"","Jordan Foley","Central Mich.","Jr.","P","6","36.2","35"
"","Kyle Freeland","Evansville","Jr.","P","5","32.0","35"
"","Parker French","Texas","Jr.","P","7","39.0","35"
"","Jake Jenkins","Pacific","So.","P","8","34.2","35"
"","Matthew Milburn","Wofford","So.","P","6","36.0","35"
"","Max Povse","UNC Greensboro","Jr.","P","6","35.1","35"
"","T.J. Renda","Alabama St.","Jr.","P","6","39.2","35"
"","Christian Trent","Ole Miss","So.","P","6","37.0","35"
"101","Adam Aldred","Central Mich.","So.","P","7","36.0","34"
"","PJ Conlon","San Diego","So.","P","6","36.1","34"
"","Nick Dignacco","Army","Sr.","P","6","35.1","34"
"","Heath Dwyer","VCU","Jr.","P","5","31.2","34"
"","Cale Elam","Wichita St.","Sr.","P","5","34.0","34"
"","Reed Garrett","VMI","Jr.","P","6","38.0","34"
"","Brett Lilek","Arizona St.","So.","P","6","32.2","34"
"","Benton Moss","North Carolina","Jr.","P","6","43.0","34"
"","Caleb Wallingford","Memphis","Jr.","P","7","34.2","34"
"","Luke Weaver","Florida St.","Jr.","P","6","37.1","34"
"","Jack Wynkoop","South Carolina","So.","P","6","36.1","34"
"112","Trevor Belicek","A&M-Corpus Christi","Jr.","P","6","35.0","33"
"","Michael Burke","Buffalo","Sr.","P","5","36.0","33"
"","Ryan Daniels","SIU Edwardsville","Jr.","P","6","38.1","33"
"","Jace Fry","Oregon St.","Jr.","P","6","47.2","33"
"","Kyle Funkhouser","Louisville","So.","P","6","39.0","33"
"","Matt Gage","Siena","Jr.","P","6","38.1","33"
"","Jared Gaynor","George Mason","Sr.","P","7","51.2","33"
"","Brett Graves","Missouri","Jr.","P","6","41.2","33"
"","Justin Kamplain","Alabama","Jr.","P","6","33.2","33"
"","Brad Markey","Virginia Tech","Sr.","P","6","37.1","33"
"","Jack Rogalla","Binghamton","Sr.","P","6","39.0","33"
"","Tate Scioneaux","Southeastern La.","So.","P","6","43.1","33"
"","Andrew Suarez","Miami (FL)","Jr.","P","6","39.2","33"
"","Keegan Thompson","Auburn","Fr.","P","6","46.1","33"
"","Thomas Thorpe","Oregon","Jr.","P","6","40.1","33"
"","Grahamm Wiest","Cal St. Fullerton","Jr.","P","5","36.1","33"
"","Ryan Williams","East Carolina","Sr.","P","14","41.0","33"
"129","Andrew Barnett","Gardner-Webb","Sr.","P","6","39.2","32"
"","Phil Bickford","Cal St. Fullerton","Fr.","P","9","27.1","32"
"","Christian Cecilio","San Francisco","Jr.","P","6","34.1","32"
"","Jeff Gold","Oregon","Sr.","P","6","39.2","32"
"","Travis Hissong","Wright St.","Jr.","P","6","37.1","32"
"","Nathan Kirby","Virginia","So.","P","6","37.1","32"
"","Jake Lemoine","Houston","So.","P","6","38.2","32"
"","Jared Lyons","Liberty","Jr.","P","8","34.1","32"
"","Matt Margaritonda","Marshall","Jr.","P","6","34.1","32"
"","Anthony Marzi","UConn","Sr.","P","6","36.2","32"
"","Calvin Mathews","Iowa","So.","P","6","38.0","32"
"","Alex McRae","Jacksonville","Jr.","P","7","34.0","32"
"","Jordan Montgomery","South Carolina","Jr.","P","6","30.2","32"
"","Danny Mooney","Davidson","Sr.","P","6","33.0","32"
"","Bryan Radziewski","Miami (FL)","Sr.","P","5","27.0","32"
"","James Reeves","Citadel","Jr.","P","6","35.2","32"
"","Jared Ruxer","Louisville","Jr.","P","6","34.0","32"
"","Josh Sborz","Virginia","So.","P","6","31.2","32"
"","Mark Seyler","San Diego St.","So.","P","7","39.2","32"
"","Chandler Shepherd","Kentucky","Jr.","P","6","41.0","32"
"","Cy Sneed","Dallas Baptist","Jr.","P","6","39.2","32"
"","Hayden Stone","Vanderbilt","Fr.","P","9","19.1","32"
"","Christian Talley","Southern Miss.","Jr.","P","5","29.2","32"
"","Zach Thompson","Texas-Arlington","Jr.","P","6","32.1","32"
"","Guillermo Trujillo","Oral Roberts","So.","P","6","41.0","32"
"","Keith Zuniga","Bethune-Cookman","Jr.","P","6","42.0","32"
"155","Adam Bray","South Dakota St.","Jr.","P","6","41.2","31"
"","Adam Choplick","Oklahoma","So.","P","6","34.1","31"
"","Austin Davis","Bakersfield","So.","P","6","40.1","31"
"","Cameron Gann","Stephen F. Austin","Jr.","P","7","40.2","31"
"","Jordan Hilyer","Kennesaw St.","So.","P","6","35.1","31"
"","Chris Huffman","James Madison","Jr.","P","6","42.1","31"
"","Brad Kuntz","Baylor","Jr.","P","6","33.0","31"
"","Dan Ludwig","Belmont","Jr.","P","7","34.0","31"
"","Bailey Ober","Col. of Charleston","Fr.","P","6","35.0","31"
"","Dillon Ortman","Auburn","Sr.","P","6","41.1","31"
"","Frankie Vanderka","Stony Brook","Sr.","P","5","32.2","31"
"","Mitch Watrous","Utah","Jr.","P","6","36.1","31"
"","Colin Welmon","Loyola Marymount","Jr.","P","6","45.0","31"
"","Andrew Woeck","North Carolina St.","Sr.","P","8","21.2","31"
"169","Taylor Aikenhead","Bakersfield","Sr.","P","6","38.2","30"
"","Ryan Askew","Mercer","Fr.","P","11","41.0","30"
"","Connor Bach","VMI","Sr.","P","6","29.0","30"
"","Jalen Beeks","Arkansas","Jr.","P","6","34.2","30"
"","Tim Borst","Fresno St.","So.","P","8","33.0","30"
"","Walker Buehler","Vanderbilt","So.","P","6","31.0","30"
"","Taylor Cockrell","Stetson","Fr.","P","9","35.1","30"
"","Alex Daniele","NJIT","Fr.","P","4","26.0","30"
"","Bubba Derby","San Diego St.","So.","P","6","34.2","30"
"","Chris Diaz","Miami (FL)","Jr.","P","6","38.1","30"
"","Sean Fitzgerald","Notre Dame","Sr.","P","6","41.1","30"
"","Erik Heiligenstadt","Gardner-Webb","Jr.","P","6","38.2","30"
"","Brock Hudgens","Charlotte","Sr.","P","6","35.2","30"
"","Dustin Hunt","Northeastern","Fr.","P","5","26.1","30"
"","Drew Jackson","Fla. Atlantic","Jr.","P","6","35.1","30"
"","A.J. Ladwig","Wichita St.","Jr.","P","6","39.2","30"
"","Steve Laudicina","Western Mich.","Sr.","P","6","39.2","30"
"","Alex Ledford","Samford","Jr.","P","6","36.1","30"
"","Brandon Leibrandt","Florida St.","Jr.","P","6","39.1","30"
"","Alex Luna","UAB","Jr.","P","6","36.0","30"
"","Kyle McKenzie","Tulane","Sr.","P","6","23.1","30"
"","Terry McNabb","N.C. Central","Sr.","P","6","33.0","30"
"","Cameron Neff","St. Mary's (CA)","Fr.","P","6","37.0","30"
"","Kenny Oakley","UNLV","So.","P","7","30.2","30"
"","Jon Perrin","Oklahoma St.","Jr.","P","10","30.1","30"
"","Rohn Pierce","Canisius","Jr.","P","6","44.0","30"
"","Zach Plesac","Ball St.","Fr.","P","12","33.1","30"
"","Aaron Rhodes","Florida","So.","P","12","28.0","30"
"197","Jordan Brink","Fresno St.","Jr.","P","7","36.0","29"
"","Charles Cantrell","N.C. A&T","Jr.","P","6","38.2","29"
"","Michael Clemens","McNeese St.","Jr.","P","6","42.0","29"
"","James Connell","Kennesaw St.","Sr.","P","14","22.0","29"
"","David Duncan","Florida A&M","---","P","8","35.0","29"
"","Jared Fisher","Washington","Jr.","P","6","35.0","29"
"","Andrew Freter","Utah Valley","Sr.","P","6","38.1","29"
"","T.J. Fussell","Western Caro.","Sr.","P","9","24.0","29"
"","Aaron Garza","Houston","Jr.","P","6","46.0","29"
"","Reilly Hovis","North Carolina","So.","P","15","20.0","29"
"","Brian Hunter","Hartford","Sr.","INF","5","27.0","29"
"","David Koll","Bradley","Jr.","P","6","29.2","29"
"","Randy LeBlanc","Tulane","Jr.","P","6","34.2","29"
"","Jacob Lindgren","Mississippi St.","Jr.","P","9","15.1","29"
"","Dillon Mangham","Stephen F. Austin","Jr.","P","7","35.1","29"
"","Matt McCall","Ga. Southern","Sr.","P","15","28.0","29"
"","Justin McClavin","Kennesaw St.","Sr.","P","16","29.0","29"
"","Ryan Meisinger","Radford","So.","INF","6","30.1","29"
"","Dillon Newman","Baylor","Sr.","P","6","28.1","29"
"","James Norwood","Saint Louis","Jr.","P","6","36.0","29"
"","David Owen","Arkansas St.","So.","P","6","30.1","29"
"","Tyler Peyton","Iowa","So.","P","6","37.0","29"
"","Jason Richman","Ga. Southern","So.","P","18","35.0","29"
"","Robby Sexton","Wright St.","So.","P","6","35.0","29"
"","Mike Shawaryn","Maryland","Fr.","P","6","35.2","29"
"","Eric Stout","Butler","Jr.","P","6","28.2","29"
"","Wyatt Strahan","Southern California","Jr.","P","6","40.1","29"
"","Brad Vachon","Texas-Arlington","Sr.","P","7","39.1","29"
"225","Jess Amedee","Texas-Arlington","Jr.","P","6","32.2","28"
"","Chris Anderson","South Dakota St.","Jr.","P","6","42.0","28"
"","Eli Anderson","Northern Ill.","Sr.","P","6","36.1","28"
"","Ben Ballantine","Michigan","Sr.","P","6","32.0","28"
"","Jeff Barker","BYU","Jr.","P","7","40.2","28"
"","Christopher Bradley","New Mexico St.","Sr.","P","6","33.0","28"
"","Chris Carmain","Northeastern","Sr.","P","6","40.1","28"
"","Andy Cox","Tennessee","So.","P","14","32.0","28"
"","Logan Cribb","Citadel","Sr.","P","6","31.0","28"
"","Joey DeNato","Indiana","Sr.","P","7","37.2","28"
"","Nick Deeg","Central Mich.","Fr.","P","6","36.2","28"
"","Tyler Ferguson","Vanderbilt","So.","P","6","33.2","28"
"","J.P. France","Tulane","Fr.","P","7","27.0","28"
"","Koby Gauna","Cal St. Fullerton","Jr.","P","9","30.1","28"
"","Dan Gautieri","Penn","Jr.","P","4","21.1","28"
"","Chris Hammer","Northern Colo.","Sr.","P","7","40.0","28"
"","Nathan Harsh","Kennesaw St.","Jr.","P","6","29.1","28"
"","Kevin Hill","South Ala.","Jr.","P","5","31.1","28"
"","Connor Kaden","Wake Forest","Jr.","P","7","31.0","28"
"","Kody Kerski","Sacred Heart","Sr.","P","4","27.1","28"
"","Josh King","Marshall","Sr.","P","6","34.2","28"
"","Sam Kmiec","Winthrop","So.","P","6","38.2","28"
"","Ryan Koopman","Campbell","Sr.","P","10","42.1","28"
"","Brad Lombard","Indiana St.","Jr.","P","6","39.2","28"
"","Levi MaVorhis","Kansas St.","So.","P","6","38.0","28"
"","Shay Maltese","Cal St. Northridge","Sr.","P","11","21.2","28"
"","Phil Maton","Louisiana Tech","Jr.","P","8","37.0","28"
"","Nick Sabo","Long Beach St.","Jr.","P","6","38.2","28"
"","Dan Savas","Illinois St.","Jr.","P","6","39.0","28"
"","Andre Scrubb","High Point","Fr.","P","6","27.1","28"
"","Jacob Smigelski","UC Riverside","Sr.","P","5","35.2","28"
"","Andrew Tomasovich","Charleston So.","So.","P","6","32.2","28"
"","Grant Watson","UCLA","Jr.","P","6","41.0","28"
"","Ben Wetzler","Oregon St.","Sr.","P","4","30.2","28"
