"Rank","Name","Team","Cl","Pos","G","HBP"
"1","Zach Fitzpatrick","Lynchburg","So.","C","39","25"
"","Dennis Nover","St. Joseph's (L.I.)","Sr.","INF","40","25"
"3","Mark Vlaskamp","Hendrix","Sr.","INF","41","23"
"4","Matt McManemin","Concordia (TX)","Sr.","INF","42","22"
"5","Walt Roman","Rochester Inst.","So.","INF","35","21"
"6","Alex Caghan","Rochester (NY)","Sr.","OF","31","20"
"","Steven Keener","Chris. Newport","Jr.","INF","37","20"
"","Jon Raymond","Albright","Sr.","OF","39","20"
"9","Grant Brown","Huntingdon","Jr.","C","40","19"
"10","Joe Chiarappa","Heidelberg","So.","INF","28","18"
"11","Shaune Collins","Rutgers-Camden","Jr.","C","36","17"
"","Joe Corey","Becker","Sr.","OF","37","17"
"","Andrew Kozusko","Saint Vincent","Jr.","C","34","17"
"","Drew Leonard","Millsaps","Sr.","INF","44","17"
"","Brad Murphy","Manchester","Jr.","OF","37","17"
"","Patrick O'Grady","Gettysburg","So.","OF","36","17"
"","David Ricker","Southern Me.","Sr.","OF","31","17"
"18","Nick Gentili","Pomona-Pitzer","Jr.","OF","36","16"
"","T.J. Laible","Mt. St. Vincent","Sr.","OF","31","16"
"20","Mitchell Bonds","Webster","Jr.","SS","32","15"
"","Jordan Jaenicke","Beloit","Sr.","SS","32","15"
"","Tim Marchetti","King's (PA)","Jr.","C","36","15"
"","Cory Miller","Hamline","Sr.","OF","29","15"
"","Josh Morris","Stevenson","Jr.","OF","43","15"
"","Nick Skala","Concordia Chicago","Sr.","C","36","15"
"26","Jonathan Basinski","Dominican (IL)","Sr.","INF","38","14"
"","Zach Boskovich","Linfield","Sr.","OF","37","14"
"","Ryan Brown","Messiah","Jr.","-","39","14"
"","Mike Canvello","Loras","Jr.","INF","36","14"
"","Craig Day","Wooster","So.","INF","33","14"
"","Michael Del Buono","Lynchburg","Jr.","1B","42","14"
"","Tim LoCastro","Ithaca","So.","SS","24","14"
"","Cody Luther","Wis.-Platteville","Sr.","OF","35","14"
"","Shane Miller","Marywood","Sr.","3B","38","14"
"","Johnny Schiotis","Salisbury","So.","INF","33","14"
"","Jordan Slate","Guilford","Jr.","INF","36","14"
"","Jacob Starnes","Texas-Dallas","Sr.","INF","43","14"
"","Michael Tucker","Anderson (IN)","Sr.","C","37","14"
"39","John Angelino","Old Westbury","So.","OF","37","13"
"","Joe Borowski","Castleton","So.","1B","44","13"
"","Chase Brown","Texas-Dallas","Sr.","OF","43","13"
"","William Chapman","Gallaudet","Sr.","OF","41","13"
"","Jon Crawford","Finlandia","Fr.","C","32","13"
"","Daniel Harvey","Texas Lutheran","Sr.","OF","38","13"
"","Blake Heitmeier","Simpson","Jr.","INF","23","13"
"","Stephen Nappe","Montclair St.","Jr.","INF","38","13"
"","Matt Rice","North Park","Sr.","OF","37","13"
"","Luke Saunders","Chris. Newport","Sr.","INF","37","13"
"","Kevin Weaver","Rivier","Sr.","P","34","13"
"","Brian Wyer","Capital","So.","INF","29","13"
"","Dave Zubia","Moravian","Sr.","INF","38","13"
