"Rank","Name","Team","Cl","Pos","G","SF"
"1","Cody Grice","Grand Valley St.","Jr.","OF","42","10"
"2","Jacob Campbell","Albany St. (GA)","Fr.","OF","47","9"
"","Jose Mendoza","Henderson St.","Sr.","INF","42","9"
"4","Buddy Sosnoskie","Francis Marion","Jr.","OF","47","8"
"5","Angelo Bruno","Stonehill","Sr.","1B","43","7"
"","Matt Kuchenbecker","Minn. St. Mankato","Jr.","INF","39","7"
"","Deryk Marks","Augustana (SD)","Sr.","INF","43","7"
"8","Tate Allison","Angelo St.","Jr.","OF","47","6"
"","Steve Anderson","Grand Valley St.","Jr.","OF","40","6"
"","Ryan Avery","Ashland","Sr.","OF","44","6"
"","Tyler Bair","Grand Canyon","Sr.","OF","47","6"
"","Kellen Bozeman","Delta St.","Sr.","DH","46","6"
"","Andrew Ciennik","Wayne St. (MI)","Jr.","2B","41","6"
"","Tyler Davies","Neb. Omaha","Sr.","C","40","6"
"","John Fouchet","Florida Tech","Sr.","INF","47","6"
"","Joey Frabasile","Belmont Abbey","Jr.","1B","46","6"
"","Evan Gazza","Davis & Elkins","Sr.","OF","42","6"
"","Brian Hansen","St. Cloud St.","So.","OF","41","6"
"","Cam Kneeland","Mass.-Lowell","Jr.","INF","38","6"
"","Wade Koester","Quincy","Sr.","INF","44","6"
"","Wayne Lewis","St. Augustine's","Jr.","OF","54","6"
"","Travis Lites","Angelo St.","Sr.","OF","38","6"
"","Joe Maloney","Limestone","Jr.","C","52","6"
"","Joe Mangum","UNC Pembroke","Sr.","INF","44","6"
"","Eric Maupin","N.M. Highlands","Jr.","INF","42","6"
"","Erin McCarver","Harding","So.","C","44","6"
"","Matt Mccamley","Lock Haven","Sr.","OF","39","6"
"","Michael Niemann","Delta St.","Sr.","OF","46","6"
"","Frank Rawdow","Saint Leo","So.","3B","30","6"
"","Timothy Rines","Southern N.H.","Sr.","SS","43","6"
"","Ethan Santora","Mercyhurst","Jr.","INF","44","6"
"","Kyle Stacken","Fort Hays St.","Sr.","1B","43","6"
"","Jordan Stouffer","Metro St.","Sr.","1B","40","6"
"","Bobby Triglia","Valdosta St.","Jr.","INF","44","6"
"","Ryan Vanbeek","Northwest Nazarene","Sr.","C","44","6"
"","Logan Williams","Southern Ark.","Sr.","3B","44","6"
"37","Jared Allen","Ga. Southwestern","Sr.","INF","48","5"
"","Bruce Alter","Columbus St.","Sr.","3B","45","5"
"","Andrew Archer","Ga. Southwestern","Jr.","OF","48","5"
"","Patrick Arntson","Upper Iowa","Jr.","1B","44","5"
"","Mike August","Millersville","Jr.","SS","45","5"
"","Ben Baker","Rockhurst","Sr.","OF","40","5"
"","Matt Barr","Davis & Elkins","So.","INF","42","5"
"","Rolando Bonner","Tusculum","Sr.","OF","43","5"
"","Kendall Boone","West Tex. A&M","Jr.","INF","48","5"
"","Anthony Boza","Lynn","Jr.","1B","45","5"
"","Cody Brooks","Saint Martin's","Sr.","INF","47","5"
"","Tyler Callicutt","North Greenville","Sr.","1B","44","5"
"","Dylan Cintula","Findlay","Fr.","INF","37","5"
"","Jason Coker","UNC Pembroke","Sr.","INF","48","5"
"","Caleb Cole","Drury","Fr.","INF","45","5"
"","Alexi Colon","Tusculum","Jr.","OF","50","5"
"","Sean Cotten","Tusculum","Sr.","C","50","5"
"","Travis Coverston","Flagler","Sr.","2B","39","5"
"","Dane Derstine","Lynn","Sr.","C","40","5"
"","Cory Dorman","Lock Haven","Jr.","OF","39","5"
"","Tim Dye","Belmont Abbey","Sr.","OF","46","5"
"","Nelson Espinal","Southwestern Okla.","Sr.","2B","39","5"
"","Derek Fulmer","North Greenville","Jr.","P","44","5"
"","Tyler Hastings","West Fla.","Sr.","C","34","5"
"","Craig Hermann","Delta St.","Jr.","INF","40","5"
"","Derek Ingui","Franklin Pierce","Sr.","DH","43","5"
"","Kyle Jones","Sonoma St.","Sr.","OF","44","5"
"","Adam Jury","Slippery Rock","Sr.","INF","44","5"
"","Evan Kehoe","UC San Diego","Sr.","INF","46","5"
"","Dan Kemp","Franklin Pierce","So.","SS","40","5"
"","Aaron Kicklighter","Valdosta St.","Jr.","INF","44","5"
"","Eric Kitts","Lincoln Memorial","Sr.","1B","48","5"
"","Dustin Lawley","West Fla.","Sr.","OF","48","5"
"","Tyson Littlewood","Dixie St.","Jr.","INF","47","5"
"","Chris Love","Newberry","Sr.","INF","52","5"
"","Cody Maas","Georgia College","So.","C","37","5"
"","Brandon Mack","Chowan","So.","INF","50","5"
"","Nick Markis","Arkansas Tech","Sr.","3B","43","5"
"","Kyle Meads","Elizabeth City St.","So.","INF","40","5"
"","Josh Miller","S.C. Aiken","So.","C","46","5"
"","Jared Mothershed","North Ala.","Sr.","OF","43","5"
"","Cash Oliver","Tuskegee","Fr.","SS","33","5"
"","Cory Osborne","Tiffin","Jr.","C","39","5"
"","Cody Pack","Lincoln Memorial","Sr.","OF","51","5"
"","Cody Pate","Mars Hill","Jr.","INF","43","5"
"","Mark Perry","USciences","Sr.","INF","33","5"
"","Corey Phelan","Millersville","Sr.","OF","44","5"
"","Greg Pron","West Fla.","Sr.","OF","48","5"
"","Eric Rodriguez","Benedict","Sr.","OF","34","5"
"","Jerry Rodriguez","Tex. A&M-Kingsville","Sr.","INF","46","5"
"","Tyler Ruch","Central Mo.","Sr.","INF","46","5"
"","Shannon Rush","Virginia St.","Sr.","INF","44","5"
"","Ryan Schoonover","Central Okla.","Sr.","OF","46","5"
"","Albert Selanders","Central Mo.","So.","C","42","5"
"","Frank Specht","Central Mo.","Sr.","INF","38","5"
"","Matt Sucharewicz","St. Anselm","Sr.","C","35","5"
"","Landon Sullins","Arkansas Tech","Jr.","C","40","5"
"","Desmond Towns","Albany St. (GA)","Fr.","OF","26","5"
"","Adam Unes","Ill.-Springfield","Fr.","INF","40","5"
"","Luke Valerius","Neb.-Kearney","Sr.","3B","37","5"
"","Chris Vazquez","Wingate","Jr.","SS","52","5"
"","Steven Vidaurri","Incarnate Word","Sr.","OF","47","5"
"","Eric Walker","Southeastern Okla.","Sr.","C","45","5"
"","Adrian Williams","Tex. A&M-Kingsville","Sr.","1B","37","5"
"","Brett Wright","West Ga.","So.","OF","46","5"
"","Josh Young","Georgia College","Jr.","OF","49","5"
"","Selwyn Young","Benedict","Sr.","SS","39","5"
"","John Zule","Incarnate Word","So.","INF","37","5"
"105","Nick Adams","Rollins","Jr.","INF","46","4"
"","Casey Allison","Wingate","Jr.","OF","54","4"
"","Juan Alvarez","Lincoln Memorial","Sr.","INF","51","4"
"","Richard Atwood","Ark.-Monticello","Sr.","1B","26","4"
"","Justin Bagbey","Chowan","Jr.","INF","46","4"
"","Brandon Banks","Paine","So.","C","36","4"
"","Bryce Baugh","West Tex. A&M","Jr.","INF","45","4"
"","Randy Beard","Concord","So.","OF","44","4"
"","Stephen Bellantoni","S.C. Aiken","Jr.","OF","50","4"
"","John Bolding","Erskine","Sr.","INF","51","4"
"","Matt Boulter","Southern N.H.","So.","SS","44","4"
"","Tyler Boyd","Francis Marion","Jr.","OF","44","4"
"","Mitchell Broughton","Quincy","Fr.","OF","41","4"
"","Jarius Brown","Stillman","Fr.","OF","41","4"
"","Tucker Brown","Central Okla.","Jr.","INF","43","4"
"","David Buchanan","West Ga.","Sr.","C","45","4"
"","William Buford","Tuskegee","So.","P","33","4"
"","Andrew Camardella","Dominican (NY)","So.","INF","38","4"
"","Garrett Campfield","West Tex. A&M","Sr.","C","45","4"
"","Joe Candela","Dowling","So.","INF","38","4"
"","Andrew Castaneda","Colorado St.-Pueblo","Jr.","OF","46","4"
"","Kyle Cerrudo","Sonoma St.","Jr.","C","36","4"
"","Patrick Chamberlain","Stillman","So.","C","39","4"
"","Ty Chancelor","Ala.-Huntsville","Jr.","OF","43","4"
"","Bryan Chestnut","Southern Ind.","Jr.","OF","23","4"
"","Tyler Choate","Southern Ind.","Sr.","P","45","4"
"","Curran Collins","Quincy","Jr.","INF","33","4"
"","J Cox","Virginia St.","Fr.","-","46","4"
"","Kaleb Cunningham","Indianapolis","Sr.","INF","43","4"
"","Adam Cunningham","Quincy","Sr.","INF","42","4"
"","Josh Cyr","North Ala.","So.","INF","44","4"
"","Jonathon Dalton","Carson-Newman","Sr.","OF","50","4"
"","Patrick Daugherty","Georgia College","Jr.","OF","49","4"
"","Drew Davenport","Missouri S&T","Sr.","C","37","4"
"","Grant DeBruin","Ala.-Huntsville","Jr.","INF","45","4"
"","Craig Denman","Mercyhurst","Sr.","OF","44","4"
"","Brian Dice","Lenoir-Rhyne","Sr.","C","47","4"
"","Daniel Dillard","Western Ore.","Sr.","OF","42","4"
"","Patrick Dockendorf","Minn. St. Mankato","Jr.","INF","40","4"
"","Mike Dowd","Franklin Pierce","Jr.","C","43","4"
"","Charlie Dubanoski","Augustana (SD)","Sr.","INF","40","4"
"","Damon Elder","Tampa","Jr.","OF","45","4"
"","Adam Enright","Southern Ind.","Sr.","INF","44","4"
"","Sean Estand","St. Joseph's (IN)","Sr.","3B","44","4"
"","Gus Fernandez","Florida Tech","Sr.","INF","39","4"
"","Jeremy Fisher","West Virginia St.","Sr.","C","27","4"
"","Richard Forkin","Lewis","Sr.","INF","33","4"
"","Jake Frazier","Coker","Jr.","OF","43","4"
"","Tanner Funk","Georgia College","Jr.","SS","50","4"
"","Chandler Goode","Tex. Permian Basin","Sr.","OF","46","4"
"","Eric Grabe","Tampa","Jr.","2B","45","4"
"","Jon Gray","Pfeiffer","Fr.","INF","49","4"
"","Lans Hardin","Christian Bros.","Jr.","OF","41","4"
"","Steven Helget","Minn. St. Mankato","Sr.","C","39","4"
"","Danny Higginbotham","Arkansas Tech","Sr.","C","43","4"
"","Payden Houser","Tusculum","Sr.","2B","51","4"
"","Matt Jacobs","Mass.-Lowell","Jr.","OF","39","4"
"","Aaron Johnson","Saint Martin's","Sr.","DH","47","4"
"","Michael Johnson","Cal St. Stanislaus","Sr.","3B","35","4"
"","Colin Kish","Fla. Southern","Jr.","OF","40","4"
"","Mitch Klein","Ashland","Jr.","3B","36","4"
"","Joe Kley","Winona St.","Sr.","OF","37","4"
"","Brian Kochik","Lock Haven","Sr.","C","39","4"
"","Pat Kregeloh","Shippensburg","Fr.","3B","48","4"
"","Chase Lacomb","Colorado St.-Pueblo","So.","SS","42","4"
"","Jye Lanphere","Colorado St.-Pueblo","Sr.","3B","36","4"
"","Colt Loehrs","Arkansas Tech","Sr.","OF","45","4"
"","Aaron Lupia","Indiana (PA)","Fr.","C","45","4"
"","Vincent Malzahn","St. Thomas Aquinas","Sr.","1B","43","4"
"","Cj Matthews","Mo. Southern St.","Sr.","OF","46","4"
"","Ryan McChesney","Florida Tech","Jr.","C","47","4"
"","Zach McCutcheon","Tiffin","Jr.","C","38","4"
"","Sean McDonald","Northwest Nazarene","Jr.","OF","44","4"
"","Bobby Mclaughlin","Alderson-Broaddus","So.","3B","35","4"
"","Tyler Migl","St. Mary's (TX)","Jr.","OF","48","4"
"","Kevin Miller","Mansfield","Sr.","OF","35","4"
"","Ben Miller","Shippensburg","Jr.","INF","48","4"
"","Tony Mitchell","Fla. Southern","Sr.","OF","41","4"
"","Reagan Moczygemba","St. Mary's (TX)","Sr.","INF","50","4"
"","Brian Moon","Cal St. L.A.","Sr.","SS","43","4"
"","Fred Moore","St. Thomas Aquinas","Sr.","C","30","4"
"","Devon Myers","Truman","Jr.","C","44","4"
"","Dillon Ness","Mont. St. Billings","Fr.","INF","38","4"
