"Rank","Name","Team","Cl","Pos","G","AB","TB","SLG PCT"
"1","John Apostolo","Mitchell","Jr.","P","25","93","93","1.000"
"2","Andrew Thole","Thomas More","Jr.","1B","28","100","94","0.940"
"3","Michael Tucker","Anderson (IN)","Jr.","C","35","123","111","0.902"
"4","Kevin Callahan","Ill. Wesleyan","So.","1B","34","122","105","0.861"
"5","Mike Eaton","Southern Me.","Sr.","OF","33","130","108","0.831"
"6","Andy Vega","Keystone","Sr.","OF","32","103","85","0.825"
"7","Connor Bierfeldt","Western Conn. St.","So.","P","29","95","78","0.821"
"8","Ryan Walsh","Mass.-Boston","Sr.","2B","34","138","110","0.797"
"9","Michael Pascarella","Pitt.-Bradford","Fr.","INF","31","102","81","0.794"
"10","T.C. Lee","Willamette","Sr.","OF","40","144","113","0.785"
"11","Nick Skala","Concordia Chicago","Jr.","C","33","135","105","0.778"
"12","Brian Henry","Keystone","Sr.","C","33","116","90","0.776"
"13","Jim Schult","Eastern Conn. St.","Sr.","OF","34","135","104","0.770"
"14","Drew Zuckerman","Transylvania","Sr.","C","29","106","81","0.764"
"15","Dave Ahern","Babson","Sr.","P","38","144","110","0.764"
"16","Nick Fluegge","Worcester St.","Sr.","INF","32","99","74","0.747"
"17","Mike Nodzenski","Grinnell","Jr.","C","27","91","68","0.747"
"18","Nick Broyles","Bluffton","Jr.","OF","36","142","106","0.746"
"19","Matt Forgatch","Denison","Sr.","3B","36","124","92","0.742"
"20","Scott Windler","Franklin","Fr.","OF","28","85","63","0.741"
"21","Max Stepan","Willamette","Sr.","C","39","134","99","0.739"
"22","Derek Smith","Pitt.-Bradford","So.","INF","31","105","77","0.733"
"23","Corey McDonald","Worcester St.","Sr.","OF","34","116","85","0.733"
"24","Matt Cornetti","Mt. Aloysius","Jr.","C","28","78","57","0.731"
"25","Kyle Felix","Trinity (TX)","Sr.","C","44","170","124","0.729"
"26","John Holm","Wabash","Jr.","INF","39","140","102","0.729"
"27","Brandon Benton","Mississippi Col.","Sr.","OF","37","126","91","0.722"
"28","Chad Mullins","Case","Sr.","3B","43","169","122","0.722"
"","Brandon Rogalski","Washington-St. Louis","Jr.","OF","46","169","122","0.722"
"30","Wes Meadows","Otterbein","So.","3B","36","133","96","0.722"
"31","Jordan Walton","Randolph-Macon","Jr.","1B","42","176","127","0.722"
"32","Trey Forbes","Manchester","Sr.","C","36","144","103","0.715"
"33","William Bissell","Gallaudet","Fr.","OF","42","128","91","0.711"
"34","Brandon Peterson","St. Scholastica","Jr.","OF","30","92","65","0.707"
"35","Nick Clifton","Texas-Tyler","Sr.","1B","39","136","96","0.706"
"","Connor Madden","Chris. Newport","Jr.","INF","44","170","120","0.706"
"37","John Schall","Penn St.-Altoona","Jr.","OF","32","101","71","0.703"
"38","Matt Oliveto","FDU-Florham","Sr.","OF","32","123","86","0.699"
"39","Chris Sweeney","King's (PA)","So.","OF","34","126","88","0.698"
"40","Nick Boggan","Cal Lutheran","So.","INF","40","149","104","0.698"
"41","John Snyder","Marietta","Sr.","OF","32","119","83","0.697"
"42","Bruce Maxwell","Birmingham-So.","So.","1B","38","139","96","0.691"
"43","Ben Gresh","Ursinus","Jr.","OF","33","112","77","0.688"
"44","Greg Ferrell","Mount Union","Sr.","OF","25","86","59","0.686"
"45","Jeff Donovan","Wis.-Whitewater","Sr.","INF","32","124","85","0.685"
"46","Steve Karnyski","St. John Fisher","Jr.","INF","29","98","67","0.684"
"47","Sam Schmeltzer","Thomas More","Sr.","3B","29","104","71","0.683"
"48","Cole Bixenman","Linfield","Sr.","C","37","141","96","0.681"
"49","David Kinney","Clarkson","Jr.","INF","30","119","81","0.681"
"50","Esteban Meletiche","Keystone","Jr.","INF","34","122","83","0.680"
"51","Troy Tarrant","Hardin-Simmons","Jr.","OF","42","156","106","0.679"
"52","Ricardo Lizcano","Heidelberg","Jr.","INF","35","131","89","0.679"
"53","Cody Koback","Wis.-Stevens Point","Jr.","P","33","134","91","0.679"
"54","Ben Kuebbing","Transylvania","Sr.","OF","28","90","61","0.678"
"55","Greg Van Sickler","Shenandoah","Sr.","P","39","155","105","0.677"
"56","Conor Cavanagh","Lasell","Sr.","OF","36","125","84","0.672"
"57","Cam Stephens","Concordia Chicago","Jr.","OF","31","103","69","0.670"
"58","Kevin Kloewer","Buena Vista","Sr.","C","33","118","79","0.669"
"59","Jacob Pierce","Va. Wesleyan","So.","C","35","124","83","0.669"
"60","Jake Northrup","Endicott","Fr.","P","40","125","83","0.664"
"61","Angus Neary","Wilkes","Jr.","INF","35","116","77","0.664"
"","Nick Stein","Coe","So.","OF","34","116","77","0.664"
"63","Nate Newman","Misericordia","Sr.","INF","35","110","73","0.664"
"64","Joe Turek","North Central (IL)","Jr.","1B","24","83","55","0.663"
"65","Spencer Brunson","Mississippi Col.","Jr.","INF","42","168","111","0.661"
"","Luke Matthews","Eastern Nazarene","Sr.","INF","34","112","74","0.661"
"67","Ken Gregory","Kean","Sr.","OF","37","138","91","0.659"
"68","Dan Haugh","Wheaton (MA)","Jr.","INF","35","134","88","0.657"
"","Trey Martin","Wheaton (IL)","So.","3B","35","134","88","0.657"
"","Bill Pace","Neumann","So.","C","35","134","88","0.657"
"71","Ty Foster","Manchester","Sr.","INF","36","151","99","0.656"
"72","Bobby Hillier","Thiel","Jr.","3B","35","130","85","0.654"
"73","Tim Wiand","Westminster (PA)","Jr.","1B","31","95","62","0.653"
"74","Jordan Marks","Louisiana Col.","Jr.","INF","43","141","92","0.652"
"75","Brendan Pilger","Oglethorpe","Sr.","OF","42","154","100","0.649"
"76","Drew Leachman","Birmingham-So.","Sr.","INF","39","162","105","0.648"
"77","Ethan Rieker","Susquehanna","Jr.","INF","33","122","79","0.648"
"78","Bobby Doyon","Keene St.","Sr.","OF","37","153","99","0.647"
"","Jeff Perillo","Mitchell","Sr.","INF","28","102","66","0.647"
"80","Will Hodges","Carthage","Sr.","OF","31","116","75","0.647"
"81","Andrew Jett","Westminster (MO)","Sr.","OF","34","96","62","0.646"
"82","Jhon Comas Disla","Lehman","Jr.","SS","26","79","51","0.646"
"83","Mike Petti","Carthage","Sr.","OF","31","118","76","0.644"
"84","Chase Tucker","Redlands","Jr.","INF","36","143","92","0.643"
"85","Charlie Carluccio","Haverford","Sr.","SS","39","148","95","0.642"
"86","Derrek Etsell","Neumann","Jr.","OF","31","106","68","0.642"
"87","Daniel Thomas","WPI","So.","1B","30","92","59","0.641"
"88","Zach Deutscher","North Park","Sr.","C","35","131","84","0.641"
"89","Michael Corrigan","North Central (IL)","Sr.","C","25","83","53","0.639"
"","J.D. Dorgan","St. Thomas (MN)","Fr.","C","29","83","53","0.639"
"91","Nick Stoia","Franklin","So.","INF","34","141","90","0.638"
"92","Matt Bittner","Penn St.-Behrend","So.","INF","31","102","65","0.637"
"93","Kyle Wooden","Guilford","Sr.","INF","35","135","86","0.637"
"94","Matt Shoemaker","Chris. Newport","Jr.","INF","44","168","107","0.637"
"95","Kyle Moody","St. Scholastica","Jr.","C","28","99","63","0.636"
"96","Forrest Chadwick","Southern Me.","Fr.","INF","32","140","89","0.636"
"97","Daniel Covert","Greenville","Sr.","OF","31","107","68","0.636"
"","David Kennett","Thomas More","So.","SS","29","107","68","0.636"
"99","David Simone","Western Conn. St.","Jr.","C","30","90","57","0.633"
"100","Jason Henning","Redlands","So.","INF","36","136","86","0.632"
"101","Anthony Defilippo","Waynesburg","Sr.","INF","35","125","79","0.632"
"102","Ben Butler","Howard Payne","So.","1B","32","95","60","0.632"
"103","Pat Warrington","Southern Vt.","Jr.","OF","36","141","89","0.631"
"104","Derek Dauenbaugh","Rose-Hulman","Jr.","OF","34","108","68","0.630"
"105","Zach Roeder","Middlebury","Jr.","C","25","89","56","0.629"
"106","Brennyn Smith","Sul Ross St.","So.","3B","36","151","95","0.629"
"107","Art Levenson","Rensselaer","Jr.","OF","32","124","78","0.629"
"108","Kenny Durling","Misericordia","So.","OF","34","129","81","0.628"
"","Clayton Truex","Linfield","So.","INF","37","129","81","0.628"
"110","Andrew Vallejo","Whittier","Jr.","OF","39","153","96","0.627"
"111","Donald Blunt","Augsburg","Sr.","INF","31","88","55","0.625"
"","Bruce Brown","Daniel Webster","Sr.","INF","27","88","55","0.625"
"","Mike Samela","Amherst","Jr.","C","26","96","60","0.625"
"","Greg Van Horn","Wooster","Sr.","INF","34","112","70","0.625"
"","T.J. Zarewicz","Bethany (WV)","Jr.","C","27","88","55","0.625"
"116","Sam Alexander","Case","Jr.","OF","42","173","108","0.624"
"117","Ross Donnan","Monmouth (IL)","Jr.","INF","28","117","73","0.624"
"118","Justin Zeller","Wheaton (IL)","Jr.","OF","36","138","86","0.623"
"119","Clint DeHaven","Shenandoah","Sr.","OF","35","114","71","0.623"
"","Zachary Small","Johns Hopkins","Jr.","C","32","114","71","0.623"
"121","Dan Gleiberman","Whittier","Sr.","3B","38","127","79","0.622"
"122","John Hastings","John Carroll","Sr.","SS","31","111","69","0.622"
"123","Mark Saxman","Mt. Aloysius","Sr.","P","27","89","55","0.618"
"124","Ian Sanders","Franklin","Sr.","INF","34","128","79","0.617"
"125","Stuart Magee","Mississippi Col.","Sr.","OF","42","175","108","0.617"
"126","Patrick Riebsame","Emory","Sr.","OF","42","154","95","0.617"
"127","Brent Gibbs","D'Youville","So.","INF","27","91","56","0.615"
"128","Todd Keneborus","St. Joseph's (ME)","Sr.","OF","40","132","81","0.614"
