"Rank","Name","Team","Cl","Pos","G","AB","H","BB","HBP","SF","SH","PCT"
"1","Max Araya","Middlebury","So.","C","2","8","6","0","1","0","0","0.778"
"2","Jason Buco","Colby","Jr.","OF","2","5","3","2","1","0","0","0.750"
"3","Brandon Seifert","Concordia (WI)","Jr.","INF","2","7","5","0","0","0","0","0.714"
"4","Greg Struck","Elmhurst","So.","INF","6","20","12","4","3","0","0","0.704"
"5","Tom Fairbanks","Wis.-Superior","Sr.","OF","11","38","24","8","0","0","0","0.696"
"6","Aaron Benz","Lawrence","Sr.","OF","3","11","7","2","0","0","0","0.692"
"7","Kevin Galvin","Colby","Sr.","INF","2","4","2","2","0","0","0","0.667"
"","Kyle Haen","Wis.-Whitewater","---","LF","5","19","11","2","3","0","1","0.667"
"","Bobby Kachel","Wis.-Oshkosh","Sr.","INF","2","5","2","2","2","0","0","0.667"
"","Larry Kimber","Rust","---","RF","4","10","4","7","1","0","0","0.667"
"","Brett Zaziski","Vassar","Sr.","INF","6","21","12","3","3","0","0","0.667"
"12","Tom Natoli","Becker","Sr.","OF","13","33","19","11","1","2","0","0.660"
"13","Jaren Bell","Hiram","---","CF","9","26","14","6","3","0","0","0.657"
"","Serba T.J.","Medaille","Jr.","-","8","21","11","5","7","2","1","0.657"
"15","Chris Zeller","Hamline","Jr.","INF","7","22","11","8","2","0","2","0.656"
"16","Blake Lishka","Eureka","Fr.","INF","6","16","8","5","2","0","0","0.652"
"","Randall Minogue","Becker","Fr.","OF","13","32","16","7","7","0","0","0.652"
"18","Vinnie Carminati","Mt. St. Mary (NY)","Sr.","OF","9","29","16","7","0","0","0","0.639"
"19","Tom Forster","Macalester","Jr.","C","9","29","16","9","0","2","0","0.625"
"","Tim Henry","Ithaca","Sr.","INF","8","25","13","5","2","0","1","0.625"
"","Robbie Kleman","Wis.-Oshkosh","So.","OF","2","6","3","1","1","0","1","0.625"
"","Thomas Stephens","Williams","Sr.","P","2","7","4","1","0","0","0","0.625"
"23","Steven Drury","Fitchburg St.","Fr.","OF","14","44","23","8","5","1","0","0.621"
"24","Casey Power","Wis.-Whitewater","Sr.","INF","5","17","10","1","2","1","0","0.619"
"25","Richie Carbone","Johns Hopkins","Sr.","P","12","38","21","6","2","1","1","0.617"
"26","Ryan Hayes","Earlham","Sr.","1B","12","35","19","6","2","1","0","0.614"
"27","Andrew Gronski","Case","Jr.","INF","16","73","40","7","4","0","0","0.607"
"28","Jamill Moquette","UMass Boston","Sr.","INF","9","26","11","10","2","0","0","0.605"
"29","Brady Forrest","Elms","Jr.","OF","9","33","17","6","3","1","0","0.605"
"30","Connor Bertsch","Concordia (TX)","So.","INF","18","49","22","18","1","0","0","0.603"
