"Rank","Name","Team","Cl","Pos","App","IP","SO","K/9"
"1","Ben Klimesh","Trinity (TX)","Sr.","P","15","97.7","142","13.08"
"2","Oliver Van Zant","Bowdoin","Jr.","SS","8","51.3","74","12.98"
"3","Chris Perry","Methodist","Sr.","P","15","88.0","123","12.58"
"4","Ryan Jacobs","Penn St.-Behrend","Jr.","P","9","46.3","64","12.44"
"5","Torey Mancari","Mary Washington","Jr.","P","11","64.3","88","12.32"
"6","Brian Rauh","Chapman","Jr.","P","11","79.0","106","12.08"
"7","Russ Gilliam","Neumann","Jr.","P","14","71.3","95","11.99"
"8","Pat Havens","Baldwin-Wallace","Jr.","P","7","37.3","49","11.82"
"9","Justin D'Amato","St. John Fisher","So.","P","11","61.7","80","11.67"
"10","Dan Schmitz","Anderson (IN)","Jr.","P","8","48.7","63","11.64"
"11","David Mueller","Webster","Sr.","P","12","66.0","84","11.45"
"12","Ryan Doty","Wartburg","Jr.","P","12","74.0","93","11.31"
"13","Doug Politz","Frostburg St.","Jr.","P","13","62.3","77","11.12"
"14","Dante DeSantis","Penn St.-Behrend","So.","P","9","47.7","58","10.94"
"15","Bobby Chatfield","Plymouth St.","Sr.","P","8","43.3","52","10.81"
"16","Christopher Sisco","Centenary (NJ)","Sr.","P","11","42.0","50","10.71"
"17","Blaine O'Brien","Keystone","Sr.","P","9","58.0","69","10.71"
"18","Evan Chamberlain","Eastern Conn. St.","Sr.","P","12","38.7","46","10.70"
"19","Dylan Thomas","St. Thomas (MN)","Jr.","DH","11","51.0","60","10.59"
"20","Curtis Arsi","Rowan","Sr.","P","9","44.3","52","10.56"
"21","Chris Chismar","SUNY New Paltz","Jr.","P","9","53.7","63","10.56"
"22","Shane Mattingly","Washington Col.","Sr.","P","11","72.0","84","10.50"
"23","Sean Haugh","Johnson & Wales (RI)","Fr.","P","8","46.3","54","10.50"
"24","Jason Beaumont","St. John Fisher","Fr.","-","9","57.7","67","10.45"
"25","Nicholas DeFebo","Marywood","Jr.","P","10","51.7","60","10.44"
"26","Kevin Herget","Kean","Jr.","P","10","76.7","89","10.44"
"27","Christian Martin","Bowdoin","So.","-","7","39.7","46","10.43"
"28","Aaron Schuldt","SUNY Cortland","Sr.","P","10","66.3","76","10.32"
"29","Mike Jeffreys","Geneva","So.","3B","14","68.3","78","10.28"
"30","Connor Dillman","Emory","Fr.","P","11","66.7","76","10.25"
"31","Harry Marino","Williams","Sr.","P","10","46.7","53","10.21"
"32","Jake Nystrom","St. Scholastica","Jr.","P","12","42.3","48","10.21"
"33","Harley Moore","Dickinson","Fr.","P","9","39.7","45","10.20"
"34","Luke Westphal","Wis.-Oshkosh","Sr.","P","10","60.0","68","10.20"
"35","Lincoln Sanborn","St. Joseph's (ME)","So.","INF","8","44.3","50","10.16"
"36","James Simmons","Hardin-Simmons","Jr.","P","21","42.7","48","10.12"
"37","Travis McGee","Chapman","Jr.","P","10","72.7","81","10.03"
"38","Trevor Lubking","Pacific Lutheran","Fr.","P","22","63.0","70","10.00"
"","Aaron Siefken","Bethany Lutheran","Sr.","P","9","47.7","53","10.00"
"40","Corey Gorman","Scranton","Sr.","P","10","43.3","48","9.98"
"41","Robert Della Polla","Scranton","Jr.","P","8","48.3","53","9.88"
"42","Dakota Aker","Castleton","Sr.","P","9","52.0","57","9.87"
"","Andrew Womble","Methodist","Jr.","P","47","52.0","57","9.87"
"44","Matt Brankle","Earlham","Fr.","P","12","55.7","61","9.86"
"45","Dan Scheibe","Whitworth","Fr.","P","29","71.3","78","9.85"
"46","Austin Blaski","Marietta","Sr.","P","13","70.7","77","9.80"
"47","Nate Gotch","Principia","Sr.","P","13","45.0","49","9.80"
"48","Paul Schwendel","Emory","Sr.","P","13","84.7","92","9.78"
"49","Pj Cerreto","Ramapo","Jr.","P","11","50.7","55","9.76"
"50","Mason Webster","LaGrange","Jr.","P","13","63.7","69","9.75"
