"Rank","Name","Team","Cl","Pos","G","HBP"
"1","Patrick Grady","Lander","So.","OF","47","29"
"2","Matt Barr","Davis & Elkins","Jr.","INF","47","25"
"","Phil Imholte","St. Cloud St.","Jr.","OF","44","25"
"4","Cameron Green","Southeastern Okla.","Sr.","INF","42","22"
"5","Kyle Buchanan","Belmont Abbey","Sr.","C","51","21"
"6","Blake Gibbs","Cal St. Chico","Jr.","OF","46","19"
"","William Sykes","LeMoyne-Owen","Fr.","P","34","19"
"8","Alex Ciullo","Merrimack","So.","INF","34","18"
"","Brent Lawrence","Northern St.","Jr.","OF","40","18"
"","John McCarty","Virginia St.","Jr.","C","43","18"
"","Tim Ravel","Bloomsburg","So.","2B","45","18"
"","Kevin Rufus","Newberry","Sr.","OF","37","18"
"","Nick Szalejko","USciences","Jr.","OF","33","18"
"","Andre Yates","Southwestern Okla.","Sr.","2B","38","18"
"15","Vincente Andrews","Montevallo","Jr.","OF","46","17"
"","Joe Mantoni","Merrimack","Jr.","P","44","17"
"","Jon Neuberger","Bluefield St.","Sr.","INF","41","17"
"18","Jackson Boyd","Seton Hill","Jr.","OF","46","16"
"","Ty Chancelor","Ala.-Huntsville","Sr.","OF","43","16"
"","Jorey Jefferson","LeMoyne-Owen","So.","3B","30","16"
"","Brett Langham","West Ala.","Jr.","INF","45","16"
"","Aaron Priestes","Quincy","Jr.","OF","37","16"
"","Frank Rawdow","Saint Leo","Jr.","SS","36","16"
"","Cade Stallings","Tusculum","Jr.","INF","54","16"
"","Jenzen Torres","Cal Poly Pomona","Sr.","C","49","16"
"26","Steven Alexander","LeMoyne-Owen","Jr.","OF","30","15"
"","David Allday","Southern Ark.","Sr.","1B","46","15"
"","Peter Bako","Southeastern Okla.","Sr.","OF","39","15"
"","Alex Beland","Post","Jr.","C","34","15"
"","Tony Blake","Dominican (NY)","Jr.","OF","44","15"
"","Garrett Hardey","Tarleton St.","Sr.","1B","42","15"
"","Colton Jones","Drury","Jr.","INF","39","15"
"","Josh Logan","Seton Hill","Sr.","OF","46","15"
"","Michael Lott","Shepherd","So.","OF","46","15"
"","Taylor Nehls","Wis.-Parkside","So.","INF","38","15"
"","Blaine Rosenberg","Montevallo","Sr.","C","38","15"
"","Tj Yasuhara","Cal St. Chico","Sr.","INF","45","15"
"38","Danny Barnes","Tuskegee","Fr.","OF","41","14"
"","Willis Bradwell","Morehouse","Sr.","OF","30","14"
"","Tucker Brown","Central Okla.","Sr.","INF","47","14"
"","Jordan Coons","Central Mo.","Sr.","INF","44","14"
"","Chad Davidson","Northeastern St.","Jr.","SS","48","14"
"","Cody Foster","Cal St. Chico","Sr.","OF","46","14"
"","Charlie Gorzo","Northwest Nazarene","Jr.","OF","39","14"
"","Joe Harbach","Wilmington (DE)","Sr.","OF","41","14"
"","Sam Kidd","Delta St.","Jr.","OF","46","14"
"","Devon King","San Fran. St.","Sr.","INF","34","14"
"","Jake Kretzer","Northwest Mo. St.","Jr.","OF","43","14"
"","Christian Ludlum","Stillman","So.","INF","34","14"
"","Keith Meyer","Bloomsburg","Sr.","SS","42","14"
"","Keith Price","Southeastern Okla.","Jr.","INF","39","14"
"","Zach Thompson","Ashland","Sr.","OF","40","14"
"","Nathan Wilson","Coker","Jr.","1B","44","14"
"54","Eric Barnes","Oakland City","Sr.","INF","39","13"
"","Brett Bielec","Central Wash.","Sr.","OF","40","13"
"","Ryan Clark","Colo. Christian","Sr.","3B","43","13"
"","Andre Collum Jr.","Benedict","Fr.","OF","37","13"
"","Sean Craig","Dowling","Jr.","INF","37","13"
"","Matt Curtis","Slippery Rock","Jr.","INF","42","13"
"","Cameron Dullnig","Tex. A&M-Kingsville","Sr.","2B","44","13"
"","Seth Foster","Augusta St.","Jr.","1B","48","13"
"","Keegan Ghidotti","Ouachita Baptist","So.","P","46","13"
"","Carlos Guzman","Molloy","So.","OF","41","13"
"","Bryant Hayman","Valdosta St.","Fr.","C","41","13"
"","Nano Jacobsen","Regis (CO)","Jr.","C","44","13"
"","Payton Karl","Oakland City","Fr.","INF","35","13"
"","Jordan Kontz","Southwest Minn. St.","So.","C","40","13"
"","Erik Kozel","Colorado Mesa","Jr.","OF","31","13"
"","Tito Lluberes","St. Anselm","So.","INF","48","13"
"","Zach Long","Carson-Newman","Jr.","3B","52","13"
"","Seth McMullen","Winona St.","Jr.","SS","42","13"
"","Mike Mercurio","Mount Olive","Jr.","SS","48","13"
"","Jesse Olson","Cal St. Monterey Bay","Sr.","C","35","13"
"","Justin Pearson","Ala.-Huntsville","Jr.","OF","44","13"
"","Micah Reaves","West Ala.","Sr.","C","46","13"
"","Justin Riddle","Ala.-Huntsville","So.","C","46","13"
"","Noah Ringenberger","Tarleton St.","Jr.","OF","44","13"
"","Logan Smith","Lincoln (MO)","Jr.","INF","42","13"
"","Adam Ussery","Henderson St.","Sr.","INF","42","13"
"","Donald Walter","Cal Poly Pomona","Jr.","OF","48","13"
"","Tom Ward","Ouachita Baptist","Sr.","DH","46","13"
"82","Gabby Amor","Belmont Abbey","Jr.","INF","51","12"
"","Eric Angerer","Cal St. Chico","So.","1B","44","12"
"","Jarius Brown","Stillman","Sr.","OF","44","12"
"","K.C. Clabough","Florida Tech","Sr.","INF","46","12"
"","Zach Cohen","Angelo St.","Sr.","INF","42","12"
"","Casey Cotter","Merrimack","Jr.","INF","44","12"
"","Stuart Drew","West Ga.","Sr.","2B","43","12"
"","Percy Evans","Virginia St.","So.","INF","43","12"
"","Jonathan Finnegan","Arkansas Tech","Jr.","INF","48","12"
"","Chris Glynn","Wis.-Parkside","Jr.","INF","43","12"
"","Ryan Greer","Angelo St.","Jr.","OF","50","12"
"","Joe Hosey","Emporia St.","So.","-","41","12"
"","Jeffery Jones","Miles","Sr.","SS","41","12"
"","Andrew Jones","Tampa","Sr.","OF","42","12"
"","Courtney Kelley","Miles","Jr.","OF","38","12"
"","Andy Lalli","Southern N.H.","Jr.","C","48","12"
"","Bryan Lippincott","Concordia-St. Paul","Sr.","3B","40","12"
"","Scott Liske","UC San Diego","So.","OF","45","12"
"","Erik Lunde","Lander","So.","INF","44","12"
"","Craig Matteo","Adelphi","Sr.","INF","39","12"
"","Nathan Minnich","Shepherd","Sr.","1B","46","12"
"","Chris Montgomery","East Central","Sr.","C","38","12"
