"Rank","Name","Team","Cl","Pos","G","SF"
"1","Matt Gonzalez","Georgia Tech","So.","INF","24","7"
"2","Tommy Cheek","Loyola Marymount","Sr.","INF","24","6"
"","Mason Davis","Citadel","Jr.","INF","23","6"
"","Taylor Gushue","Florida","Jr.","C","24","6"
"","Ricky Santiago","Fla. Atlantic","Jr.","INF","24","6"
"","Michael Suchy","FGCU","Jr.","OF","24","6"
"7","Taylor Alspaugh","Oklahoma","Jr.","OF","24","5"
"","Christian Campbell","Rutgers","Fr.","SS","19","5"
"","Shane Conlon","Kansas St.","Jr.","INF","23","5"
"","Eric Escobedo","Marshall","Jr.","OF","17","5"
"","Skyler Ewing","Rice","Jr.","INF","25","5"
"","Ben Johnson","Texas","So.","OF","25","5"
"","Adam Kirsch","Texas Tech","Sr.","OF","25","5"
"","Vimael Machin","VCU","Jr.","INF","23","5"
"","Adam Martin","Western Caro.","Sr.","C","21","5"
"","John Nogowski","Florida St.","Jr.","1B","23","5"
"","Buddy Putnam","South Fla.","Jr.","INF","21","5"
"","Eric Sams","Bethune-Cookman","Sr.","INF","25","5"
"","Brett Thornell","Stephen F. Austin","Sr.","INF","22","5"
"","Blake Trahan","La.-Lafayette","So.","INF","24","5"
"21","Robert Amaro","Temple","Sr.","1B","17","4"
"","Eric Anderson","Missouri","Sr.","P","20","4"
"","Michael Aquino","Rice","Sr.","OF","25","4"
"","Aaron Attaway","Western Caro.","Sr.","INF","22","4"
"","Erik Barber","UCF","Jr.","OF","24","4"
"","Cavan Biggio","Notre Dame","Fr.","INF","22","4"
"","Devyn Bolasky","UC Riverside","Jr.","OF","20","4"
"","Garrett Boulware","Clemson","Jr.","C","23","4"
"","Alex Bravo","Mississippi Val.","Fr.","C","20","4"
"","Alex Calbick","Maine","Sr.","3B","24","4"
"","Justin Dattilo","UMES","Fr.","C","17","4"
"","David Fletcher","Loyola Marymount","Fr.","INF","24","4"
"","Derek Gibson","Southeast Mo. St.","Sr.","INF","23","4"
"","Micah Green","Wichita St.","Sr.","OF","22","4"
"","Griffin Gum","UAB","So.","OF","25","4"
"","Mackenzie Handel","Stephen F. Austin","Sr.","OF","22","4"
"","Greg Harrison","Furman","Sr.","1B","24","4"
"","Jacob Hunter","Yale","Sr.","INF","15","4"
"","Kyle Leady","Campbell","Jr.","INF","25","4"
"","Jordan Lee","A&M-Corpus Christi","Jr.","OF","25","4"
"","Cody Lenahan","Portland","Jr.","INF","23","4"
"","Emmanuel Marrero","Alabama St.","Jr.","INF","29","4"
"","Mark Mathias","Cal Poly","So.","INF","23","4"
"","Tyler Mautner","Buffalo","Jr.","INF","17","4"
"","Chris Okey","Clemson","Fr.","C","23","4"
"","David Paiz","Texas St.","Jr.","INF","22","4"
"","Chester Pak","Cal St. Northridge","Jr.","OF","23","4"
"","Patrick Porter","Ohio St.","Jr.","OF","21","4"
"","Jeff Schalk","UAB","Jr.","OF","25","4"
"","Tyson Simpson Jr.","N.C. Central","Sr.","INF","23","4"
"","Taylor Sparks","UC Irvine","Jr.","INF","23","4"
"","Brett Sullivan","Pacific","So.","SS","26","4"
"","Bo Thompson","Citadel","Jr.","INF","24","4"
"","Nick Torres","Cal Poly","Jr.","OF","23","4"
"","Andrew Utterback","Alabama A&M","Jr.","OF","25","4"
"","Woody Woodward","UC Santa Barbara","Jr.","OF","20","4"
"","Michael Zavala","Rutgers","Jr.","C","14","4"
"58","Joe Abeln","Lehigh","Sr.","OF","17","3"
"","Drew Adams","Lipscomb","Sr.","OF","25","3"
"","Audie Afenir","Oral Roberts","Jr.","C","17","3"
"","Blake Allemand","Texas A&M","Jr.","INF","19","3"
"","Will Allen","Ole Miss","Sr.","INF","25","3"
"","Richard Amion","Alabama St.","Jr.","OF","29","3"
"","Derek Atkinson","San Francisco","Jr.","OF","21","3"
"","Colt Atwood","Sam Houston St.","Jr.","OF","24","3"
"","Kane Barrow","Memphis","Jr.","OF","19","3"
"","Cole Bieser","Southeast Mo. St.","Sr.","OF","23","3"
"","Braden Bishop","Washington","So.","OF","22","3"
"","Michael Bishop","Jacksonville St.","Sr.","OF","21","3"
"","Connor Bright","South Carolina","Jr.","INF","22","3"
"","Gio Brusa","Pacific","So.","OF","26","3"
"","Dylan Burdeaux","Southern Miss.","Fr.","OF","19","3"
"","Dalton Busby","Ga. Southern","Jr.","INF","24","3"
"","Elliott Caldwell","South Carolina","Jr.","OF","20","3"
"","James Cantu","McNeese St.","Jr.","OF","20","3"
"","Kolbey Carpenter","Oklahoma","So.","INF","11","3"
"","Mike Carter","Rutgers","Fr.","OF","19","3"
"","Matt Chapman","Cal St. Fullerton","Jr.","INF","21","3"
"","Austin Christensen","Nebraska","So.","1B","20","3"
"","Alex Close","Liberty","Jr.","C","24","3"
"","Chris Coia","Radford","So.","INF","23","3"
"","Dennis Colon","Illinois St.","Jr.","INF","20","3"
"","Will Craig","Wake Forest","Fr.","INF","25","3"
"","Bill Cullen","VCU","Sr.","OF","23","3"
"","Andrew Daniel","San Diego","Jr.","INF","22","3"
"","Dylan Davis","Oregon St.","Jr.","OF","24","3"
"","Bret Dennis","St. John's (NY)","Jr.","SS","17","3"
"","Tyler Detmer","Ill.-Chicago","Jr.","OF","18","3"
"","Alex Diaz","FGCU","Jr.","INF","24","3"
"","Nick Dini","Wagner","Jr.","INF","17","3"
"","Tyler Duplantis","Nicholls St.","Sr.","INF","25","3"
"","Josh Eldridge","Old Dominion","Jr.","OF","24","3"
"","Robby Enslen","Oakland","Jr.","INF","15","3"
"","Waldyvan Estrada","Alabama St.","Jr.","OF","28","3"
"","Nick Favatella","Rutgers","Sr.","2B","20","3"
"","Brian Fay","Siena","Jr.","INF","19","3"
"","Collin Ferguson","St. Mary's (CA)","Jr.","P","23","3"
"","Nate Ferrell","Central Ark.","Jr.","INF","21","3"
"","Spencer Gaa","Bradley","Fr.","INF","19","3"
"","Aramis Garcia","FIU","Jr.","C","24","3"
