"Rank","Name","Team","Cl","Pos","App","IP","W","L","PCT"
"1","Carl O'Neal","St. Mary's (TX)","Jr.","P","14","80.0","11","0","1.000"
"","Geoff Broussard","Cal Poly Pomona","Sr.","P","13","97.0","11","1","0.917"
"","Rene Solis","St. Mary's (TX)","So.","P","13","93.0","11","2","0.846"
"4","Craig Goodman","Tusculum","Sr.","P","12","86.0","10","0","1.000"
"","Grady Wood","Western Ore.","Sr.","P","10","75.0","10","0","1.000"
"","Zack Gronek","Missouri S&T","Sr.","P","13","75.0","10","1","0.909"
"","Chad Boughner","North Ala.","Jr.","P","13","92.0","10","2","0.833"
"","Jared Christensen","Colorado Mesa","Sr.","P","12","68.0","10","2","0.833"
"","Brandon Simmons","Mo. Western St.","Jr.","P","12","78.3","10","2","0.833"
"","Aaron Adams","West Va. Wesleyan","Jr.","P","15","91.3","10","3","0.769"
"","Paul Hvozdovic","Shepherd","So.","P","17","91.3","10","3","0.769"
"","Brandon Marris","Southeastern Okla.","Jr.","P","14","79.3","10","3","0.769"
"","Ethan Bader","Armstrong","So.","P","24","96.0","10","4","0.714"
"14","Matt Dillon","Mount Olive","Jr.","P","23","70.0","9","0","1.000"
"","Justin Kuks","West Tex. A&M","Sr.","P","11","69.7","9","0","1.000"
"","Harvey Martin","Minn. St. Mankato","Jr.","OF","10","58.0","9","0","1.000"
"","Warren Hammel","West Va. Wesleyan","Sr.","P","14","69.3","9","1","0.900"
"","Taylor Rakes","Tusculum","Jr.","P","14","76.0","9","1","0.900"
"","Adam Satanoff","Winston-Salem","Sr.","P","11","56.7","9","1","0.900"
"","Jj Jankowski","Catawba","Sr.","P","17","90.3","9","2","0.818"
"","Jake Moser","Mount Olive","Sr.","P","13","90.0","9","2","0.818"
"","Cory Rhodes","King (TN)","So.","P","13","85.0","9","2","0.818"
"","Nick Lomascolo","Catawba","Jr.","P","16","81.0","9","4","0.692"
"24","Logan Birr","St. Cloud St.","Sr.","P","14","65.0","8","0","1.000"
"","Ryan Goodbrand","UC San Diego","Jr.","P","12","77.3","8","0","1.000"
"","Ben Rawding","Mercyhurst","Jr.","P","12","67.7","8","0","1.000"
"","Travis Bradshaw","Western Ore.","Sr.","P","10","52.0","8","1","0.889"
"","Jaden Dillon","Tex. A&M-Kingsville","Sr.","P","12","70.0","8","1","0.889"
"","Doug Shields","Southern Ark.","Sr.","P","12","89.0","8","1","0.889"
"","Adam Sigmon","Tusculum","Jr.","P","13","78.3","8","1","0.889"
"","Nolan Snell","Colorado Mesa","Jr.","P","12","76.3","8","1","0.889"
"","Zachary Westcott","Nova Southeastern","So.","P","11","78.0","8","1","0.889"
"","Ryan Garman","Grand Valley St.","Sr.","P","11","58.7","8","2","0.800"
"","Chandler Hall","Armstrong","Sr.","P","15","90.0","8","2","0.800"
"","Aaron Newcomb","Delta St.","Sr.","P","11","81.3","8","2","0.800"
"","Scott Strickland","Armstrong","Sr.","P","13","92.0","8","2","0.800"
"","Nick Umberger","Shippensburg","Sr.","P","13","72.3","8","2","0.800"
"","Zach Botjer","Ashland","Jr.","P","18","69.7","8","3","0.727"
"","Cody Greibling","Mo. Southern St.","Sr.","P","13","82.0","8","3","0.727"
"","Blake Hobby","North Ga.","Sr.","P","12","80.3","8","3","0.727"
"","Spencer Jordan","Francis Marion","Jr.","P","13","81.3","8","3","0.727"
"","Edgar Lopez","Central Okla.","Jr.","INF","13","76.7","8","3","0.727"
"","Michael Murray","Hawaii Pacific","Jr.","P","12","87.7","8","3","0.727"
"","Brad Nasis","St. Edward's","So.","P","15","61.0","8","3","0.727"
"","Kyle Schepel","Grand Valley St.","Sr.","P","11","63.7","8","3","0.727"
"","Lou Trivino","Slippery Rock","So.","P","11","68.7","8","3","0.727"
"","Jesse Boyd","West Ala.","Sr.","P","14","64.0","8","4","0.667"
"","Kyle Burkhardt","Newman","Sr.","P","13","75.7","8","4","0.667"
"","Josh Cagle","Stillman","Sr.","P","15","87.0","8","4","0.667"
"","Scott Lieser","St. Cloud St.","Jr.","P","14","68.0","8","4","0.667"
"","Alex Pearce","UNC Pembroke","Sr.","C","12","87.0","8","4","0.667"
"","John Nesbitt","Albany St. (GA)","Sr.","P","16","92.0","8","5","0.615"
"53","Nicholas Christopher","Virginia St.","Fr.","P","9","52.0","7","0","1.000"
"","Joe Gunkel","West Chester","So.","P","8","52.0","7","0","1.000"
"","Michael Lange","Angelo St.","Jr.","P","13","54.7","7","0","1.000"
"","Colton Mitchell","Delta St.","Jr.","P","13","74.3","7","0","1.000"
"","Erick Ruvalcaba","Cal Poly Pomona","Jr.","P","12","94.0","7","0","1.000"
"","Brad Schnelle","Seton Hill","So.","P","11","52.3","7","0","1.000"
"","Skye Severns","St. Mary's (TX)","Sr.","P","13","75.7","7","0","1.000"
"","Cory Baker","Grand Valley St.","Sr.","P","11","57.7","7","1","0.875"
"","Bryce Bellin","Minn. St. Mankato","So.","1B","12","50.3","7","1","0.875"
"","Stephen Cooke","Indiana (PA)","Jr.","P","10","64.3","7","1","0.875"
"","Donovan Drake","Indianapolis","Sr.","P","9","61.7","7","1","0.875"
"","Kyle Fischer","St. Cloud St.","So.","P","11","55.7","7","1","0.875"
"","Tyler Harris","St. Edward's","Sr.","P","14","73.7","7","1","0.875"
"","John Healy","St. Anselm","Sr.","P","11","78.0","7","1","0.875"
"","Nik Jurado","Mo. Western St.","Sr.","P","11","73.3","7","1","0.875"
"","Cameron Mann","Southeastern Okla.","Jr.","C","26","53.3","7","1","0.875"
"","Matt Marotta","St. Thomas Aquinas","Sr.","P","27","64.3","7","1","0.875"
"","Brandon Miller","Lander","Jr.","P","14","52.0","7","1","0.875"
"","Shawn Riesgraf","St. Cloud St.","Jr.","P","13","49.0","7","1","0.875"
"","Tyler Vails","Stillman","So.","P","20","53.3","7","1","0.875"
"","S Wells","Winston-Salem","Fr.","-","10","54.3","7","1","0.875"
"","Sean Bierman","Tampa","Sr.","P","13","74.3","7","2","0.778"
